,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,658.1,658.1,658.1,658.1,0,7448,3042,0
1,2020-05-20 09:15:00,661.05,661.05,661.05,661.05,0,10988,6919,0
2,2020-05-20 09:16:00,661.2,661.2,661.2,661.2,360,12202,7093,0
3,2020-05-20 09:17:00,662.55,662.55,662.55,662.55,635,13513,7425,0
4,2020-05-20 09:19:00,667.75,667.75,667.75,667.75,1976,20425,9126,0
5,2020-05-20 09:20:00,672.15,672.15,672.15,672.15,4146,27075,10447,0
6,2020-05-20 09:21:00,675.0,675.0,675.0,675.0,3544,28125,9498,0
7,2020-05-20 09:22:00,675.55,675.55,675.55,675.55,2146,28260,10058,0
8,2020-05-20 09:23:00,672.5,672.5,672.5,672.5,4973,27240,12327,0
9,2020-05-20 09:24:00,672.85,672.85,672.85,672.85,7238,28436,12943,0
10,2020-05-20 09:25:00,671.9,671.9,671.9,671.9,5128,28064,13938,0
11,2020-05-20 09:27:00,669.75,669.75,669.75,669.75,4627,27932,15335,0
12,2020-05-20 09:29:00,669.6,669.6,668.95,668.95,8033,56421,31923,0
13,2020-05-20 09:31:00,666.4,666.4,666.4,666.4,8390,28155,16408,0
14,2020-05-20 09:32:00,664.8,664.8,664.8,664.8,5546,27856,16924,0
15,2020-05-20 09:33:00,665.95,665.95,665.95,665.95,5726,27479,16842,0
16,2020-05-20 09:35:00,667.75,667.75,667.75,667.75,8919,28803,15827,0
17,2020-05-20 09:38:00,668.45,668.45,668.45,668.45,9292,29632,15823,0
18,2020-05-20 09:39:00,669.3,669.3,669.3,669.3,6179,29995,15564,0
19,2020-05-20 09:40:00,669.25,669.25,669.25,669.25,6048,29994,15592,0
20,2020-05-20 09:42:00,669.7,669.7,669.7,669.7,9873,30731,15655,0
21,2020-05-20 09:45:00,667.65,667.65,667.65,667.65,11421,30176,16424,0
22,2020-05-20 09:48:00,666.0,666.0,666.0,666.0,8328,29467,17040,0
23,2020-05-20 09:49:00,666.95,666.95,666.95,666.95,7148,29601,17098,0
24,2020-05-20 09:51:00,668.0,668.0,668.0,668.0,10485,29945,16709,0
25,2020-05-20 09:56:00,666.0,666.0,666.0,666.0,12040,30008,17192,0
26,2020-05-20 09:57:00,666.5,666.5,666.5,666.5,8734,29940,17579,0
27,2020-05-20 09:58:00,667.0,667.0,667.0,667.0,8486,30333,17425,0
28,2020-05-20 09:59:00,666.05,666.05,666.05,666.05,11962,30484,17729,0
29,2020-05-20 10:00:00,666.85,666.85,666.85,666.85,12380,30467,17520,0
30,2020-05-20 10:02:00,665.85,665.85,665.85,665.85,10151,30631,17405,0
31,2020-05-20 10:08:00,664.75,664.75,664.75,664.75,12627,29532,18746,0
32,2020-05-20 10:12:00,664.4,664.4,664.4,664.4,15468,29817,19681,0
33,2020-05-20 10:15:00,664.8,664.8,664.8,664.8,13126,30190,19894,0
34,2020-05-20 10:17:00,664.8,664.8,664.8,664.8,10564,30265,20155,0
35,2020-05-20 10:18:00,664.45,664.45,664.45,664.45,13157,30168,20213,0
36,2020-05-20 10:20:00,664.75,664.75,664.75,664.75,16289,30622,20434,0
37,2020-05-20 10:21:00,664.45,664.45,664.45,664.45,13884,30502,20472,0
38,2020-05-20 10:22:00,664.2,664.2,664.2,664.2,10987,30554,20471,0
39,2020-05-20 10:25:00,664.2,664.2,664.2,664.2,13895,30078,20717,0
40,2020-05-20 10:29:00,664.55,664.55,664.55,664.55,17295,30243,20340,0
41,2020-05-20 10:30:00,664.5,664.5,664.5,664.5,11047,60502,40862,0
42,2020-05-20 10:35:00,663.95,663.95,663.95,663.95,11379,31244,21277,0
43,2020-05-20 10:37:00,665.0,665.0,665.0,665.0,20246,30457,19867,0
44,2020-05-20 10:38:00,664.0,664.0,664.0,664.0,20105,30536,21272,0
45,2020-05-20 10:39:00,664.35,664.35,664.35,664.35,11397,60860,42628,0
46,2020-05-20 10:45:00,664.8,664.8,664.8,664.8,12003,32010,21509,0
47,2020-05-20 10:47:00,665.0,665.0,665.0,665.0,21139,31939,21542,0
48,2020-05-20 10:55:00,664.7,664.7,664.7,664.7,21019,33479,21947,0
