,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,38.1,38.1,38.1,38.1,0,111632,272741,0
1,2020-05-20 09:18:00,38.0,38.0,37.95,37.95,52037,731887,1140687,0
2,2020-05-20 09:19:00,37.9,37.9,37.85,37.85,6281,553601,870698,0
3,2020-05-20 09:20:00,37.95,37.95,37.95,37.95,24554,343677,486676,0
4,2020-05-20 09:21:00,38.0,38.0,38.0,38.0,72665,345280,495919,0
5,2020-05-20 09:25:00,37.9,37.9,37.9,37.9,46264,722127,1082641,0
6,2020-05-20 09:26:00,37.9,37.9,37.9,37.9,48752,365302,547538,0
7,2020-05-20 09:28:00,37.9,37.9,37.9,37.9,79930,372131,553025,0
8,2020-05-20 09:29:00,37.75,37.75,37.75,37.75,85166,366381,565432,0
9,2020-05-20 09:31:00,37.55,37.55,37.55,37.55,63204,389420,579375,0
10,2020-05-20 09:32:00,37.65,37.65,37.65,37.65,73952,398552,577364,0
11,2020-05-20 09:33:00,37.7,37.7,37.7,37.7,101968,409504,577124,0
12,2020-05-20 09:34:00,37.7,37.7,37.7,37.7,91325,411397,581002,0
13,2020-05-20 09:35:00,37.75,37.75,37.75,37.75,66127,418974,579474,0
14,2020-05-20 09:36:00,37.7,37.7,37.7,37.7,78331,420539,592091,0
15,2020-05-20 09:38:00,37.75,37.8,37.75,37.8,93970,856550,1188490,0
16,2020-05-20 09:39:00,37.85,37.85,37.85,37.85,94970,429816,592208,0
17,2020-05-20 09:40:00,37.75,37.8,37.75,37.8,87089,1283886,1797775,0
18,2020-05-20 09:41:00,37.8,37.8,37.8,37.8,94990,864221,1199932,0
19,2020-05-20 09:42:00,37.75,37.75,37.75,37.75,97535,423034,608391,0
20,2020-05-20 09:43:00,37.7,37.7,37.7,37.7,109791,433677,612681,0
21,2020-05-20 09:45:00,37.65,37.65,37.65,37.65,115536,427551,607996,0
22,2020-05-20 09:46:00,37.85,37.85,37.85,37.85,104442,441452,607153,0
23,2020-05-20 09:47:00,37.85,37.85,37.8,37.8,109837,1081640,1215236,0
24,2020-05-20 09:48:00,37.75,37.75,37.75,37.75,105846,1077756,1222877,0
25,2020-05-20 09:49:00,37.75,37.8,37.75,37.8,111360,1080121,1231540,0
26,2020-05-20 09:50:00,37.75,37.75,37.75,37.75,112161,547155,614036,0
27,2020-05-20 09:51:00,37.75,37.8,37.75,37.8,107201,1098257,1228645,0
28,2020-05-20 09:53:00,37.9,37.9,37.9,37.9,119306,1113498,1230034,0
29,2020-05-20 09:55:00,37.9,37.9,37.9,37.9,108706,1115900,1229533,0
30,2020-05-20 09:57:00,37.9,37.9,37.9,37.9,118796,564638,615278,0
31,2020-05-20 09:58:00,37.95,37.95,37.95,37.95,147993,569785,601225,0
32,2020-05-20 09:59:00,37.9,37.9,37.9,37.9,147886,573363,612356,0
33,2020-05-20 10:00:00,38.0,38.0,37.95,37.95,134723,1191660,1258446,0
34,2020-05-20 10:03:00,38.0,38.0,38.0,38.0,154702,584195,621102,0
35,2020-05-20 10:09:00,37.9,37.9,37.9,37.9,191929,565148,645863,0
36,2020-05-20 10:10:00,37.9,37.9,37.9,37.9,177251,561242,641074,0
37,2020-05-20 10:13:00,37.9,37.9,37.9,37.9,168350,568298,632811,0
38,2020-05-20 10:14:00,37.85,37.85,37.85,37.85,194872,575947,644167,0
39,2020-05-20 10:16:00,37.85,37.85,37.85,37.85,180416,1155669,1284730,0
40,2020-05-20 10:18:00,37.8,37.8,37.8,37.8,192593,573029,664239,0
41,2020-05-20 10:26:00,37.75,37.75,37.75,37.75,218891,569694,656299,0
42,2020-05-20 10:28:00,37.75,37.75,37.75,37.75,208315,568849,664356,0
43,2020-05-20 10:30:00,37.7,37.7,37.7,37.7,183268,570060,661658,0
44,2020-05-20 10:32:00,37.8,37.8,37.8,37.8,196612,603637,656859,0
45,2020-05-20 10:37:00,37.75,37.75,37.75,37.75,240248,582191,664603,0
46,2020-05-20 10:41:00,37.85,37.85,37.85,37.85,238691,591841,657609,0
47,2020-05-20 10:42:00,37.9,37.9,37.9,37.9,196789,596657,656223,0
48,2020-05-20 10:46:00,37.85,37.85,37.85,37.85,205704,619011,662484,0
49,2020-05-20 10:54:00,37.8,37.8,37.8,37.8,257018,610492,669411,0
50,2020-05-20 10:56:00,37.85,37.85,37.85,37.85,254981,646001,665144,0
51,2020-05-20 10:58:00,37.85,37.85,37.85,37.85,211416,609700,672956,0
52,2020-05-20 11:05:00,37.7,37.7,37.7,37.7,216686,606242,683315,0
53,2020-05-20 11:08:00,37.65,37.7,37.65,37.7,268357,1195853,1379276,0
54,2020-05-20 11:12:00,37.65,37.65,37.65,37.65,276265,592495,691796,0
55,2020-05-20 11:15:00,37.6,37.65,37.6,37.65,224917,1262358,1418367,0
56,2020-05-20 11:21:00,37.65,37.65,37.65,37.65,282470,1279614,1384548,0
57,2020-05-20 11:29:00,37.75,37.75,37.75,37.75,288006,646398,693697,0
58,2020-05-20 11:30:00,37.75,37.75,37.75,37.75,232357,644004,693774,0
59,2020-05-20 11:42:00,37.75,37.75,37.75,37.75,256105,658025,696685,0
60,2020-05-20 11:43:00,37.75,37.75,37.75,37.75,320359,642902,701663,0
61,2020-05-20 11:46:00,37.7,37.7,37.7,37.7,300973,640836,704071,0
62,2020-05-20 11:55:00,37.7,37.7,37.7,37.7,245642,644665,700821,0
63,2020-05-20 12:10:00,37.8,37.8,37.8,37.8,285113,657809,695792,0
64,2020-05-20 12:19:00,37.7,37.7,37.7,37.7,348635,647629,703159,0
65,2020-05-20 12:20:00,37.7,37.7,37.7,37.7,309394,647009,706039,0
66,2020-05-20 12:22:00,37.75,37.75,37.75,37.75,254424,673643,699086,0
67,2020-05-20 12:32:00,37.7,37.7,37.7,37.7,303154,650274,702613,0
68,2020-05-20 12:36:00,37.7,37.7,37.7,37.7,361693,680341,697456,0
69,2020-05-20 12:51:00,37.65,37.65,37.65,37.65,321298,659669,1953352,0
70,2020-05-20 12:53:00,37.75,37.75,37.75,37.75,262889,660189,1953522,0
71,2020-05-20 12:56:00,37.8,37.8,37.8,37.8,322051,717403,1954895,0
72,2020-05-20 12:59:00,37.8,37.8,37.8,37.8,381737,667194,1956419,0
73,2020-05-20 13:08:00,37.7,37.7,37.7,37.7,335175,640729,1957026,0
74,2020-05-20 13:15:00,37.65,37.7,37.65,37.7,327033,1272471,3917416,0
75,2020-05-20 13:16:00,37.75,37.75,37.75,37.75,327443,636164,1960679,0
76,2020-05-20 13:21:00,37.7,37.7,37.7,37.7,337347,636689,1963190,0
77,2020-05-20 13:25:00,37.65,37.65,37.65,37.65,344873,532249,1968014,0
78,2020-05-20 13:31:00,37.65,37.65,37.65,37.65,338541,538768,1962815,0
79,2020-05-20 13:35:00,37.95,37.95,37.95,37.95,354127,538217,1936647,0
80,2020-05-20 13:38:00,37.8,37.8,37.8,37.8,375907,540518,1937621,0
81,2020-05-20 13:43:00,37.85,37.85,37.8,37.8,346886,1097528,3903929,0
82,2020-05-20 13:46:00,37.75,37.8,37.75,37.8,379595,1091695,3911275,0
83,2020-05-20 13:47:00,37.85,37.85,37.85,37.85,382675,546425,1951609,0
84,2020-05-20 13:50:00,37.95,37.95,37.95,37.95,356589,551558,1946867,0
85,2020-05-20 13:51:00,38.2,38.2,38.2,38.2,422123,576505,1915856,0
86,2020-05-20 13:54:00,38.2,38.2,38.2,38.2,484349,558003,1937923,0
87,2020-05-20 13:55:00,38.2,38.2,38.2,38.2,422745,553282,1948764,0
88,2020-05-20 14:02:00,38.3,38.4,38.3,38.4,452406,1683673,5824599,0
89,2020-05-20 14:03:00,38.35,38.35,38.3,38.3,424460,1124819,3887861,0
90,2020-05-20 14:04:00,38.25,38.25,38.25,38.25,455161,1109018,3933000,0
91,2020-05-20 14:05:00,38.3,38.3,38.3,38.3,455920,560812,1976199,0
92,2020-05-20 14:06:00,38.35,38.35,38.35,38.35,432830,569063,1965872,0
93,2020-05-20 14:07:00,38.35,38.35,38.35,38.35,472136,1130497,3935665,0
94,2020-05-20 14:08:00,38.35,38.35,38.35,38.35,472437,563666,1970989,0
95,2020-05-20 14:09:00,38.55,38.55,38.55,38.55,476037,1747796,5836439,0
96,2020-05-20 14:11:00,38.45,38.45,38.45,38.45,485833,571468,1958669,0
97,2020-05-20 14:12:00,38.3,38.3,38.3,38.3,488496,561831,1980674,0
98,2020-05-20 14:13:00,38.3,38.3,38.3,38.3,479663,562853,1989106,0
99,2020-05-20 14:14:00,38.1,38.15,38.1,38.15,492480,1073752,3999971,0
100,2020-05-20 14:16:00,38.25,38.25,38.25,38.25,511924,1107102,3988111,0
101,2020-05-20 14:18:00,38.2,38.2,38.2,38.2,513132,541833,1998262,0
102,2020-05-20 14:19:00,38.15,38.15,38.15,38.15,494408,543200,2006228,0
103,2020-05-20 14:21:00,38.15,38.15,38.15,38.15,495489,543660,2007535,0
104,2020-05-20 14:27:00,38.05,38.05,38.05,38.05,530099,534835,2008882,0
105,2020-05-20 14:28:00,38.1,38.1,38.1,38.1,534586,535683,2010697,0
106,2020-05-20 14:30:00,38.1,38.1,38.1,38.1,502119,541681,2007222,0
107,2020-05-20 14:39:00,38.2,38.2,38.2,38.2,522641,547799,744197,0
108,2020-05-20 14:44:00,38.2,38.2,38.2,38.2,569755,562674,751823,0
109,2020-05-20 14:49:00,37.95,37.95,37.95,37.95,569769,516108,760716,0
110,2020-05-20 14:50:00,37.95,37.95,37.95,37.95,524147,521054,775688,0
111,2020-05-20 14:52:00,37.95,37.95,37.95,37.95,527657,521550,779434,0
112,2020-05-20 14:53:00,37.95,37.95,37.95,37.95,576754,530956,785900,0
113,2020-05-20 14:56:00,37.9,37.9,37.9,37.9,578684,529485,790202,0
114,2020-05-20 14:59:00,37.9,37.9,37.9,37.9,533572,533380,791758,0
115,2020-05-20 15:05:00,37.95,37.95,37.95,37.95,542012,556252,772735,0
116,2020-05-20 15:06:00,37.9,37.9,37.9,37.9,599327,532217,769899,0
117,2020-05-20 15:09:00,37.9,37.9,37.9,37.9,597016,514104,736508,0
118,2020-05-20 15:14:00,37.8,37.8,37.8,37.8,557095,480705,696759,0
119,2020-05-20 15:18:00,37.85,37.85,37.85,37.85,577217,460408,654139,0
120,2020-05-20 15:19:00,37.95,37.95,37.95,37.95,625928,458956,640990,0
121,2020-05-20 15:20:00,37.9,37.9,37.9,37.9,630430,407762,586356,0
122,2020-05-20 15:21:00,37.9,37.9,37.9,37.9,581719,407302,586356,0
123,2020-05-20 15:23:00,37.9,37.95,37.9,37.95,644599,771910,1122108,0
124,2020-05-20 15:26:00,37.9,37.9,37.9,37.9,666799,360927,537946,0
125,2020-05-20 15:28:00,37.9,37.9,37.9,37.9,612201,692082,1099211,0
