,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,84.6,84.6,84.6,84.6,0,26576,9264,0
1,2020-05-20 09:07:00,84.6,84.6,84.6,84.6,0,31025,9276,0
2,2020-05-20 09:08:00,87.2,87.2,87.2,87.2,1010,30015,8649,0
3,2020-05-20 09:11:00,87.2,87.2,87.2,87.2,1010,30015,8649,0
4,2020-05-20 09:14:00,87.2,87.2,87.2,87.2,0,30015,8649,0
5,2020-05-20 09:15:00,87.5,87.5,87.4,87.4,4327,67708,29348,0
6,2020-05-20 09:16:00,87.5,87.5,87.5,87.5,37176,34447,28477,0
7,2020-05-20 09:19:00,89.0,89.0,89.0,89.0,121762,68950,42277,0
8,2020-05-20 09:20:00,89.85,89.85,89.85,89.85,112689,84310,44658,0
9,2020-05-20 09:21:00,89.55,90.15,89.55,90.15,73232,174384,127709,0
10,2020-05-20 09:22:00,90.0,90.1,90.0,90.1,120743,176199,129261,0
11,2020-05-20 09:23:00,90.2,90.3,90.2,90.3,98858,264431,204332,0
12,2020-05-20 09:24:00,90.4,90.4,90.4,90.4,115330,88460,77040,0
13,2020-05-20 09:27:00,91.2,91.2,90.6,90.6,199704,307825,271951,0
14,2020-05-20 09:28:00,90.2,90.2,90.2,90.2,205683,96380,100581,0
15,2020-05-20 09:29:00,90.5,90.5,90.5,90.5,172141,312499,300705,0
16,2020-05-20 09:30:00,90.1,90.1,89.25,89.25,508536,231057,284581,0
17,2020-05-20 09:31:00,89.25,89.25,89.25,89.25,510139,127910,169900,0
18,2020-05-20 09:32:00,88.05,88.25,88.05,88.25,493759,233901,399696,0
19,2020-05-20 09:33:00,88.3,88.3,88.25,88.25,571430,303643,428820,0
20,2020-05-20 09:34:00,87.5,87.5,87.5,87.5,633455,109208,226073,0
21,2020-05-20 09:35:00,87.6,87.6,87.6,87.6,621003,255079,427596,0
22,2020-05-20 09:36:00,87.85,87.95,87.85,87.95,666711,314558,444647,0
23,2020-05-20 09:37:00,87.7,87.8,87.7,87.8,650793,279523,471354,0
24,2020-05-20 09:38:00,87.8,87.8,87.45,87.45,691076,271072,491450,0
25,2020-05-20 09:39:00,87.7,87.7,87.7,87.7,698327,132927,249465,0
26,2020-05-20 09:41:00,87.4,87.4,87.4,87.4,675864,128489,256279,0
27,2020-05-20 09:42:00,87.1,87.1,87.1,87.1,704618,117899,243947,0
28,2020-05-20 09:44:00,87.4,87.4,87.4,87.4,753074,122543,235249,0
29,2020-05-20 09:45:00,87.6,87.75,87.6,87.75,684948,263191,470904,0
30,2020-05-20 09:46:00,88.0,88.0,88.0,88.0,713391,165474,225774,0
31,2020-05-20 09:47:00,87.65,87.65,87.65,87.65,836271,134072,244239,0
32,2020-05-20 09:48:00,87.7,87.7,87.7,87.7,820615,133287,240888,0
33,2020-05-20 09:49:00,87.75,87.75,87.75,87.75,717567,274479,486900,0
34,2020-05-20 09:51:00,87.75,87.75,87.75,87.75,727917,132635,241182,0
35,2020-05-20 09:52:00,87.4,87.6,87.4,87.6,842313,262512,479632,0
36,2020-05-20 09:54:00,87.45,87.45,87.45,87.45,845047,133164,239977,0
37,2020-05-20 09:55:00,87.5,87.5,87.5,87.5,732257,133500,242061,0
38,2020-05-20 09:56:00,87.4,87.4,87.4,87.4,732046,132964,243542,0
39,2020-05-20 09:59:00,87.45,87.45,87.45,87.45,851616,135606,242123,0
40,2020-05-20 10:00:00,87.65,87.65,87.5,87.5,740305,273883,481358,0
41,2020-05-20 10:01:00,87.5,87.6,87.5,87.6,853563,272434,483616,0
42,2020-05-20 10:03:00,87.55,87.55,87.55,87.55,857221,135173,240743,0
43,2020-05-20 10:04:00,87.6,87.6,87.6,87.6,749075,135828,238565,0
44,2020-05-20 10:05:00,87.65,87.65,87.65,87.65,751941,136200,234427,0
45,2020-05-20 10:08:00,88.0,88.1,88.0,88.1,883721,427737,710382,0
46,2020-05-20 10:11:00,89.0,89.0,89.0,89.0,899634,316861,432405,0
47,2020-05-20 10:12:00,88.7,88.7,88.7,88.7,903724,155701,225066,0
48,2020-05-20 10:13:00,88.35,88.35,88.35,88.35,913291,151409,238013,0
49,2020-05-20 10:14:00,88.45,88.45,88.45,88.45,915108,159145,245574,0
50,2020-05-20 10:16:00,88.75,88.75,88.75,88.75,984203,163962,250727,0
51,2020-05-20 10:20:00,88.4,88.4,88.4,88.4,1054628,164114,279420,0
52,2020-05-20 10:21:00,88.7,88.75,88.7,88.75,999412,330165,521980,0
53,2020-05-20 10:22:00,88.8,88.8,88.35,88.35,1239654,356101,1955779,0
54,2020-05-20 10:23:00,88.2,88.2,88.1,88.1,1113076,341131,1953976,0
55,2020-05-20 10:24:00,88.35,88.4,88.35,88.4,1271458,377202,1956337,0
56,2020-05-20 10:25:00,88.25,88.25,88.25,88.25,1277489,189487,978786,0
57,2020-05-20 10:26:00,88.15,88.15,88.15,88.15,1143874,187028,990702,0
58,2020-05-20 10:27:00,88.25,88.25,88.25,88.25,1200768,174124,970070,0
59,2020-05-20 10:28:00,88.25,88.25,88.1,88.2,1316635,535966,2939393,0
60,2020-05-20 10:29:00,88.2,88.2,88.2,88.2,1322208,189192,999288,0
61,2020-05-20 10:30:00,88.1,88.1,88.1,88.1,1213594,188819,999090,0
62,2020-05-20 10:31:00,88.8,88.8,88.8,88.8,1272895,197123,947488,0
63,2020-05-20 10:34:00,88.55,88.55,88.5,88.5,1376433,395936,1921391,0
64,2020-05-20 10:35:00,88.5,88.5,88.5,88.5,1278099,396480,1927620,0
