,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,269.45,269.45,269.45,269.45,0,2528,3136,0
1,2020-05-20 09:15:00,269.45,269.45,269.45,269.45,0,3043,4161,0
2,2020-05-20 09:21:00,272.75,272.75,272.75,272.75,426,4531,4953,0
3,2020-05-20 09:26:00,273.0,273.0,273.0,273.0,1571,4938,6494,0
4,2020-05-20 09:29:00,266.95,266.95,266.95,266.95,2416,10520,10967,0
5,2020-05-20 09:30:00,265.9,265.9,265.9,265.9,1673,14164,12984,0
6,2020-05-20 09:33:00,266.95,266.95,266.95,266.95,955,15648,14376,0
7,2020-05-20 09:38:00,266.95,266.95,266.95,266.95,2247,15698,15002,0
8,2020-05-20 09:42:00,266.95,266.95,266.95,266.95,2980,15233,14482,0
9,2020-05-20 09:55:00,263.95,266.45,263.95,266.45,1332,30071,30669,0
10,2020-05-20 10:08:00,265.9,265.9,265.9,265.9,2251,14841,15891,0
11,2020-05-20 10:14:00,265.85,265.85,265.85,265.85,3947,14801,16057,0
12,2020-05-20 10:19:00,263.8,263.8,263.8,263.8,3753,14743,16240,0
13,2020-05-20 10:21:00,262.9,262.9,262.9,262.9,3324,14580,16185,0
14,2020-05-20 10:22:00,262.9,262.9,262.9,262.9,3519,14700,16153,0
15,2020-05-20 10:34:00,262.4,262.4,262.4,262.4,4446,14715,15834,0
16,2020-05-20 10:36:00,262.4,262.4,262.4,262.4,4336,15057,15813,0
17,2020-05-20 10:48:00,262.45,262.45,262.45,262.45,3833,14745,15694,0
18,2020-05-20 10:49:00,262.45,262.45,262.45,262.45,3943,14797,15594,0
19,2020-05-20 10:50:00,262.4,262.4,262.4,262.4,4458,14845,15583,0
20,2020-05-20 10:58:00,262.8,262.8,262.8,262.8,4468,15019,15235,0
21,2020-05-20 11:01:00,261.95,261.95,261.95,261.95,4227,15009,15269,0
22,2020-05-20 11:05:00,262.75,262.75,262.75,262.75,4455,15105,15460,0
23,2020-05-20 11:39:00,261.7,261.7,261.7,261.7,5863,14913,16470,0
24,2020-05-20 11:51:00,258.95,258.95,258.95,258.95,6397,14589,16722,0
25,2020-05-20 12:04:00,258.65,258.65,258.65,258.65,5302,14846,16654,0
26,2020-05-20 12:20:00,268.8,268.8,268.8,268.8,7794,16193,16185,0
27,2020-05-20 12:25:00,270.0,270.0,270.0,270.0,10328,16220,16211,0
28,2020-05-20 12:27:00,272.15,272.15,272.15,272.15,8909,16636,15968,0
29,2020-05-20 12:30:00,274.0,274.45,274.0,274.45,14044,35214,29679,0
30,2020-05-20 12:31:00,279.0,279.0,279.0,279.0,13460,36768,29792,0
31,2020-05-20 12:32:00,278.0,278.0,278.0,278.0,13885,19784,15991,0
32,2020-05-20 12:34:00,277.25,277.25,277.25,277.25,14761,18943,17312,0
33,2020-05-20 12:36:00,277.25,277.25,277.25,277.25,14417,18905,18662,0
34,2020-05-20 12:37:00,280.0,280.0,280.0,280.0,14885,38198,37952,0
35,2020-05-20 12:45:00,276.4,276.4,276.4,276.4,17936,18468,19225,0
36,2020-05-20 12:49:00,278.5,278.5,278.5,278.5,18545,17467,17890,0
37,2020-05-20 12:53:00,278.0,278.0,278.0,278.0,15560,34293,35542,0
38,2020-05-20 12:54:00,277.5,277.5,277.5,277.5,15630,17270,17950,0
39,2020-05-20 12:55:00,277.5,277.5,277.5,277.5,18615,17275,18000,0
40,2020-05-20 12:58:00,277.5,277.5,277.5,277.5,18685,17362,18080,0
41,2020-05-20 13:03:00,277.0,277.0,277.0,277.0,16443,17634,18086,0
42,2020-05-20 13:06:00,276.6,276.6,276.6,276.6,16610,17641,18348,0
43,2020-05-20 13:09:00,276.5,276.5,276.5,276.5,20764,17470,18219,0
44,2020-05-20 13:13:00,277.95,277.95,277.95,277.95,20742,17625,19318,0
45,2020-05-20 13:19:00,277.35,277.35,277.35,277.35,17150,17976,18909,0
46,2020-05-20 13:45:00,276.3,276.3,276.3,276.3,18351,21609,20651,0
47,2020-05-20 13:47:00,277.9,277.9,277.9,277.9,21963,21675,20681,0
48,2020-05-20 13:48:00,280.0,280.0,280.0,280.0,23044,21621,19044,0
49,2020-05-20 13:50:00,280.3,280.3,280.3,280.3,21111,21109,18839,0
50,2020-05-20 13:59:00,282.95,282.95,282.5,282.5,23424,44240,37423,0
51,2020-05-20 14:01:00,283.0,283.0,283.0,283.0,23524,22011,19846,0
52,2020-05-20 14:06:00,280.3,280.3,280.3,280.3,22155,22560,20280,0
53,2020-05-20 14:26:00,281.05,281.05,281.05,281.05,24121,21722,19864,0
54,2020-05-20 14:28:00,282.0,282.0,282.0,282.0,26148,21558,19652,0
55,2020-05-20 14:29:00,283.0,283.0,283.0,283.0,25182,21715,19488,0
56,2020-05-20 14:33:00,283.0,283.0,283.0,283.0,23792,21771,19618,0
57,2020-05-20 14:34:00,288.65,288.65,288.65,288.65,43749,25290,15317,0
58,2020-05-20 14:35:00,287.0,287.0,287.0,287.0,93237,26338,23403,0
