,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,352.05,352.05,352.05,352.05,0,641,1007,0
1,2020-05-20 09:18:00,354.0,354.0,354.0,354.0,0,691,1277,0
2,2020-05-20 09:19:00,354.0,354.0,354.0,354.0,27,691,1275,0
3,2020-05-20 09:20:00,357.0,357.0,357.0,357.0,29,691,1280,0
4,2020-05-20 09:23:00,355.95,355.95,355.95,355.95,5,732,1373,0
5,2020-05-20 09:25:00,355.5,355.5,355.5,355.5,41,1504,2866,0
6,2020-05-20 09:27:00,355.4,355.4,355.4,355.4,44,731,1452,0
7,2020-05-20 09:30:00,355.4,355.4,355.4,355.4,12,632,1452,0
8,2020-05-20 09:34:00,354.8,354.8,354.8,354.8,47,1261,2824,0
9,2020-05-20 09:35:00,354.8,354.8,354.8,354.8,48,674,1411,0
10,2020-05-20 09:36:00,354.8,354.8,354.8,354.8,14,1381,2819,0
11,2020-05-20 09:37:00,354.8,354.8,354.8,354.8,14,708,1409,0
12,2020-05-20 09:38:00,354.8,354.8,354.8,354.8,50,708,1407,0
13,2020-05-20 09:39:00,354.8,354.8,354.8,354.8,51,758,1413,0
14,2020-05-20 09:43:00,354.45,354.45,354.45,354.45,21,757,1360,0
15,2020-05-20 09:45:00,352.05,352.05,352.05,352.05,50,807,1360,0
16,2020-05-20 09:49:00,354.45,354.45,354.45,354.45,86,1268,1506,0
17,2020-05-20 09:50:00,354.45,354.45,354.45,354.45,58,1268,1515,0
18,2020-05-20 09:52:00,353.95,353.95,353.95,353.95,24,1269,1733,0
19,2020-05-20 09:53:00,353.9,353.9,353.9,353.9,64,1289,1733,0
20,2020-05-20 09:59:00,354.0,354.0,354.0,354.0,505,1459,1822,0
21,2020-05-20 10:01:00,353.95,353.95,353.95,353.95,497,1359,2820,0
22,2020-05-20 10:03:00,353.75,353.75,353.75,353.75,57,1392,2828,0
23,2020-05-20 10:14:00,352.0,352.0,352.0,352.0,146,1461,2977,0
24,2020-05-20 10:38:00,353.55,353.55,353.55,353.55,769,1640,3103,0
25,2020-05-20 10:40:00,353.85,353.85,353.85,353.85,360,2905,6044,0
26,2020-05-20 10:45:00,353.8,353.8,353.8,353.8,796,3039,7255,0
27,2020-05-20 10:57:00,352.5,352.5,351.8,351.8,552,2707,7466,0
28,2020-05-20 11:01:00,350.95,350.95,350.95,350.95,607,1349,3751,0
29,2020-05-20 11:03:00,347.95,347.95,347.95,347.95,924,1339,3998,0
30,2020-05-20 11:05:00,353.8,353.8,353.8,353.8,955,1583,3822,0
31,2020-05-20 11:06:00,353.35,353.35,353.35,353.35,639,1655,3899,0
32,2020-05-20 11:14:00,351.8,351.8,351.8,351.8,1260,2987,7446,0
33,2020-05-20 11:18:00,350.0,350.0,350.0,350.0,1267,1432,3824,0
34,2020-05-20 11:19:00,350.0,350.0,350.0,350.0,650,1434,3820,0
35,2020-05-20 11:20:00,350.0,350.0,350.0,350.0,646,1432,3817,0
36,2020-05-20 11:44:00,348.9,348.9,348.9,348.9,1382,1366,3904,0
37,2020-05-20 11:54:00,349.3,349.3,349.3,349.3,1589,1395,3906,0
38,2020-05-20 11:58:00,349.3,349.3,349.3,349.3,1051,1335,3834,0
39,2020-05-20 12:03:00,349.85,349.85,349.85,349.85,854,1345,3831,0
40,2020-05-20 12:05:00,347.5,347.5,347.5,347.5,1449,1346,3856,0
41,2020-05-20 12:08:00,349.4,349.4,349.4,349.4,1651,1351,3862,0
42,2020-05-20 12:13:00,349.25,349.25,349.25,349.25,1063,1351,3819,0
43,2020-05-20 12:17:00,349.1,349.1,349.1,349.1,952,1417,3830,0
44,2020-05-20 12:18:00,349.15,349.15,349.15,349.15,1541,1419,3829,0
45,2020-05-20 12:21:00,349.0,349.0,349.0,349.0,1069,2992,7658,0
46,2020-05-20 12:25:00,348.85,348.85,348.85,348.85,1548,3028,7650,0
47,2020-05-20 12:26:00,348.85,348.85,348.85,348.85,1549,1514,3824,0
48,2020-05-20 12:35:00,348.9,348.9,348.9,348.9,1092,1506,3856,0
49,2020-05-20 13:10:00,348.0,348.0,348.0,348.0,1373,1521,4591,0
50,2020-05-20 13:17:00,348.0,348.0,348.0,348.0,2021,1530,4618,0
51,2020-05-20 14:43:00,349.0,349.0,349.0,349.0,3482,1606,4455,0
52,2020-05-20 15:21:00,353.0,353.0,353.0,353.0,5274,2080,3682,0
53,2020-05-20 15:29:00,358.5,358.5,358.5,358.5,5118,2211,4076,0
