,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,18340.75,18340.75,18340.75,18340.75,0,1624,898,0
1,2020-05-20 09:08:00,18351.05,18351.05,18351.05,18351.05,0,865,404,0
2,2020-05-20 09:11:00,18351.05,18351.05,18351.05,18351.05,114,865,404,0
3,2020-05-20 09:14:00,18351.05,18351.05,18351.05,18351.05,114,865,404,0
4,2020-05-20 09:15:00,18351.1,18351.1,18351.1,18351.1,0,865,404,0
5,2020-05-20 09:16:00,18538.95,18541.5,18538.95,18541.5,924,7642,6615,0
6,2020-05-20 09:17:00,18599.0,18599.0,18599.0,18599.0,1106,3890,3477,0
7,2020-05-20 09:18:00,18546.85,18560.7,18546.85,18560.7,1088,8284,7520,0
8,2020-05-20 09:19:00,18577.1,18577.1,18577.1,18577.1,1230,4556,3863,0
9,2020-05-20 09:20:00,18593.0,18668.0,18593.0,18668.0,1421,9787,8036,0
10,2020-05-20 09:22:00,18698.55,18698.55,18698.55,18698.55,2022,5078,4128,0
11,2020-05-20 09:23:00,18642.0,18642.0,18642.0,18642.0,2314,5154,4370,0
12,2020-05-20 09:24:00,18660.85,18660.85,18660.85,18660.85,1743,5876,4668,0
13,2020-05-20 09:25:00,18686.75,18686.75,18686.75,18686.75,1623,5956,4729,0
14,2020-05-20 09:27:00,18748.5,18748.5,18748.5,18748.5,3408,6750,4921,0
15,2020-05-20 09:28:00,18673.5,18673.5,18673.5,18673.5,3818,6899,5425,0
16,2020-05-20 09:29:00,18650.0,18650.0,18650.0,18650.0,2107,6922,5480,0
17,2020-05-20 09:30:00,18675.0,18675.0,18675.0,18675.0,2570,6874,5104,0
18,2020-05-20 09:31:00,18640.5,18640.5,18640.5,18640.5,5260,7176,5632,0
19,2020-05-20 09:32:00,18641.7,18641.7,18627.95,18627.95,2957,15124,11552,0
20,2020-05-20 09:33:00,18628.75,18628.75,18628.75,18628.75,3197,7906,5931,0
21,2020-05-20 09:35:00,18627.9,18627.9,18627.9,18627.9,5847,7976,5950,0
22,2020-05-20 09:36:00,18616.75,18616.75,18612.0,18612.0,3242,25290,18513,0
23,2020-05-20 09:37:00,18610.5,18620.0,18610.5,18620.0,5941,17508,12585,0
24,2020-05-20 09:38:00,18649.5,18649.5,18630.0,18630.0,3458,17700,12509,0
25,2020-05-20 09:39:00,18649.0,18649.0,18649.0,18649.0,3476,8973,6263,0
26,2020-05-20 09:40:00,18670.0,18670.0,18670.0,18670.0,6079,9020,6188,0
27,2020-05-20 09:41:00,18725.0,18725.0,18725.0,18725.0,6444,9409,6151,0
28,2020-05-20 09:42:00,18725.0,18725.0,18725.0,18725.0,3847,9458,6213,0
29,2020-05-20 09:43:00,18711.0,18711.0,18711.0,18711.0,3667,9355,6469,0
30,2020-05-20 09:44:00,18706.1,18706.1,18706.1,18706.1,6276,9377,6513,0
31,2020-05-20 09:45:00,18713.0,18713.0,18713.0,18713.0,6650,9345,6502,0
32,2020-05-20 09:47:00,18715.0,18715.0,18715.0,18715.0,4096,9336,6662,0
33,2020-05-20 09:48:00,18713.4,18713.4,18713.4,18713.4,4024,10353,6937,0
34,2020-05-20 09:49:00,18732.65,18733.5,18732.0,18732.0,6915,31153,20899,0
35,2020-05-20 09:50:00,18725.35,18725.35,18708.7,18708.7,4237,20646,13707,0
36,2020-05-20 09:51:00,18714.0,18718.5,18714.0,18718.5,7026,20654,13821,0
37,2020-05-20 09:52:00,18710.0,18710.0,18710.0,18710.0,7052,10328,7044,0
38,2020-05-20 09:53:00,18682.5,18682.5,18657.05,18680.4,4916,42371,28927,0
39,2020-05-20 09:54:00,18680.4,18680.4,18680.4,18680.4,4916,10684,7266,0
40,2020-05-20 09:55:00,18714.0,18714.0,18714.0,18714.0,7619,10992,7323,0
41,2020-05-20 09:56:00,18704.15,18704.15,18704.15,18704.15,7727,10989,7383,0
42,2020-05-20 09:58:00,18714.0,18714.0,18714.0,18714.0,5178,11224,7396,0
43,2020-05-20 10:00:00,18708.05,18708.2,18708.05,18708.2,7851,22366,14904,0
44,2020-05-20 10:01:00,18711.6,18711.6,18711.6,18711.6,7916,11186,7427,0
45,2020-05-20 10:02:00,18723.1,18723.1,18723.1,18723.1,5313,11246,7332,0
46,2020-05-20 10:07:00,18711.0,18711.0,18711.0,18711.0,5907,11054,7470,0
47,2020-05-20 10:09:00,18723.9,18723.9,18723.9,18723.9,8663,11045,7515,0
48,2020-05-20 10:12:00,18692.05,18692.05,18680.0,18680.0,5866,21998,15154,0
49,2020-05-20 10:13:00,18682.65,18682.65,18682.65,18682.65,5939,10981,7567,0
50,2020-05-20 10:14:00,18695.0,18701.1,18695.0,18701.1,8726,22140,15003,0
51,2020-05-20 10:15:00,18703.1,18709.5,18699.0,18699.0,5988,34306,22711,0
52,2020-05-20 10:16:00,18699.05,18699.05,18699.05,18699.05,5994,11856,7721,0
53,2020-05-20 10:17:00,18690.0,18690.0,18676.6,18676.6,8879,23514,15548,0
54,2020-05-20 10:19:00,18634.5,18634.5,18634.5,18634.5,9180,11516,7967,0
55,2020-05-20 10:20:00,18621.0,18621.0,18606.9,18606.9,6156,22690,15982,0
56,2020-05-20 10:22:00,18599.0,18599.0,18595.2,18595.2,9702,22814,16040,0
57,2020-05-20 10:23:00,18600.0,18600.0,18600.0,18600.0,6266,22676,16036,0
58,2020-05-20 10:24:00,18618.95,18618.95,18618.95,18618.95,9802,23175,15922,0
59,2020-05-20 10:26:00,18550.45,18550.45,18550.45,18550.45,10122,10832,8326,0
60,2020-05-20 10:27:00,18559.55,18559.55,18559.55,18559.55,6660,11351,8426,0
61,2020-05-20 10:29:00,18558.0,18558.0,18558.0,18558.0,6501,11356,8420,0
62,2020-05-20 10:30:00,18561.0,18561.0,18561.0,18561.0,10008,11354,8420,0
63,2020-05-20 10:32:00,18499.95,18499.95,18499.95,18499.95,11678,10833,8457,0
64,2020-05-20 10:34:00,18509.0,18509.0,18509.0,18509.0,8276,10965,8323,0
65,2020-05-20 10:36:00,18492.6,18492.6,18492.6,18492.6,6925,10975,8385,0
66,2020-05-20 10:37:00,18525.05,18539.0,18525.05,18539.0,12031,22210,16247,0
67,2020-05-20 10:39:00,18529.55,18529.55,18529.55,18529.55,7062,22357,16396,0
68,2020-05-20 10:40:00,18594.05,18594.05,18577.6,18577.6,12615,22659,16150,0
69,2020-05-20 10:41:00,18564.85,18564.85,18564.85,18564.85,12691,11384,8061,0
70,2020-05-20 10:42:00,18576.0,18576.0,18576.0,18576.0,7207,11351,8073,0
71,2020-05-20 10:43:00,18567.0,18567.0,18567.0,18567.0,12646,22747,16163,0
72,2020-05-20 10:44:00,18527.8,18527.8,18527.8,18527.8,12850,11173,8171,0
73,2020-05-20 10:45:00,18543.85,18543.85,18543.85,18543.85,7462,11210,8147,0
74,2020-05-20 10:46:00,18543.85,18543.85,18543.85,18543.85,7264,11193,8151,0
75,2020-05-20 10:48:00,18550.0,18550.0,18550.0,18550.0,12684,11320,8175,0
76,2020-05-20 10:50:00,18560.35,18560.35,18560.35,18560.35,7630,33720,24433,0
77,2020-05-20 10:51:00,18550.05,18550.05,18550.05,18550.05,7652,11096,8121,0
78,2020-05-20 10:55:00,18580.1,18585.0,18580.1,18585.0,12835,22332,16280,0
79,2020-05-20 10:56:00,18583.9,18583.9,18583.9,18583.9,7762,22493,16226,0
80,2020-05-20 10:57:00,18583.9,18583.9,18583.9,18583.9,7762,11262,8191,0
81,2020-05-20 10:58:00,18571.2,18571.2,18571.2,18571.2,12936,11054,8246,0
82,2020-05-20 10:59:00,18555.5,18555.5,18541.5,18541.5,7869,22198,16509,0
83,2020-05-20 11:02:00,18538.5,18538.5,18538.5,18538.5,7946,11049,8224,0
84,2020-05-20 11:03:00,18538.5,18538.5,18538.5,18538.5,13013,11048,8257,0
85,2020-05-20 11:04:00,18530.75,18530.75,18530.75,18530.75,13012,10751,8206,0
86,2020-05-20 11:05:00,18500.5,18500.5,18500.5,18500.5,8296,10530,8296,0
87,2020-05-20 11:06:00,18472.5,18472.5,18472.5,18472.5,9074,9966,8278,0
88,2020-05-20 11:07:00,18469.45,18469.45,18469.45,18469.45,14092,9804,8409,0
89,2020-05-20 11:08:00,18464.5,18464.5,18464.5,18464.5,13469,9907,8400,0
90,2020-05-20 11:09:00,18463.5,18463.5,18463.5,18463.5,8659,10013,8250,0
91,2020-05-20 11:10:00,18490.0,18490.0,18474.05,18474.05,14123,20169,16454,0
92,2020-05-20 11:11:00,18480.0,18480.0,18480.0,18480.0,14131,10234,8267,0
93,2020-05-20 11:12:00,18466.4,18466.4,18466.4,18466.4,8884,10070,8237,0
94,2020-05-20 11:13:00,18471.05,18472.55,18471.05,18472.55,14130,30218,24802,0
95,2020-05-20 11:14:00,18474.0,18474.0,18474.0,18474.0,14133,10077,8277,0
96,2020-05-20 11:16:00,18530.6,18530.6,18530.6,18530.6,9364,10458,8174,0
97,2020-05-20 11:17:00,18512.95,18512.95,18512.95,18512.95,9448,10374,8155,0
98,2020-05-20 11:18:00,18523.6,18523.6,18523.6,18523.6,14510,21147,16494,0
99,2020-05-20 11:20:00,18522.95,18522.95,18522.95,18522.95,14665,10743,8234,0
100,2020-05-20 11:21:00,18550.0,18550.0,18550.0,18550.0,9502,21642,16407,0
101,2020-05-20 11:22:00,18550.5,18550.5,18550.5,18550.5,9774,10796,8112,0
102,2020-05-20 11:23:00,18550.5,18550.5,18550.5,18550.5,15050,10766,8102,0
103,2020-05-20 11:27:00,18525.0,18535.2,18525.0,18535.2,9864,20920,16405,0
104,2020-05-20 11:28:00,18553.55,18553.55,18553.55,18553.55,9876,10522,8440,0
105,2020-05-20 11:36:00,18550.0,18550.0,18550.0,18550.0,15445,10862,8694,0
106,2020-05-20 11:37:00,18554.95,18554.95,18554.95,18554.95,15448,10945,8693,0
107,2020-05-20 11:38:00,18564.0,18564.0,18564.0,18564.0,9934,10973,8652,0
108,2020-05-20 11:39:00,18556.5,18556.5,18556.5,18556.5,9934,10975,8654,0
109,2020-05-20 11:40:00,18556.5,18556.5,18556.5,18556.5,15514,10999,8663,0
110,2020-05-20 11:41:00,18556.5,18557.0,18556.5,18557.0,9938,22019,17325,0
111,2020-05-20 11:42:00,18559.5,18559.5,18554.95,18554.95,15535,22088,17324,0
112,2020-05-20 11:44:00,18557.0,18557.0,18557.0,18557.0,15570,10993,8661,0
113,2020-05-20 11:48:00,18553.6,18553.6,18553.6,18553.6,10143,10952,8582,0
114,2020-05-20 11:50:00,18556.5,18556.5,18556.5,18556.5,10167,10969,8566,0
115,2020-05-20 11:51:00,18570.0,18585.95,18570.0,18585.45,15662,33355,25439,0
116,2020-05-20 11:53:00,18573.0,18573.0,18573.0,18573.0,15848,11026,8637,0
117,2020-05-20 11:57:00,18571.0,18571.0,18571.0,18571.0,10710,11067,8388,0
118,2020-05-20 11:59:00,18553.15,18553.15,18553.15,18553.15,15772,21908,16814,0
119,2020-05-20 12:02:00,18573.0,18573.0,18566.15,18566.15,10815,21947,16695,0
120,2020-05-20 12:03:00,18556.5,18556.5,18556.5,18556.5,10932,11040,8401,0
121,2020-05-20 12:04:00,18558.0,18558.0,18558.0,18558.0,15901,11054,8381,0
122,2020-05-20 12:05:00,18570.1,18570.1,18570.1,18570.1,15912,11065,8352,0
123,2020-05-20 12:06:00,18568.45,18568.45,18568.45,18568.45,10986,11039,8355,0
124,2020-05-20 12:07:00,18564.0,18564.0,18564.0,18564.0,10980,11043,8325,0
125,2020-05-20 12:08:00,18570.0,18570.0,18570.0,18570.0,15957,11048,8330,0
126,2020-05-20 12:09:00,18570.0,18570.0,18570.0,18570.0,15983,11121,8328,0
127,2020-05-20 12:10:00,18569.4,18569.4,18569.4,18569.4,11040,10995,8334,0
128,2020-05-20 12:12:00,18561.0,18561.0,18561.0,18561.0,16047,21809,16690,0
129,2020-05-20 12:16:00,18564.0,18564.0,18564.0,18564.0,16089,10932,8334,0
130,2020-05-20 12:17:00,18556.1,18558.0,18556.1,18558.0,11114,21807,16776,0
131,2020-05-20 12:21:00,18556.15,18595.0,18556.15,18595.0,16302,22031,16598,0
132,2020-05-20 12:24:00,18583.5,18583.5,18583.5,18583.5,16979,11006,8328,0
