,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,649.1,649.1,649.1,649.1,0,723,467,0
1,2020-05-20 09:16:00,655.0,655.0,655.0,655.0,0,1717,2469,0
2,2020-05-20 09:26:00,654.05,654.05,654.05,654.05,116,2356,3386,0
3,2020-05-20 09:32:00,656.65,656.65,656.65,656.65,196,4772,4597,0
4,2020-05-20 09:39:00,655.0,655.0,655.0,655.0,104,5910,5761,0
5,2020-05-20 09:49:00,652.0,652.0,652.0,652.0,195,7187,6789,0
6,2020-05-20 09:55:00,660.55,660.55,660.55,660.55,605,7595,6012,0
7,2020-05-20 10:35:00,659.05,659.05,659.05,659.05,765,7873,6911,0
8,2020-05-20 11:17:00,656.95,656.95,656.95,656.95,428,11201,10004,0
9,2020-05-20 11:19:00,653.65,653.65,653.65,653.65,298,11352,10020,0
10,2020-05-20 11:20:00,656.7,656.7,656.7,656.7,777,22705,19999,0
11,2020-05-20 11:21:00,656.7,656.7,656.7,656.7,777,11365,10011,0
12,2020-05-20 11:22:00,656.7,656.7,656.7,656.7,298,11358,10011,0
13,2020-05-20 11:23:00,656.7,656.7,656.7,656.7,298,11357,9996,0
14,2020-05-20 11:25:00,656.7,656.7,656.7,656.7,777,11368,10011,0
15,2020-05-20 11:26:00,656.7,656.7,656.7,656.7,298,34132,30009,0
16,2020-05-20 11:27:00,656.7,656.7,656.7,656.7,298,11375,9998,0
17,2020-05-20 11:28:00,656.6,656.6,656.6,656.6,787,12385,10605,0
18,2020-05-20 11:38:00,656.6,656.6,656.6,656.6,787,12562,10603,0
19,2020-05-20 11:51:00,656.6,656.6,656.6,656.6,326,12720,10584,0
20,2020-05-20 12:31:00,657.0,657.0,657.0,657.0,387,12651,10536,0
21,2020-05-20 12:48:00,656.75,656.75,656.75,656.75,1012,11499,9983,0
22,2020-05-20 14:40:00,663.0,663.0,663.0,663.0,1702,12582,10347,0
23,2020-05-20 14:44:00,660.1,660.1,660.1,660.1,1125,12584,10409,0
24,2020-05-20 14:56:00,659.25,659.25,659.25,659.25,568,12594,10337,0
25,2020-05-20 15:13:00,661.8,661.8,661.8,661.8,1282,12683,5216,0
26,2020-05-20 15:26:00,657.25,657.25,657.25,657.25,2061,2087,3942,0
