,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:04:00,869.1,869.1,869.1,869.1,0,5479,580,0
1,2020-05-20 09:23:00,870.0,870.0,870.0,870.0,0,7832,1990,0
2,2020-05-20 09:28:00,870.0,870.0,870.0,870.0,76,9150,2234,0
3,2020-05-20 09:34:00,870.0,870.0,870.0,870.0,99,9075,2453,0
4,2020-05-20 10:14:00,874.95,874.95,874.95,874.95,16813,17701,6683,0
5,2020-05-20 10:24:00,874.95,874.95,874.95,874.95,16791,17703,6685,0
6,2020-05-20 10:25:00,878.0,878.0,878.0,878.0,385,17718,6673,0
7,2020-05-20 10:27:00,873.45,877.95,873.45,877.95,17425,37484,15087,0
8,2020-05-20 10:28:00,877.95,877.95,877.95,877.95,17431,19664,8088,0
9,2020-05-20 10:29:00,877.95,877.95,877.95,877.95,394,19683,8116,0
10,2020-05-20 10:30:00,877.7,877.7,877.7,877.7,414,19691,8109,0
11,2020-05-20 10:31:00,875.7,875.7,875.7,875.7,17463,19703,8129,0
12,2020-05-20 10:33:00,877.6,877.6,877.6,877.6,17455,19700,8120,0
13,2020-05-20 10:34:00,872.9,872.9,872.9,872.9,503,19699,8143,0
14,2020-05-20 10:36:00,875.0,875.0,875.0,875.0,548,19709,8147,0
15,2020-05-20 10:37:00,875.0,875.0,875.0,875.0,17579,19654,8111,0
16,2020-05-20 10:54:00,875.0,875.0,875.0,875.0,17569,24158,12261,0
17,2020-05-20 11:17:00,876.9,876.9,876.9,876.9,563,23131,12286,0
18,2020-05-20 11:54:00,878.75,878.75,878.75,878.75,588,28453,15879,0
19,2020-05-20 12:42:00,878.7,878.7,878.7,878.7,17667,25994,14967,0
20,2020-05-20 14:45:00,874.7,874.7,874.7,874.7,18516,28090,15902,0
21,2020-05-20 14:57:00,873.0,873.0,870.0,870.0,1212,54546,31206,0
22,2020-05-20 15:13:00,870.0,870.0,870.0,870.0,1724,27402,2847,0
23,2020-05-20 15:27:00,865.05,865.05,865.05,865.05,20770,11545,2389,0
