,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,126.1,126.1,126.1,126.1,0,6910,16739,0
1,2020-05-20 09:19:00,126.0,126.25,126.0,126.25,12461,36145,65632,0
2,2020-05-20 09:20:00,126.3,126.3,126.3,126.3,12611,18688,33063,0
3,2020-05-20 09:22:00,126.15,126.15,126.15,126.15,5016,17923,34910,0
4,2020-05-20 09:23:00,125.95,125.95,125.95,125.95,5611,18959,37545,0
5,2020-05-20 09:26:00,125.85,125.85,125.85,125.85,18213,26019,45192,0
6,2020-05-20 09:27:00,126.2,126.2,126.2,126.2,6737,81921,136500,0
7,2020-05-20 09:28:00,126.2,126.2,126.2,126.2,6837,27537,45324,0
8,2020-05-20 09:30:00,126.95,126.95,126.95,126.95,22362,26720,45324,0
9,2020-05-20 09:31:00,126.7,126.7,126.7,126.7,25865,25025,49034,0
10,2020-05-20 09:32:00,126.9,126.9,126.9,126.9,8829,51032,102873,0
11,2020-05-20 09:37:00,126.55,126.55,126.55,126.55,12411,23123,57848,0
12,2020-05-20 09:38:00,126.55,126.55,126.55,126.55,29708,22966,58238,0
13,2020-05-20 09:40:00,127.15,127.15,127.15,127.15,31106,23118,55492,0
14,2020-05-20 09:41:00,127.5,127.5,127.5,127.5,16718,23804,56774,0
15,2020-05-20 09:42:00,127.4,127.4,127.4,127.4,17022,24081,60386,0
16,2020-05-20 09:44:00,127.35,127.35,127.35,127.35,35302,24159,69613,0
17,2020-05-20 09:46:00,127.2,127.95,127.2,127.95,26802,48940,134294,0
18,2020-05-20 09:47:00,128.6,128.6,128.6,128.6,38542,27245,58482,0
19,2020-05-20 09:48:00,128.85,128.85,128.85,128.85,67143,27412,61622,0
20,2020-05-20 09:49:00,129.15,129.15,129.15,129.15,64202,34725,60370,0
21,2020-05-20 09:50:00,129.0,129.0,129.0,129.0,44170,33079,68551,0
22,2020-05-20 09:52:00,128.85,128.85,128.85,128.85,51525,34197,76933,0
23,2020-05-20 09:53:00,128.95,128.95,128.95,128.95,73334,34617,77579,0
24,2020-05-20 09:54:00,128.85,128.85,128.85,128.85,66539,36993,79820,0
25,2020-05-20 09:57:00,128.95,128.95,128.75,128.75,61650,72998,164173,0
26,2020-05-20 10:00:00,128.9,128.9,128.9,128.9,64984,38408,83738,0
27,2020-05-20 10:01:00,129.0,129.0,129.0,129.0,72639,38822,82856,0
28,2020-05-20 10:08:00,128.65,128.65,128.65,128.65,78166,37692,100006,0
29,2020-05-20 10:12:00,128.65,128.65,128.65,128.65,75942,37610,99682,0
30,2020-05-20 10:13:00,129.15,129.15,129.15,129.15,78615,39578,96303,0
31,2020-05-20 10:16:00,130.0,130.0,130.0,130.0,111008,43796,86099,0
32,2020-05-20 10:20:00,129.2,129.2,129.2,129.2,126016,42624,99112,0
33,2020-05-20 10:21:00,129.0,129.0,129.0,129.0,96311,41344,99810,0
34,2020-05-20 10:24:00,128.9,128.9,128.9,128.9,84941,41554,101342,0
35,2020-05-20 10:26:00,128.85,128.85,128.85,128.85,116073,42822,105672,0
36,2020-05-20 10:27:00,128.8,128.8,128.8,128.8,129281,40893,105095,0
37,2020-05-20 10:30:00,128.5,128.5,128.5,128.5,102874,40376,107509,0
38,2020-05-20 10:31:00,128.2,128.2,128.2,128.2,121082,79425,217270,0
39,2020-05-20 10:32:00,128.4,128.4,128.4,128.4,121247,40177,109173,0
40,2020-05-20 10:33:00,128.55,128.55,128.55,128.55,104794,40219,106985,0
41,2020-05-20 10:40:00,128.75,128.75,128.75,128.75,106842,43492,110118,0
42,2020-05-20 10:41:00,128.65,128.65,128.65,128.65,123377,43221,111833,0
43,2020-05-20 10:53:00,128.8,128.8,128.8,128.8,124182,45346,113389,0
44,2020-05-20 10:54:00,128.7,128.7,128.7,128.7,107847,45077,113589,0
45,2020-05-20 11:21:00,128.5,128.5,128.5,128.5,119396,45310,122303,0
46,2020-05-20 11:22:00,128.5,128.5,128.5,128.5,135891,45189,121523,0
47,2020-05-20 11:24:00,128.5,128.5,128.5,128.5,126017,45502,121533,0
48,2020-05-20 11:32:00,128.35,128.35,128.35,128.35,120303,90599,244967,0
49,2020-05-20 11:34:00,128.25,128.25,128.25,128.25,120861,44373,122504,0
50,2020-05-20 11:42:00,128.35,128.35,128.35,128.35,127574,44796,126572,0
51,2020-05-20 11:43:00,128.35,128.35,128.35,128.35,127119,44797,127030,0
52,2020-05-20 11:53:00,127.75,127.75,127.75,127.75,124280,41204,129965,0
53,2020-05-20 11:54:00,127.75,127.75,127.75,127.75,125183,42213,130275,0
54,2020-05-20 11:56:00,127.6,127.7,127.6,127.7,128757,128924,387077,0
55,2020-05-20 11:58:00,127.6,127.6,127.6,127.6,129514,42991,128135,0
56,2020-05-20 12:02:00,128.15,128.15,128.15,128.15,127863,177210,501810,0
57,2020-05-20 12:04:00,127.95,127.95,127.95,127.95,127983,44465,125523,0
58,2020-05-20 12:07:00,128.05,128.05,128.05,128.05,129914,43947,125638,0
59,2020-05-20 12:33:00,127.9,127.9,127.9,127.9,134683,44400,123666,0
60,2020-05-20 12:34:00,127.95,128.0,127.95,128.0,128143,133176,371431,0
61,2020-05-20 12:35:00,128.0,128.0,128.0,128.0,135028,88128,247200,0
62,2020-05-20 12:37:00,128.0,128.0,128.0,128.0,136279,45141,122326,0
63,2020-05-20 12:38:00,128.0,128.0,128.0,128.0,129547,45074,122213,0
64,2020-05-20 12:45:00,127.85,127.85,127.85,127.85,129661,43472,123089,0
65,2020-05-20 12:50:00,128.0,128.0,128.0,128.0,137378,44055,123338,0
66,2020-05-20 12:57:00,127.95,127.95,127.95,127.95,130167,88602,247244,0
67,2020-05-20 12:58:00,128.0,128.0,128.0,128.0,130268,44494,123319,0
68,2020-05-20 13:01:00,128.0,128.0,128.0,128.0,137912,44214,122292,0
69,2020-05-20 13:22:00,128.0,128.0,128.0,128.0,140613,44487,121310,0
70,2020-05-20 13:24:00,128.0,128.0,128.0,128.0,133079,44387,121422,0
71,2020-05-20 13:32:00,127.85,127.85,127.85,127.85,132341,45016,122016,0
72,2020-05-20 13:37:00,128.0,128.0,128.0,128.0,140574,46680,120846,0
73,2020-05-20 13:38:00,128.0,128.0,128.0,128.0,141312,46730,120846,0
74,2020-05-20 13:53:00,128.5,128.5,128.5,128.5,139822,46406,112534,0
75,2020-05-20 13:54:00,128.5,128.5,128.5,128.5,139395,46205,112534,0
76,2020-05-20 13:55:00,128.55,128.6,128.55,128.6,141670,92326,224492,0
77,2020-05-20 14:00:00,128.65,128.65,128.65,128.65,143003,47008,120753,0
78,2020-05-20 14:02:00,128.6,128.6,128.6,128.6,140906,47512,120423,0
79,2020-05-20 14:04:00,129.25,129.25,129.25,129.25,149460,48551,115452,0
80,2020-05-20 14:07:00,129.4,129.4,129.35,129.35,146627,146073,341576,0
81,2020-05-20 14:18:00,129.15,129.5,129.15,129.4,158613,158032,339595,0
82,2020-05-20 14:19:00,129.45,129.8,129.45,129.8,154650,214309,446737,0
83,2020-05-20 14:20:00,129.65,130.1,129.65,130.1,164282,105923,219300,0
84,2020-05-20 14:21:00,129.95,129.95,129.75,129.75,156479,104565,223162,0
85,2020-05-20 14:22:00,130.1,130.1,130.1,130.1,170616,107052,220483,0
86,2020-05-20 14:23:00,130.3,130.3,130.3,130.3,172939,54193,112418,0
87,2020-05-20 14:24:00,130.3,130.3,130.3,130.3,163174,54713,110418,0
88,2020-05-20 14:29:00,129.7,129.7,129.55,129.55,179889,103796,233196,0
89,2020-05-20 14:33:00,129.55,129.55,129.55,129.55,182147,49215,120853,0
90,2020-05-20 14:34:00,129.5,129.5,129.5,129.5,163764,97708,244566,0
91,2020-05-20 14:36:00,129.4,129.4,129.4,129.4,185143,95851,242501,0
92,2020-05-20 14:38:00,129.3,129.3,129.3,129.3,185288,47217,116957,0
93,2020-05-20 14:40:00,128.95,128.95,128.95,128.95,170896,45727,117459,0
94,2020-05-20 14:43:00,128.9,128.9,128.9,128.9,174014,46317,115578,0
95,2020-05-20 14:45:00,129.0,129.25,129.0,129.25,187535,141632,348347,0
96,2020-05-20 14:48:00,129.5,129.5,129.5,129.5,193782,48345,116089,0
97,2020-05-20 14:54:00,129.0,129.0,129.0,129.0,184418,41341,121216,0
98,2020-05-20 14:57:00,129.2,129.2,129.2,129.2,180436,38718,115368,0
99,2020-05-20 15:01:00,129.25,129.25,129.25,129.25,192258,42771,116141,0
100,2020-05-20 15:06:00,129.0,129.0,129.0,129.0,198573,43216,114780,0
101,2020-05-20 15:07:00,129.0,129.0,129.0,129.0,186856,43691,114974,0
102,2020-05-20 15:10:00,129.1,129.1,129.1,129.1,183696,47085,113554,0
103,2020-05-20 15:11:00,129.2,129.2,129.2,129.2,200350,47737,110284,0
104,2020-05-20 15:14:00,129.1,129.1,129.1,129.1,206622,50122,109450,0
105,2020-05-20 15:16:00,128.9,128.9,128.9,128.9,194839,48637,109161,0
106,2020-05-20 15:17:00,129.15,129.15,129.15,129.15,190133,48971,109707,0
107,2020-05-20 15:19:00,129.05,129.05,129.05,129.05,205371,47994,110041,0
108,2020-05-20 15:26:00,129.0,129.0,129.0,129.0,226865,42360,104851,0
109,2020-05-20 15:28:00,128.8,128.8,128.8,128.8,200590,74604,209602,0
110,2020-05-20 15:29:00,128.8,129.0,128.8,129.0,235048,147779,414412,0
