,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,414.4,414.4,414.4,414.4,0,38571,113664,0
1,2020-05-20 09:08:00,416.5,416.5,416.5,416.5,0,11496,36855,0
2,2020-05-20 09:11:00,416.5,416.5,416.5,416.5,1832,11496,36855,0
3,2020-05-20 09:14:00,416.5,416.5,416.5,416.5,1832,11496,36855,0
4,2020-05-20 09:15:00,416.65,416.65,416.65,416.65,0,11496,36855,0
5,2020-05-20 09:16:00,418.8,418.8,418.8,418.8,18895,23416,61642,0
6,2020-05-20 09:17:00,419.0,419.0,419.0,419.0,26085,23612,62672,0
7,2020-05-20 09:20:00,417.3,417.3,417.3,417.3,28945,25999,79750,0
8,2020-05-20 09:21:00,417.85,418.0,417.85,418.0,23891,50443,162988,0
9,2020-05-20 09:22:00,419.5,419.5,419.5,419.5,26136,26227,84159,0
10,2020-05-20 09:23:00,418.55,418.55,418.55,418.55,35806,25274,86998,0
11,2020-05-20 09:25:00,418.0,418.0,418.0,418.0,39090,25639,95150,0
12,2020-05-20 09:26:00,417.95,418.45,417.95,418.45,27758,51819,193569,0
13,2020-05-20 09:27:00,418.3,418.3,418.3,418.3,29818,26748,98191,0
14,2020-05-20 09:28:00,418.65,418.65,418.65,418.65,39860,54475,199387,0
15,2020-05-20 09:29:00,418.1,418.1,418.1,418.1,42190,29183,102658,0
16,2020-05-20 09:30:00,417.65,417.65,417.65,417.65,33392,28316,103561,0
17,2020-05-20 09:31:00,416.55,416.6,416.55,416.6,44084,60722,210903,0
18,2020-05-20 09:32:00,416.65,416.65,416.65,416.65,45511,30744,105230,0
19,2020-05-20 09:33:00,416.9,416.9,416.9,416.9,35475,31880,106200,0
20,2020-05-20 09:34:00,417.45,417.45,417.4,417.4,48844,66742,215580,0
21,2020-05-20 09:37:00,416.45,416.45,416.45,416.45,53277,34631,110083,0
22,2020-05-20 09:39:00,416.05,417.25,416.05,417.25,40779,75081,224391,0
23,2020-05-20 09:40:00,417.25,417.7,417.25,417.7,53841,80947,225439,0
24,2020-05-20 09:41:00,417.35,417.35,417.35,417.35,55248,40464,111937,0
25,2020-05-20 09:42:00,417.5,417.5,417.5,417.5,42755,40578,112448,0
26,2020-05-20 09:43:00,418.15,418.15,418.15,418.15,46469,43144,111056,0
27,2020-05-20 09:45:00,418.45,419.0,418.45,419.0,57238,89095,221917,0
28,2020-05-20 09:46:00,418.95,418.95,418.1,418.1,59883,117743,340111,0
29,2020-05-20 09:47:00,418.25,418.25,418.25,418.25,62059,38160,123408,0
30,2020-05-20 09:48:00,420.0,420.0,420.0,420.0,67252,42069,112757,0
31,2020-05-20 09:49:00,421.65,421.65,421.65,421.65,76833,45479,108867,0
32,2020-05-20 09:50:00,422.25,422.55,422.05,422.55,75192,128928,329849,0
33,2020-05-20 09:51:00,423.0,423.0,423.0,423.0,77093,46038,108919,0
34,2020-05-20 09:52:00,424.15,424.15,424.15,424.15,92292,46360,105563,0
