,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,369.95,369.95,369.95,369.95,0,9238,38982,0
1,2020-05-20 09:08:00,369.7,369.7,369.7,369.7,0,8105,37638,0
2,2020-05-20 09:11:00,369.7,369.7,369.7,369.7,2176,8105,37638,0
3,2020-05-20 09:14:00,369.7,369.7,369.7,369.7,2176,8105,37638,0
4,2020-05-20 09:15:00,369.5,373.95,369.5,373.95,45351,99602,147707,0
5,2020-05-20 09:18:00,375.65,375.65,375.65,375.65,119767,121410,151577,0
6,2020-05-20 09:21:00,379.35,379.35,379.35,379.35,182320,162293,155882,0
7,2020-05-20 09:22:00,379.5,379.5,379.5,379.5,110354,170267,158782,0
8,2020-05-20 09:23:00,380.6,381.3,380.6,381.3,161324,369761,326738,0
9,2020-05-20 09:24:00,380.75,380.75,380.75,380.75,173115,189034,174602,0
10,2020-05-20 09:25:00,377.9,378.15,377.9,378.15,151249,357638,387609,0
11,2020-05-20 09:26:00,376.85,376.85,376.85,376.85,180426,175085,206490,0
12,2020-05-20 09:27:00,377.65,377.65,377.65,377.65,237341,181914,203005,0
13,2020-05-20 09:28:00,378.6,378.6,378.6,378.6,227982,207662,221418,0
14,2020-05-20 09:29:00,378.35,378.35,378.35,378.35,179350,208384,222008,0
15,2020-05-20 09:30:00,378.2,378.3,378.2,378.3,251716,470549,496925,0
16,2020-05-20 09:31:00,378.45,378.45,378.45,378.45,252319,264934,273144,0
17,2020-05-20 09:32:00,378.8,378.8,378.8,378.8,197137,271646,268174,0
18,2020-05-20 09:33:00,381.2,381.2,381.2,381.2,219852,298464,257994,0
19,2020-05-20 09:34:00,381.45,382.6,381.45,382.6,295764,641838,531963,0
20,2020-05-20 09:36:00,381.4,381.4,381.4,381.4,351059,309563,298320,0
21,2020-05-20 09:37:00,381.5,381.5,381.5,381.5,290394,313877,303023,0
22,2020-05-20 09:38:00,381.6,381.6,381.6,381.6,243291,325555,313260,0
23,2020-05-20 09:39:00,383.3,383.3,383.3,383.3,332252,348485,291823,0
24,2020-05-20 09:40:00,381.6,382.35,381.6,382.35,323009,652447,635260,0
25,2020-05-20 09:41:00,381.8,381.8,381.8,381.8,326166,329785,328326,0
26,2020-05-20 09:42:00,382.25,382.5,382.25,382.5,352000,692417,655120,0
27,2020-05-20 09:43:00,382.5,382.5,382.5,382.5,352482,352079,327511,0
28,2020-05-20 09:44:00,383.0,383.0,383.0,383.0,347897,358477,319867,0
29,2020-05-20 09:45:00,384.2,384.35,384.2,384.35,392204,753161,621554,0
30,2020-05-20 09:46:00,383.9,383.9,383.9,383.9,404714,374446,314717,0
31,2020-05-20 09:47:00,384.8,384.8,384.8,384.8,408628,290230,278102,0
32,2020-05-20 09:48:00,384.15,384.15,384.0,384.0,434197,571117,592277,0
33,2020-05-20 09:49:00,384.35,384.35,384.35,384.35,447562,293079,300753,0
34,2020-05-20 09:50:00,384.0,384.0,384.0,384.0,435707,291065,307372,0
35,2020-05-20 09:51:00,383.1,383.1,383.1,383.1,442960,284637,316907,0
36,2020-05-20 09:52:00,382.8,382.8,382.8,382.8,470164,286120,321337,0
37,2020-05-20 09:53:00,383.85,383.85,383.85,383.85,481135,285662,322367,0
38,2020-05-20 09:54:00,384.15,384.15,384.15,384.15,466057,290843,309380,0
39,2020-05-20 09:56:00,383.75,383.75,383.75,383.75,491517,292058,321068,0
40,2020-05-20 09:57:00,383.55,383.9,383.55,383.9,489683,589692,656773,0
41,2020-05-20 09:58:00,383.4,383.4,383.4,383.4,491168,294083,331761,0
42,2020-05-20 10:00:00,383.4,383.4,383.4,383.4,504375,296287,335260,0
43,2020-05-20 10:02:00,385.8,385.8,385.8,385.8,524261,298752,317843,0
44,2020-05-20 10:03:00,385.3,385.3,385.3,385.3,549761,301790,305734,0
45,2020-05-20 10:05:00,385.8,385.8,385.8,385.8,554669,307107,307724,0
46,2020-05-20 10:10:00,382.45,382.45,382.45,382.45,625047,282680,366294,0
47,2020-05-20 10:11:00,381.25,381.25,381.25,381.25,642278,279509,380446,0
48,2020-05-20 10:13:00,381.5,381.5,381.05,381.05,609520,546916,754451,0
49,2020-05-20 10:14:00,381.0,381.0,381.0,381.0,619454,270604,383473,0
50,2020-05-20 10:17:00,380.8,380.8,380.8,380.8,664196,563007,770859,0
51,2020-05-20 10:19:00,381.7,381.7,381.7,381.7,677601,291263,378384,0
52,2020-05-20 10:20:00,380.5,380.5,380.5,380.5,653334,283476,386896,0
53,2020-05-20 10:22:00,381.1,381.1,381.1,381.1,653556,287123,385614,0
54,2020-05-20 10:23:00,381.05,381.05,380.95,381.0,682025,870875,1179081,0
55,2020-05-20 10:25:00,377.4,377.4,377.4,377.4,757413,242778,422720,0
56,2020-05-20 10:26:00,378.35,378.35,378.0,378.0,689032,504872,842370,0
57,2020-05-20 10:27:00,377.85,377.85,377.85,377.85,694328,252241,426309,0
58,2020-05-20 10:28:00,378.0,378.0,377.85,377.85,765255,769031,1262656,0
59,2020-05-20 10:29:00,377.6,377.6,377.6,377.6,780364,254290,423291,0
60,2020-05-20 10:30:00,377.95,377.95,377.5,377.5,708577,762690,1275062,0
61,2020-05-20 10:31:00,377.5,377.75,377.5,377.75,784813,505869,848738,0
62,2020-05-20 10:32:00,377.8,377.8,377.8,377.8,709108,507605,843757,0
63,2020-05-20 10:33:00,377.6,377.6,377.6,377.6,723121,251274,422424,0
64,2020-05-20 10:34:00,378.15,378.4,378.15,378.4,790382,514566,832123,0
65,2020-05-20 10:35:00,378.0,378.45,378.0,378.45,740302,766034,1241674,0
66,2020-05-20 10:36:00,378.5,378.5,378.5,378.5,742125,256202,413988,0
67,2020-05-20 10:37:00,379.0,379.35,379.0,379.35,802268,533498,803631,0
68,2020-05-20 10:40:00,379.5,379.8,379.5,379.8,757891,540835,788052,0
69,2020-05-20 10:41:00,379.75,379.75,379.5,379.5,812392,811639,1183703,0
70,2020-05-20 10:42:00,379.75,379.75,379.6,379.6,760524,811966,1186010,0
71,2020-05-20 10:43:00,379.5,379.5,379.15,379.15,821652,539370,797704,0
72,2020-05-20 10:44:00,378.05,378.05,378.05,378.05,771980,520901,828631,0
73,2020-05-20 10:45:00,378.55,378.55,378.0,378.0,834886,517207,834085,0
74,2020-05-20 10:46:00,377.9,377.9,377.85,377.85,774353,515267,840123,0
75,2020-05-20 10:47:00,377.4,377.4,377.4,377.4,788331,253412,424254,0
76,2020-05-20 10:48:00,377.7,377.7,377.7,377.7,851240,249533,419746,0
77,2020-05-20 10:49:00,377.75,377.8,377.75,377.8,782632,505399,843218,0
78,2020-05-20 10:50:00,377.9,377.9,377.9,377.9,856198,511590,849386,0
79,2020-05-20 10:51:00,377.9,377.9,377.9,377.9,856594,255601,424479,0
80,2020-05-20 10:52:00,378.0,378.0,378.0,378.0,789210,257592,420027,0
81,2020-05-20 10:54:00,378.0,378.0,378.0,378.0,796929,262027,421879,0
82,2020-05-20 10:55:00,378.0,378.1,378.0,378.1,857156,525780,843955,0
83,2020-05-20 10:56:00,378.05,378.1,378.05,378.1,799471,793929,1251511,0
84,2020-05-20 10:57:00,378.05,378.05,377.95,378.0,860641,792339,1261896,0
85,2020-05-20 10:58:00,378.0,378.2,378.0,378.1,803794,791189,1257160,0
86,2020-05-20 10:59:00,378.0,378.0,377.7,377.7,864527,1311243,2107022,0
87,2020-05-20 11:00:00,378.0,378.0,378.0,378.0,864821,263152,424086,0
88,2020-05-20 11:01:00,378.0,378.0,377.9,377.9,809635,523840,845549,0
89,2020-05-20 11:02:00,377.9,377.9,377.9,377.9,809789,261436,422193,0
90,2020-05-20 11:03:00,377.85,377.85,377.85,377.85,870219,519591,854204,0
91,2020-05-20 11:04:00,378.0,378.0,378.0,378.0,882513,261142,419988,0
92,2020-05-20 11:05:00,377.15,377.15,377.15,377.15,835956,250141,430120,0
93,2020-05-20 11:06:00,377.05,377.05,377.05,377.05,827758,249710,431856,0
94,2020-05-20 11:07:00,377.05,377.75,377.05,377.75,890643,500201,851521,0
95,2020-05-20 11:10:00,378.0,378.0,378.0,378.0,898578,256978,417922,0
96,2020-05-20 11:11:00,377.8,377.8,377.8,377.8,832894,508759,856140,0
97,2020-05-20 11:12:00,377.45,377.45,377.45,377.45,833310,249971,431245,0
98,2020-05-20 11:14:00,377.9,377.9,377.9,377.9,904767,255750,425410,0
99,2020-05-20 11:15:00,377.85,378.0,377.85,378.0,835671,765464,1286103,0
100,2020-05-20 11:16:00,378.0,378.0,378.0,378.0,840809,257870,419009,0
101,2020-05-20 11:17:00,378.0,378.0,378.0,378.0,904870,515306,844438,0
102,2020-05-20 11:18:00,377.95,377.95,377.95,377.95,909232,260765,422134,0
103,2020-05-20 11:19:00,378.2,378.2,378.2,378.2,848068,261647,420458,0
104,2020-05-20 11:20:00,378.0,378.0,378.0,378.0,850453,256473,414997,0
105,2020-05-20 11:21:00,378.05,378.05,378.05,378.05,913125,255731,415128,0
106,2020-05-20 11:23:00,378.0,378.0,378.0,378.0,919134,257310,414198,0
107,2020-05-20 11:25:00,377.8,378.0,377.8,378.0,852887,513976,832372,0
108,2020-05-20 11:26:00,377.8,377.8,377.8,377.8,853216,258706,416019,0
109,2020-05-20 11:28:00,378.35,378.35,378.35,378.35,938091,266874,406030,0
110,2020-05-20 11:30:00,377.85,377.85,377.85,377.85,948245,258854,416135,0
111,2020-05-20 11:31:00,378.3,378.3,378.3,378.3,864930,259204,413752,0
112,2020-05-20 11:32:00,377.75,377.75,377.45,377.45,948413,517087,846166,0
113,2020-05-20 11:34:00,378.0,378.0,378.0,378.0,950037,257457,418559,0
114,2020-05-20 11:35:00,378.2,378.2,378.2,378.2,868537,260569,416799,0
115,2020-05-20 11:36:00,378.0,378.0,378.0,378.0,869731,258062,422974,0
116,2020-05-20 11:38:00,378.0,378.0,378.0,378.0,955887,259996,417315,0
117,2020-05-20 11:39:00,377.9,378.0,377.9,378.0,871950,518005,837621,0
118,2020-05-20 11:40:00,378.0,378.0,378.0,378.0,871950,259946,419930,0
119,2020-05-20 11:41:00,378.4,378.4,378.0,378.0,960531,520096,821584,0
120,2020-05-20 11:43:00,377.7,377.75,377.7,377.75,873906,518013,838299,0
121,2020-05-20 11:44:00,377.15,377.15,377.15,377.15,876655,255690,424508,0
122,2020-05-20 11:45:00,377.5,377.65,377.5,377.65,961486,515377,841504,0
123,2020-05-20 11:46:00,377.75,377.75,377.75,377.75,961520,256241,421233,0
124,2020-05-20 11:47:00,377.6,377.6,377.6,377.6,877606,256282,426458,0
125,2020-05-20 11:48:00,376.6,377.25,376.6,377.25,979650,498359,854687,0
126,2020-05-20 11:49:00,377.3,377.8,377.1,377.8,880216,755377,1265034,0
127,2020-05-20 11:51:00,378.0,378.0,377.95,377.95,986726,510934,824265,0
128,2020-05-20 11:53:00,377.75,377.75,377.75,377.75,988650,256391,413680,0
129,2020-05-20 11:54:00,377.7,377.7,377.7,377.7,883935,509365,826576,0
130,2020-05-20 11:55:00,377.6,377.6,377.5,377.5,990084,512350,834315,0
131,2020-05-20 11:59:00,377.8,377.8,377.8,377.8,992147,259443,417211,0
132,2020-05-20 12:00:00,378.0,378.0,378.0,378.0,891483,259481,411330,0
133,2020-05-20 12:01:00,377.8,377.8,377.8,377.8,889592,259140,412747,0
134,2020-05-20 12:03:00,377.55,377.55,377.55,377.55,993848,258541,414910,0
135,2020-05-20 12:04:00,378.0,378.0,378.0,378.0,996910,258881,409203,0
136,2020-05-20 12:05:00,378.0,378.0,377.9,377.9,890045,520507,815006,0
137,2020-05-20 12:06:00,377.85,378.0,377.85,378.0,998386,521791,817419,0
138,2020-05-20 12:07:00,377.6,377.6,377.55,377.55,891897,518398,824081,0
