,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,8944.2,8944.2,8944.2,8944.2,0,299,292,0
1,2020-05-20 09:16:00,9000.0,9100.0,9000.0,9100.0,23,1357,727,0
2,2020-05-20 09:20:00,9149.95,9149.95,9149.95,9149.95,24,727,408,0
3,2020-05-20 09:21:00,9138.8,9138.8,9138.8,9138.8,52,788,405,0
4,2020-05-20 09:22:00,9138.8,9138.8,9138.8,9138.8,108,792,321,0
5,2020-05-20 09:25:00,9001.05,9001.05,9001.05,9001.05,138,798,240,0
6,2020-05-20 09:29:00,9034.3,9100.0,9034.3,9100.0,62,1629,473,0
7,2020-05-20 09:31:00,9120.0,9120.0,9120.0,9120.0,105,817,227,0
8,2020-05-20 09:32:00,9120.0,9120.0,9120.0,9120.0,181,818,229,0
9,2020-05-20 09:37:00,9150.0,9150.0,9150.0,9150.0,196,942,262,0
10,2020-05-20 09:45:00,9200.0,9200.0,9200.0,9200.0,146,978,263,0
11,2020-05-20 09:46:00,9249.95,9249.95,9249.95,9249.95,134,976,260,0
12,2020-05-20 09:51:00,9299.0,9299.0,9299.0,9299.0,248,973,274,0
13,2020-05-20 09:52:00,9299.0,9299.0,9299.0,9299.0,146,1946,558,0
14,2020-05-20 09:54:00,9263.95,9263.95,9263.95,9263.95,147,975,292,0
15,2020-05-20 09:56:00,9248.0,9248.0,9248.0,9248.0,250,1112,363,0
16,2020-05-20 09:57:00,9249.75,9249.75,9249.75,9249.75,260,1112,366,0
17,2020-05-20 10:00:00,9100.0,9100.0,9100.0,9100.0,249,1138,362,0
18,2020-05-20 10:01:00,9200.0,9200.0,9200.0,9200.0,289,1137,318,0
19,2020-05-20 10:02:00,9150.4,9150.4,9150.4,9150.4,301,1140,319,0
20,2020-05-20 10:03:00,9160.05,9160.05,9160.05,9160.05,278,1049,319,0
21,2020-05-20 10:05:00,9160.05,9160.05,9160.05,9160.05,279,1055,327,0
22,2020-05-20 10:06:00,9175.05,9175.05,9175.05,9175.05,313,1066,320,0
23,2020-05-20 10:09:00,9200.0,9200.0,9200.0,9200.0,332,1069,320,0
24,2020-05-20 10:12:00,9200.0,9200.0,9200.0,9200.0,298,1075,323,0
25,2020-05-20 10:14:00,9215.0,9215.0,9215.0,9215.0,287,1079,327,0
26,2020-05-20 10:16:00,9152.1,9152.1,9152.1,9152.1,338,2176,817,0
27,2020-05-20 10:21:00,9152.1,9152.1,9152.1,9152.1,338,1087,410,0
28,2020-05-20 10:24:00,9101.0,9101.0,9101.0,9101.0,333,1081,409,0
29,2020-05-20 10:25:00,9150.0,9150.0,9150.0,9150.0,339,1081,408,0
30,2020-05-20 10:26:00,9136.05,9136.05,9115.0,9119.95,354,4340,1660,0
31,2020-05-20 10:27:00,9130.0,9130.0,9130.0,9130.0,362,1091,413,0
32,2020-05-20 10:28:00,9130.0,9130.0,9130.0,9130.0,348,1083,412,0
33,2020-05-20 10:30:00,9130.0,9130.0,9130.0,9130.0,354,2164,821,0
34,2020-05-20 10:32:00,9106.2,9106.2,9106.2,9106.2,349,3250,1235,0
35,2020-05-20 10:33:00,9106.2,9106.2,9106.2,9106.2,354,2164,824,0
36,2020-05-20 10:42:00,9150.0,9150.0,9150.0,9150.0,358,1086,415,0
37,2020-05-20 10:45:00,9120.0,9120.0,9120.0,9120.0,356,2175,836,0
38,2020-05-20 11:00:00,9030.0,9030.0,9030.0,9030.0,429,1079,420,0
39,2020-05-20 11:01:00,9135.15,9135.15,9135.15,9135.15,440,1069,427,0
40,2020-05-20 11:02:00,9135.15,9135.15,9135.15,9135.15,356,3216,1274,0
41,2020-05-20 11:05:00,9135.15,9135.15,9135.15,9135.15,356,1080,419,0
42,2020-05-20 11:06:00,9135.15,9135.15,9135.15,9135.15,440,1085,420,0
43,2020-05-20 11:07:00,9135.15,9135.15,9060.05,9060.05,377,2205,840,0
44,2020-05-20 11:09:00,9060.05,9060.05,9060.05,9060.05,377,1119,414,0
45,2020-05-20 11:10:00,9060.05,9060.05,9060.05,9060.05,440,1118,413,0
46,2020-05-20 11:11:00,9060.05,9060.05,9060.05,9060.05,377,4473,1655,0
47,2020-05-20 11:13:00,9075.0,9075.0,9075.0,9075.0,450,2234,828,0
48,2020-05-20 11:14:00,9075.0,9075.0,9075.0,9075.0,377,2235,828,0
49,2020-05-20 11:15:00,9075.0,9075.0,9075.0,9075.0,377,1118,414,0
50,2020-05-20 11:16:00,9075.0,9075.0,9075.0,9075.0,450,1168,414,0
51,2020-05-20 11:20:00,9100.05,9100.05,9100.05,9100.05,451,1166,418,0
52,2020-05-20 11:23:00,9100.05,9100.05,9100.05,9100.05,378,1167,420,0
53,2020-05-20 11:42:00,9150.0,9150.0,9150.0,9150.0,413,1159,428,0
54,2020-05-20 11:46:00,9150.0,9150.0,9150.0,9150.0,509,1137,431,0
55,2020-05-20 11:47:00,9150.0,9150.0,9150.0,9150.0,474,1136,432,0
56,2020-05-20 11:48:00,9150.0,9150.0,9150.0,9150.0,378,1137,432,0
57,2020-05-20 11:49:00,9150.0,9150.0,9150.0,9150.0,413,1137,431,0
58,2020-05-20 11:50:00,9150.0,9150.0,9150.0,9150.0,509,1136,430,0
59,2020-05-20 11:52:00,9150.0,9150.0,9150.0,9150.0,378,3411,1293,0
60,2020-05-20 11:53:00,9150.0,9150.0,9150.0,9150.0,509,2273,862,0
61,2020-05-20 11:54:00,9150.0,9150.0,9150.0,9150.0,509,1138,433,0
62,2020-05-20 11:55:00,9150.0,9150.0,9150.0,9150.0,378,1138,431,0
63,2020-05-20 11:56:00,9150.0,9150.0,9150.0,9150.0,378,1138,431,0
64,2020-05-20 11:58:00,9150.0,9150.0,9150.0,9150.0,509,2278,860,0
65,2020-05-20 11:59:00,9150.0,9150.0,9150.0,9150.0,378,4558,1724,0
66,2020-05-20 12:00:00,9150.0,9150.0,9150.0,9150.0,509,2278,862,0
67,2020-05-20 12:40:00,9198.95,9198.95,9198.95,9198.95,541,1151,416,0
68,2020-05-20 12:43:00,9198.95,9198.95,9198.95,9198.95,411,1149,414,0
69,2020-05-20 12:50:00,9230.0,9230.0,9230.0,9230.0,395,1153,409,0
70,2020-05-20 13:22:00,9160.0,9160.0,9160.0,9160.0,533,1152,410,0
71,2020-05-20 13:32:00,9150.0,9150.0,9150.0,9150.0,578,1148,415,0
72,2020-05-20 13:42:00,9150.0,9150.0,9150.0,9150.0,442,1147,443,0
73,2020-05-20 13:44:00,9150.0,9150.0,9150.0,9150.0,397,1152,444,0
74,2020-05-20 13:45:00,9150.0,9150.0,9150.0,9150.0,533,1152,458,0
75,2020-05-20 13:50:00,9150.0,9150.0,9150.0,9150.0,578,1153,460,0
76,2020-05-20 13:57:00,9150.0,9150.0,9150.0,9150.0,442,1152,460,0
77,2020-05-20 14:01:00,9150.0,9150.0,9150.0,9150.0,533,3462,1383,0
78,2020-05-20 14:02:00,9150.0,9150.0,9150.0,9150.0,533,1154,461,0
79,2020-05-20 14:03:00,9150.0,9150.0,9150.0,9150.0,442,2308,923,0
80,2020-05-20 14:04:00,9150.0,9150.0,9150.0,9150.0,442,1154,462,0
81,2020-05-20 14:05:00,9150.0,9150.0,9150.0,9150.0,533,2304,923,0
82,2020-05-20 14:13:00,9160.0,9160.0,9160.0,9160.0,443,2300,920,0
83,2020-05-20 14:14:00,9160.0,9160.0,9160.0,9160.0,533,3450,1381,0
84,2020-05-20 14:15:00,9120.15,9120.15,9120.15,9120.15,444,2298,921,0
85,2020-05-20 14:16:00,9120.15,9120.15,9120.15,9120.15,533,2298,922,0
86,2020-05-20 14:17:00,9120.15,9120.15,9120.15,9120.15,533,1149,461,0
87,2020-05-20 14:21:00,9120.15,9120.15,9120.15,9120.15,444,3465,1389,0
88,2020-05-20 14:22:00,9120.15,9120.15,9120.15,9120.15,444,1156,462,0
89,2020-05-20 14:23:00,9189.95,9189.95,9189.95,9189.95,535,1152,462,0
90,2020-05-20 14:25:00,9122.1,9122.1,9122.1,9122.1,536,1154,463,0
91,2020-05-20 14:26:00,9122.1,9122.1,9122.1,9122.1,445,1154,463,0
92,2020-05-20 14:27:00,9151.0,9151.0,9151.0,9151.0,445,1152,463,0
93,2020-05-20 14:29:00,9275.0,9275.0,9275.0,9275.0,593,1137,434,0
94,2020-05-20 14:33:00,9250.0,9250.0,9250.0,9250.0,708,1132,421,0
95,2020-05-20 14:47:00,9299.0,9299.0,9299.0,9299.0,649,1147,413,0
96,2020-05-20 14:48:00,9346.65,9346.65,9346.65,9346.65,552,1150,401,0
