,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,81.8,81.8,81.8,81.8,0,415725,773888,0
1,2020-05-20 09:07:00,81.8,81.8,81.8,81.8,0,446024,844805,0
2,2020-05-20 09:08:00,81.25,81.25,81.25,81.25,140881,337873,727214,0
3,2020-05-20 09:11:00,81.25,81.25,81.25,81.25,140881,337873,727214,0
4,2020-05-20 09:14:00,81.25,81.25,81.25,81.25,0,337873,727214,0
5,2020-05-20 09:15:00,81.15,81.15,81.15,81.15,4615,382122,738962,0
6,2020-05-20 09:16:00,82.3,82.3,82.3,82.3,924403,1251031,1465771,0
7,2020-05-20 09:17:00,82.45,82.45,82.45,82.45,1331629,1329831,1558317,0
8,2020-05-20 09:18:00,82.95,82.95,82.95,82.95,1080630,1793828,1830063,0
9,2020-05-20 09:19:00,83.0,83.0,83.0,83.0,874208,1843445,1766321,0
10,2020-05-20 09:21:00,82.95,82.95,82.9,82.9,2139652,3799580,4217558,0
11,2020-05-20 09:22:00,83.0,83.0,83.0,83.0,2361668,1979732,2184486,0
12,2020-05-20 09:23:00,83.2,83.2,83.2,83.2,1479188,4181353,2261218,0
13,2020-05-20 09:24:00,83.15,83.15,83.15,83.15,1432243,4165677,2351600,0
14,2020-05-20 09:26:00,82.6,82.6,82.4,82.4,3144325,3750541,7074040,0
15,2020-05-20 09:27:00,82.2,82.2,82.15,82.15,2281348,5561874,7666815,0
16,2020-05-20 09:29:00,82.3,82.3,82.1,82.1,3500654,8958629,5848429,0
17,2020-05-20 09:30:00,82.1,82.1,82.1,82.1,3567278,4456394,2967180,0
18,2020-05-20 09:31:00,82.2,82.2,82.2,82.2,2417857,9152602,6035875,0
19,2020-05-20 09:32:00,82.4,82.4,82.35,82.35,3892493,9380653,6155460,0
20,2020-05-20 09:33:00,82.4,82.4,82.4,82.4,3934036,4742881,3113692,0
21,2020-05-20 09:34:00,82.65,82.65,82.65,82.65,2673664,4854050,3095518,0
22,2020-05-20 09:35:00,82.7,82.7,82.5,82.5,4222751,7119864,12582639,0
23,2020-05-20 09:36:00,82.6,82.65,82.6,82.65,2722481,4708568,11249492,0
24,2020-05-20 09:37:00,82.45,82.5,82.45,82.5,4447990,4774275,11445230,0
25,2020-05-20 09:38:00,82.55,82.55,82.55,82.55,4456352,2400032,5745982,0
26,2020-05-20 09:39:00,82.7,82.75,82.7,82.75,2981863,4929646,11462805,0
27,2020-05-20 09:40:00,82.8,82.8,82.8,82.8,3001743,2470119,5729603,0
28,2020-05-20 09:41:00,82.85,82.85,82.8,82.8,4635968,4952924,11604458,0
29,2020-05-20 09:42:00,82.85,82.95,82.85,82.9,3228703,7784272,17481122,0
30,2020-05-20 09:43:00,82.9,82.9,82.9,82.9,3234929,2614053,5834616,0
31,2020-05-20 09:44:00,82.85,83.1,82.85,83.05,4952778,10533684,23047358,0
32,2020-05-20 09:45:00,83.05,83.05,82.95,82.95,3353275,5272429,11434670,0
33,2020-05-20 09:46:00,83.0,83.0,83.0,83.0,3427159,2754914,5803191,0
34,2020-05-20 09:47:00,82.95,82.95,82.95,82.95,5093226,2824237,5909941,0
35,2020-05-20 09:48:00,83.0,83.0,83.0,83.0,5178699,2843924,5880468,0
36,2020-05-20 09:49:00,83.05,83.05,83.05,83.05,3634868,2861975,5901926,0
37,2020-05-20 09:50:00,83.15,83.15,83.15,83.15,3816312,2863268,6940583,0
38,2020-05-20 09:51:00,83.1,83.1,83.1,83.1,5296176,5836640,14013933,0
39,2020-05-20 09:52:00,83.15,83.15,83.1,83.1,3957411,8845627,21263696,0
40,2020-05-20 09:53:00,83.1,83.25,83.1,83.25,5554584,5930400,14079308,0
