,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,272.0,272.0,272.0,272.0,0,279059,424277,0
1,2020-05-20 09:07:00,272.0,272.0,272.0,272.0,12645,285270,447336,0
2,2020-05-20 09:08:00,272.0,272.0,272.0,272.0,12695,130570,212248,0
3,2020-05-20 09:11:00,272.0,272.0,272.0,272.0,50,130570,212248,0
4,2020-05-20 09:14:00,272.0,272.0,272.0,272.0,0,130570,212248,0
5,2020-05-20 09:15:00,272.1,272.1,272.1,272.1,13380,143908,218939,0
6,2020-05-20 09:16:00,273.6,273.85,273.6,273.85,134395,730175,877052,0
7,2020-05-20 09:17:00,274.3,275.0,274.3,275.0,98850,829058,973640,0
8,2020-05-20 09:18:00,274.8,275.9,274.8,275.9,236655,911138,1061504,0
9,2020-05-20 09:19:00,275.75,275.75,275.75,275.75,244111,476351,561942,0
10,2020-05-20 09:20:00,276.25,276.25,276.25,276.25,221231,512177,612870,0
11,2020-05-20 09:21:00,276.3,276.3,276.3,276.3,263230,528720,641234,0
12,2020-05-20 09:22:00,276.95,276.95,276.95,276.95,379328,543921,651085,0
13,2020-05-20 09:23:00,276.4,276.4,276.3,276.3,366239,1123742,1404532,0
14,2020-05-20 09:24:00,276.3,276.3,276.3,276.3,370533,566891,724658,0
15,2020-05-20 09:25:00,275.9,275.9,275.9,275.9,464282,579464,798142,0
16,2020-05-20 09:26:00,275.7,275.7,275.7,275.7,501761,580938,826240,0
17,2020-05-20 09:29:00,275.6,275.6,275.6,275.6,550680,656739,924453,0
18,2020-05-20 09:30:00,275.5,275.5,275.5,275.5,556759,666402,922899,0
19,2020-05-20 09:31:00,275.65,276.35,275.45,276.35,585414,2327707,2978193,0
20,2020-05-20 09:32:00,276.35,276.6,276.35,276.6,665223,1617920,1971403,0
21,2020-05-20 09:33:00,277.35,277.35,277.35,277.35,716538,858714,956110,0
22,2020-05-20 09:34:00,278.15,278.15,277.95,277.95,963772,1817681,1871299,0
23,2020-05-20 09:35:00,278.05,278.05,278.05,278.05,970715,914068,948688,0
24,2020-05-20 09:36:00,277.3,277.3,277.3,277.3,779757,874205,1031448,0
25,2020-05-20 09:37:00,277.3,277.4,277.15,277.4,1031428,2619327,3249716,0
26,2020-05-20 09:38:00,277.35,277.95,277.35,277.95,833764,1825060,2194066,0
27,2020-05-20 09:39:00,277.85,277.85,277.25,277.25,1054430,1816524,2233416,0
28,2020-05-20 09:40:00,277.5,277.5,277.5,277.5,1069737,910849,1152806,0
29,2020-05-20 09:41:00,277.85,278.1,277.85,278.1,951153,2842976,3398475,0
30,2020-05-20 09:42:00,278.0,278.0,278.0,278.0,973875,968445,1131358,0
31,2020-05-20 09:44:00,277.85,278.1,277.85,278.1,1162056,1957844,2360312,0
32,2020-05-20 09:45:00,278.2,278.2,278.2,278.2,1181813,977439,1152010,0
33,2020-05-20 09:46:00,277.55,277.75,277.55,277.75,1014770,1926393,2428072,0
34,2020-05-20 09:47:00,277.6,277.6,277.6,277.6,1024840,970394,1225684,0
35,2020-05-20 09:48:00,278.0,278.0,278.0,278.0,1218044,983041,1216753,0
36,2020-05-20 09:49:00,279.15,279.15,279.15,279.15,1422416,1044467,1092947,0
37,2020-05-20 09:50:00,279.6,279.75,279.55,279.75,1432269,3113295,2946836,0
38,2020-05-20 09:51:00,279.8,279.8,279.8,279.8,1514138,1042511,915584,0
39,2020-05-20 09:52:00,280.3,280.3,280.3,280.3,1694819,1057645,947648,0
40,2020-05-20 09:53:00,280.2,280.2,280.2,280.2,1620532,2234092,1900270,0
41,2020-05-20 09:54:00,280.35,280.35,280.35,280.35,1748457,1124913,973555,0
42,2020-05-20 09:55:00,280.7,280.7,280.7,280.7,1969943,1153076,967371,0
43,2020-05-20 09:56:00,280.25,280.25,280.25,280.25,1939565,1153945,1033619,0
44,2020-05-20 09:57:00,280.25,280.25,280.25,280.25,1778259,1152057,1062005,0
