,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,16.7,16.7,16.7,16.7,0,93099,119094,0
1,2020-05-20 09:08:00,16.95,16.95,16.95,16.95,0,85835,113895,0
2,2020-05-20 09:11:00,16.95,16.95,16.95,16.95,8799,85835,113895,0
3,2020-05-20 09:14:00,16.95,16.95,16.95,16.95,8799,85835,113895,0
4,2020-05-20 09:15:00,16.9,16.9,16.9,16.9,0,85835,113895,0
5,2020-05-20 09:18:00,16.85,16.85,16.85,16.85,13438,174520,318503,0
6,2020-05-20 09:21:00,16.95,16.95,16.95,16.95,39225,281830,386949,0
7,2020-05-20 09:23:00,16.95,16.95,16.95,16.95,66343,182660,417706,0
8,2020-05-20 09:24:00,16.9,16.9,16.9,16.9,20120,502794,835102,0
9,2020-05-20 09:25:00,16.9,16.9,16.9,16.9,22945,251883,451396,0
10,2020-05-20 09:26:00,16.85,16.85,16.85,16.85,90890,385551,905410,0
11,2020-05-20 09:27:00,16.95,16.95,16.95,16.95,92768,183007,450698,0
12,2020-05-20 09:31:00,16.9,16.9,16.9,16.9,46474,183221,490218,0
13,2020-05-20 09:33:00,17.0,17.0,17.0,17.0,70196,303848,462788,0
14,2020-05-20 09:34:00,17.0,17.0,17.0,17.0,129198,580042,905819,0
15,2020-05-20 09:35:00,17.1,17.1,17.1,17.1,129199,282081,456153,0
16,2020-05-20 09:36:00,16.95,16.95,16.95,16.95,70424,392587,474522,0
17,2020-05-20 09:39:00,17.0,17.0,17.0,17.0,123770,309989,470427,0
18,2020-05-20 09:41:00,17.0,17.0,17.0,17.0,187649,310749,491599,0
19,2020-05-20 09:42:00,17.05,17.05,17.05,17.05,75099,662141,973523,0
20,2020-05-20 09:43:00,17.05,17.05,17.05,17.05,188710,658493,1027533,0
21,2020-05-20 09:50:00,17.15,17.15,17.15,17.15,286152,276164,478783,0
22,2020-05-20 09:51:00,17.2,17.2,17.2,17.2,173792,278138,496665,0
23,2020-05-20 09:52:00,17.2,17.2,17.2,17.2,267175,624338,856894,0
24,2020-05-20 09:54:00,17.2,17.2,17.2,17.2,196882,686711,865748,0
25,2020-05-20 09:55:00,17.2,17.2,17.2,17.2,196882,329277,439071,0
26,2020-05-20 09:56:00,17.2,17.2,17.2,17.2,275143,323274,466895,0
27,2020-05-20 09:57:00,17.2,17.25,17.2,17.25,216728,627965,1005317,0
28,2020-05-20 09:59:00,17.1,17.1,17.1,17.1,223337,303842,503051,0
29,2020-05-20 10:00:00,17.1,17.1,17.1,17.1,281752,326544,511646,0
30,2020-05-20 10:01:00,17.2,17.2,17.2,17.2,276538,328979,508386,0
31,2020-05-20 10:03:00,17.15,17.15,17.1,17.1,231252,704353,1066870,0
32,2020-05-20 10:07:00,17.15,17.15,17.15,17.15,275321,315430,531373,0
33,2020-05-20 10:09:00,17.1,17.1,17.1,17.1,331175,382480,537027,0
34,2020-05-20 10:10:00,17.15,17.15,17.15,17.15,289862,314590,553197,0
35,2020-05-20 10:11:00,17.15,17.15,17.15,17.15,234406,379418,552668,0
36,2020-05-20 10:12:00,17.1,17.1,17.1,17.1,280032,381705,553005,0
37,2020-05-20 10:14:00,17.1,17.15,17.1,17.15,298090,755053,1084871,0
38,2020-05-20 10:17:00,17.2,17.2,17.15,17.15,371962,673081,1014782,0
39,2020-05-20 10:21:00,17.1,17.1,17.1,17.1,406147,272094,534002,0
40,2020-05-20 10:22:00,17.05,17.1,17.05,17.1,312223,586964,1085729,0
41,2020-05-20 10:24:00,17.1,17.1,17.1,17.1,407321,691706,1071901,0
42,2020-05-20 10:25:00,17.1,17.1,17.1,17.1,407881,290101,538759,0
43,2020-05-20 10:26:00,17.05,17.05,17.05,17.05,312894,358018,540157,0
44,2020-05-20 10:27:00,17.05,17.05,17.05,17.05,409565,575501,1088930,0
45,2020-05-20 10:28:00,17.1,17.1,17.05,17.05,315536,609140,1064929,0
46,2020-05-20 10:31:00,17.0,17.0,17.0,17.0,412050,714582,1068642,0
47,2020-05-20 10:32:00,17.05,17.05,17.05,17.05,412267,324663,532512,0
48,2020-05-20 10:37:00,17.1,17.1,17.1,17.1,334431,802845,1036066,0
49,2020-05-20 10:38:00,17.1,17.1,17.1,17.1,334431,381020,517383,0
50,2020-05-20 10:39:00,17.1,17.1,17.1,17.1,413774,764646,1040548,0
51,2020-05-20 10:41:00,17.1,17.1,17.1,17.1,418896,385393,517967,0
52,2020-05-20 10:46:00,17.1,17.1,17.1,17.1,342986,339195,520176,0
53,2020-05-20 10:50:00,17.1,17.1,17.1,17.1,339146,391928,529773,0
54,2020-05-20 10:52:00,17.05,17.1,17.05,17.1,419944,739503,1044649,0
55,2020-05-20 10:53:00,17.1,17.1,17.1,17.1,344256,717570,1018586,0
56,2020-05-20 10:56:00,17.05,17.05,17.05,17.05,345778,354505,509200,0
57,2020-05-20 10:58:00,17.05,17.05,17.05,17.05,421641,353488,527021,0
58,2020-05-20 10:59:00,17.05,17.05,17.05,17.05,420419,353728,526799,0
59,2020-05-20 11:02:00,17.05,17.05,17.05,17.05,345077,354732,539371,0
60,2020-05-20 11:06:00,17.05,17.05,17.05,17.05,434216,645064,1127896,0
61,2020-05-20 11:09:00,17.0,17.0,17.0,17.0,441194,341328,537240,0
62,2020-05-20 11:11:00,17.0,17.0,17.0,17.0,352683,352006,525222,0
63,2020-05-20 11:20:00,17.1,17.1,17.1,17.1,357848,382037,548471,0
64,2020-05-20 11:21:00,17.15,17.15,17.15,17.15,455303,382072,523795,0
65,2020-05-20 11:23:00,17.1,17.1,17.1,17.1,450435,421502,523682,0
66,2020-05-20 11:26:00,17.1,17.1,17.1,17.1,354981,421618,525073,0
67,2020-05-20 11:32:00,17.15,17.15,17.15,17.15,381084,429814,510389,0
68,2020-05-20 11:34:00,17.1,17.1,17.1,17.1,476758,383515,527827,0
69,2020-05-20 11:36:00,17.1,17.1,17.1,17.1,451026,438505,521495,0
70,2020-05-20 11:40:00,17.05,17.05,17.05,17.05,358093,409913,524009,0
71,2020-05-20 11:42:00,17.05,17.05,17.05,17.05,384555,427347,535059,0
72,2020-05-20 11:45:00,17.05,17.05,17.05,17.05,482602,422244,538901,0
73,2020-05-20 11:51:00,17.15,17.15,17.15,17.15,472458,425164,544420,0
74,2020-05-20 11:53:00,17.1,17.1,17.1,17.1,377157,400470,543305,0
75,2020-05-20 11:54:00,17.1,17.1,17.1,17.1,387301,373659,544331,0
76,2020-05-20 11:56:00,17.15,17.15,17.15,17.15,474763,789369,1081721,0
77,2020-05-20 11:58:00,17.1,17.1,17.1,17.1,390360,750832,1106600,0
78,2020-05-20 12:00:00,17.1,17.1,17.1,17.1,390410,383366,538654,0
79,2020-05-20 12:02:00,17.1,17.1,17.1,17.1,478398,417328,552550,0
80,2020-05-20 12:06:00,17.1,17.1,17.1,17.1,481423,417880,570966,0
