,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,1480.0,1480.0,1480.0,1480.0,0,1263,410,0
1,2020-05-20 09:17:00,1480.05,1480.05,1480.05,1480.05,0,4904,2756,0
2,2020-05-20 09:20:00,1480.05,1480.05,1480.05,1480.05,1,5278,3201,0
3,2020-05-20 09:22:00,1480.05,1480.05,1480.05,1480.05,1,5324,3215,0
4,2020-05-20 09:28:00,1488.45,1488.45,1488.45,1488.45,8,7005,5361,0
5,2020-05-20 09:31:00,1490.0,1490.0,1490.0,1490.0,161,7057,5450,0
6,2020-05-20 09:38:00,1477.95,1477.95,1477.95,1477.95,217,9028,7545,0
7,2020-05-20 09:41:00,1479.95,1479.95,1479.95,1479.95,53,18068,15051,0
8,2020-05-20 09:42:00,1479.95,1479.95,1479.95,1479.95,53,9065,7541,0
9,2020-05-20 09:43:00,1483.15,1483.15,1483.15,1483.15,256,9060,7545,0
10,2020-05-20 09:45:00,1490.0,1490.0,1490.0,1490.0,806,9131,7378,0
11,2020-05-20 10:01:00,1489.95,1489.95,1489.95,1489.95,610,12052,9783,0
12,2020-05-20 10:08:00,1492.0,1492.0,1492.0,1492.0,75,11989,9831,0
13,2020-05-20 10:14:00,1488.75,1488.75,1488.75,1488.75,281,12043,9898,0
14,2020-05-20 10:23:00,1494.75,1494.75,1494.75,1494.75,823,11968,9975,0
15,2020-05-20 10:28:00,1515.0,1515.0,1515.0,1515.0,848,13887,8308,0
16,2020-05-20 10:29:00,1515.55,1515.55,1506.65,1506.65,495,27838,16660,0
17,2020-05-20 10:30:00,1506.65,1506.65,1506.65,1506.65,495,13873,8472,0
18,2020-05-20 10:41:00,1504.0,1504.0,1504.0,1504.0,881,15332,9742,0
19,2020-05-20 10:46:00,1505.15,1505.15,1505.15,1505.15,939,15370,9750,0
20,2020-05-20 10:52:00,1509.0,1509.0,1509.0,1509.0,601,15402,9742,0
21,2020-05-20 10:56:00,1512.0,1512.0,1512.0,1512.0,547,15423,9763,0
22,2020-05-20 11:03:00,1510.1,1510.1,1510.1,1510.1,957,15447,9723,0
23,2020-05-20 11:04:00,1514.0,1514.0,1514.0,1514.0,1039,15069,9377,0
24,2020-05-20 11:06:00,1515.0,1515.0,1511.25,1511.25,579,30160,18688,0
25,2020-05-20 11:07:00,1511.25,1511.25,1511.25,1511.25,1039,30158,18690,0
26,2020-05-20 11:08:00,1516.0,1516.0,1516.0,1516.0,1049,15106,9325,0
27,2020-05-20 11:09:00,1518.0,1518.0,1518.0,1518.0,609,15120,9349,0
28,2020-05-20 11:27:00,1515.1,1515.1,1515.1,1515.1,1080,16737,9184,0
29,2020-05-20 11:29:00,1520.95,1520.95,1520.95,1520.95,1703,16808,9109,0
30,2020-05-20 11:36:00,1524.5,1524.5,1524.5,1524.5,1302,18636,10197,0
31,2020-05-20 11:37:00,1521.05,1521.05,1521.05,1521.05,689,18643,10191,0
32,2020-05-20 11:38:00,1521.05,1521.05,1521.05,1521.05,1091,18637,10203,0
33,2020-05-20 11:40:00,1533.4,1533.4,1533.4,1533.4,2368,35895,15944,0
34,2020-05-20 11:42:00,1552.0,1552.0,1552.0,1552.0,2716,14929,6257,0
35,2020-05-20 11:44:00,1545.25,1545.25,1545.25,1545.25,1473,18580,8209,0
36,2020-05-20 11:46:00,1557.0,1557.0,1557.0,1557.0,2518,39353,16174,0
37,2020-05-20 11:57:00,1537.3,1537.3,1537.3,1537.3,2736,19060,8488,0
38,2020-05-20 12:00:00,1531.75,1531.75,1531.75,1531.75,2276,18956,8474,0
39,2020-05-20 12:02:00,1535.0,1535.0,1535.0,1535.0,2602,38038,16978,0
40,2020-05-20 12:04:00,1532.1,1532.1,1532.1,1532.1,2615,18942,8505,0
41,2020-05-20 12:05:00,1532.1,1532.1,1532.1,1532.1,2289,18940,8505,0
42,2020-05-20 12:07:00,1532.8,1532.8,1527.45,1527.45,2842,37896,17040,0
43,2020-05-20 12:13:00,1522.9,1522.9,1522.9,1522.9,2994,18965,8617,0
44,2020-05-20 12:16:00,1520.2,1520.2,1520.2,1520.2,2684,15668,7357,0
45,2020-05-20 12:23:00,1525.65,1525.65,1525.65,1525.65,2595,18341,8603,0
46,2020-05-20 12:24:00,1530.05,1530.05,1530.05,1530.05,2986,18326,8601,0
47,2020-05-20 12:27:00,1533.0,1533.0,1533.0,1533.0,2702,36495,17269,0
48,2020-05-20 12:30:00,1528.65,1528.65,1528.65,1528.65,2729,18227,8678,0
49,2020-05-20 12:34:00,1528.15,1528.15,1528.15,1528.15,3086,18244,8786,0
50,2020-05-20 12:37:00,1533.8,1533.8,1533.8,1533.8,3086,18247,8776,0
51,2020-05-20 12:47:00,1534.0,1534.0,1534.0,1534.0,2864,13998,7068,0
52,2020-05-20 12:49:00,1515.45,1520.0,1515.45,1517.95,5040,36720,20042,0
53,2020-05-20 12:50:00,1517.5,1517.5,1517.5,1517.5,5049,13296,7198,0
54,2020-05-20 12:51:00,1523.45,1523.45,1523.45,1523.45,3910,13301,7269,0
55,2020-05-20 12:53:00,1509.25,1509.25,1509.25,1509.25,4081,13233,7453,0
56,2020-05-20 12:54:00,1510.05,1510.05,1510.05,1510.05,5232,14986,8535,0
57,2020-05-20 12:57:00,1510.05,1510.05,1510.05,1510.05,5064,15126,8411,0
58,2020-05-20 13:05:00,1521.25,1521.25,1515.9,1515.9,5193,45785,25022,0
59,2020-05-20 13:10:00,1515.9,1515.9,1515.9,1515.9,5193,15273,8362,0
60,2020-05-20 13:22:00,1519.9,1519.9,1519.9,1519.9,5072,16649,9020,0
61,2020-05-20 13:25:00,1519.9,1519.9,1519.9,1519.9,5072,14868,8377,0
62,2020-05-20 13:42:00,1512.05,1512.05,1512.05,1512.05,5249,33283,17469,0
63,2020-05-20 13:54:00,1516.65,1516.65,1516.65,1516.65,5336,16564,8712,0
64,2020-05-20 13:55:00,1516.75,1516.75,1516.75,1516.75,5076,33168,17441,0
65,2020-05-20 13:56:00,1516.75,1516.75,1516.75,1516.75,5076,16585,8717,0
66,2020-05-20 13:58:00,1517.9,1517.9,1517.9,1517.9,5347,16598,8711,0
67,2020-05-20 14:09:00,1519.0,1519.0,1519.0,1519.0,5353,16657,8796,0
68,2020-05-20 14:16:00,1521.5,1521.5,1521.5,1521.5,6440,16552,8814,0
69,2020-05-20 14:19:00,1520.0,1520.0,1519.95,1520.0,5667,66151,34939,0
70,2020-05-20 14:22:00,1520.0,1520.0,1520.0,1520.0,5739,16533,8734,0
71,2020-05-20 14:23:00,1517.05,1517.05,1517.05,1517.05,7109,16472,8770,0
72,2020-05-20 14:27:00,1515.1,1515.1,1515.1,1515.1,7038,16454,8773,0
73,2020-05-20 14:29:00,1513.85,1513.85,1513.85,1513.85,5688,16453,8796,0
74,2020-05-20 14:30:00,1513.85,1513.85,1513.85,1513.85,5759,16461,8802,0
75,2020-05-20 14:32:00,1524.95,1524.95,1520.0,1520.0,7981,32997,17290,0
76,2020-05-20 14:34:00,1520.0,1520.0,1520.0,1520.0,7981,16519,8668,0
77,2020-05-20 14:35:00,1522.35,1522.35,1520.05,1520.05,6033,33041,16506,0
78,2020-05-20 14:40:00,1520.0,1520.0,1520.0,1520.0,6114,17482,8461,0
79,2020-05-20 14:45:00,1519.55,1519.55,1519.55,1519.55,8094,17071,8477,0
80,2020-05-20 14:51:00,1519.9,1519.9,1519.9,1519.9,8121,16943,8521,0
81,2020-05-20 14:58:00,1524.75,1524.75,1524.75,1524.75,6136,33794,17008,0
82,2020-05-20 14:59:00,1524.75,1530.0,1524.7,1530.0,8222,50658,25348,0
83,2020-05-20 15:01:00,1542.85,1542.85,1542.85,1542.85,8290,16824,7772,0
84,2020-05-20 15:02:00,1533.7,1533.7,1533.7,1533.7,6260,16802,7683,0
85,2020-05-20 15:03:00,1536.4,1536.4,1536.4,1536.4,6203,16728,4008,0
86,2020-05-20 15:08:00,1530.05,1530.05,1530.05,1530.05,8298,33251,6018,0
87,2020-05-20 15:10:00,1525.3,1525.3,1525.3,1525.3,8305,16572,3046,0
88,2020-05-20 15:14:00,1526.4,1526.4,1526.4,1526.4,6219,16549,3001,0
89,2020-05-20 15:15:00,1526.4,1526.4,1521.15,1521.15,8300,33047,6009,0
90,2020-05-20 15:16:00,1521.15,1521.15,1521.15,1521.15,8304,16487,2959,0
91,2020-05-20 15:17:00,1525.0,1525.0,1525.0,1525.0,6234,16497,2954,0
92,2020-05-20 15:19:00,1532.75,1532.75,1532.75,1532.75,6397,16378,3448,0
93,2020-05-20 15:20:00,1522.7,1522.7,1522.7,1522.7,8474,16236,3374,0
94,2020-05-20 15:25:00,1528.3,1528.3,1528.3,1528.3,8336,5230,2547,0
95,2020-05-20 15:26:00,1528.3,1528.3,1528.3,1528.3,6259,5225,2541,0
