,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,4822.6,4822.6,4822.6,4822.6,0,287,420,0
1,2020-05-20 09:08:00,4800.05,4800.05,4800.05,4800.05,0,316,437,0
2,2020-05-20 09:11:00,4800.05,4800.05,4800.05,4800.05,2,316,437,0
3,2020-05-20 09:14:00,4800.05,4800.05,4800.05,4800.05,2,316,437,0
4,2020-05-20 09:15:00,4800.05,4800.05,4800.05,4800.05,0,318,439,0
5,2020-05-20 09:18:00,4814.5,4814.5,4814.5,4814.5,4,3377,2615,0
6,2020-05-20 09:20:00,4827.85,4827.85,4827.85,4827.85,30,1816,1415,0
7,2020-05-20 09:32:00,4800.0,4800.0,4800.0,4800.0,65,2972,2455,0
8,2020-05-20 09:35:00,4808.25,4808.25,4808.25,4808.25,40,3682,3119,0
9,2020-05-20 10:14:00,4805.05,4805.05,4805.05,4805.05,109,6375,4846,0
10,2020-05-20 10:16:00,4805.05,4805.05,4805.05,4805.05,134,6370,4867,0
11,2020-05-20 10:46:00,4800.2,4800.2,4800.2,4800.2,114,6992,5409,0
12,2020-05-20 10:49:00,4800.2,4800.2,4800.2,4800.2,89,6994,5410,0
13,2020-05-20 10:51:00,4809.95,4809.95,4809.95,4809.95,111,6998,5403,0
14,2020-05-20 10:52:00,4809.95,4809.95,4809.95,4809.95,136,6999,5403,0
15,2020-05-20 10:53:00,4809.95,4809.95,4809.95,4809.95,114,7000,5403,0
16,2020-05-20 10:54:00,4809.95,4809.95,4809.95,4809.95,89,7000,5403,0
17,2020-05-20 10:55:00,4809.95,4809.95,4809.95,4809.95,111,6996,5403,0
18,2020-05-20 11:05:00,4803.0,4803.0,4803.0,4803.0,141,6277,4911,0
19,2020-05-20 11:06:00,4803.0,4803.0,4803.0,4803.0,89,12558,9823,0
20,2020-05-20 11:28:00,4809.95,4809.95,4809.95,4809.95,111,6876,5437,0
21,2020-05-20 11:34:00,4809.95,4809.95,4809.95,4809.95,163,7477,6038,0
22,2020-05-20 11:39:00,4809.9,4809.9,4809.9,4809.9,142,7469,6036,0
23,2020-05-20 11:47:00,4791.15,4791.15,4791.15,4791.15,97,7479,6047,0
24,2020-05-20 12:00:00,4807.25,4807.25,4807.25,4807.25,165,15142,12078,0
25,2020-05-20 12:01:00,4807.25,4807.25,4807.25,4807.25,165,7573,6035,0
26,2020-05-20 12:05:00,4809.95,4809.95,4809.95,4809.95,108,7613,6032,0
27,2020-05-20 12:06:00,4809.95,4809.95,4809.95,4809.95,108,7613,6033,0
28,2020-05-20 12:07:00,4809.95,4809.95,4809.95,4809.95,165,7612,6033,0
29,2020-05-20 12:08:00,4809.95,4809.95,4809.95,4809.95,165,7612,6036,0
30,2020-05-20 12:09:00,4809.95,4809.95,4809.95,4809.95,108,15213,12074,0
31,2020-05-20 12:11:00,4809.95,4809.95,4809.95,4809.95,108,7612,6036,0
32,2020-05-20 12:18:00,4805.1,4805.1,4805.1,4805.1,173,7681,6037,0
33,2020-05-20 12:20:00,4805.1,4805.1,4805.1,4805.1,173,7682,6038,0
34,2020-05-20 12:26:00,4805.1,4805.1,4805.1,4805.1,108,7685,6039,0
35,2020-05-20 12:28:00,4809.95,4809.95,4809.95,4809.95,123,7683,6015,0
36,2020-05-20 12:33:00,4810.0,4810.0,4810.0,4810.0,192,7699,6020,0
37,2020-05-20 12:35:00,4810.0,4810.0,4810.0,4810.0,188,7707,6002,0
38,2020-05-20 12:36:00,4810.0,4810.0,4810.0,4810.0,119,7707,6002,0
39,2020-05-20 12:38:00,4810.0,4815.85,4810.0,4815.85,197,15421,12001,0
40,2020-05-20 12:40:00,4815.85,4815.85,4815.85,4815.85,197,6513,4898,0
41,2020-05-20 12:41:00,4815.85,4815.85,4815.85,4815.85,119,6513,4900,0
42,2020-05-20 13:06:00,4801.15,4801.15,4801.15,4801.15,282,14240,11019,0
43,2020-05-20 13:07:00,4801.15,4801.15,4801.15,4801.15,282,7120,5509,0
44,2020-05-20 13:10:00,4855.5,4855.5,4855.5,4855.5,327,6670,4881,0
45,2020-05-20 13:11:00,4859.8,4859.8,4859.8,4859.8,402,7263,5316,0
46,2020-05-20 13:12:00,4915.0,4915.0,4915.0,4915.0,520,7688,4969,0
47,2020-05-20 13:13:00,4900.0,4900.0,4900.0,4900.0,467,7708,4972,0
48,2020-05-20 13:16:00,4870.0,4870.0,4870.0,4870.0,512,7671,5018,0
49,2020-05-20 13:20:00,4880.0,4880.0,4880.0,4880.0,570,7696,5031,0
50,2020-05-20 13:23:00,4900.05,4900.05,4900.05,4900.05,584,7753,5019,0
51,2020-05-20 13:25:00,4909.5,4909.5,4909.5,4909.5,543,7073,4445,0
52,2020-05-20 13:26:00,4900.05,4900.05,4900.05,4900.05,531,7083,4448,0
53,2020-05-20 13:27:00,4910.0,4910.0,4900.0,4900.0,640,14157,8899,0
54,2020-05-20 13:29:00,4900.0,4900.0,4900.0,4900.0,669,7078,4455,0
55,2020-05-20 13:32:00,4900.0,4900.0,4900.0,4900.0,690,7063,4486,0
56,2020-05-20 13:39:00,4900.05,4900.05,4900.05,4900.05,828,7059,4480,0
57,2020-05-20 13:41:00,4900.05,4900.05,4900.05,4900.05,825,7865,4646,0
58,2020-05-20 13:42:00,4900.1,4900.1,4900.1,4900.1,699,7868,4647,0
