,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,21.15,21.15,21.15,21.15,0,85045,232457,0
1,2020-05-20 09:08:00,21.25,21.25,21.25,21.25,0,84444,231019,0
2,2020-05-20 09:11:00,21.25,21.25,21.25,21.25,6801,84444,231019,0
3,2020-05-20 09:14:00,21.25,21.25,21.25,21.25,6801,84444,231019,0
4,2020-05-20 09:19:00,21.4,21.4,21.4,21.4,45785,534228,515757,0
5,2020-05-20 09:20:00,21.5,21.5,21.5,21.5,66156,564666,580945,0
6,2020-05-20 09:25:00,21.35,21.35,21.35,21.35,60344,582315,667740,0
7,2020-05-20 09:26:00,21.2,21.2,21.1,21.1,98969,1641657,1384945,0
8,2020-05-20 09:28:00,21.2,21.2,21.2,21.2,110870,1083783,1575243,0
9,2020-05-20 09:29:00,21.2,21.2,21.2,21.2,74950,1088747,1607633,0
10,2020-05-20 09:31:00,21.25,21.25,21.2,21.2,115140,605006,2173242,0
11,2020-05-20 09:32:00,21.1,21.1,21.1,21.1,127926,304493,876540,0
12,2020-05-20 09:33:00,21.1,21.1,21.1,21.1,98219,302807,869315,0
13,2020-05-20 09:34:00,21.05,21.05,21.05,21.05,180845,306416,861851,0
14,2020-05-20 09:35:00,21.2,21.2,21.2,21.2,222336,321840,854719,0
15,2020-05-20 09:36:00,21.15,21.15,21.15,21.15,116586,637163,1758049,0
16,2020-05-20 09:37:00,21.15,21.25,21.15,21.25,222837,968859,2665399,0
17,2020-05-20 09:40:00,21.15,21.15,21.15,21.15,241603,336927,893090,0
18,2020-05-20 09:41:00,21.1,21.1,21.1,21.1,138221,366997,893195,0
19,2020-05-20 09:42:00,21.2,21.2,21.2,21.2,121155,370833,899518,0
20,2020-05-20 09:54:00,21.35,21.35,21.35,21.35,301871,847436,1912684,0
21,2020-05-20 09:56:00,21.4,21.4,21.4,21.4,306572,434037,998100,0
22,2020-05-20 09:57:00,21.35,21.35,21.35,21.35,128781,427713,989244,0
23,2020-05-20 10:01:00,21.25,21.25,21.25,21.25,163378,415912,1013027,0
24,2020-05-20 10:10:00,21.25,21.25,21.25,21.25,369739,457112,1031891,0
25,2020-05-20 10:13:00,21.25,21.25,21.25,21.25,336823,463455,1030687,0
