,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,11.0,11.0,11.0,11.0,0,219320,99474,0
1,2020-05-20 09:08:00,11.0,11.0,11.0,11.0,0,107804,48677,0
2,2020-05-20 09:11:00,11.0,11.0,11.0,11.0,3866,107804,48677,0
3,2020-05-20 09:14:00,11.0,11.0,11.0,11.0,3866,107804,48677,0
4,2020-05-20 09:15:00,11.0,11.0,11.0,11.0,584,128590,67652,0
5,2020-05-20 09:16:00,11.0,11.0,10.75,10.75,38894,260000,153332,0
6,2020-05-20 09:17:00,10.8,10.8,10.8,10.8,43253,134491,73785,0
7,2020-05-20 09:19:00,10.8,10.8,10.8,10.8,39730,193204,198457,0
8,2020-05-20 09:21:00,10.85,10.85,10.85,10.85,67193,210375,194525,0
9,2020-05-20 09:24:00,10.85,10.85,10.85,10.85,115688,229805,179223,0
10,2020-05-20 09:26:00,10.8,10.8,10.8,10.8,111440,216371,208062,0
11,2020-05-20 09:27:00,10.8,10.8,10.8,10.8,70218,427283,418955,0
12,2020-05-20 09:30:00,10.8,10.8,10.8,10.8,136008,458734,376975,0
13,2020-05-20 09:32:00,10.75,10.75,10.75,10.75,138298,248266,183978,0
14,2020-05-20 09:42:00,10.8,10.8,10.8,10.8,92706,288072,184899,0
15,2020-05-20 09:46:00,10.75,10.75,10.75,10.75,161079,248764,200290,0
16,2020-05-20 09:47:00,10.75,10.75,10.75,10.75,206671,249050,200391,0
17,2020-05-20 09:49:00,10.75,10.75,10.75,10.75,143119,250456,191593,0
18,2020-05-20 09:50:00,10.8,10.8,10.8,10.8,103883,254817,186124,0
19,2020-05-20 09:51:00,10.8,10.8,10.8,10.8,179102,274442,171930,0
20,2020-05-20 09:52:00,10.8,10.8,10.8,10.8,222480,276468,175383,0
21,2020-05-20 09:56:00,10.8,10.8,10.8,10.8,160530,283349,211294,0
22,2020-05-20 09:57:00,10.8,10.8,10.75,10.75,181948,565444,436091,0
23,2020-05-20 10:00:00,10.8,10.8,10.8,10.8,188755,289852,210672,0
24,2020-05-20 10:01:00,10.8,10.8,10.8,10.8,175954,295791,202057,0
25,2020-05-20 10:04:00,10.8,10.8,10.8,10.8,171451,300310,201792,0
26,2020-05-20 10:06:00,10.8,10.8,10.8,10.8,192701,285934,194905,0
27,2020-05-20 10:12:00,10.8,10.8,10.8,10.8,221734,292313,210650,0
28,2020-05-20 10:13:00,10.8,10.8,10.8,10.8,210661,297705,202606,0
29,2020-05-20 10:16:00,10.8,10.8,10.8,10.8,182918,304056,199541,0
30,2020-05-20 10:17:00,10.8,10.8,10.8,10.8,195201,304376,200311,0
31,2020-05-20 10:19:00,10.8,10.8,10.8,10.8,224864,305226,198586,0
32,2020-05-20 10:22:00,10.75,10.75,10.75,10.75,220529,300568,209416,0
33,2020-05-20 10:33:00,10.75,10.75,10.75,10.75,195860,289983,204942,0
34,2020-05-20 10:39:00,10.8,10.8,10.8,10.8,201549,299113,210435,0
35,2020-05-20 10:43:00,10.75,10.75,10.75,10.75,229760,310799,202989,0
36,2020-05-20 10:53:00,10.8,10.8,10.8,10.8,207544,638288,389870,0
37,2020-05-20 10:58:00,10.85,10.85,10.85,10.85,219233,337494,195159,0
38,2020-05-20 11:02:00,10.8,10.8,10.8,10.8,246898,340526,189110,0
39,2020-05-20 11:05:00,10.8,10.8,10.8,10.8,237559,340809,187610,0
40,2020-05-20 11:13:00,10.85,10.85,10.85,10.85,212646,347544,189210,0
41,2020-05-20 11:24:00,10.85,10.85,10.85,10.85,229692,353291,182939,0
42,2020-05-20 11:28:00,10.9,10.9,10.9,10.9,286800,383760,177680,0
43,2020-05-20 11:29:00,10.9,10.9,10.9,10.9,273368,383217,174077,0
44,2020-05-20 11:38:00,10.85,10.85,10.85,10.85,227870,365112,193367,0
45,2020-05-20 11:58:00,10.85,10.85,10.85,10.85,258653,365122,174614,0
46,2020-05-20 11:59:00,10.8,10.8,10.8,10.8,304293,365494,173566,0
47,2020-05-20 12:07:00,10.9,10.9,10.9,10.9,292100,366945,166477,0
48,2020-05-20 12:32:00,10.9,10.9,10.9,10.9,264692,400373,176921,0
49,2020-05-20 12:35:00,10.9,10.9,10.9,10.9,276992,399265,176927,0
50,2020-05-20 12:46:00,10.9,10.9,10.9,10.9,319052,405250,175052,0
51,2020-05-20 12:50:00,10.95,10.95,10.95,10.95,307591,405135,177742,0
52,2020-05-20 12:52:00,10.9,10.9,10.9,10.9,265696,407032,176695,0
53,2020-05-20 12:54:00,10.95,10.95,10.95,10.95,279102,405440,176662,0
54,2020-05-20 12:58:00,11.0,11.0,11.0,11.0,328964,436941,163940,0
55,2020-05-20 13:01:00,11.0,11.0,11.0,11.0,316974,438947,163795,0
56,2020-05-20 13:09:00,10.95,10.95,10.95,10.95,288446,420728,179564,0
57,2020-05-20 13:11:00,11.0,11.0,11.0,11.0,300716,421486,179284,0
58,2020-05-20 13:17:00,11.0,11.0,11.0,11.0,329824,423906,181044,0
59,2020-05-20 13:18:00,11.0,11.0,11.0,11.0,319105,422607,179819,0
60,2020-05-20 13:33:00,10.9,10.9,10.9,10.9,310848,411925,173264,0
61,2020-05-20 13:57:00,10.95,10.95,10.95,10.95,366047,838227,303624,0
62,2020-05-20 14:15:00,11.05,11.05,11.05,11.05,403637,436431,124162,0
63,2020-05-20 14:25:00,11.05,11.05,11.05,11.05,367880,437688,145509,0
64,2020-05-20 14:33:00,11.05,11.05,11.05,11.05,339557,429549,145734,0
65,2020-05-20 14:37:00,11.05,11.05,11.05,11.05,379742,427394,152121,0
66,2020-05-20 14:43:00,11.0,11.0,11.0,11.0,415065,419231,152001,0
67,2020-05-20 14:44:00,11.0,11.0,11.0,11.0,374880,419211,154001,0
68,2020-05-20 14:47:00,11.0,11.0,11.0,11.0,339934,421321,153654,0
69,2020-05-20 14:49:00,11.0,11.0,11.0,11.0,380566,421517,153458,0
70,2020-05-20 14:52:00,11.0,11.0,11.0,11.0,416848,400917,159206,0
71,2020-05-20 14:53:00,10.95,10.95,10.95,10.95,377447,400572,160430,0
72,2020-05-20 14:56:00,10.95,10.95,10.95,10.95,341797,392497,160350,0
