,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,22.9,22.9,22.9,22.9,0,212886,151160,0
1,2020-05-20 09:08:00,22.9,22.9,22.9,22.9,0,212415,150327,0
2,2020-05-20 09:11:00,22.9,22.9,22.9,22.9,3415,212415,150327,0
3,2020-05-20 09:14:00,22.9,22.9,22.9,22.9,3415,212415,150327,0
4,2020-05-20 09:15:00,22.9,22.9,22.9,22.9,0,212415,150327,0
5,2020-05-20 09:16:00,22.7,22.7,22.7,22.7,18706,280066,264490,0
6,2020-05-20 09:17:00,22.75,22.75,22.75,22.75,55545,333430,273837,0
7,2020-05-20 09:18:00,22.8,22.8,22.75,22.75,22298,682539,464963,0
8,2020-05-20 09:21:00,22.85,22.85,22.85,22.85,113619,418461,255681,0
9,2020-05-20 09:22:00,22.95,22.95,22.95,22.95,167705,430723,239428,0
10,2020-05-20 09:27:00,22.85,22.85,22.75,22.75,137663,858499,542440,0
11,2020-05-20 09:28:00,22.8,22.8,22.8,22.8,145693,421027,269510,0
12,2020-05-20 09:30:00,22.85,22.85,22.85,22.85,187318,417538,283218,0
13,2020-05-20 09:34:00,22.8,22.8,22.8,22.8,222870,463470,282276,0
14,2020-05-20 09:36:00,22.8,22.8,22.8,22.8,190885,462830,297844,0
15,2020-05-20 09:37:00,22.8,22.8,22.8,22.8,157254,467620,297504,0
16,2020-05-20 09:39:00,22.8,22.8,22.8,22.8,198344,502981,305343,0
17,2020-05-20 09:40:00,22.75,22.75,22.75,22.75,260131,538825,521761,0
18,2020-05-20 09:41:00,22.9,22.9,22.9,22.9,474766,581973,252419,0
19,2020-05-20 09:42:00,22.9,22.9,22.9,22.9,421015,587901,260401,0
20,2020-05-20 09:45:00,22.95,22.95,22.95,22.95,246686,593676,254437,0
21,2020-05-20 09:47:00,22.95,22.95,22.95,22.95,315799,591371,279513,0
22,2020-05-20 09:48:00,22.9,22.9,22.9,22.9,496311,582430,284586,0
23,2020-05-20 09:50:00,23.05,23.05,23.05,23.05,455150,599088,263536,0
24,2020-05-20 09:51:00,23.05,23.05,23.05,23.05,290751,603123,259620,0
25,2020-05-20 09:54:00,23.1,23.1,23.1,23.1,343239,608055,269336,0
26,2020-05-20 09:56:00,23.0,23.0,23.0,23.0,513968,604930,288814,0
27,2020-05-20 09:57:00,23.0,23.0,23.0,23.0,472670,611603,291060,0
