,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,25.9,25.9,25.9,25.9,0,52555,82193,0
1,2020-05-20 09:19:00,26.05,26.1,26.05,26.1,6352,289250,359104,0
2,2020-05-20 09:24:00,26.0,26.0,26.0,26.0,19270,167749,229625,0
3,2020-05-20 09:27:00,25.85,25.85,25.85,25.85,17369,167792,244515,0
4,2020-05-20 09:30:00,25.95,25.95,25.95,25.95,5663,167928,245986,0
5,2020-05-20 09:32:00,25.9,25.9,25.9,25.9,9252,168691,252608,0
6,2020-05-20 09:42:00,25.85,25.85,25.85,25.85,43085,158991,257805,0
7,2020-05-20 09:48:00,25.9,25.9,25.9,25.9,42354,165638,261359,0
8,2020-05-20 09:49:00,25.9,25.9,25.9,25.9,12558,167176,257675,0
9,2020-05-20 09:50:00,25.85,25.85,25.85,25.85,14338,170134,263873,0
10,2020-05-20 09:57:00,25.8,25.8,25.8,25.8,54654,166274,268274,0
11,2020-05-20 10:07:00,25.8,25.8,25.8,25.8,79960,161462,286007,0
12,2020-05-20 10:41:00,25.65,25.65,25.65,25.65,222114,159032,412129,0
13,2020-05-20 10:51:00,25.7,25.7,25.7,25.7,200682,164313,418969,0
14,2020-05-20 10:57:00,25.6,25.6,25.6,25.6,60371,156416,425603,0
15,2020-05-20 11:24:00,25.7,25.7,25.7,25.7,318457,342946,827272,0
16,2020-05-20 11:29:00,25.65,25.65,25.6,25.6,86739,339621,822772,0
17,2020-05-20 11:37:00,25.6,25.6,25.6,25.6,93407,163158,416821,0
18,2020-05-20 11:51:00,25.6,25.6,25.6,25.6,335746,162756,415333,0
19,2020-05-20 12:04:00,25.65,25.65,25.65,25.65,333874,164109,399361,0
20,2020-05-20 12:25:00,25.6,25.6,25.6,25.6,92576,167934,401184,0
21,2020-05-20 12:30:00,25.55,25.55,25.55,25.55,96314,166968,400417,0
22,2020-05-20 12:32:00,25.65,25.65,25.65,25.65,338637,169542,399831,0
23,2020-05-20 12:33:00,25.65,25.65,25.65,25.65,334899,169141,399831,0
24,2020-05-20 12:41:00,25.55,25.55,25.55,25.55,95392,168173,399931,0
25,2020-05-20 12:46:00,25.5,25.5,25.5,25.5,111840,158673,412283,0
26,2020-05-20 12:57:00,25.45,25.45,25.45,25.45,427456,312112,819205,0
27,2020-05-20 12:59:00,25.5,25.5,25.5,25.5,429958,159785,409325,0
28,2020-05-20 13:03:00,25.45,25.45,25.45,25.45,115813,160421,407219,0
29,2020-05-20 13:08:00,25.5,25.5,25.5,25.5,113521,164122,412204,0
30,2020-05-20 13:09:00,25.5,25.5,25.5,25.5,430463,327289,822923,0
31,2020-05-20 13:42:00,25.35,25.35,25.35,25.35,510157,177140,421743,0
32,2020-05-20 13:43:00,25.3,25.3,25.3,25.3,193765,178163,422312,0
33,2020-05-20 13:44:00,25.25,25.25,25.25,25.25,123295,168803,423831,0
34,2020-05-20 13:51:00,25.4,25.4,25.4,25.4,442788,166378,422770,0
35,2020-05-20 14:15:00,25.4,25.4,25.4,25.4,536955,164401,432909,0
36,2020-05-20 14:25:00,25.35,25.35,25.35,25.35,222220,170941,430927,0
37,2020-05-20 14:32:00,25.35,25.35,25.35,25.35,147062,172132,435808,0
38,2020-05-20 14:52:00,25.4,25.4,25.4,25.4,487705,173802,415460,0
39,2020-05-20 14:53:00,25.4,25.4,25.4,25.4,562918,172435,415405,0
40,2020-05-20 14:55:00,25.35,25.35,25.35,25.35,224195,158309,399501,0
41,2020-05-20 15:01:00,25.35,25.35,25.35,25.35,165018,167517,427394,0
42,2020-05-20 15:03:00,25.4,25.4,25.4,25.4,504094,173402,425568,0
43,2020-05-20 15:06:00,25.45,25.45,25.45,25.45,607705,175128,406682,0
44,2020-05-20 15:07:00,25.45,25.45,25.4,25.4,173978,324152,807598,0
45,2020-05-20 15:15:00,25.45,25.45,25.45,25.45,185834,157596,375015,0
46,2020-05-20 15:20:00,25.45,25.45,25.45,25.45,623451,162786,352939,0
47,2020-05-20 15:22:00,25.45,25.45,25.45,25.45,637276,144458,341254,0
