,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,215.0,215.0,215.0,215.0,0,44960,32502,0
1,2020-05-20 09:07:00,215.0,215.0,215.0,215.0,0,22604,16910,0
2,2020-05-20 09:08:00,217.6,217.6,217.6,217.6,670,21934,16240,0
3,2020-05-20 09:11:00,217.6,217.6,217.6,217.6,670,21934,16240,0
4,2020-05-20 09:14:00,217.6,217.6,217.6,217.6,0,21934,16240,0
5,2020-05-20 09:15:00,215.7,215.7,215.7,215.7,172,32633,27422,0
6,2020-05-20 09:17:00,217.2,217.2,217.2,217.2,3972,44920,36098,0
7,2020-05-20 09:18:00,216.8,217.3,216.8,217.3,1545,151626,134072,0
8,2020-05-20 09:20:00,216.05,216.05,216.05,216.05,5733,121926,112798,0
9,2020-05-20 09:21:00,216.35,216.35,216.35,216.35,8032,67660,63344,0
10,2020-05-20 09:22:00,216.35,216.35,216.35,216.35,4495,67199,65941,0
11,2020-05-20 09:23:00,216.3,216.3,216.3,216.3,2381,68940,67723,0
12,2020-05-20 09:24:00,215.8,215.8,215.8,215.8,7478,68448,68598,0
13,2020-05-20 09:25:00,215.8,215.8,215.8,215.8,9777,72966,70221,0
14,2020-05-20 09:26:00,215.4,215.4,215.4,215.4,6731,73183,71599,0
15,2020-05-20 09:27:00,215.75,215.75,215.75,215.75,4824,73484,71690,0
16,2020-05-20 09:28:00,215.95,215.95,215.95,215.95,8247,74687,72665,0
17,2020-05-20 09:29:00,215.95,215.95,215.65,215.65,7406,149753,147396,0
18,2020-05-20 09:30:00,215.6,215.6,215.4,215.4,8955,150118,148967,0
19,2020-05-20 09:32:00,214.15,214.8,214.15,214.8,11507,140657,152787,0
20,2020-05-20 09:33:00,214.8,214.8,214.8,214.8,11715,71235,76734,0
21,2020-05-20 09:34:00,215.25,215.25,215.25,215.25,9539,71079,77377,0
22,2020-05-20 09:35:00,215.05,215.35,215.05,215.35,13225,149052,154548,0
23,2020-05-20 09:36:00,215.2,215.25,215.2,215.25,10752,152114,153389,0
24,2020-05-20 09:37:00,215.0,215.0,215.0,215.0,12986,75195,76839,0
25,2020-05-20 09:38:00,215.0,215.1,215.0,215.1,13436,151734,154070,0
26,2020-05-20 09:39:00,215.3,215.3,215.15,215.15,13240,151855,154512,0
27,2020-05-20 09:40:00,215.3,215.3,214.95,214.95,14050,149032,157328,0
28,2020-05-20 09:42:00,215.1,215.1,215.1,215.1,14434,78454,79882,0
29,2020-05-20 09:43:00,214.85,214.85,214.85,214.85,13741,78667,80151,0
30,2020-05-20 09:46:00,215.45,215.45,215.45,215.45,15790,162158,163727,0
31,2020-05-20 09:47:00,215.45,215.45,215.45,215.45,15790,81710,81948,0
32,2020-05-20 09:48:00,215.5,215.65,215.5,215.65,14404,166377,164599,0
33,2020-05-20 09:50:00,217.2,217.2,217.2,217.2,20979,86114,73807,0
34,2020-05-20 09:52:00,217.2,217.2,217.2,217.2,24245,87472,74608,0
35,2020-05-20 09:53:00,216.8,217.1,216.8,217.1,16022,176395,152240,0
36,2020-05-20 09:54:00,217.45,217.45,216.75,216.85,28989,354755,306933,0
37,2020-05-20 09:55:00,217.0,217.0,217.0,217.0,29322,88433,76602,0
38,2020-05-20 09:56:00,217.0,217.0,217.0,217.0,16574,89162,79221,0
39,2020-05-20 10:00:00,216.85,216.85,216.85,216.85,17657,92982,82951,0
40,2020-05-20 10:01:00,217.0,217.0,217.0,217.0,30791,93249,84401,0
41,2020-05-20 10:02:00,216.4,216.4,216.3,216.3,17559,182053,170948,0
42,2020-05-20 10:03:00,216.5,216.5,216.5,216.5,17775,92094,84829,0
43,2020-05-20 10:05:00,217.25,217.25,217.25,217.25,35293,95194,81850,0
44,2020-05-20 10:06:00,217.2,217.2,217.2,217.2,35328,95630,81867,0
45,2020-05-20 10:09:00,217.1,217.1,217.1,217.1,20405,95802,83231,0
46,2020-05-20 10:12:00,217.1,217.1,217.05,217.05,38215,189637,164164,0
47,2020-05-20 10:13:00,217.05,217.05,217.05,217.05,38286,94878,83096,0
48,2020-05-20 10:14:00,216.85,216.85,216.85,216.85,21413,93940,83940,0
49,2020-05-20 10:16:00,216.7,216.7,216.7,216.7,21631,93147,83691,0
50,2020-05-20 10:17:00,216.7,216.7,216.7,216.7,38828,93092,84438,0
51,2020-05-20 10:22:00,215.8,215.8,215.8,215.8,41934,90939,86397,0
52,2020-05-20 10:27:00,216.1,216.1,216.1,216.1,27321,93618,87604,0
53,2020-05-20 10:28:00,215.95,215.95,215.95,215.95,24294,93593,88068,0
54,2020-05-20 10:29:00,216.3,216.3,216.3,216.3,39369,97115,90724,0
55,2020-05-20 10:30:00,216.3,216.3,216.25,216.25,27438,193913,181949,0
