,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,92.7,92.7,92.7,92.7,0,3554,3930,0
1,2020-05-20 09:20:00,91.55,91.55,91.55,91.55,0,8361,14299,0
2,2020-05-20 09:27:00,93.0,93.0,93.0,93.0,14215,22218,24165,0
3,2020-05-20 09:29:00,92.4,92.4,92.0,92.0,4042,32162,36641,0
4,2020-05-20 09:31:00,91.9,91.9,91.9,91.9,4571,10374,12044,0
5,2020-05-20 09:37:00,92.8,92.8,92.8,92.8,19278,11985,12868,0
6,2020-05-20 09:38:00,92.55,92.55,92.55,92.55,18915,12549,13552,0
7,2020-05-20 09:40:00,92.95,92.95,92.95,92.95,6339,13550,13301,0
8,2020-05-20 09:42:00,93.7,93.7,93.7,93.7,8868,15421,13046,0
9,2020-05-20 09:43:00,93.9,93.9,93.9,93.9,22169,16739,13251,0
10,2020-05-20 09:44:00,94.0,94.0,94.0,94.0,19827,17273,13563,0
11,2020-05-20 09:45:00,92.8,92.8,92.45,92.45,14058,31888,30988,0
12,2020-05-20 09:46:00,92.6,92.6,92.6,92.6,14275,18311,15174,0
13,2020-05-20 09:49:00,92.85,92.85,92.85,92.85,23295,18512,14654,0
14,2020-05-20 09:50:00,93.3,93.3,93.3,93.3,23551,18747,13927,0
15,2020-05-20 09:53:00,93.5,93.5,93.5,93.5,16145,19053,16167,0
16,2020-05-20 09:57:00,93.25,93.25,93.25,93.25,20964,19074,16373,0
17,2020-05-20 10:12:00,95.0,95.0,95.0,95.0,43405,23286,11311,0
18,2020-05-20 10:15:00,95.2,95.2,95.2,95.2,42892,26432,13438,0
19,2020-05-20 10:26:00,94.5,94.5,94.25,94.25,33095,52547,25144,0
20,2020-05-20 10:31:00,94.8,94.8,94.8,94.8,35274,26381,13204,0
21,2020-05-20 10:36:00,94.9,94.9,94.9,94.9,46235,29140,12424,0
22,2020-05-20 10:37:00,95.65,96.05,95.65,96.05,36203,61667,22188,0
23,2020-05-20 10:38:00,96.1,96.1,96.1,96.1,36946,30830,10543,0
24,2020-05-20 10:39:00,96.1,96.1,96.1,96.1,47063,64073,28500,0
25,2020-05-20 10:41:00,95.1,95.1,95.1,95.1,48485,30949,16149,0
26,2020-05-20 10:42:00,95.15,95.15,95.15,95.15,37340,63766,33563,0
27,2020-05-20 10:44:00,95.2,95.2,95.2,95.2,38233,32062,16235,0
28,2020-05-20 10:46:00,95.2,95.2,95.2,95.2,49574,31941,16544,0
29,2020-05-20 10:47:00,95.15,95.15,95.15,95.15,48757,31771,16544,0
30,2020-05-20 10:51:00,95.1,95.1,95.1,95.1,38773,31471,16654,0
31,2020-05-20 10:52:00,95.1,95.1,95.1,95.1,39667,31794,16754,0
32,2020-05-20 10:55:00,95.1,95.1,95.1,95.1,50043,31829,16677,0
33,2020-05-20 11:01:00,94.35,94.35,94.35,94.35,50644,31296,17377,0
34,2020-05-20 11:02:00,95.05,95.05,95.05,95.05,40933,31793,16857,0
35,2020-05-20 11:04:00,94.6,94.6,94.6,94.6,40390,31602,17009,0
36,2020-05-20 11:05:00,94.6,94.6,94.6,94.6,50256,32025,16808,0
37,2020-05-20 11:11:00,95.0,95.0,95.0,95.0,51489,32044,17257,0
38,2020-05-20 11:12:00,95.5,95.5,95.5,95.5,42623,32376,17160,0
39,2020-05-20 11:13:00,94.6,94.6,94.6,94.6,41440,32753,17207,0
40,2020-05-20 11:15:00,94.5,94.5,94.5,94.5,50346,33440,17266,0
41,2020-05-20 11:21:00,94.85,94.85,94.85,94.85,51923,33789,17359,0
42,2020-05-20 11:31:00,94.95,94.95,94.95,94.95,43776,34149,17302,0
43,2020-05-20 11:32:00,94.95,94.95,94.95,94.95,42199,34349,17302,0
44,2020-05-20 11:33:00,95.0,95.0,95.0,95.0,50546,34312,17084,0
45,2020-05-20 11:40:00,94.65,94.65,94.65,94.65,52709,33811,17418,0
46,2020-05-20 11:41:00,94.65,94.65,94.65,94.65,44362,33759,19093,0
47,2020-05-20 11:45:00,94.8,94.8,94.8,94.8,42364,33762,19287,0
48,2020-05-20 11:54:00,94.5,94.5,94.5,94.5,52056,33259,16907,0
49,2020-05-20 11:57:00,94.4,94.4,94.4,94.4,54364,32995,17012,0
50,2020-05-20 11:59:00,94.2,94.2,94.2,94.2,45113,31307,17320,0
51,2020-05-20 12:09:00,94.15,94.15,94.15,94.15,45666,30472,17952,0
52,2020-05-20 12:20:00,94.4,94.4,94.4,94.4,57302,31319,18036,0
53,2020-05-20 12:21:00,94.1,94.1,94.1,94.1,56935,31107,18122,0
54,2020-05-20 12:23:00,94.1,94.1,94.1,94.1,45535,31858,18283,0
