,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,26.55,26.55,26.55,26.55,0,65602,25233,0
1,2020-05-20 09:17:00,26.8,26.8,26.8,26.8,0,152913,34748,0
2,2020-05-20 09:21:00,26.75,26.75,26.75,26.75,7427,182930,76273,0
3,2020-05-20 09:30:00,26.65,26.65,26.65,26.65,14283,103935,87939,0
4,2020-05-20 09:31:00,26.55,26.55,26.55,26.55,8781,103233,85803,0
5,2020-05-20 09:32:00,26.6,26.6,26.6,26.6,2743,103979,84593,0
6,2020-05-20 09:42:00,26.75,26.75,26.75,26.75,11729,105587,87817,0
7,2020-05-20 10:57:00,26.65,26.65,26.65,26.65,41503,113434,152777,0
8,2020-05-20 11:07:00,26.55,26.55,26.55,26.55,34579,115028,152798,0
9,2020-05-20 11:12:00,26.65,26.65,26.65,26.65,5134,114150,154693,0
10,2020-05-20 11:23:00,26.6,26.6,26.6,26.6,12437,113080,154954,0
11,2020-05-20 11:40:00,26.6,26.6,26.6,26.6,46140,112692,157364,0
12,2020-05-20 11:54:00,26.65,26.65,26.65,26.65,41097,112025,158057,0
13,2020-05-20 12:15:00,26.6,26.6,26.6,26.6,7697,113883,159188,0
14,2020-05-20 12:24:00,26.6,26.6,26.6,26.6,13938,118270,159594,0
15,2020-05-20 12:29:00,26.65,26.65,26.65,26.65,47491,118191,159235,0
16,2020-05-20 13:26:00,27.0,27.0,27.0,27.0,90567,130571,88731,0
17,2020-05-20 13:29:00,27.1,27.1,27.1,27.1,57322,131516,87972,0
18,2020-05-20 13:37:00,27.0,27.0,27.0,27.0,23635,130694,83568,0
19,2020-05-20 14:12:00,27.1,27.1,27.1,27.1,85778,137614,79852,0
20,2020-05-20 14:13:00,27.1,27.1,27.1,27.1,119483,137624,79663,0
21,2020-05-20 14:16:00,27.05,27.05,27.05,27.05,58509,136786,81686,0
22,2020-05-20 14:25:00,27.1,27.1,27.1,27.1,38385,138403,77220,0
23,2020-05-20 14:34:00,27.0,27.0,27.0,27.0,119934,133734,79012,0
24,2020-05-20 14:44:00,27.0,27.0,27.0,27.0,149083,137627,96231,0
25,2020-05-20 14:48:00,27.05,27.05,27.05,27.05,89633,138220,74711,0
26,2020-05-20 14:52:00,27.05,27.05,27.05,27.05,61034,136175,74441,0
27,2020-05-20 15:15:00,27.1,27.1,27.1,27.1,141448,106293,92692,0
28,2020-05-20 15:25:00,27.1,27.1,27.1,27.1,183299,78171,72465,0
29,2020-05-20 15:27:00,27.0,27.0,27.0,27.0,109855,36459,71057,0
