,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,150.25,150.25,150.25,150.25,0,80025,163811,0
1,2020-05-20 09:07:00,150.25,150.45,150.25,150.45,13912,251357,516724,0
2,2020-05-20 09:08:00,150.45,150.45,150.45,150.45,13912,74947,165072,0
3,2020-05-20 09:11:00,150.45,150.45,150.45,150.45,0,74947,165072,0
4,2020-05-20 09:14:00,150.45,150.45,150.45,150.45,0,74947,165072,0
5,2020-05-20 09:15:00,150.55,150.55,150.55,150.55,14584,77915,177541,0
6,2020-05-20 09:18:00,152.1,152.45,152.1,152.45,542560,947156,1361297,0
7,2020-05-20 09:19:00,152.5,152.5,152.5,152.5,543402,497135,678307,0
8,2020-05-20 09:20:00,152.9,153.35,152.9,153.2,133090,1685289,2093511,0
9,2020-05-20 09:22:00,154.0,154.0,153.55,153.55,857087,1261719,1610878,0
10,2020-05-20 09:23:00,153.45,153.45,153.2,153.2,265667,1281232,1706619,0
11,2020-05-20 09:24:00,153.55,153.8,153.4,153.8,934631,2023888,2641856,0
12,2020-05-20 09:25:00,154.0,154.0,154.0,154.0,1108117,713969,826203,0
13,2020-05-20 09:26:00,154.2,154.2,153.95,153.95,430342,2199581,2574681,0
14,2020-05-20 09:27:00,153.85,153.85,153.5,153.5,1202500,1424329,1857726,0
15,2020-05-20 09:28:00,153.4,153.4,153.4,153.4,1349685,752968,1053329,0
16,2020-05-20 09:29:00,153.3,153.3,153.25,153.25,489470,1529037,2109460,0
17,2020-05-20 09:30:00,153.25,153.25,153.0,153.0,1458474,1439502,2233444,0
18,2020-05-20 09:31:00,152.6,152.6,152.6,152.6,1534908,710405,1132750,0
19,2020-05-20 09:32:00,153.3,153.3,153.3,153.3,631241,770119,1103196,0
20,2020-05-20 09:33:00,153.15,153.5,153.15,153.5,1530965,2481508,3364108,0
21,2020-05-20 09:34:00,153.65,153.65,153.65,153.65,1550522,856468,1126716,0
22,2020-05-20 09:35:00,153.7,153.7,153.45,153.45,807501,2631529,3562243,0
23,2020-05-20 09:36:00,153.45,153.5,153.4,153.5,1627155,2605998,3627121,0
24,2020-05-20 09:37:00,153.55,153.7,153.55,153.7,902373,1761512,2402939,0
25,2020-05-20 09:38:00,153.9,153.9,153.9,153.9,1706065,1830316,2352699,0
26,2020-05-20 09:39:00,154.55,154.55,154.55,154.55,1939527,900796,1017293,0
27,2020-05-20 09:40:00,154.4,154.4,154.2,154.2,1045977,1848738,2303220,0
28,2020-05-20 09:41:00,154.2,154.2,154.2,154.2,1982341,1881888,2359025,0
29,2020-05-20 09:42:00,154.3,154.3,154.3,154.3,2035970,966121,1216722,0
30,2020-05-20 09:43:00,154.3,154.3,154.05,154.2,1231397,2966698,3406983,0
31,2020-05-20 09:44:00,154.4,154.4,154.35,154.35,2059760,2003283,2258005,0
32,2020-05-20 09:45:00,154.45,154.45,154.45,154.45,2098581,1024372,1149764,0
33,2020-05-20 09:46:00,154.0,154.0,153.9,153.9,1321573,2011150,2366977,0
34,2020-05-20 09:47:00,154.0,154.0,154.0,154.0,1350661,1038056,1198039,0
35,2020-05-20 09:48:00,154.45,154.45,154.45,154.45,2163822,1053258,1184379,0
36,2020-05-20 09:49:00,154.4,154.4,154.3,154.3,1476519,2122928,2266410,0
37,2020-05-20 09:50:00,154.4,154.4,154.4,154.4,2171750,2126284,2321734,0
38,2020-05-20 09:51:00,154.15,154.15,154.1,154.1,1526881,2097509,2344331,0
39,2020-05-20 09:52:00,153.9,153.9,153.8,153.8,2230543,2112788,2398843,0
40,2020-05-20 09:53:00,154.0,154.0,153.95,154.0,1546000,3205757,3590812,0
41,2020-05-20 09:54:00,154.05,154.1,154.05,154.1,2257004,2145222,2416267,0
42,2020-05-20 09:55:00,153.95,153.95,153.95,153.95,2279904,1076600,1214650,0
43,2020-05-20 09:56:00,153.95,153.95,153.85,153.85,1575698,2135239,2442608,0
44,2020-05-20 09:57:00,153.8,153.8,153.8,153.8,1609837,1034905,1244320,0
45,2020-05-20 09:59:00,153.8,153.8,153.8,153.8,2368771,1055221,1254461,0
46,2020-05-20 10:00:00,153.7,153.7,153.7,153.7,2351546,1067773,1252733,0
47,2020-05-20 10:01:00,153.9,153.9,153.9,153.9,1656957,1062892,1223001,0
48,2020-05-20 10:02:00,153.85,153.85,153.85,153.85,1704375,1071294,1238616,0
49,2020-05-20 10:03:00,153.85,153.85,153.85,153.85,2421315,1065049,1241552,0
50,2020-05-20 10:04:00,153.9,153.9,153.9,153.9,1662216,2132678,2519016,0
51,2020-05-20 10:06:00,153.7,153.7,153.7,153.7,1777597,942702,1249608,0
52,2020-05-20 10:09:00,153.2,153.2,153.2,153.2,2752255,917075,1305773,0
53,2020-05-20 10:10:00,153.15,153.15,153.15,153.15,2663812,905462,1298552,0
54,2020-05-20 10:11:00,152.8,152.8,152.8,152.8,1805058,801920,1320637,0
55,2020-05-20 10:12:00,153.05,153.05,153.05,153.05,2784847,1696323,2621329,0
56,2020-05-20 10:13:00,153.05,153.05,153.05,153.05,2800224,863646,1369989,0
57,2020-05-20 10:14:00,152.95,152.95,152.95,152.95,1835834,872966,1387146,0
58,2020-05-20 10:15:00,152.95,152.95,152.9,152.9,2859704,1750517,2745747,0
59,2020-05-20 10:16:00,152.8,152.8,152.8,152.8,1867333,1739710,2767553,0
60,2020-05-20 10:17:00,152.7,152.8,152.7,152.8,2893523,1729798,2759606,0
61,2020-05-20 10:18:00,152.6,152.6,152.6,152.6,2913385,846301,1390599,0
62,2020-05-20 10:20:00,152.5,152.5,152.5,152.5,1994896,834035,1397399,0
63,2020-05-20 10:22:00,152.35,152.4,152.35,152.4,2973537,1704266,2826279,0
64,2020-05-20 10:23:00,152.5,152.55,152.5,152.55,2016732,1694357,2813009,0
65,2020-05-20 10:24:00,152.8,152.8,152.8,152.8,2041123,872459,1392985,0
66,2020-05-20 10:25:00,152.75,152.75,152.75,152.75,3019455,884048,1396849,0
67,2020-05-20 10:26:00,152.5,152.55,152.5,152.55,2068865,2604366,4235423,0
68,2020-05-20 10:28:00,152.35,152.35,152.35,152.35,2121480,861939,1420564,0
69,2020-05-20 10:30:00,152.4,152.4,152.4,152.4,3106613,863564,1430053,0
70,2020-05-20 10:32:00,152.05,152.05,152.05,152.05,3217262,784715,1436981,0
