,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,1200.15,1200.15,1200.15,1200.15,0,4141,933,0
1,2020-05-20 09:07:00,1217.95,1217.95,1217.95,1217.95,0,4122,993,0
2,2020-05-20 09:15:00,1217.95,1217.95,1217.95,1217.95,20,4345,1181,0
3,2020-05-20 09:20:00,1204.1,1204.1,1204.1,1204.1,166,7669,3858,0
4,2020-05-20 09:22:00,1210.2,1210.2,1210.2,1210.2,229,8413,4842,0
5,2020-05-20 09:25:00,1209.95,1209.95,1209.95,1209.95,99,10726,6139,0
6,2020-05-20 09:31:00,1213.4,1213.4,1213.4,1213.4,370,10976,6037,0
7,2020-05-20 09:32:00,1213.4,1213.4,1213.4,1213.4,500,10982,6155,0
8,2020-05-20 09:35:00,1205.5,1205.5,1205.5,1205.5,248,10961,6148,0
9,2020-05-20 09:36:00,1205.5,1205.5,1205.5,1205.5,118,10955,6277,0
10,2020-05-20 09:38:00,1209.85,1209.85,1209.85,1209.85,393,14688,9268,0
11,2020-05-20 09:41:00,1208.05,1208.05,1208.05,1208.05,524,14721,9323,0
12,2020-05-20 09:45:00,1208.0,1208.0,1208.0,1208.0,167,29566,18972,0
13,2020-05-20 09:52:00,1209.95,1209.95,1209.95,1209.95,253,14517,9522,0
14,2020-05-20 10:00:00,1208.15,1208.15,1208.15,1208.15,632,14632,9438,0
15,2020-05-20 10:04:00,1210.0,1210.0,1210.0,1210.0,639,14672,9509,0
16,2020-05-20 10:13:00,1211.0,1211.0,1211.0,1211.0,311,14667,9641,0
17,2020-05-20 10:15:00,1210.75,1210.75,1210.75,1210.75,349,14660,9705,0
18,2020-05-20 10:28:00,1197.95,1197.95,1197.95,1197.95,1039,14401,10411,0
19,2020-05-20 10:40:00,1196.8,1196.8,1196.8,1196.8,1267,21121,16776,0
20,2020-05-20 10:48:00,1204.9,1204.9,1204.9,1204.9,770,23872,18610,0
21,2020-05-20 10:55:00,1204.9,1204.9,1204.9,1204.9,552,23994,18694,0
22,2020-05-20 11:00:00,1203.0,1203.0,1203.0,1203.0,1064,23977,18765,0
23,2020-05-20 11:02:00,1202.9,1202.9,1202.9,1202.9,1298,23951,18815,0
24,2020-05-20 11:03:00,1201.7,1201.7,1201.7,1201.7,796,23937,18836,0
25,2020-05-20 11:04:00,1202.7,1202.7,1202.6,1202.6,1070,90970,72327,0
26,2020-05-20 11:05:00,1202.5,1202.5,1202.5,1202.5,1073,22763,18085,0
27,2020-05-20 11:06:00,1202.5,1202.5,1201.25,1201.25,846,45435,36186,0
28,2020-05-20 11:07:00,1202.15,1202.15,1202.15,1202.15,848,22780,18088,0
29,2020-05-20 11:08:00,1202.15,1202.15,1202.15,1202.15,1075,22793,18088,0
30,2020-05-20 11:26:00,1202.5,1202.5,1202.5,1202.5,1152,24019,19017,0
31,2020-05-20 11:46:00,1202.9,1202.9,1202.9,1202.9,1029,25338,19990,0
32,2020-05-20 12:05:00,1202.05,1202.05,1202.05,1202.05,1161,25310,20139,0
33,2020-05-20 12:20:00,1202.9,1202.9,1202.9,1202.9,1543,25305,20113,0
34,2020-05-20 12:31:00,1202.0,1202.0,1202.0,1202.0,1467,25321,20085,0
35,2020-05-20 12:59:00,1205.05,1205.05,1205.05,1205.05,1241,24249,19301,0
36,2020-05-20 13:14:00,1202.0,1202.0,1202.0,1202.0,1403,24092,19683,0
37,2020-05-20 13:22:00,1202.95,1202.95,1202.95,1202.95,1741,24161,19386,0
38,2020-05-20 13:41:00,1202.0,1202.0,1202.0,1202.0,1727,26075,20830,0
39,2020-05-20 14:07:00,1203.55,1203.55,1203.55,1203.55,1514,27467,21401,0
40,2020-05-20 14:22:00,1204.05,1204.05,1204.05,1204.05,2083,27412,21093,0
41,2020-05-20 14:46:00,1205.4,1205.4,1205.4,1205.4,2529,28647,21814,0
42,2020-05-20 14:56:00,1205.9,1205.9,1205.9,1205.9,2109,28365,21540,0
43,2020-05-20 15:02:00,1206.5,1206.5,1206.5,1206.5,1890,28024,20337,0
44,2020-05-20 15:06:00,1210.0,1210.0,1210.0,1210.0,2672,27724,8305,0
45,2020-05-20 15:11:00,1212.0,1212.0,1212.0,1212.0,3132,27850,9573,0
46,2020-05-20 15:19:00,1210.35,1210.35,1210.35,1210.35,2517,27916,9540,0
47,2020-05-20 15:21:00,1215.0,1215.0,1215.0,1215.0,2120,27349,10353,0
48,2020-05-20 15:22:00,1212.65,1212.65,1212.65,1212.65,2917,25385,9587,0
49,2020-05-20 15:25:00,1212.0,1212.0,1212.0,1212.0,3335,8182,3839,0
50,2020-05-20 15:28:00,1211.95,1214.95,1211.95,1214.95,2351,16145,6664,0
