,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,1027.8,1027.8,1027.8,1027.8,0,242,969,0
1,2020-05-20 09:16:00,1013.15,1013.45,1013.15,1013.45,34,1590,2756,0
2,2020-05-20 09:26:00,1032.8,1032.8,1032.8,1032.8,791,3616,4241,0
3,2020-05-20 09:27:00,1034.95,1034.95,1034.95,1034.95,778,3731,4187,0
4,2020-05-20 09:30:00,1033.95,1033.95,1033.95,1033.95,118,4640,4829,0
5,2020-05-20 09:37:00,1016.95,1016.95,1016.95,1016.95,767,3203,5939,0
6,2020-05-20 09:40:00,1013.8,1013.8,1013.8,1013.8,2184,2658,6173,0
7,2020-05-20 09:43:00,1015.0,1015.0,1015.0,1015.0,1739,2648,6405,0
8,2020-05-20 09:45:00,1017.2,1017.2,1017.2,1017.2,334,2799,6369,0
9,2020-05-20 09:46:00,1019.0,1019.0,1019.0,1019.0,792,2897,6302,0
10,2020-05-20 09:48:00,1025.1,1025.1,1025.1,1025.1,2258,3183,6378,0
11,2020-05-20 09:55:00,1027.1,1029.5,1027.1,1029.5,646,8161,12262,0
12,2020-05-20 09:57:00,1029.5,1029.5,1029.5,1029.5,828,4075,6080,0
13,2020-05-20 10:02:00,1024.4,1024.4,1024.4,1024.4,2509,3914,6121,0
14,2020-05-20 10:09:00,1023.35,1023.35,1023.35,1023.35,2608,3523,6358,0
15,2020-05-20 10:12:00,1024.65,1024.65,1024.65,1024.65,977,3655,6230,0
16,2020-05-20 10:22:00,1024.0,1024.0,1024.0,1024.0,1094,3554,5765,0
17,2020-05-20 10:23:00,1025.0,1028.6,1025.0,1028.6,2754,7866,11066,0
18,2020-05-20 10:24:00,1028.6,1028.6,1028.6,1028.6,2754,4088,5376,0
19,2020-05-20 10:26:00,1026.65,1026.65,1026.65,1026.65,1395,4072,5598,0
20,2020-05-20 10:28:00,1029.35,1029.35,1029.35,1029.35,1421,4250,5618,0
21,2020-05-20 10:31:00,1028.95,1028.95,1028.95,1028.95,2813,4277,5720,0
22,2020-05-20 10:34:00,1031.25,1031.25,1031.25,1031.25,2863,4443,5411,0
