,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,106.35,106.35,106.35,106.35,0,35401,155638,0
1,2020-05-20 09:07:00,106.35,106.35,106.35,106.35,0,40917,161032,0
2,2020-05-20 09:15:00,106.1,106.9,106.1,106.9,15823,107041,421214,0
3,2020-05-20 09:17:00,107.3,107.45,107.3,107.45,44028,193948,506843,0
4,2020-05-20 09:18:00,107.35,107.35,107.35,107.35,47778,109483,257044,0
5,2020-05-20 09:19:00,107.3,107.3,107.3,107.3,31834,303504,651701,0
6,2020-05-20 09:20:00,107.25,107.25,107.0,107.0,59404,298488,702503,0
7,2020-05-20 09:22:00,107.25,107.25,106.8,106.8,55073,305799,781589,0
8,2020-05-20 09:24:00,106.65,106.65,106.65,106.65,70997,308406,806531,0
9,2020-05-20 09:25:00,106.15,106.15,106.15,106.15,84013,155107,416757,0
10,2020-05-20 09:26:00,106.15,106.15,106.15,106.15,69909,157480,418567,0
11,2020-05-20 09:27:00,106.1,106.1,106.05,106.05,79211,325098,855904,0
12,2020-05-20 09:28:00,106.1,106.1,106.1,106.1,83346,162432,427800,0
13,2020-05-20 09:30:00,105.75,105.75,105.6,105.75,86264,638337,1778882,0
14,2020-05-20 09:32:00,105.8,105.95,105.8,105.95,99239,326005,892769,0
15,2020-05-20 09:34:00,106.15,106.5,106.15,106.5,92910,351755,875597,0
16,2020-05-20 09:35:00,106.3,106.3,106.3,106.3,93081,180966,436820,0
17,2020-05-20 09:36:00,106.1,106.25,106.1,106.25,104246,358892,887915,0
18,2020-05-20 09:38:00,106.15,106.15,106.0,106.0,99135,356091,896550,0
19,2020-05-20 09:39:00,106.0,106.1,106.0,106.1,107848,527979,1347675,0
20,2020-05-20 09:40:00,106.15,106.15,106.1,106.1,100530,536770,1351034,0
21,2020-05-20 09:41:00,106.15,106.15,106.15,106.15,101815,181586,450915,0
22,2020-05-20 09:42:00,106.1,106.1,106.1,106.1,110008,181204,451162,0
23,2020-05-20 09:43:00,106.0,106.0,106.0,106.0,116398,181862,453872,0
24,2020-05-20 09:44:00,106.15,106.15,106.15,106.15,125634,372526,906686,0
25,2020-05-20 09:45:00,106.25,106.5,106.25,106.5,124758,373779,901492,0
26,2020-05-20 09:46:00,106.25,106.25,106.25,106.25,127586,190551,452212,0
27,2020-05-20 09:47:00,106.3,106.3,106.1,106.3,127736,575122,1364005,0
28,2020-05-20 09:49:00,106.65,106.65,106.65,106.65,134317,200494,449453,0
29,2020-05-20 09:50:00,106.7,106.7,106.7,106.7,134267,200094,450028,0
30,2020-05-20 09:51:00,106.85,106.85,106.7,106.7,134173,409273,901033,0
31,2020-05-20 09:53:00,107.05,107.15,107.05,107.15,145264,417021,891265,0
32,2020-05-20 09:54:00,107.1,107.1,107.1,107.1,145913,211215,446032,0
33,2020-05-20 09:55:00,107.05,107.05,106.85,106.85,137932,634772,1352692,0
34,2020-05-20 09:56:00,106.9,106.9,106.55,106.55,146818,621049,1367139,0
35,2020-05-20 09:57:00,106.8,106.8,106.8,106.8,147771,208337,456850,0
36,2020-05-20 09:58:00,106.75,106.9,106.75,106.9,141460,417877,920366,0
37,2020-05-20 10:00:00,106.8,106.8,106.8,106.8,143654,212693,461087,0
38,2020-05-20 10:02:00,106.8,106.8,106.8,106.8,153936,213324,461416,0
39,2020-05-20 10:03:00,106.7,106.7,106.7,106.7,153285,213755,470321,0
40,2020-05-20 10:05:00,106.7,106.7,106.7,106.7,147418,209776,483301,0
41,2020-05-20 10:07:00,106.4,106.4,106.4,106.4,151771,210968,492788,0
42,2020-05-20 10:11:00,106.0,106.0,106.0,106.0,181538,202822,509188,0
43,2020-05-20 10:14:00,106.2,106.35,106.2,106.35,158127,421739,1016895,0
44,2020-05-20 10:16:00,106.5,106.5,106.5,106.5,191185,428248,1001121,0
45,2020-05-20 10:17:00,106.4,106.4,106.4,106.4,191769,214197,503264,0
46,2020-05-20 10:18:00,105.9,105.9,105.9,105.9,161360,206203,510819,0
47,2020-05-20 10:20:00,105.75,105.75,105.75,105.75,195314,452652,1038901,0
48,2020-05-20 10:21:00,105.75,105.8,105.75,105.8,170098,402467,1047632,0
49,2020-05-20 10:22:00,106.3,106.3,106.25,106.25,200354,726035,1547836,0
50,2020-05-20 10:23:00,106.45,106.45,106.45,106.45,217635,212830,511580,0
51,2020-05-20 10:24:00,106.25,106.25,106.25,106.25,170467,425397,1023456,0
52,2020-05-20 10:25:00,106.1,106.1,106.1,106.1,174065,212311,515649,0
53,2020-05-20 10:28:00,106.35,106.35,106.35,106.35,225479,220111,513336,0
54,2020-05-20 10:31:00,106.05,106.05,106.05,106.05,223868,221014,518924,0
55,2020-05-20 10:32:00,106.1,106.1,106.1,106.1,174655,219972,524271,0
56,2020-05-20 10:33:00,106.1,106.1,106.1,106.1,176366,219899,520201,0
57,2020-05-20 10:35:00,106.0,106.15,106.0,106.15,226115,656143,1566051,0
58,2020-05-20 10:37:00,106.35,106.35,106.35,106.35,180704,669049,1550931,0
59,2020-05-20 10:38:00,106.2,106.2,106.2,106.2,180749,224441,516781,0
60,2020-05-20 10:42:00,106.3,106.3,106.3,106.3,228844,223941,496941,0
61,2020-05-20 10:44:00,106.2,106.2,106.2,106.2,229387,223928,497345,0
62,2020-05-20 10:51:00,106.2,106.2,106.2,106.2,199447,228957,513560,0
63,2020-05-20 10:52:00,106.2,106.2,106.2,106.2,200698,228528,513796,0
64,2020-05-20 10:54:00,106.3,106.3,106.3,106.3,232670,231492,510042,0
65,2020-05-20 10:55:00,106.3,106.3,106.3,106.3,200042,463055,1019715,0
66,2020-05-20 10:56:00,106.25,106.25,106.25,106.25,233095,464261,1019432,0
67,2020-05-20 11:00:00,106.1,106.1,106.1,106.1,241185,234731,512276,0
68,2020-05-20 11:01:00,106.1,106.25,106.1,106.25,200198,467839,1026371,0
69,2020-05-20 11:03:00,106.15,106.15,106.15,106.15,202742,234334,512881,0
70,2020-05-20 11:05:00,106.1,106.1,106.1,106.1,244248,232598,514866,0
71,2020-05-20 11:06:00,106.15,106.15,106.15,106.15,242111,231224,515090,0
72,2020-05-20 11:16:00,106.1,106.1,106.1,106.1,209386,228144,520264,0
73,2020-05-20 11:17:00,106.1,106.1,106.1,106.1,212023,228332,519795,0
74,2020-05-20 11:18:00,106.1,106.1,106.1,106.1,243665,459102,1039363,0
75,2020-05-20 11:19:00,106.15,106.15,106.15,106.15,243911,229937,518869,0
76,2020-05-20 11:22:00,106.05,106.05,106.05,106.05,218120,459074,1040376,0
77,2020-05-20 11:23:00,106.05,106.05,106.05,106.05,218595,229402,521113,0
78,2020-05-20 11:26:00,106.6,106.7,106.6,106.7,254508,474957,1011084,0
79,2020-05-20 11:27:00,106.6,106.6,106.25,106.25,222036,707180,1520969,0
80,2020-05-20 11:29:00,106.5,106.5,106.5,106.5,225221,238186,508142,0
81,2020-05-20 11:30:00,106.5,106.5,106.5,106.5,257855,239329,509558,0
82,2020-05-20 11:34:00,106.35,106.35,106.35,106.35,257808,237630,513803,0
83,2020-05-20 11:35:00,106.35,106.35,106.35,106.35,225601,238694,513665,0
84,2020-05-20 11:37:00,106.45,106.45,106.45,106.45,227583,240411,516354,0
85,2020-05-20 11:38:00,106.5,106.5,106.45,106.45,258013,479784,1031693,0
86,2020-05-20 11:40:00,106.35,106.35,106.35,106.35,260328,241195,514884,0
87,2020-05-20 11:44:00,106.25,106.25,106.25,106.25,230827,241589,517879,0
88,2020-05-20 11:50:00,106.2,106.2,106.2,106.2,233888,242147,522987,0
89,2020-05-20 11:52:00,106.25,106.25,106.25,106.25,265162,238897,523409,0
90,2020-05-20 11:59:00,105.95,105.95,105.95,105.95,269420,231513,534540,0
91,2020-05-20 12:01:00,106.1,106.1,106.1,106.1,240180,237547,531871,0
92,2020-05-20 12:02:00,106.0,106.2,106.0,106.2,270678,710569,1593123,0
93,2020-05-20 12:07:00,106.1,106.1,106.1,106.1,271260,239399,530293,0
94,2020-05-20 12:13:00,106.0,106.0,106.0,106.0,242868,489146,1067134,0
95,2020-05-20 12:14:00,106.0,106.0,106.0,106.0,242908,243756,533666,0
96,2020-05-20 12:15:00,106.0,106.0,106.0,106.0,271511,243866,534655,0
97,2020-05-20 12:16:00,106.0,106.0,106.0,106.0,272502,243421,533811,0
98,2020-05-20 12:19:00,106.25,106.25,106.25,106.25,247822,493568,1057654,0
99,2020-05-20 12:21:00,105.9,105.9,105.9,105.9,250859,242915,551001,0
