,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,160.1,160.1,160.1,160.1,0,18913,14827,0
1,2020-05-20 09:15:00,162.0,162.0,162.0,162.0,0,18863,15121,0
2,2020-05-20 09:19:00,160.9,160.9,160.9,160.9,2109,31697,32582,0
3,2020-05-20 09:20:00,161.3,161.3,161.3,161.3,3273,33221,32628,0
4,2020-05-20 09:21:00,161.3,161.3,161.3,161.3,1204,34244,34203,0
5,2020-05-20 09:29:00,160.5,160.5,160.5,160.5,3877,41615,47929,0
6,2020-05-20 09:31:00,160.45,160.95,160.45,160.95,7196,82980,96275,0
7,2020-05-20 09:40:00,160.7,160.7,160.7,160.7,9944,43505,52620,0
8,2020-05-20 09:42:00,160.5,160.5,160.5,160.5,6840,43551,52860,0
9,2020-05-20 09:50:00,161.0,161.0,161.0,161.0,5573,46540,54234,0
10,2020-05-20 09:53:00,161.4,161.4,161.4,161.4,9054,48040,53592,0
11,2020-05-20 10:36:00,159.8,159.8,159.8,159.8,21933,51297,68140,0
12,2020-05-20 10:46:00,160.75,160.75,160.75,160.75,21426,52936,67919,0
13,2020-05-20 10:47:00,160.2,160.2,160.2,160.2,8567,53206,67665,0
14,2020-05-20 10:49:00,160.8,160.8,160.8,160.8,9174,52951,68477,0
15,2020-05-20 11:25:00,160.0,160.0,160.0,160.0,24437,55449,71206,0
16,2020-05-20 11:41:00,159.7,159.7,159.7,159.7,25011,55396,71748,0
17,2020-05-20 11:43:00,159.9,159.9,159.9,159.9,9858,57158,73762,0
18,2020-05-20 12:06:00,159.5,159.5,159.5,159.5,14795,55737,74434,0
19,2020-05-20 12:09:00,159.0,159.0,159.0,159.0,30295,54844,75101,0
20,2020-05-20 12:19:00,159.1,159.1,159.1,159.1,25677,55309,75691,0
21,2020-05-20 12:21:00,159.2,159.2,159.2,159.2,10187,55311,75681,0
22,2020-05-20 12:32:00,158.75,158.75,158.75,158.75,15147,55515,76634,0
23,2020-05-20 12:37:00,158.4,158.4,158.4,158.4,31455,55512,77006,0
24,2020-05-20 12:40:00,158.5,158.5,158.5,158.5,26614,53197,76442,0
25,2020-05-20 12:53:00,158.65,158.65,158.65,158.65,11308,52411,75127,0
26,2020-05-20 12:59:00,158.5,158.5,158.5,158.5,16402,52668,74891,0
27,2020-05-20 13:06:00,159.35,159.35,159.35,159.35,32390,54959,75348,0
28,2020-05-20 13:09:00,158.75,158.75,158.75,158.75,27600,55080,75612,0
29,2020-05-20 13:17:00,158.5,158.5,158.5,158.5,12106,54474,76015,0
30,2020-05-20 13:27:00,159.05,159.05,159.05,159.05,17153,56014,75532,0
31,2020-05-20 13:35:00,159.7,159.7,159.7,159.7,35244,55528,75224,0
32,2020-05-20 13:52:00,159.45,159.45,159.45,159.45,31069,56073,75101,0
33,2020-05-20 14:20:00,158.15,158.15,158.15,158.15,18522,53045,79069,0
34,2020-05-20 14:22:00,158.1,158.1,158.1,158.1,24894,51972,76892,0
35,2020-05-20 14:26:00,158.5,158.5,158.5,158.5,38754,51962,76166,0
36,2020-05-20 14:27:00,158.5,158.5,158.5,158.5,32382,52139,76166,0
37,2020-05-20 14:28:00,159.0,159.0,159.0,159.0,18578,52532,75523,0
38,2020-05-20 14:33:00,159.0,159.0,159.0,159.0,25215,53196,75867,0
39,2020-05-20 14:37:00,158.5,158.5,158.5,158.5,39076,53712,76889,0
40,2020-05-20 14:41:00,158.65,158.65,158.65,158.65,33371,53620,76677,0
41,2020-05-20 14:53:00,159.25,159.25,159.25,159.25,24534,52237,76008,0
42,2020-05-20 15:14:00,157.55,157.55,157.55,157.55,38240,47213,58197,0
43,2020-05-20 15:17:00,157.55,157.55,157.55,157.55,49061,46337,56570,0
44,2020-05-20 15:18:00,157.5,157.5,157.5,157.5,35457,46435,55975,0
45,2020-05-20 15:25:00,158.5,158.5,158.5,158.5,28552,29000,51288,0
46,2020-05-20 15:26:00,158.7,158.7,158.7,158.7,43699,28577,50039,0
47,2020-05-20 15:27:00,158.35,158.35,158.35,158.35,50618,28622,50006,0
