,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-19 10:37:00,1288.0,1288.0,1288.0,1288.0,278,366,275,0
1,2020-05-19 12:16:00,1297.8,1297.8,1297.8,1297.8,366,522,235,0
2,2020-05-19 12:34:00,1300.0,1300.0,1300.0,1300.0,418,471,184,0
3,2020-05-19 12:45:00,1320.0,1320.0,1320.0,1320.0,486,500,61,0
4,2020-05-19 12:49:00,1320.0,1320.0,1320.0,1320.0,487,420,60,0
5,2020-05-19 12:51:00,1305.2,1305.2,1305.2,1305.2,492,448,60,0
6,2020-05-19 13:00:00,1329.5,1329.5,1329.5,1329.5,552,717,0,0
7,2020-05-19 13:45:00,1329.5,1329.5,1329.5,1329.5,595,818,0,0
8,2020-05-19 14:00:00,1329.5,1329.5,1329.5,1329.5,620,849,0,0
9,2020-05-19 15:23:00,1329.5,1329.5,1329.5,1329.5,695,968,0,0
10,2020-05-19 15:30:00,1329.5,1329.5,1329.5,1329.5,696,470,0,0
11,2020-05-19 15:31:00,1329.5,1329.5,1329.5,1329.5,696,465,0,0
