,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,31.35,31.35,31.35,31.35,0,60943,48140,0
1,2020-05-20 09:08:00,31.4,31.4,31.4,31.4,0,61774,49062,0
2,2020-05-20 09:11:00,31.4,31.4,31.4,31.4,1578,61774,49062,0
3,2020-05-20 09:14:00,31.4,31.4,31.4,31.4,1578,61774,49062,0
4,2020-05-20 09:15:00,31.4,31.4,31.4,31.4,0,61774,49062,0
5,2020-05-20 09:16:00,31.25,31.25,31.25,31.25,13213,178126,161154,0
6,2020-05-20 09:18:00,31.35,31.35,31.35,31.35,33322,311428,202267,0
7,2020-05-20 09:24:00,31.6,31.6,31.6,31.6,108454,515705,380656,0
8,2020-05-20 09:27:00,31.4,31.4,31.4,31.4,100407,963802,870993,0
9,2020-05-20 09:28:00,31.45,31.45,31.45,31.45,114562,487174,449205,0
10,2020-05-20 09:30:00,31.35,31.4,31.35,31.4,125052,968355,913720,0
11,2020-05-20 09:32:00,31.4,31.4,31.4,31.4,146502,489268,439152,0
12,2020-05-20 09:33:00,31.45,31.45,31.45,31.45,149478,499309,438460,0
13,2020-05-20 09:34:00,31.5,31.5,31.5,31.5,132318,503742,430815,0
14,2020-05-20 09:35:00,31.5,31.5,31.5,31.5,130893,512378,435248,0
15,2020-05-20 09:36:00,31.45,31.45,31.45,31.45,149648,509485,448004,0
16,2020-05-20 09:37:00,31.3,31.3,31.3,31.3,173221,475370,619794,0
17,2020-05-20 09:40:00,31.45,31.45,31.45,31.45,330506,538896,440932,0
18,2020-05-20 09:47:00,31.5,31.5,31.5,31.5,199516,1112653,879286,0
19,2020-05-20 09:49:00,31.45,31.45,31.45,31.45,222642,537759,463915,0
20,2020-05-20 09:50:00,31.55,31.55,31.55,31.55,357382,555094,441537,0
21,2020-05-20 09:52:00,31.5,31.5,31.5,31.5,339778,556833,445465,0
22,2020-05-20 09:58:00,31.5,31.5,31.5,31.5,209997,556050,446096,0
23,2020-05-20 10:01:00,31.55,31.55,31.55,31.55,232834,561644,458672,0
24,2020-05-20 10:04:00,31.5,31.5,31.5,31.5,379625,554827,471528,0
25,2020-05-20 10:05:00,31.5,31.5,31.5,31.5,357319,556879,478828,0
26,2020-05-20 10:12:00,31.35,31.35,31.35,31.35,242556,514169,522124,0
27,2020-05-20 10:13:00,31.4,31.4,31.4,31.4,267862,512369,521134,0
28,2020-05-20 10:15:00,31.4,31.4,31.4,31.4,384206,513300,522070,0
29,2020-05-20 10:16:00,31.4,31.4,31.4,31.4,360010,514815,524560,0
30,2020-05-20 10:23:00,31.3,31.3,31.3,31.3,304157,1021473,1127143,0
31,2020-05-20 10:24:00,31.3,31.3,31.3,31.3,304334,513907,557858,0
32,2020-05-20 10:25:00,31.25,31.25,31.25,31.25,366680,506999,564381,0
33,2020-05-20 10:31:00,31.2,31.2,31.2,31.2,374199,512447,579398,0
34,2020-05-20 10:32:00,31.2,31.2,31.2,31.2,315655,509680,576457,0
35,2020-05-20 10:36:00,31.25,31.25,31.25,31.25,333678,525027,568795,0
36,2020-05-20 10:39:00,31.3,31.3,31.3,31.3,395890,543471,565524,0
37,2020-05-20 10:40:00,31.3,31.3,31.3,31.3,383631,554093,561460,0
38,2020-05-20 10:41:00,31.3,31.3,31.3,31.3,346968,1107372,1121837,0
39,2020-05-20 10:54:00,31.15,31.15,31.15,31.15,391286,550494,618589,0
40,2020-05-20 10:55:00,31.1,31.1,31.1,31.1,431671,549047,621218,0
41,2020-05-20 10:56:00,31.1,31.1,31.1,31.1,400602,532533,621821,0
42,2020-05-20 10:57:00,31.1,31.1,31.1,31.1,369014,534922,619192,0
43,2020-05-20 10:59:00,31.1,31.1,31.1,31.1,400435,538335,622345,0
44,2020-05-20 11:02:00,31.0,31.0,31.0,31.0,437588,529309,628272,0
45,2020-05-20 11:04:00,31.05,31.05,31.05,31.05,412454,539401,627785,0
46,2020-05-20 11:06:00,31.05,31.05,31.05,31.05,377816,536959,640697,0
47,2020-05-20 11:08:00,31.0,31.0,31.0,31.0,408266,538087,643363,0
48,2020-05-20 11:14:00,31.05,31.05,31.05,31.05,453835,546291,623384,0
49,2020-05-20 11:16:00,31.05,31.05,31.05,31.05,424065,546412,623100,0
50,2020-05-20 11:18:00,31.1,31.1,31.1,31.1,424052,1137960,1212714,0
51,2020-05-20 11:19:00,31.15,31.15,31.15,31.15,436071,584908,586841,0
52,2020-05-20 11:21:00,31.2,31.2,31.2,31.2,437356,606771,583134,0
53,2020-05-20 11:22:00,31.35,31.4,31.35,31.4,528030,1608484,1014075,0
54,2020-05-20 11:23:00,31.25,31.4,31.25,31.4,682773,1370580,1259944,0
55,2020-05-20 11:24:00,31.35,31.35,31.35,31.35,693727,671717,513625,0
56,2020-05-20 11:25:00,31.35,31.35,31.35,31.35,552994,656052,515383,0
57,2020-05-20 11:26:00,31.4,31.4,31.4,31.4,685757,1301201,1037922,0
58,2020-05-20 11:27:00,31.35,31.35,31.35,31.35,700362,657843,508308,0
59,2020-05-20 11:31:00,31.5,31.5,31.5,31.5,571222,1357745,987983,0
60,2020-05-20 11:40:00,31.35,31.35,31.35,31.35,735403,1296680,1087890,0
61,2020-05-20 11:43:00,31.35,31.35,31.35,31.35,740696,663612,530032,0
62,2020-05-20 11:44:00,31.3,31.3,31.3,31.3,583399,655741,543707,0
63,2020-05-20 11:46:00,31.35,31.35,31.35,31.35,579223,653152,555547,0
64,2020-05-20 11:55:00,31.35,31.35,31.35,31.35,750903,715436,553809,0
65,2020-05-20 11:56:00,31.3,31.3,31.3,31.3,755130,715710,557599,0
66,2020-05-20 11:59:00,31.25,31.25,31.25,31.25,603976,702113,567438,0
67,2020-05-20 12:01:00,31.25,31.25,31.25,31.25,600107,702201,563131,0
68,2020-05-20 12:14:00,31.3,31.3,31.3,31.3,754922,709768,565482,0
69,2020-05-20 12:20:00,31.3,31.3,31.3,31.3,805274,684323,561502,0
70,2020-05-20 12:25:00,31.3,31.3,31.3,31.3,607884,1585891,1406292,0
71,2020-05-20 12:26:00,31.3,31.3,31.3,31.3,608800,674980,618387,0
72,2020-05-20 12:27:00,31.3,31.3,31.3,31.3,812449,676834,565573,0
73,2020-05-20 12:35:00,31.3,31.3,31.3,31.3,834446,667173,558455,0
74,2020-05-20 12:38:00,31.35,31.35,31.35,31.35,634428,671437,607793,0
75,2020-05-20 12:46:00,31.35,31.35,31.3,31.3,817728,1350945,1167110,0
76,2020-05-20 12:48:00,31.3,31.3,31.3,31.3,819260,674995,609219,0
77,2020-05-20 12:51:00,31.35,31.35,31.35,31.35,637185,674158,610550,0
78,2020-05-20 12:55:00,31.3,31.3,31.3,31.3,638571,655941,565689,0
79,2020-05-20 13:05:00,31.35,31.35,31.35,31.35,838409,686285,546200,0
80,2020-05-20 13:11:00,31.4,31.4,31.4,31.4,642924,1372193,1082602,0
81,2020-05-20 13:18:00,31.3,31.3,31.3,31.3,649950,678092,605640,0
82,2020-05-20 13:19:00,31.35,31.35,31.35,31.35,847786,676837,606390,0
83,2020-05-20 13:22:00,31.3,31.3,31.3,31.3,845574,677126,606393,0
84,2020-05-20 13:27:00,31.3,31.3,31.3,31.3,659828,667310,692587,0
85,2020-05-20 13:28:00,31.25,31.25,31.25,31.25,663857,666275,692672,0
86,2020-05-20 13:34:00,31.3,31.3,31.3,31.3,852293,671743,626936,0
87,2020-05-20 13:41:00,31.3,31.3,31.3,31.3,853074,673198,634104,0
88,2020-05-20 13:48:00,31.4,31.4,31.4,31.4,671821,680621,664959,0
89,2020-05-20 13:50:00,31.4,31.4,31.4,31.4,677945,690168,656600,0
90,2020-05-20 13:55:00,31.4,31.4,31.4,31.4,860060,690943,603243,0
91,2020-05-20 13:57:00,31.4,31.4,31.4,31.4,853960,691338,603585,0
92,2020-05-20 14:02:00,31.4,31.45,31.4,31.45,702566,1407696,1145510,0
93,2020-05-20 14:04:00,31.4,31.4,31.4,31.4,714121,719665,562802,0
94,2020-05-20 14:10:00,31.55,31.55,31.55,31.55,897996,755166,503189,0
95,2020-05-20 14:12:00,31.55,31.55,31.55,31.55,887506,741596,493872,0
96,2020-05-20 14:21:00,31.45,31.45,31.45,31.45,721800,721530,510853,0
97,2020-05-20 14:23:00,31.6,31.6,31.6,31.6,755038,744960,473593,0
98,2020-05-20 14:24:00,31.6,31.6,31.6,31.6,923764,745036,471004,0
99,2020-05-20 14:25:00,31.6,31.6,31.6,31.6,890723,764785,468187,0
100,2020-05-20 14:42:00,31.5,31.5,31.5,31.5,824394,726818,565333,0
101,2020-05-20 15:00:00,31.45,31.45,31.45,31.45,912803,655393,521135,0
102,2020-05-20 15:03:00,31.45,31.45,31.45,31.45,996079,621266,529354,0
