,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,580.6,580.6,580.6,580.6,0,6913,35848,0
1,2020-05-20 09:07:00,580.6,580.6,580.6,580.6,0,9155,37605,0
2,2020-05-20 09:08:00,575.3,575.3,575.3,575.3,1742,7363,36100,0
3,2020-05-20 09:11:00,575.3,575.3,575.3,575.3,1742,7363,36100,0
4,2020-05-20 09:14:00,575.3,575.3,575.3,575.3,0,7363,36100,0
5,2020-05-20 09:15:00,579.85,579.85,579.85,579.85,0,7363,36100,0
6,2020-05-20 09:16:00,579.0,579.0,579.0,579.0,5513,21391,51825,0
7,2020-05-20 09:17:00,580.95,580.95,580.95,580.95,13858,32602,64919,0
8,2020-05-20 09:18:00,580.45,581.5,580.45,581.5,1137,66760,129860,0
9,2020-05-20 09:19:00,582.95,582.95,582.95,582.95,2807,35113,66681,0
10,2020-05-20 09:21:00,586.1,586.1,586.1,586.1,25970,48729,78936,0
11,2020-05-20 09:22:00,585.0,585.0,584.45,584.45,11236,94875,168422,0
12,2020-05-20 09:23:00,583.45,584.45,583.45,584.45,31704,96138,188873,0
13,2020-05-20 09:24:00,583.5,583.5,582.75,582.75,13526,95721,194654,0
14,2020-05-20 09:25:00,582.05,582.05,580.9,580.9,34232,141987,303104,0
15,2020-05-20 09:27:00,578.2,578.2,578.1,578.1,21765,88936,210365,0
16,2020-05-20 09:28:00,578.0,579.3,578.0,579.3,36614,182476,431129,0
17,2020-05-20 09:29:00,579.0,579.0,577.5,577.5,23820,93481,220865,0
18,2020-05-20 09:30:00,577.8,577.8,575.95,575.95,40446,91834,226701,0
19,2020-05-20 09:31:00,574.4,574.4,574.4,574.4,43240,43670,117772,0
20,2020-05-20 09:33:00,575.9,575.9,575.9,575.9,34129,49695,116129,0
21,2020-05-20 09:34:00,577.1,577.1,577.1,577.1,34574,52519,115029,0
22,2020-05-20 09:36:00,576.5,576.5,576.5,576.5,48781,54174,117202,0
23,2020-05-20 09:37:00,575.5,576.0,575.5,576.0,34932,110080,238423,0
24,2020-05-20 09:38:00,576.0,576.0,576.0,576.0,36746,56033,119144,0
25,2020-05-20 09:39:00,576.85,576.85,576.85,576.85,51417,56579,119875,0
26,2020-05-20 09:42:00,576.4,576.4,576.25,576.25,38746,112286,243219,0
27,2020-05-20 09:43:00,576.7,576.7,576.7,576.7,38871,56153,121896,0
28,2020-05-20 09:44:00,576.1,576.1,576.1,576.1,53602,56510,122692,0
29,2020-05-20 09:45:00,576.75,576.75,576.75,576.75,54706,56947,121249,0
30,2020-05-20 09:46:00,577.95,577.95,577.95,577.95,42634,58241,120210,0
31,2020-05-20 09:47:00,577.8,577.8,577.8,577.8,42231,58535,121596,0
32,2020-05-20 09:48:00,577.9,577.9,577.9,577.9,55339,59154,123019,0
33,2020-05-20 09:50:00,579.0,579.0,579.0,579.0,59274,64653,119364,0
34,2020-05-20 09:51:00,578.5,578.5,578.5,578.5,46842,64129,119219,0
35,2020-05-20 09:52:00,583.3,583.3,583.3,583.3,52732,67342,111079,0
36,2020-05-20 09:54:00,583.35,583.35,583.35,583.35,77871,66044,114320,0
37,2020-05-20 09:55:00,584.0,585.0,584.0,585.0,54272,203946,342106,0
38,2020-05-20 09:56:00,584.95,584.95,584.95,584.95,55846,68825,113366,0
39,2020-05-20 09:57:00,584.95,584.95,584.95,584.95,83122,69404,115649,0
40,2020-05-20 09:58:00,582.5,582.5,581.45,581.45,60211,132241,243816,0
41,2020-05-20 09:59:00,582.25,582.25,582.25,582.25,60693,67528,122420,0
42,2020-05-20 10:00:00,582.6,582.6,582.6,582.6,84129,67606,123397,0
43,2020-05-20 10:01:00,583.6,583.6,583.6,583.6,84755,69095,121788,0
44,2020-05-20 10:02:00,584.0,584.0,584.0,584.0,63467,69202,121328,0
45,2020-05-20 10:03:00,583.6,583.6,583.6,583.6,63926,69571,123605,0
