,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,439.3,439.3,439.3,439.3,0,10618,11651,0
1,2020-05-20 09:07:00,439.3,439.3,439.3,439.3,0,10775,11888,0
2,2020-05-20 09:08:00,438.0,438.0,438.0,438.0,1526,9474,10756,0
3,2020-05-20 09:11:00,438.0,438.0,438.0,438.0,1526,9474,10756,0
4,2020-05-20 09:14:00,438.0,438.0,438.0,438.0,0,9474,10756,0
5,2020-05-20 09:16:00,437.85,438.3,437.85,438.3,19668,164492,156986,0
6,2020-05-20 09:17:00,438.5,438.5,438.5,438.5,28514,109679,94786,0
7,2020-05-20 09:18:00,437.8,437.95,437.8,437.8,2260,442133,390782,0
8,2020-05-20 09:19:00,437.3,437.3,437.3,437.3,4629,113214,105587,0
9,2020-05-20 09:22:00,435.1,435.1,434.45,435.05,84222,383581,367334,0
10,2020-05-20 09:23:00,434.2,434.2,434.2,434.2,93664,131474,117624,0
11,2020-05-20 09:24:00,433.5,433.5,433.4,433.4,46188,278791,252725,0
12,2020-05-20 09:25:00,433.75,433.75,432.9,432.9,98855,294408,264354,0
13,2020-05-20 09:27:00,434.0,434.0,434.0,434.0,107132,160569,132281,0
14,2020-05-20 09:28:00,434.35,434.35,434.35,434.35,61106,180864,146370,0
15,2020-05-20 09:30:00,433.3,433.3,433.3,433.3,61431,181757,149687,0
16,2020-05-20 09:31:00,432.8,433.0,432.8,433.0,121215,387379,317572,0
17,2020-05-20 09:32:00,432.65,432.65,432.65,432.65,123584,196185,160411,0
18,2020-05-20 09:33:00,432.6,433.45,432.6,433.45,69673,422817,330038,0
19,2020-05-20 09:34:00,433.5,433.5,432.1,432.1,140951,429174,336772,0
20,2020-05-20 09:35:00,432.3,432.45,432.3,432.45,72823,435817,346548,0
21,2020-05-20 09:36:00,432.9,432.9,432.9,432.9,79889,220037,188355,0
22,2020-05-20 09:37:00,432.9,433.5,432.9,433.5,144148,672645,561171,0
23,2020-05-20 09:38:00,433.25,433.25,432.85,432.85,84721,448638,378832,0
24,2020-05-20 09:39:00,433.5,433.5,433.5,433.5,86787,226611,189294,0
25,2020-05-20 09:40:00,434.2,434.2,434.2,434.2,156135,234114,188149,0
26,2020-05-20 09:42:00,431.95,432.1,431.7,431.7,112512,696746,615483,0
27,2020-05-20 09:43:00,432.0,432.1,432.0,432.1,159927,465460,415226,0
28,2020-05-20 09:44:00,432.65,432.65,432.65,432.65,165334,241713,199050,0
29,2020-05-20 09:45:00,433.35,433.35,433.15,433.15,117128,736929,586622,0
30,2020-05-20 09:46:00,433.15,433.15,433.15,433.15,117569,247266,193679,0
31,2020-05-20 09:47:00,433.0,433.1,433.0,433.1,167013,491128,396415,0
32,2020-05-20 09:48:00,433.1,433.8,433.1,433.8,120318,747774,588220,0
33,2020-05-20 09:49:00,434.2,434.2,434.2,434.2,125523,257257,187513,0
34,2020-05-20 09:50:00,435.3,435.65,435.3,435.65,180201,789819,543562,0
35,2020-05-20 09:51:00,435.5,435.5,434.55,435.0,134172,802424,553603,0
36,2020-05-20 09:52:00,435.4,435.4,435.4,435.4,136124,271996,185308,0
37,2020-05-20 09:53:00,435.7,435.7,435.45,435.7,188335,824018,547255,0
38,2020-05-20 09:54:00,435.5,435.9,435.5,435.9,138127,1105692,739279,0
39,2020-05-20 09:55:00,436.0,436.0,435.6,435.6,190034,545973,367729,0
40,2020-05-20 09:56:00,435.6,435.6,435.6,435.6,194753,265955,185297,0
41,2020-05-20 09:57:00,435.05,435.25,435.05,435.25,143207,532376,383289,0
42,2020-05-20 09:58:00,435.2,435.2,435.2,435.2,196087,531037,385528,0
43,2020-05-20 09:59:00,435.85,435.85,435.85,435.85,201495,269862,187451,0
44,2020-05-20 10:00:00,435.65,435.65,435.65,435.65,152789,271624,187069,0
45,2020-05-20 10:01:00,437.0,437.0,436.7,436.7,204288,562559,365866,0
46,2020-05-20 10:02:00,436.9,436.9,436.9,436.9,211963,284993,190955,0
47,2020-05-20 10:03:00,436.85,436.85,436.85,436.85,161006,285053,191465,0
48,2020-05-20 10:05:00,435.8,435.8,435.8,435.8,160644,276858,200138,0
49,2020-05-20 10:06:00,435.3,435.3,435.3,435.3,217424,271496,206625,0
50,2020-05-20 10:08:00,434.6,434.6,434.6,434.6,226142,271728,212795,0
51,2020-05-20 10:09:00,434.25,434.25,433.8,433.8,176307,535413,427885,0
52,2020-05-20 10:10:00,432.45,432.45,432.45,432.45,192709,253907,228698,0
53,2020-05-20 10:11:00,432.55,432.55,432.55,432.55,260122,255499,226109,0
54,2020-05-20 10:12:00,432.8,432.8,432.8,432.8,243764,255497,226076,0
55,2020-05-20 10:15:00,433.2,433.35,433.2,433.35,213853,530266,447639,0
56,2020-05-20 10:16:00,433.5,433.5,433.5,433.5,214070,267480,223432,0
57,2020-05-20 10:18:00,432.5,432.5,432.5,432.5,255393,263001,232384,0
58,2020-05-20 10:21:00,432.0,432.0,432.0,432.0,276536,258011,239507,0
59,2020-05-20 10:22:00,432.35,432.35,432.35,432.35,220154,529168,474479,0
60,2020-05-20 10:23:00,432.6,432.6,432.6,432.6,278319,532331,469177,0
61,2020-05-20 10:24:00,433.5,433.5,433.5,433.5,282756,275429,228115,0
62,2020-05-20 10:25:00,433.3,433.3,433.3,433.3,227318,275809,227829,0
63,2020-05-20 10:26:00,432.8,433.25,432.8,433.25,279502,548965,460793,0
64,2020-05-20 10:27:00,433.2,433.2,433.2,433.2,280058,275679,229585,0
65,2020-05-20 10:29:00,434.0,434.0,434.0,434.0,233331,280174,212836,0
66,2020-05-20 10:30:00,434.1,434.1,434.1,434.1,233316,277150,213955,0
67,2020-05-20 10:31:00,433.5,433.5,433.5,433.5,281708,275161,217104,0
68,2020-05-20 10:32:00,433.8,433.8,433.8,433.8,234821,557342,437592,0
69,2020-05-20 10:33:00,434.0,434.0,434.0,434.0,282397,564812,432526,0
70,2020-05-20 10:34:00,434.7,434.7,434.7,434.7,286214,283481,209876,0
71,2020-05-20 10:35:00,434.65,435.5,434.65,435.5,243921,573919,411248,0
72,2020-05-20 10:36:00,435.0,435.0,435.0,435.0,244426,289183,203886,0
73,2020-05-20 10:37:00,434.6,434.6,434.6,434.6,290931,286279,210334,0
74,2020-05-20 10:38:00,434.95,434.95,434.95,434.95,293605,287981,210895,0
75,2020-05-20 10:39:00,434.85,434.85,434.85,434.85,249307,285410,212552,0
76,2020-05-20 10:40:00,434.85,434.85,434.85,434.85,248073,285206,214623,0
77,2020-05-20 10:42:00,435.0,435.0,435.0,435.0,298600,288994,211873,0
78,2020-05-20 10:43:00,434.95,434.95,434.95,434.95,300765,288380,212003,0
79,2020-05-20 10:45:00,434.95,434.95,434.95,434.95,252494,286503,213466,0
80,2020-05-20 10:46:00,434.7,434.7,434.7,434.7,251191,285763,214060,0
81,2020-05-20 10:49:00,434.8,434.8,434.8,434.8,303151,286216,212221,0
82,2020-05-20 10:50:00,434.9,434.9,434.9,434.9,306884,286141,211176,0
83,2020-05-20 10:51:00,434.65,434.65,434.65,434.65,255101,285641,211747,0
84,2020-05-20 10:53:00,435.0,435.0,435.0,435.0,252489,289936,209234,0
85,2020-05-20 10:55:00,434.0,434.0,434.0,434.0,338147,285099,211945,0
86,2020-05-20 10:56:00,433.9,433.9,433.9,433.9,341138,284680,212980,0
87,2020-05-20 10:57:00,432.85,432.85,432.85,432.85,288452,279557,225460,0
88,2020-05-20 10:58:00,433.05,433.05,433.05,433.05,359640,280982,212598,0
89,2020-05-20 10:59:00,434.8,434.8,434.8,434.8,429499,293655,194794,0
90,2020-05-20 11:00:00,434.4,434.4,434.4,434.4,300341,583386,392274,0
91,2020-05-20 11:01:00,435.05,435.05,435.05,435.05,337902,293269,191920,0
92,2020-05-20 11:02:00,435.1,435.1,434.55,434.55,514587,583509,406420,0
93,2020-05-20 11:03:00,433.8,433.8,433.8,433.8,563816,242780,211669,0
94,2020-05-20 11:04:00,434.0,434.1,434.0,434.1,342027,486156,423344,0
95,2020-05-20 11:06:00,434.4,434.4,434.3,434.3,571079,486922,417672,0
96,2020-05-20 11:09:00,434.5,434.5,434.5,434.5,572943,242401,208648,0
97,2020-05-20 11:10:00,434.9,434.9,434.9,434.9,347221,248418,205746,0
98,2020-05-20 11:15:00,434.85,434.85,434.8,434.8,586119,492426,413306,0
99,2020-05-20 11:17:00,436.35,436.35,436.35,436.35,598757,249697,189355,0
100,2020-05-20 11:18:00,436.1,436.1,436.1,436.1,365019,247984,194279,0
101,2020-05-20 11:20:00,435.4,435.4,435.4,435.4,357378,246927,205736,0
102,2020-05-20 11:21:00,435.75,435.75,435.75,435.75,592003,248785,204435,0
103,2020-05-20 11:22:00,435.9,435.9,435.9,435.9,601621,248702,204293,0
104,2020-05-20 11:24:00,435.95,435.95,435.95,435.95,376962,250478,200290,0
105,2020-05-20 11:25:00,435.8,435.8,435.55,435.55,594337,506430,401463,0
106,2020-05-20 11:27:00,435.75,435.75,435.75,435.75,596499,254326,196052,0
107,2020-05-20 11:28:00,435.95,435.95,435.95,435.95,380754,252761,195051,0
108,2020-05-20 11:29:00,435.8,435.95,435.55,435.55,596289,757685,589739,0
109,2020-05-20 11:30:00,435.65,435.65,435.65,435.65,596290,252432,198353,0
110,2020-05-20 11:31:00,435.65,435.65,435.65,435.65,381437,254359,197838,0
111,2020-05-20 11:33:00,435.0,435.0,435.0,435.0,388060,250093,207111,0
112,2020-05-20 11:35:00,435.5,435.5,435.5,435.5,605184,253066,204452,0
113,2020-05-20 11:36:00,435.65,435.65,435.65,435.65,383083,505879,407058,0
114,2020-05-20 11:38:00,435.6,435.6,435.6,435.6,383579,252957,202816,0
115,2020-05-20 11:40:00,435.25,436.0,435.25,436.0,614196,510406,398788,0
116,2020-05-20 11:42:00,435.75,435.75,435.75,435.75,615078,259819,200777,0
117,2020-05-20 11:43:00,435.75,435.75,435.75,435.75,385278,258514,201101,0
118,2020-05-20 11:45:00,435.35,435.35,435.35,435.35,385923,254756,202481,0
119,2020-05-20 11:46:00,435.35,435.35,435.35,435.35,615849,254971,202507,0
120,2020-05-20 11:47:00,435.5,435.5,435.5,435.5,615275,256810,200643,0
121,2020-05-20 11:48:00,435.4,435.55,435.4,435.55,386221,772784,606787,0
122,2020-05-20 11:51:00,436.0,436.0,436.0,436.0,386821,258557,201367,0
123,2020-05-20 11:53:00,436.4,436.4,436.4,436.4,617299,263567,195795,0
124,2020-05-20 11:54:00,437.3,437.3,436.8,436.8,424465,528566,389494,0
125,2020-05-20 11:58:00,437.0,437.0,437.0,437.0,426274,265439,201340,0
126,2020-05-20 12:02:00,437.1,437.1,437.1,437.1,625035,266486,201570,0
127,2020-05-20 12:03:00,437.05,437.05,437.05,437.05,624899,266914,202482,0
128,2020-05-20 12:04:00,437.1,437.1,437.1,437.1,428480,264158,201669,0
129,2020-05-20 12:07:00,436.75,436.75,436.75,436.75,432716,264786,204814,0
130,2020-05-20 12:08:00,436.8,436.8,436.8,436.8,629398,265009,206275,0
131,2020-05-20 12:09:00,436.8,436.8,436.8,436.8,625732,264191,201283,0
132,2020-05-20 12:10:00,437.0,437.0,437.0,437.0,430412,264893,199611,0
133,2020-05-20 12:11:00,436.7,436.7,436.7,436.7,434475,264760,200195,0
