,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,448.8,448.8,448.8,448.8,0,6691,23235,0
1,2020-05-20 09:07:00,448.8,448.8,448.8,448.8,0,6957,23511,0
2,2020-05-20 09:15:00,451.5,452.0,451.5,452.0,2422,17359,51605,0
3,2020-05-20 09:16:00,458.95,458.95,458.95,458.95,6312,12759,27645,0
4,2020-05-20 09:17:00,458.05,458.05,458.05,458.05,4464,14556,28208,0
5,2020-05-20 09:18:00,459.05,459.15,459.05,459.15,4757,49480,71304,0
6,2020-05-20 09:19:00,458.95,458.95,458.95,458.95,7588,28436,44294,0
7,2020-05-20 09:20:00,458.4,458.4,458.4,458.4,8950,29163,46506,0
8,2020-05-20 09:21:00,458.75,459.05,458.75,459.05,9136,60257,94869,0
9,2020-05-20 09:22:00,458.3,458.3,457.05,457.05,12574,57498,98007,0
10,2020-05-20 09:23:00,456.6,456.6,456.0,456.0,11429,56434,102731,0
11,2020-05-20 09:25:00,455.8,455.8,455.8,455.8,13058,28489,54475,0
12,2020-05-20 09:27:00,455.6,455.6,455.6,455.6,17387,29419,57447,0
13,2020-05-20 09:29:00,454.0,454.0,450.85,450.85,15269,54658,119778,0
14,2020-05-20 09:31:00,449.2,449.2,449.2,449.2,18737,27342,61492,0
15,2020-05-20 09:32:00,449.2,449.2,449.1,449.1,22280,54927,123278,0
16,2020-05-20 09:33:00,449.2,449.2,449.2,449.2,22475,27630,62243,0
17,2020-05-20 09:35:00,452.55,452.55,452.55,452.55,22180,31313,62131,0
18,2020-05-20 09:36:00,453.55,453.55,453.25,453.25,23249,101456,194047,0
19,2020-05-20 09:37:00,452.0,452.0,452.0,452.0,24205,33418,68296,0
20,2020-05-20 09:38:00,452.0,452.0,450.6,450.6,22898,67216,138727,0
21,2020-05-20 09:39:00,451.1,451.1,451.1,451.1,22953,33773,70829,0
22,2020-05-20 09:42:00,448.75,449.3,448.75,449.3,29210,63687,149608,0
23,2020-05-20 09:43:00,451.0,451.0,451.0,451.0,30081,32782,74224,0
24,2020-05-20 09:45:00,450.85,450.85,450.85,450.85,24989,34354,74830,0
