,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,76.4,76.4,76.4,76.4,0,209985,241155,0
1,2020-05-20 09:07:00,76.4,76.4,76.4,76.4,0,118314,131692,0
2,2020-05-20 09:08:00,76.4,76.4,76.4,76.4,14932,103907,117140,0
3,2020-05-20 09:11:00,76.4,76.4,76.4,76.4,14932,103907,117140,0
4,2020-05-20 09:14:00,76.4,76.4,76.4,76.4,0,103907,117140,0
5,2020-05-20 09:15:00,76.45,76.45,76.45,76.45,0,103907,117140,0
6,2020-05-20 09:16:00,76.7,76.7,76.7,76.7,116712,334014,302395,0
7,2020-05-20 09:17:00,77.15,77.15,77.15,77.15,194972,473063,429320,0
8,2020-05-20 09:18:00,76.9,76.9,76.9,76.9,136140,480819,500424,0
9,2020-05-20 09:19:00,77.15,77.15,77.15,77.15,205185,1052982,1013631,0
10,2020-05-20 09:20:00,77.2,77.2,77.2,77.2,256637,559146,527716,0
11,2020-05-20 09:21:00,77.5,77.5,77.5,77.5,311503,592946,510921,0
12,2020-05-20 09:23:00,77.35,77.35,77.35,77.35,377819,624992,645290,0
13,2020-05-20 09:27:00,76.65,76.65,76.65,76.65,567424,605926,742212,0
14,2020-05-20 09:28:00,76.55,76.75,76.55,76.75,372975,1270301,1539764,0
15,2020-05-20 09:30:00,76.3,76.3,76.3,76.3,467287,652363,838382,0
16,2020-05-20 09:32:00,76.25,76.25,76.25,76.25,788621,963063,1145994,0
17,2020-05-20 09:33:00,76.2,76.2,76.2,76.2,934520,980489,1258129,0
18,2020-05-20 09:34:00,75.95,75.95,75.95,75.95,771069,999423,1333047,0
19,2020-05-20 09:35:00,76.0,76.0,76.0,76.0,793717,932105,1366394,0
20,2020-05-20 09:37:00,76.2,76.4,76.2,76.4,1606240,2204614,2507259,0
21,2020-05-20 09:40:00,76.55,76.55,76.55,76.55,1759671,1132172,1247450,0
22,2020-05-20 09:41:00,76.8,76.8,76.8,76.8,1024897,1161581,1154792,0
23,2020-05-20 09:42:00,76.7,76.7,76.7,76.7,910465,1195630,1153310,0
24,2020-05-20 09:45:00,76.85,76.85,76.85,76.85,1704798,1246637,1134766,0
25,2020-05-20 09:46:00,76.75,76.75,76.75,76.75,1042543,2421242,2395481,0
26,2020-05-20 09:47:00,76.9,76.95,76.9,76.95,1757576,3823735,3390436,0
27,2020-05-20 09:48:00,77.1,77.1,77.1,77.1,1786600,1300695,1093636,0
28,2020-05-20 09:49:00,77.4,77.4,77.35,77.35,1172576,2713267,2134031,0
29,2020-05-20 09:50:00,77.35,77.35,77.35,77.35,1174407,1338299,1084369,0
30,2020-05-20 09:53:00,77.3,77.3,77.3,77.3,1933831,1328468,1119263,0
31,2020-05-20 09:54:00,77.3,77.3,77.3,77.3,1960786,1333482,1136758,0
32,2020-05-20 09:55:00,77.25,77.25,77.25,77.25,1201749,1329834,1139138,0
33,2020-05-20 09:56:00,77.05,77.05,77.05,77.05,1179746,1301263,1180462,0
34,2020-05-20 09:57:00,77.0,77.0,77.0,77.0,1958337,1252467,1214197,0
35,2020-05-20 09:58:00,76.9,76.9,76.9,76.9,2003832,1250112,1227819,0
36,2020-05-20 09:59:00,77.0,77.0,77.0,77.0,1223043,2536940,2451413,0
37,2020-05-20 10:00:00,77.0,77.0,77.0,77.0,1223507,1293711,1211185,0
38,2020-05-20 10:01:00,77.25,77.25,77.25,77.25,2026583,1352690,1134147,0
39,2020-05-20 10:02:00,77.35,77.35,77.35,77.35,2038976,1368438,1143969,0
40,2020-05-20 10:03:00,77.1,77.1,77.1,77.1,1273147,1343131,1174665,0
41,2020-05-20 10:05:00,77.2,77.2,77.2,77.2,1278299,1338749,1178188,0
42,2020-05-20 10:06:00,77.05,77.05,77.05,77.05,2058360,1293946,1217333,0
43,2020-05-20 10:08:00,76.9,76.9,76.9,76.9,2068771,1268739,1245640,0
44,2020-05-20 10:09:00,76.8,76.8,76.8,76.8,1316628,1238476,1285531,0
45,2020-05-20 10:10:00,76.85,76.85,76.85,76.85,1311722,1275822,1262645,0
46,2020-05-20 10:12:00,76.7,76.7,76.7,76.7,2118191,1254260,1307744,0
47,2020-05-20 10:14:00,76.75,76.75,76.75,76.75,2182572,1236878,1305040,0
48,2020-05-20 10:16:00,76.65,76.65,76.65,76.65,1389715,1198914,1330565,0
49,2020-05-20 10:18:00,76.3,76.3,76.25,76.25,2219049,2210718,2776060,0
50,2020-05-20 10:20:00,76.4,76.4,76.4,76.4,2243988,1162901,1375736,0
51,2020-05-20 10:22:00,76.25,76.25,76.25,76.25,1469325,1136018,1403229,0
52,2020-05-20 10:23:00,76.45,76.45,76.45,76.45,1456164,1184951,1367125,0
53,2020-05-20 10:25:00,76.5,76.5,76.5,76.5,2290585,1185843,1371998,0
54,2020-05-20 10:26:00,76.5,76.5,76.5,76.5,2341147,1171951,1387881,0
55,2020-05-20 10:27:00,76.5,76.5,76.5,76.5,1509260,1192501,1382460,0
56,2020-05-20 10:28:00,76.45,76.45,76.45,76.45,1462596,1184841,1384739,0
57,2020-05-20 10:29:00,76.35,76.45,76.35,76.45,2349457,2355833,2785708,0
58,2020-05-20 10:33:00,76.35,76.35,76.35,76.35,2409682,1181744,1400885,0
59,2020-05-20 10:34:00,76.55,76.55,76.55,76.55,1539282,1232138,1343958,0
60,2020-05-20 10:36:00,76.7,76.75,76.7,76.75,2377476,2507209,2621326,0
61,2020-05-20 10:37:00,76.8,76.8,76.8,76.8,2402245,1283446,1288333,0
62,2020-05-20 10:38:00,76.75,76.75,76.75,76.75,1565200,1281729,1295687,0
63,2020-05-20 10:40:00,76.7,76.7,76.7,76.7,1563011,1256503,1330401,0
64,2020-05-20 10:43:00,76.65,76.65,76.55,76.55,2428279,2462953,2729945,0
65,2020-05-20 10:44:00,76.55,76.6,76.55,76.6,1567135,2457860,2748157,0
66,2020-05-20 10:46:00,76.55,76.55,76.55,76.55,1569412,1224286,1383401,0
67,2020-05-20 10:47:00,76.7,76.7,76.7,76.7,2434477,2493884,2716444,0
68,2020-05-20 10:48:00,76.7,76.7,76.7,76.7,2438893,1252395,1354672,0
69,2020-05-20 10:50:00,76.75,76.75,76.75,76.75,1623132,1252465,1320147,0
70,2020-05-20 10:51:00,76.6,76.6,76.6,76.6,1620716,1235090,1345298,0
71,2020-05-20 10:52:00,76.6,76.6,76.5,76.5,2447028,2442253,2689811,0
72,2020-05-20 10:53:00,76.6,76.6,76.55,76.55,1620838,2438100,2688602,0
73,2020-05-20 10:54:00,76.6,76.6,76.6,76.6,1624349,1233750,1331699,0
74,2020-05-20 10:55:00,76.6,76.6,76.6,76.6,2451251,1219668,1347099,0
75,2020-05-20 10:56:00,76.5,76.5,76.5,76.5,2452807,1210828,1359399,0
76,2020-05-20 10:57:00,76.6,76.6,76.6,76.6,1630033,1252513,1339155,0
77,2020-05-20 10:59:00,76.3,76.3,76.3,76.3,2476483,3543618,4178777,0
78,2020-05-20 11:00:00,76.45,76.45,76.45,76.45,2477549,1205272,1374857,0
79,2020-05-20 11:02:00,76.35,76.4,76.35,76.4,1645049,2474880,2773276,0
80,2020-05-20 11:03:00,76.4,76.4,76.4,76.4,1645053,1243272,1387182,0
81,2020-05-20 11:05:00,76.4,76.4,76.35,76.35,2503270,2413682,2798631,0
82,2020-05-20 11:06:00,76.25,76.25,76.25,76.25,2507673,1203675,1412390,0
83,2020-05-20 11:09:00,76.4,76.4,76.4,76.4,1666312,1257620,1384536,0
84,2020-05-20 11:11:00,76.45,76.45,76.45,76.45,1667006,1261150,1382275,0
85,2020-05-20 11:12:00,76.35,76.35,76.35,76.35,2559336,1210054,1394915,0
86,2020-05-20 11:13:00,76.35,76.35,76.3,76.3,1677643,2414405,2814483,0
87,2020-05-20 11:17:00,76.6,76.6,76.5,76.5,2596151,3839552,3997627,0
88,2020-05-20 11:18:00,76.6,76.6,76.6,76.6,1678542,2555244,2681933,0
89,2020-05-20 11:19:00,76.65,76.65,76.65,76.65,1698793,1304075,1323949,0
90,2020-05-20 11:23:00,76.6,76.6,76.6,76.6,2653355,2560428,2710661,0
91,2020-05-20 11:27:00,76.95,77.25,76.95,77.25,1877167,6973183,5983424,0
92,2020-05-20 11:28:00,77.25,77.25,77.25,77.25,1882317,1440985,1134042,0
93,2020-05-20 11:29:00,77.3,77.3,77.3,77.3,2747416,1443757,1099010,0
94,2020-05-20 11:30:00,77.3,77.3,77.3,77.3,2786419,1422986,1190414,0
95,2020-05-20 11:31:00,77.35,77.35,77.35,77.35,1951198,1441459,1198869,0
96,2020-05-20 11:32:00,77.25,77.25,77.15,77.15,2792594,2833659,2478137,0
97,2020-05-20 11:33:00,77.05,77.05,77.05,77.05,2802439,1379489,1273619,0
98,2020-05-20 11:35:00,77.0,77.0,76.9,76.9,1981376,2709952,2638012,0
99,2020-05-20 11:36:00,76.9,76.9,76.8,76.8,2821425,2692637,2668900,0
100,2020-05-20 11:37:00,76.85,76.85,76.8,76.8,1985627,2700494,2700273,0
101,2020-05-20 11:38:00,76.8,76.8,76.8,76.8,1991541,1380499,1338638,0
102,2020-05-20 11:39:00,76.9,76.9,76.9,76.9,2832749,1359074,1337155,0
103,2020-05-20 11:40:00,76.8,76.8,76.8,76.8,2831391,1351004,1359334,0
104,2020-05-20 11:44:00,76.9,76.9,76.9,76.9,2015518,1387672,1338714,0
105,2020-05-20 11:46:00,76.9,76.9,76.9,76.9,2028799,1397037,1348404,0
106,2020-05-20 11:48:00,76.75,76.75,76.75,76.75,2855850,1367834,1292026,0
107,2020-05-20 11:49:00,76.9,76.9,76.9,76.9,2843556,1402289,1256228,0
108,2020-05-20 11:50:00,76.9,76.9,76.9,76.9,2020138,1399019,1336339,0
109,2020-05-20 11:51:00,77.0,77.0,77.0,77.0,2869821,2835201,2616028,0
110,2020-05-20 11:52:00,76.95,77.0,76.95,77.0,2022783,2844780,2621946,0
111,2020-05-20 11:53:00,76.95,77.0,76.95,77.0,2876656,2847935,2640612,0
112,2020-05-20 11:54:00,76.85,76.85,76.85,76.85,2880468,1393499,1346331,0
113,2020-05-20 11:55:00,76.75,76.85,76.75,76.85,2048005,2769914,2726101,0
114,2020-05-20 11:57:00,76.75,76.75,76.75,76.75,2052199,1403548,1358407,0
115,2020-05-20 11:58:00,76.75,76.75,76.75,76.75,2910518,2717087,2760108,0
116,2020-05-20 11:59:00,76.65,76.65,76.65,76.65,2916604,1337018,1400916,0
117,2020-05-20 12:00:00,76.7,76.7,76.7,76.7,2073403,1394413,1371836,0
118,2020-05-20 12:01:00,76.85,76.85,76.85,76.85,2076037,1432921,1357897,0
119,2020-05-20 12:03:00,76.85,76.85,76.85,76.85,2925622,2869099,2766672,0
120,2020-05-20 12:04:00,76.85,76.9,76.85,76.9,2076337,2881621,2767874,0
121,2020-05-20 12:05:00,77.0,77.0,77.0,77.0,2083421,1465594,1331778,0
122,2020-05-20 12:06:00,76.95,76.95,76.95,76.95,2935185,1460123,1344709,0
123,2020-05-20 12:07:00,76.85,76.9,76.85,76.9,2086279,2847673,2716266,0
124,2020-05-20 12:09:00,76.85,76.85,76.85,76.85,2096573,1423957,1350854,0
125,2020-05-20 12:10:00,76.8,76.8,76.8,76.8,2945480,1423914,1360794,0
126,2020-05-20 12:11:00,76.9,76.9,76.9,76.9,2953920,1403886,1330765,0
127,2020-05-20 12:12:00,76.85,76.85,76.85,76.85,2108087,1402102,1336627,0
128,2020-05-20 12:13:00,76.95,76.95,76.95,76.95,2151129,1416166,1275797,0
129,2020-05-20 12:15:00,76.85,76.85,76.85,76.85,3000291,1387404,1304140,0
130,2020-05-20 12:16:00,76.95,76.95,76.95,76.95,2111646,2945112,2585168,0
131,2020-05-20 12:17:00,76.9,76.9,76.9,76.9,2112279,1388222,1293380,0
132,2020-05-20 12:22:00,76.8,76.8,76.8,76.8,3032186,1428273,1317685,0
133,2020-05-20 12:25:00,76.85,76.85,76.85,76.85,3045621,1455166,1306068,0
134,2020-05-20 12:26:00,76.8,76.8,76.8,76.8,2125900,1455171,1306668,0
135,2020-05-20 12:31:00,76.85,76.85,76.85,76.85,2132577,1445290,1306255,0
136,2020-05-20 12:32:00,77.0,77.0,77.0,77.0,3074806,2956289,2580684,0
137,2020-05-20 12:35:00,77.0,77.0,77.0,77.0,3091381,1470440,1310648,0
138,2020-05-20 12:36:00,77.1,77.1,77.1,77.1,2169115,1497662,1267101,0
139,2020-05-20 12:37:00,77.0,77.0,77.0,77.0,2162835,1464922,1313330,0
140,2020-05-20 12:39:00,77.0,77.0,77.0,77.0,3100148,1458672,1313423,0
141,2020-05-20 12:40:00,77.0,77.0,77.0,77.0,3115231,1463531,1322063,0
142,2020-05-20 12:42:00,77.0,77.0,77.0,77.0,2191832,1462632,1324251,0
143,2020-05-20 12:43:00,76.95,76.95,76.85,76.85,3101588,2905042,2686327,0
144,2020-05-20 12:44:00,76.9,76.9,76.9,76.9,3110615,1457278,1343174,0
145,2020-05-20 12:45:00,76.9,76.9,76.9,76.9,2201308,1447903,1351499,0
146,2020-05-20 12:47:00,76.75,76.75,76.75,76.75,2212723,1413586,1379670,0
147,2020-05-20 12:49:00,76.85,76.85,76.85,76.85,3127822,1435094,1375067,0
148,2020-05-20 12:50:00,76.75,76.75,76.75,76.75,3131002,1412422,1386978,0
149,2020-05-20 12:51:00,76.7,76.7,76.7,76.7,2217928,1411117,1386471,0
150,2020-05-20 12:52:00,76.7,76.7,76.7,76.7,2241705,1391909,1406573,0
151,2020-05-20 12:53:00,76.65,76.65,76.65,76.65,3155792,1389687,1402541,0
152,2020-05-20 12:54:00,76.5,76.5,76.5,76.5,3172800,1359119,1443046,0
153,2020-05-20 12:55:00,76.5,76.5,76.5,76.5,2271695,2684163,2887822,0
154,2020-05-20 12:56:00,76.65,76.65,76.65,76.65,2278938,1361936,1409139,0
155,2020-05-20 12:57:00,76.7,76.7,76.7,76.7,3183563,1385883,1397435,0
156,2020-05-20 13:02:00,76.75,76.75,76.75,76.75,3199696,1413414,1396926,0
157,2020-05-20 13:04:00,76.65,76.65,76.65,76.65,2306005,1407512,1407971,0
158,2020-05-20 13:05:00,76.75,76.75,76.75,76.75,2291787,1404064,1418721,0
159,2020-05-20 13:06:00,76.65,76.65,76.65,76.65,3208472,2763137,2880634,0
160,2020-05-20 13:08:00,76.55,76.55,76.55,76.55,3210658,1363425,1461414,0
161,2020-05-20 13:10:00,76.7,76.7,76.7,76.7,2306167,1407177,1422054,0
162,2020-05-20 13:11:00,76.7,76.7,76.7,76.7,2308915,1409773,1411825,0
163,2020-05-20 13:12:00,76.75,76.75,76.75,76.75,3214722,1410464,1410874,0
164,2020-05-20 13:14:00,76.8,76.8,76.8,76.8,3221573,1440331,1385869,0
165,2020-05-20 13:18:00,76.6,76.6,76.6,76.6,2340384,1383711,1446853,0
166,2020-05-20 13:19:00,76.6,76.6,76.6,76.6,3219013,2783400,2881782,0
167,2020-05-20 13:20:00,76.65,76.65,76.65,76.65,3223058,1398701,1436505,0
168,2020-05-20 13:21:00,76.65,76.65,76.65,76.65,2351701,1389052,1437903,0
169,2020-05-20 13:24:00,76.65,76.65,76.6,76.6,3228367,4201966,4321207,0
170,2020-05-20 13:25:00,76.65,76.65,76.65,76.65,3229082,1411375,1441233,0
171,2020-05-20 13:26:00,76.55,76.55,76.55,76.55,2359534,2759203,2905259,0
172,2020-05-20 13:27:00,76.55,76.55,76.55,76.55,2363109,1388069,1450836,0
173,2020-05-20 13:28:00,76.6,76.6,76.6,76.6,3249318,1410068,1418433,0
174,2020-05-20 13:29:00,76.6,76.6,76.6,76.6,2368282,2815321,2845918,0
175,2020-05-20 13:30:00,76.6,76.6,76.6,76.6,2368282,1403933,1430382,0
176,2020-05-20 13:32:00,76.75,76.75,76.7,76.7,3258912,2840801,2805656,0
177,2020-05-20 13:33:00,76.75,76.75,76.65,76.65,2370593,2840965,2811022,0
178,2020-05-20 13:35:00,76.7,76.7,76.7,76.7,2373255,1411577,1420242,0
179,2020-05-20 13:36:00,76.65,76.65,76.65,76.65,3266657,1410185,1414136,0
180,2020-05-20 13:37:00,76.75,76.75,76.75,76.75,3265716,1416317,1416872,0
181,2020-05-20 13:38:00,76.9,76.9,76.9,76.9,2409267,1448610,1332346,0
182,2020-05-20 13:39:00,76.7,76.85,76.7,76.85,3286066,4210161,4098255,0
183,2020-05-20 13:40:00,76.85,76.85,76.85,76.85,2415518,2811088,2700888,0
184,2020-05-20 13:41:00,76.85,76.85,76.85,76.85,2415518,1439438,1358089,0
185,2020-05-20 13:42:00,76.85,76.85,76.75,76.75,3292455,2870392,2721746,0
186,2020-05-20 13:43:00,76.7,76.7,76.7,76.7,2416337,2830731,2739653,0
187,2020-05-20 13:45:00,76.9,76.9,76.9,76.9,3310902,2942878,2627335,0
188,2020-05-20 13:46:00,76.95,76.95,76.95,76.95,3333232,1480730,1292544,0
189,2020-05-20 13:47:00,76.95,76.95,76.95,76.95,2443001,1462067,1325967,0
190,2020-05-20 13:48:00,76.85,76.85,76.85,76.85,2424805,1459576,1329793,0
191,2020-05-20 13:49:00,76.95,76.95,76.95,76.95,3329203,1479315,1303579,0
192,2020-05-20 13:50:00,76.9,76.9,76.9,76.9,2444790,2934491,2629564,0
193,2020-05-20 13:52:00,77.1,77.1,77.0,77.0,3370005,4510943,3810071,0
194,2020-05-20 13:53:00,77.05,77.05,77.05,77.05,3371472,1486394,1289324,0
195,2020-05-20 13:54:00,76.95,76.95,76.95,76.95,2446867,2911709,2634797,0
196,2020-05-20 13:55:00,77.0,77.0,77.0,77.0,2457621,1475935,1298081,0
197,2020-05-20 13:56:00,77.05,77.05,77.05,77.05,3389771,1506436,1269638,0
198,2020-05-20 13:57:00,77.0,77.0,77.0,77.0,3390851,1500252,1292338,0
199,2020-05-20 13:58:00,77.0,77.0,77.0,77.0,2462639,1458785,1319738,0
200,2020-05-20 14:00:00,77.0,77.0,77.0,77.0,3399127,2944902,2609226,0
201,2020-05-20 14:01:00,77.1,77.2,77.1,77.2,2515767,6015196,5045399,0
202,2020-05-20 14:03:00,77.3,77.3,77.3,77.3,2537385,1536741,1186378,0
203,2020-05-20 14:04:00,77.2,77.25,77.2,77.25,3417979,3040425,2424355,0
204,2020-05-20 14:06:00,77.65,77.65,77.65,77.65,3513695,1575741,1084321,0
205,2020-05-20 14:08:00,77.65,77.65,77.65,77.65,2606581,3148030,2174124,0
206,2020-05-20 14:09:00,77.6,77.6,77.6,77.6,2635963,1562157,1118779,0
207,2020-05-20 14:10:00,77.45,77.5,77.45,77.5,3556599,3096820,2321581,0
208,2020-05-20 14:11:00,77.45,77.45,77.45,77.45,3577220,1544736,1189062,0
209,2020-05-20 14:12:00,77.4,77.4,77.4,77.4,2656974,1537078,1200981,0
210,2020-05-20 14:13:00,77.2,77.2,77.15,77.15,3599764,2980844,2508049,0
211,2020-05-20 14:14:00,77.25,77.25,77.2,77.2,2663545,3005384,2478542,0
212,2020-05-20 14:15:00,77.2,77.2,77.2,77.2,2669988,1512586,1239352,0
213,2020-05-20 14:16:00,77.25,77.25,77.25,77.25,3618938,1525884,1225780,0
214,2020-05-20 14:17:00,77.25,77.25,77.25,77.25,3617712,1524976,1237616,0
215,2020-05-20 14:18:00,77.2,77.3,77.2,77.3,2686075,3032226,2473882,0
216,2020-05-20 14:19:00,77.2,77.2,77.2,77.2,2696070,1513293,1247503,0
217,2020-05-20 14:20:00,77.25,77.25,77.25,77.25,3634912,1514972,1246784,0
218,2020-05-20 14:21:00,77.2,77.2,77.2,77.2,3627048,1510166,1246588,0
219,2020-05-20 14:22:00,77.35,77.35,77.35,77.35,2710240,1533585,1184364,0
220,2020-05-20 14:23:00,77.4,77.4,77.4,77.4,2744740,1549421,1185578,0
221,2020-05-20 14:24:00,77.5,77.5,77.5,77.5,3690809,1568299,1138356,0
222,2020-05-20 14:25:00,77.8,77.8,77.8,77.8,3711858,1601125,1064307,0
223,2020-05-20 14:26:00,77.7,77.7,77.6,77.6,2804694,3168756,2248079,0
224,2020-05-20 14:27:00,77.55,77.55,77.5,77.55,3736382,6272754,4648331,0
225,2020-05-20 14:28:00,77.55,77.55,77.55,77.55,3740647,1590914,1148007,0
226,2020-05-20 14:29:00,77.6,77.85,77.6,77.85,2982853,3378257,2205523,0
227,2020-05-20 14:30:00,77.85,77.85,77.8,77.8,3757459,3376130,2146007,0
228,2020-05-20 14:31:00,77.8,77.8,77.8,77.8,2991897,3353915,2174292,0
229,2020-05-20 14:32:00,78.0,78.0,78.0,78.0,3115085,1699539,994774,0
230,2020-05-20 14:33:00,77.95,78.05,77.95,78.05,3828088,3372800,1999979,0
231,2020-05-20 14:35:00,78.05,78.05,78.05,78.05,3895646,1681652,1030268,0
232,2020-05-20 14:36:00,78.0,78.0,78.0,78.0,3239701,1653306,1070410,0
233,2020-05-20 14:37:00,77.6,77.6,77.6,77.6,3194961,1585523,1147750,0
234,2020-05-20 14:38:00,77.75,77.75,77.75,77.75,3870003,1604334,1150731,0
