,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,323.35,323.35,323.35,323.35,0,12216,6280,0
1,2020-05-20 09:16:00,325.95,325.95,325.95,325.95,0,15666,8913,0
2,2020-05-20 09:18:00,323.1,323.1,323.1,323.1,1168,17682,11888,0
3,2020-05-20 09:22:00,324.35,324.35,324.35,324.35,1381,22508,18889,0
4,2020-05-20 09:26:00,324.1,324.65,324.1,324.65,371,48056,41620,0
5,2020-05-20 09:28:00,325.15,325.15,325.15,325.15,547,24762,20885,0
6,2020-05-20 09:31:00,326.75,326.75,326.75,326.75,1737,25973,21153,0
7,2020-05-20 09:35:00,324.15,324.15,324.15,324.15,2777,24995,24234,0
8,2020-05-20 09:37:00,323.9,323.9,323.9,323.9,2798,24633,24949,0
9,2020-05-20 09:42:00,324.55,324.55,324.55,324.55,2442,26129,24450,0
10,2020-05-20 09:45:00,324.95,324.95,324.95,324.95,2738,25948,24394,0
11,2020-05-20 09:54:00,323.85,323.85,323.85,323.85,7568,25925,25506,0
12,2020-05-20 10:21:00,323.25,323.25,323.25,323.25,11799,26343,27544,0
13,2020-05-20 10:24:00,323.2,323.2,323.2,323.2,7117,25962,27630,0
14,2020-05-20 10:51:00,318.0,318.0,318.0,318.0,13406,50096,63851,0
15,2020-05-20 11:10:00,319.5,319.5,319.5,319.5,15098,26906,33020,0
16,2020-05-20 11:37:00,318.8,318.8,318.8,318.8,10409,30005,34508,0
17,2020-05-20 12:07:00,319.25,319.25,319.25,319.25,9493,32458,37470,0
18,2020-05-20 12:10:00,319.3,319.3,319.3,319.3,14283,32017,37411,0
19,2020-05-20 12:18:00,318.75,318.75,318.75,318.75,15401,31863,38156,0
20,2020-05-20 12:27:00,318.7,318.7,318.7,318.7,10699,32194,38764,0
21,2020-05-20 12:44:00,318.1,318.1,318.1,318.1,10396,31908,39312,0
22,2020-05-20 12:46:00,318.55,318.55,318.55,318.55,15158,31327,38173,0
23,2020-05-20 12:50:00,318.0,318.0,318.0,318.0,16111,31167,38233,0
24,2020-05-20 13:12:00,318.3,318.3,318.3,318.3,14299,32115,36263,0
25,2020-05-20 13:20:00,319.45,319.45,319.45,319.45,13966,32704,36461,0
26,2020-05-20 13:31:00,318.0,318.0,318.0,318.0,16597,31994,37096,0
27,2020-05-20 13:43:00,318.2,318.2,318.2,318.2,17093,32208,36980,0
28,2020-05-20 14:06:00,318.45,318.45,318.45,318.45,15003,33225,38455,0
29,2020-05-20 14:19:00,318.45,318.45,318.45,318.45,15777,33210,38632,0
30,2020-05-20 14:25:00,318.0,318.0,318.0,318.0,18306,32953,38680,0
31,2020-05-20 14:31:00,317.7,317.7,317.7,317.7,18169,32547,39053,0
32,2020-05-20 14:54:00,319.4,319.4,319.4,319.4,19285,32737,36614,0
33,2020-05-20 14:56:00,319.0,319.0,319.0,319.0,19450,32190,36545,0
34,2020-05-20 15:04:00,318.1,318.1,318.1,318.1,18859,31766,31949,0
35,2020-05-20 15:10:00,318.05,318.05,318.05,318.05,19736,31594,29109,0
36,2020-05-20 15:15:00,318.95,318.95,318.95,318.95,21265,31668,28222,0
37,2020-05-20 15:17:00,319.5,319.5,319.5,319.5,21466,30405,26653,0
38,2020-05-20 15:21:00,320.2,320.2,320.2,320.2,20884,28207,21535,0
39,2020-05-20 15:24:00,320.55,320.55,320.55,320.55,21210,20722,19543,0
40,2020-05-20 15:26:00,321.25,321.25,321.25,321.25,22001,20673,19580,0
41,2020-05-20 15:28:00,320.0,320.0,320.0,320.0,23203,19639,19435,0
