,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,353.7,353.7,353.7,353.7,0,6522,3364,0
1,2020-05-20 09:19:00,352.25,352.25,352.25,352.25,266,13033,8968,0
2,2020-05-20 09:21:00,355.35,355.35,355.35,355.35,444,6646,3950,0
3,2020-05-20 09:23:00,352.75,352.75,352.75,352.75,309,6535,4528,0
4,2020-05-20 09:24:00,352.8,352.8,352.8,352.8,1172,6836,4294,0
5,2020-05-20 09:27:00,354.05,354.05,354.05,354.05,1797,6892,4356,0
6,2020-05-20 09:31:00,351.65,351.65,348.05,348.05,855,13381,9237,0
7,2020-05-20 09:32:00,348.0,348.0,348.0,348.0,902,6704,4670,0
8,2020-05-20 09:36:00,346.5,346.5,346.5,346.5,3889,7091,4581,0
9,2020-05-20 09:42:00,348.05,348.05,348.05,348.05,4332,7523,4894,0
10,2020-05-20 09:45:00,352.75,352.75,352.75,352.75,1731,8486,4564,0
11,2020-05-20 09:46:00,351.95,351.95,351.95,351.95,1756,8281,4689,0
12,2020-05-20 09:47:00,350.95,350.95,350.95,350.95,4460,8290,4549,0
13,2020-05-20 09:53:00,354.6,354.6,354.6,354.6,4719,8154,5169,0
14,2020-05-20 09:54:00,353.4,353.4,353.4,353.4,2015,8275,5233,0
15,2020-05-20 10:15:00,350.65,350.65,350.65,350.65,2783,8286,5735,0
16,2020-05-20 10:21:00,350.5,350.5,350.5,350.5,6146,8314,5761,0
17,2020-05-20 10:22:00,349.0,349.0,349.0,349.0,5487,8326,5719,0
18,2020-05-20 10:26:00,349.1,349.1,349.1,349.1,2210,8570,5731,0
19,2020-05-20 10:28:00,350.45,350.45,350.45,350.45,2937,8777,5672,0
20,2020-05-20 10:35:00,351.0,351.0,351.0,351.0,6627,8878,5951,0
21,2020-05-20 11:08:00,349.15,349.15,349.15,349.15,6643,9914,5956,0
22,2020-05-20 11:16:00,349.05,349.05,349.05,349.05,3182,10265,5978,0
23,2020-05-20 11:28:00,349.95,349.95,349.05,349.05,6794,21461,12022,0
24,2020-05-20 11:30:00,349.05,349.05,349.05,349.05,6810,10740,6010,0
25,2020-05-20 11:42:00,349.1,349.1,349.1,349.1,3818,11529,6133,0
26,2020-05-20 12:02:00,350.0,350.0,350.0,350.0,4903,11910,6182,0
27,2020-05-20 12:18:00,351.2,351.2,351.2,351.2,9387,11993,6258,0
28,2020-05-20 12:28:00,350.05,350.05,350.05,350.05,8576,11976,6258,0
29,2020-05-20 12:44:00,350.1,350.1,350.1,350.1,4232,12217,6253,0
30,2020-05-20 12:51:00,351.35,351.35,351.35,351.35,5152,12251,6500,0
31,2020-05-20 13:14:00,350.2,350.2,350.2,350.2,9645,12396,6329,0
32,2020-05-20 13:50:00,350.6,350.6,350.6,350.6,10113,12575,6676,0
33,2020-05-20 14:09:00,353.7,353.7,353.7,353.7,7865,13524,6427,0
34,2020-05-20 14:23:00,355.45,355.45,355.45,355.45,10121,13238,6235,0
35,2020-05-20 14:28:00,355.6,355.6,355.6,355.6,13139,13089,6246,0
36,2020-05-20 14:35:00,355.85,355.85,355.85,355.85,11410,13272,6291,0
37,2020-05-20 14:36:00,355.15,355.15,355.15,355.15,8405,13323,6262,0
38,2020-05-20 14:56:00,354.3,354.3,354.3,354.3,14501,12775,6247,0
39,2020-05-20 15:02:00,353.8,353.8,353.8,353.8,18287,12352,5359,0
40,2020-05-20 15:07:00,354.4,354.4,353.5,353.5,9229,25156,11025,0
41,2020-05-20 15:11:00,355.65,355.65,355.65,355.65,9367,12995,5446,0
42,2020-05-20 15:18:00,365.0,365.0,365.0,365.0,23778,12668,4344,0
43,2020-05-20 15:19:00,361.55,361.55,361.55,361.55,23939,12864,4837,0
44,2020-05-20 15:20:00,359.45,359.45,359.45,359.45,9918,12590,5272,0
45,2020-05-20 15:26:00,359.0,359.0,358.0,358.0,24735,25041,10679,0
46,2020-05-20 15:29:00,358.05,358.05,358.05,358.05,25253,12117,5036,0
