,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,134.2,134.2,134.2,134.2,0,41096,83192,0
1,2020-05-20 09:08:00,133.5,133.5,133.5,133.5,0,20141,41754,0
2,2020-05-20 09:11:00,133.5,133.5,133.5,133.5,492,20141,41754,0
3,2020-05-20 09:14:00,133.5,133.5,133.5,133.5,492,20141,41754,0
4,2020-05-20 09:16:00,133.2,133.2,133.2,133.2,958,48754,69258,0
5,2020-05-20 09:17:00,133.0,133.0,133.0,133.0,2241,55659,73357,0
6,2020-05-20 09:18:00,132.9,132.9,132.9,132.9,3664,59527,94135,0
7,2020-05-20 09:21:00,134.5,134.5,134.5,134.5,10484,126515,133229,0
8,2020-05-20 09:22:00,135.0,135.0,134.65,134.65,4708,258768,265667,0
9,2020-05-20 09:23:00,133.95,133.95,133.95,133.95,9263,122583,145177,0
10,2020-05-20 09:24:00,133.8,133.8,133.8,133.8,18402,126475,152186,0
11,2020-05-20 09:26:00,132.85,132.95,132.85,132.95,6854,242749,329475,0
12,2020-05-20 09:28:00,133.4,133.4,133.4,133.4,11246,128713,160231,0
13,2020-05-20 09:30:00,132.9,132.9,132.9,132.9,35243,249674,348419,0
14,2020-05-20 09:33:00,133.1,133.1,133.1,133.1,45165,131572,167934,0
15,2020-05-20 09:34:00,133.25,133.25,133.25,133.25,22971,131737,163478,0
16,2020-05-20 09:35:00,133.1,133.1,133.1,133.1,15125,133427,168332,0
17,2020-05-20 09:36:00,133.05,133.05,133.05,133.05,45317,269761,332443,0
18,2020-05-20 09:37:00,133.1,133.1,133.1,133.1,45978,135078,167726,0
19,2020-05-20 09:39:00,132.8,132.8,132.8,132.8,17525,123893,168472,0
20,2020-05-20 09:42:00,132.9,132.9,132.9,132.9,18702,128622,172125,0
21,2020-05-20 09:44:00,132.8,132.8,132.8,132.8,49520,253964,345612,0
22,2020-05-20 09:46:00,132.7,132.7,132.7,132.7,50180,125942,174098,0
23,2020-05-20 09:51:00,132.35,132.35,132.35,132.35,24213,133633,183853,0
24,2020-05-20 09:52:00,132.4,132.4,132.4,132.4,23611,134823,183688,0
25,2020-05-20 09:54:00,132.35,132.65,132.35,132.65,51507,273738,361869,0
26,2020-05-20 09:55:00,132.75,132.75,132.75,132.75,53781,143260,176077,0
27,2020-05-20 09:56:00,133.0,133.3,133.0,133.3,24818,295180,348843,0
28,2020-05-20 09:58:00,133.4,133.4,133.4,133.4,57064,301816,347208,0
29,2020-05-20 09:59:00,133.3,133.3,133.3,133.3,61492,152545,170983,0
30,2020-05-20 10:00:00,133.3,133.3,133.3,133.3,29746,155728,171685,0
31,2020-05-20 10:03:00,133.3,133.3,133.25,133.25,59346,310203,349888,0
32,2020-05-20 10:08:00,132.95,132.95,132.95,132.95,61829,150596,179553,0
33,2020-05-20 10:18:00,132.65,132.65,132.65,132.65,35594,147784,186702,0
34,2020-05-20 10:23:00,132.55,132.55,132.55,132.55,33719,151090,189532,0
35,2020-05-20 10:25:00,132.6,132.6,132.6,132.6,61941,299337,380965,0
36,2020-05-20 10:35:00,133.0,133.0,133.0,133.0,67919,153924,184812,0
37,2020-05-20 10:41:00,133.1,133.1,133.1,133.1,40974,153411,186696,0
38,2020-05-20 10:44:00,133.25,133.25,133.25,133.25,37143,157915,181880,0
39,2020-05-20 10:48:00,133.6,133.6,133.6,133.6,69066,168836,174733,0
40,2020-05-20 10:50:00,133.6,133.6,133.6,133.6,74830,165662,177294,0
41,2020-05-20 10:52:00,133.7,133.7,133.7,133.7,43574,166896,175633,0
42,2020-05-20 11:05:00,133.1,133.1,133.1,133.1,43023,160435,184042,0
43,2020-05-20 11:06:00,133.1,133.1,133.1,133.1,74279,160435,184042,0
44,2020-05-20 11:11:00,133.2,133.2,133.1,133.1,53273,366284,407825,0
45,2020-05-20 11:12:00,133.45,133.7,133.45,133.7,81325,328193,362452,0
46,2020-05-20 11:13:00,133.6,133.6,133.6,133.6,60310,337187,392121,0
47,2020-05-20 11:15:00,133.5,133.7,133.5,133.7,90447,500739,542262,0
48,2020-05-20 11:16:00,133.45,133.45,133.25,133.25,62535,324977,386525,0
49,2020-05-20 11:18:00,133.4,133.4,133.4,133.4,69630,163345,183478,0
50,2020-05-20 11:19:00,133.45,133.45,133.45,133.45,98275,166103,184695,0
51,2020-05-20 11:21:00,133.35,133.35,133.35,133.35,91380,167376,183740,0
52,2020-05-20 11:23:00,133.35,133.35,133.35,133.35,62957,167629,185149,0
53,2020-05-20 11:25:00,133.25,133.25,133.25,133.25,71328,168014,185092,0
54,2020-05-20 11:35:00,133.4,133.4,133.4,133.4,100905,168684,186242,0
55,2020-05-20 11:36:00,133.4,133.4,133.4,133.4,92534,169529,186342,0
56,2020-05-20 11:38:00,133.35,133.35,133.35,133.35,63034,170028,186787,0
57,2020-05-20 11:42:00,133.3,133.3,133.3,133.3,72180,171950,187329,0
58,2020-05-20 11:49:00,133.6,133.6,133.6,133.6,102321,177126,189073,0
59,2020-05-20 11:58:00,133.15,133.15,133.15,133.15,96051,171240,194448,0
60,2020-05-20 12:03:00,133.3,133.3,133.3,133.3,66121,174331,195978,0
61,2020-05-20 12:11:00,133.4,133.4,133.4,133.4,76922,174050,195307,0
62,2020-05-20 12:26:00,133.45,133.45,133.45,133.45,109051,180727,196985,0
63,2020-05-20 12:28:00,133.45,133.45,133.45,133.45,99093,179422,196701,0
64,2020-05-20 12:31:00,133.5,133.5,133.5,133.5,67450,179513,196748,0
65,2020-05-20 12:32:00,133.6,133.6,133.6,133.6,77774,179155,196655,0
66,2020-05-20 12:40:00,133.5,133.5,133.5,133.5,109495,174905,195167,0
67,2020-05-20 12:42:00,133.65,133.65,133.65,133.65,99223,174923,195447,0
68,2020-05-20 12:43:00,133.65,133.65,133.65,133.65,67502,173922,745207,0
69,2020-05-20 12:48:00,133.65,133.65,133.65,133.65,81236,171933,743248,0
70,2020-05-20 12:58:00,133.75,133.75,133.75,133.75,119504,175765,737412,0
71,2020-05-20 13:11:00,133.75,133.75,133.75,133.75,110679,175031,734631,0
72,2020-05-20 13:26:00,133.7,133.7,133.7,133.7,74577,169614,736297,0
73,2020-05-20 13:33:00,133.9,133.9,133.9,133.9,86194,171811,738547,0
74,2020-05-20 13:34:00,134.0,134.15,134.0,134.15,111926,343699,1471604,0
75,2020-05-20 13:36:00,134.05,134.05,134.05,134.05,112179,173559,732686,0
76,2020-05-20 13:38:00,134.1,134.1,134.1,134.1,88181,175951,734275,0
77,2020-05-20 13:41:00,134.3,134.3,134.3,134.3,88603,175631,735061,0
78,2020-05-20 13:44:00,134.75,134.75,134.75,134.75,119123,181459,725635,0
79,2020-05-20 13:48:00,134.85,134.85,134.85,134.85,124738,183271,723429,0
80,2020-05-20 13:49:00,134.85,134.85,134.85,134.85,92625,363998,1453976,0
81,2020-05-20 13:50:00,135.65,136.15,135.65,136.15,153793,385992,1439177,0
82,2020-05-20 13:51:00,136.1,136.1,136.1,136.1,160043,194028,714419,0
83,2020-05-20 13:52:00,136.05,136.05,136.05,136.05,109807,193369,723715,0
84,2020-05-20 13:53:00,136.0,136.05,136.0,136.05,160153,391278,1458561,0
85,2020-05-20 13:54:00,136.05,136.05,136.05,136.05,160399,195879,728853,0
86,2020-05-20 13:55:00,136.5,136.5,136.35,136.4,116690,615618,2175600,0
87,2020-05-20 13:57:00,135.85,135.95,135.75,135.95,166869,610434,2187005,0
88,2020-05-20 13:58:00,135.95,135.95,135.8,135.8,117730,616506,2193181,0
89,2020-05-20 13:59:00,135.9,135.9,135.9,135.9,118155,205546,731456,0
90,2020-05-20 14:01:00,136.05,136.2,136.05,136.2,170061,421578,1459810,0
91,2020-05-20 14:02:00,136.35,136.35,136.35,136.35,171782,211740,730666,0
92,2020-05-20 14:03:00,136.25,136.25,136.25,136.25,120576,212313,730768,0
93,2020-05-20 14:05:00,136.0,136.0,136.0,136.0,126193,202390,730668,0
94,2020-05-20 14:06:00,136.0,136.0,136.0,136.0,179524,203273,738925,0
95,2020-05-20 14:07:00,136.0,136.0,136.0,136.0,174003,203585,739160,0
96,2020-05-20 14:08:00,136.0,136.0,136.0,136.0,121320,203768,738487,0
97,2020-05-20 14:10:00,136.6,136.75,136.6,136.75,192539,628001,2193955,0
98,2020-05-20 14:11:00,136.6,136.6,136.3,136.3,127149,415431,1478202,0
99,2020-05-20 14:12:00,136.1,136.1,136.1,136.1,127433,206239,743394,0
100,2020-05-20 14:13:00,136.2,136.2,136.2,136.2,196159,203891,743915,0
101,2020-05-20 14:15:00,135.85,135.9,135.85,135.9,127552,413554,1500906,0
102,2020-05-20 14:16:00,135.85,135.85,135.85,135.85,127800,205493,751233,0
103,2020-05-20 14:17:00,135.65,135.65,135.65,135.65,197278,202633,755204,0
104,2020-05-20 14:18:00,135.85,135.85,135.65,135.85,130817,608809,2265465,0
105,2020-05-20 14:20:00,135.55,135.55,135.55,135.55,131462,203363,756944,0
