,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,1427.7,1427.7,1427.7,1427.7,0,1895,1905,0
1,2020-05-20 09:18:00,1444.8,1444.8,1444.8,1444.8,0,9468,5330,0
2,2020-05-20 09:26:00,1446.0,1446.0,1446.0,1446.0,217,13451,8163,0
3,2020-05-20 09:32:00,1455.0,1455.0,1455.0,1455.0,544,16361,10300,0
4,2020-05-20 09:33:00,1453.15,1453.15,1453.15,1453.15,645,16389,10384,0
5,2020-05-20 09:40:00,1469.85,1469.85,1469.85,1469.85,1719,17164,10208,0
6,2020-05-20 09:42:00,1469.05,1469.05,1469.05,1469.05,1795,18152,9432,0
7,2020-05-20 09:44:00,1460.1,1460.1,1460.1,1460.1,963,17969,9777,0
8,2020-05-20 09:46:00,1459.55,1459.55,1458.25,1458.25,1893,35135,19835,0
9,2020-05-20 09:47:00,1456.1,1456.1,1456.1,1456.1,973,35117,19972,0
10,2020-05-20 09:50:00,1454.95,1454.95,1454.95,1454.95,1082,17587,10025,0
11,2020-05-20 09:55:00,1454.55,1454.55,1454.55,1454.55,2023,20181,11708,0
12,2020-05-20 10:02:00,1454.85,1454.85,1454.85,1454.85,2065,20209,11735,0
13,2020-05-20 10:16:00,1447.45,1447.45,1447.45,1447.45,1380,18662,12368,0
14,2020-05-20 10:22:00,1446.15,1446.15,1446.15,1446.15,1372,21352,14911,0
15,2020-05-20 10:26:00,1441.25,1441.25,1441.25,1441.25,2200,28031,19747,0
16,2020-05-20 10:28:00,1444.25,1444.25,1444.25,1444.25,2228,30146,22179,0
17,2020-05-20 10:58:00,1450.0,1450.0,1450.0,1450.0,3562,57874,40368,0
18,2020-05-20 10:59:00,1450.0,1450.0,1450.0,1450.0,3750,28900,20184,0
19,2020-05-20 11:00:00,1450.0,1450.0,1450.0,1450.0,4285,28918,20147,0
20,2020-05-20 11:07:00,1450.0,1450.0,1450.0,1450.0,5346,26652,20135,0
21,2020-05-20 11:13:00,1449.1,1449.1,1449.1,1449.1,4893,26643,20190,0
22,2020-05-20 11:21:00,1449.05,1449.05,1449.05,1449.05,3897,29312,20203,0
23,2020-05-20 11:32:00,1450.0,1450.0,1449.75,1449.75,5559,62337,42477,0
24,2020-05-20 11:33:00,1449.75,1449.75,1449.75,1449.75,5559,31158,21288,0
25,2020-05-20 11:35:00,1448.7,1448.7,1448.7,1448.7,3913,31176,21273,0
26,2020-05-20 11:41:00,1449.15,1449.15,1449.15,1449.15,4028,31098,21385,0
27,2020-05-20 11:42:00,1449.15,1449.15,1449.15,1449.15,5674,31098,21385,0
28,2020-05-20 11:47:00,1450.0,1450.0,1450.0,1450.0,5588,31140,21341,0
29,2020-05-20 11:56:00,1449.2,1449.2,1449.2,1449.2,4101,31192,21304,0
30,2020-05-20 11:58:00,1451.5,1451.5,1451.5,1451.5,4226,31158,21291,0
31,2020-05-20 12:02:00,1451.15,1451.15,1451.15,1451.15,5755,31162,21314,0
32,2020-05-20 12:03:00,1451.05,1451.05,1451.05,1451.05,5647,31161,21315,0
33,2020-05-20 12:05:00,1450.0,1450.0,1450.0,1450.0,4170,31169,21312,0
34,2020-05-20 12:20:00,1450.55,1450.55,1450.55,1450.55,4550,31175,21318,0
35,2020-05-20 12:26:00,1450.0,1450.0,1450.0,1450.0,6139,31113,21305,0
36,2020-05-20 12:29:00,1448.35,1448.35,1448.35,1448.35,5778,31136,21344,0
37,2020-05-20 12:30:00,1450.0,1450.0,1450.0,1450.0,4571,62252,42653,0
38,2020-05-20 12:31:00,1450.0,1450.0,1450.0,1450.0,4571,31123,21326,0
39,2020-05-20 12:35:00,1451.8,1451.8,1451.8,1451.8,5836,31149,21304,0
40,2020-05-20 12:36:00,1450.05,1450.05,1450.05,1450.05,5844,31154,21341,0
41,2020-05-20 12:38:00,1449.05,1449.05,1449.05,1449.05,4616,31155,21358,0
42,2020-05-20 12:43:00,1450.0,1450.0,1450.0,1450.0,4641,26748,20315,0
43,2020-05-20 12:49:00,1448.2,1448.2,1448.2,1448.2,5952,24075,17790,0
44,2020-05-20 13:10:00,1450.0,1450.0,1450.0,1450.0,6104,28671,21374,0
45,2020-05-20 13:11:00,1450.0,1450.0,1450.0,1450.0,4793,28671,21374,0
46,2020-05-20 13:21:00,1449.05,1449.2,1449.05,1449.2,6055,57409,42724,0
47,2020-05-20 13:24:00,1450.0,1450.0,1450.0,1450.0,6070,28688,21368,0
48,2020-05-20 13:25:00,1449.45,1449.45,1449.45,1449.45,4809,26904,20302,0
49,2020-05-20 13:26:00,1450.0,1450.0,1450.0,1450.0,4812,26875,20304,0
50,2020-05-20 13:35:00,1448.9,1448.9,1448.9,1448.9,6188,26883,20330,0
51,2020-05-20 13:36:00,1450.25,1450.25,1450.25,1450.25,6191,26865,20305,0
52,2020-05-20 13:38:00,1451.35,1451.35,1451.35,1451.35,4831,26878,20301,0
53,2020-05-20 13:41:00,1450.0,1451.2,1450.0,1451.2,7864,57365,41476,0
54,2020-05-20 13:42:00,1451.2,1451.2,1451.2,1451.2,7864,28683,20745,0
55,2020-05-20 13:47:00,1450.05,1450.05,1450.05,1450.05,5454,28702,20583,0
