,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,491.65,491.65,491.65,491.65,0,2215,2539,0
1,2020-05-20 09:17:00,491.6,491.6,491.6,491.6,0,9223,13383,0
2,2020-05-20 09:20:00,491.6,491.6,491.6,491.6,1122,14302,18091,0
3,2020-05-20 09:26:00,491.85,491.85,491.85,491.85,1774,26354,29461,0
4,2020-05-20 09:32:00,491.2,491.2,491.2,491.2,1013,26557,29496,0
5,2020-05-20 09:45:00,490.6,490.6,490.25,490.25,3494,53442,61139,0
6,2020-05-20 09:46:00,490.45,490.45,490.45,490.45,3583,26439,30583,0
7,2020-05-20 09:49:00,490.25,490.25,490.25,490.25,1124,26435,30668,0
8,2020-05-20 09:51:00,490.5,490.5,490.0,490.0,3635,52962,61264,0
9,2020-05-20 10:12:00,488.2,488.2,488.2,488.2,5154,27196,35657,0
10,2020-05-20 10:14:00,488.05,488.05,488.05,488.05,2744,27490,35632,0
11,2020-05-20 10:18:00,486.0,486.0,486.0,486.0,1544,27972,36961,0
12,2020-05-20 10:21:00,484.8,484.8,484.8,484.8,5329,34204,42109,0
13,2020-05-20 10:22:00,482.1,482.1,482.1,482.1,7508,30663,44242,0
14,2020-05-20 10:23:00,482.65,482.65,482.65,482.65,7363,31174,44517,0
15,2020-05-20 10:54:00,482.15,482.15,482.15,482.15,7744,37159,51534,0
16,2020-05-20 11:06:00,482.95,482.95,482.95,482.95,8405,37414,51237,0
17,2020-05-20 11:10:00,481.25,481.25,481.25,481.25,8253,36448,52591,0
18,2020-05-20 11:11:00,481.25,481.25,480.1,480.1,7826,72449,105734,0
19,2020-05-20 11:13:00,480.0,480.0,480.0,480.0,8315,36496,53368,0
20,2020-05-20 11:15:00,480.3,480.3,480.3,480.3,8764,38214,54532,0
21,2020-05-20 11:17:00,480.0,480.0,480.0,480.0,8421,38228,54694,0
22,2020-05-20 11:24:00,482.0,482.0,482.0,482.0,8373,39409,53084,0
23,2020-05-20 11:27:00,481.95,481.95,481.95,481.95,8940,39727,53400,0
24,2020-05-20 11:34:00,482.0,482.0,482.0,482.0,9021,42887,55782,0
25,2020-05-20 11:41:00,484.0,484.0,481.1,481.1,11961,94926,115256,0
26,2020-05-20 11:42:00,480.6,483.8,480.6,483.8,11159,94956,114175,0
27,2020-05-20 11:45:00,480.55,480.55,480.55,480.55,12331,44477,59303,0
28,2020-05-20 11:46:00,479.9,479.9,479.9,479.9,13646,46370,61903,0
29,2020-05-20 11:51:00,478.1,478.1,478.1,478.1,13341,45814,64212,0
30,2020-05-20 12:08:00,477.3,477.3,477.3,477.3,13309,45382,65146,0
31,2020-05-20 12:25:00,477.3,477.3,477.3,477.3,14719,45838,64630,0
32,2020-05-20 12:29:00,477.25,477.25,477.25,477.25,14835,45942,64709,0
33,2020-05-20 12:46:00,477.4,477.4,477.4,477.4,14387,41049,59104,0
34,2020-05-20 12:47:00,475.8,475.8,475.8,475.8,14605,40155,60233,0
35,2020-05-20 12:56:00,476.35,476.35,476.35,476.35,16253,42507,62622,0
36,2020-05-20 12:57:00,476.9,476.9,476.9,476.9,16070,42651,62765,0
37,2020-05-20 12:59:00,477.4,477.4,477.4,477.4,14424,42693,62820,0
38,2020-05-20 13:20:00,478.3,478.3,478.3,478.3,15992,45825,66050,0
39,2020-05-20 13:45:00,480.25,480.25,480.25,480.25,20545,49360,62455,0
40,2020-05-20 13:46:00,480.95,480.95,480.95,480.95,18990,49727,62702,0
41,2020-05-20 13:56:00,481.85,481.85,481.85,481.85,14993,52844,60974,0
42,2020-05-20 13:57:00,480.3,480.3,480.3,480.3,17145,52096,61797,0
43,2020-05-20 14:00:00,481.5,481.5,481.5,481.5,21160,52380,61623,0
44,2020-05-20 14:14:00,480.25,480.25,480.25,480.25,20097,51368,62135,0
45,2020-05-20 14:15:00,480.25,480.25,480.25,480.25,16095,51585,61956,0
46,2020-05-20 14:21:00,481.0,481.0,481.0,481.0,18333,52149,61614,0
47,2020-05-20 14:22:00,481.0,481.0,481.0,481.0,22335,52149,61624,0
48,2020-05-20 14:23:00,481.95,481.95,479.1,479.1,19731,102564,123978,0
49,2020-05-20 14:25:00,479.1,479.1,479.1,479.1,19864,50227,62990,0
50,2020-05-20 14:30:00,481.45,481.45,481.45,481.45,30757,51560,61307,0
51,2020-05-20 14:34:00,484.0,484.0,484.0,484.0,31079,53637,58981,0
52,2020-05-20 14:46:00,486.45,486.45,486.45,486.45,21947,55670,56729,0
53,2020-05-20 14:48:00,486.9,486.9,486.9,486.9,21650,55815,55870,0
54,2020-05-20 14:51:00,486.0,486.0,486.0,486.0,30997,54679,56236,0
55,2020-05-20 14:52:00,486.8,486.8,486.8,486.8,31447,54821,55767,0
56,2020-05-20 14:54:00,487.0,487.0,487.0,487.0,22365,54738,55307,0
57,2020-05-20 14:55:00,486.8,486.8,486.8,486.8,21962,54093,55723,0
58,2020-05-20 14:57:00,485.0,485.0,485.0,485.0,31656,51038,56076,0
59,2020-05-20 14:58:00,485.0,485.0,485.0,485.0,32287,51147,56116,0
60,2020-05-20 15:04:00,482.8,482.8,482.8,482.8,23322,102382,84775,0
61,2020-05-20 15:05:00,482.8,482.8,482.8,482.8,23432,50097,36899,0
62,2020-05-20 15:12:00,484.15,484.15,484.15,484.15,32798,43444,29613,0
63,2020-05-20 15:14:00,486.0,486.0,486.0,486.0,33601,41632,26214,0
64,2020-05-20 15:15:00,490.95,490.95,490.95,490.95,25123,38128,22949,0
65,2020-05-20 15:19:00,488.0,488.0,488.0,488.0,25118,34528,24300,0
66,2020-05-20 15:26:00,484.5,484.5,484.5,484.5,34690,12814,15498,0
67,2020-05-20 15:27:00,484.45,484.45,484.45,484.45,34810,12781,15344,0
