,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,11.55,11.55,11.55,11.55,0,99083,78600,0
1,2020-05-20 09:08:00,11.55,11.55,11.55,11.55,0,99864,78981,0
2,2020-05-20 09:11:00,11.55,11.55,11.55,11.55,879,99864,78981,0
3,2020-05-20 09:14:00,11.55,11.55,11.55,11.55,879,99864,78981,0
4,2020-05-20 09:16:00,11.45,11.45,11.25,11.25,9333,224276,369686,0
5,2020-05-20 09:18:00,11.25,11.25,11.25,11.25,8218,348768,418057,0
6,2020-05-20 09:22:00,11.4,11.4,11.4,11.4,40722,232051,218853,0
7,2020-05-20 09:23:00,11.4,11.4,11.4,11.4,43658,233638,215867,0
8,2020-05-20 09:24:00,11.15,11.15,11.15,11.15,65131,218258,240046,0
9,2020-05-20 09:25:00,11.1,11.1,11.05,11.05,100529,347066,528762,0
10,2020-05-20 09:26:00,11.05,11.05,11.05,11.05,151554,107493,285277,0
11,2020-05-20 09:27:00,11.0,11.0,11.0,11.0,133129,129586,305325,0
12,2020-05-20 09:28:00,11.0,11.0,11.0,11.0,128793,102422,341836,0
13,2020-05-20 09:30:00,11.05,11.05,11.05,11.05,173441,124230,310434,0
14,2020-05-20 09:32:00,11.1,11.1,11.1,11.1,247821,172960,260816,0
15,2020-05-20 09:34:00,11.05,11.1,11.05,11.1,222635,339090,522449,0
16,2020-05-20 09:37:00,11.1,11.1,11.1,11.1,281097,397385,488401,0
17,2020-05-20 09:39:00,11.15,11.15,11.15,11.15,284624,236556,241759,0
18,2020-05-20 09:40:00,11.15,11.15,11.15,11.15,234979,227474,252208,0
19,2020-05-20 09:41:00,11.1,11.1,11.1,11.1,285153,458807,505386,0
20,2020-05-20 09:44:00,11.15,11.15,11.15,11.15,301517,231829,251240,0
21,2020-05-20 09:45:00,11.1,11.1,11.1,11.1,253748,253060,259498,0
22,2020-05-20 09:46:00,11.1,11.1,11.1,11.1,239584,249503,259498,0
23,2020-05-20 09:54:00,11.2,11.2,11.2,11.2,355339,263352,231310,0
24,2020-05-20 09:59:00,11.2,11.2,11.2,11.2,386303,297493,245021,0
25,2020-05-20 10:04:00,11.2,11.2,11.2,11.2,278694,319396,240626,0
26,2020-05-20 10:06:00,11.15,11.15,11.15,11.15,260967,311840,253193,0
27,2020-05-20 10:11:00,11.1,11.1,11.1,11.1,404681,263658,270367,0
28,2020-05-20 10:20:00,11.15,11.15,11.1,11.1,331242,520352,614826,0
29,2020-05-20 10:24:00,11.1,11.1,11.1,11.1,351324,242782,305161,0
30,2020-05-20 10:25:00,11.1,11.1,11.1,11.1,425189,239270,264240,0
31,2020-05-20 10:27:00,11.1,11.1,11.1,11.1,409348,245087,261345,0
32,2020-05-20 10:29:00,11.1,11.1,11.1,11.1,353144,529076,530020,0
33,2020-05-20 10:30:00,11.15,11.15,11.15,11.15,414426,547778,538917,0
34,2020-05-20 10:33:00,11.15,11.15,11.15,11.15,418794,269448,268520,0
35,2020-05-20 10:34:00,11.15,11.15,11.15,11.15,359332,292321,266900,0
36,2020-05-20 10:38:00,11.15,11.15,11.15,11.15,368752,323928,269823,0
37,2020-05-20 10:40:00,11.15,11.15,11.15,11.15,433218,300535,298056,0
38,2020-05-20 10:43:00,11.15,11.15,11.15,11.15,428030,315002,293947,0
39,2020-05-20 10:45:00,11.15,11.15,11.15,11.15,367837,329605,299448,0
40,2020-05-20 10:46:00,11.15,11.15,11.15,11.15,433942,619414,597448,0
41,2020-05-20 10:47:00,11.1,11.15,11.1,11.15,369734,932429,890570,0
42,2020-05-20 10:48:00,11.1,11.1,11.1,11.1,370754,310863,295840,0
43,2020-05-20 10:50:00,11.15,11.15,11.15,11.15,437232,320056,299782,0
44,2020-05-20 10:53:00,11.15,11.15,11.15,11.15,436881,301134,300109,0
45,2020-05-20 10:54:00,11.1,11.1,11.1,11.1,373857,605667,596014,0
46,2020-05-20 10:56:00,11.1,11.15,11.1,11.15,438128,601676,597513,0
47,2020-05-20 11:00:00,11.15,11.15,11.15,11.15,442276,298253,303762,0
48,2020-05-20 11:16:00,11.15,11.15,11.15,11.15,396818,303319,283599,0
49,2020-05-20 11:21:00,11.1,11.1,11.1,11.1,400666,300498,282267,0
50,2020-05-20 11:22:00,11.1,11.1,11.1,11.1,446286,300341,282167,0
51,2020-05-20 11:23:00,11.15,11.15,11.1,11.1,399522,596604,562444,0
52,2020-05-20 11:31:00,11.1,11.15,11.1,11.15,455078,623334,564966,0
53,2020-05-20 11:33:00,11.15,11.15,11.15,11.15,476802,342365,281138,0
54,2020-05-20 11:36:00,11.15,11.15,11.15,11.15,422203,346220,280775,0
55,2020-05-20 11:41:00,11.15,11.15,11.15,11.15,409088,362239,279358,0
56,2020-05-20 11:44:00,11.1,11.15,11.1,11.15,477395,1094392,836928,0
57,2020-05-20 11:48:00,11.15,11.15,11.15,11.15,485574,337123,305512,0
58,2020-05-20 11:52:00,11.1,11.1,11.1,11.1,440423,252587,336010,0
59,2020-05-20 11:53:00,11.1,11.1,11.1,11.1,432754,253602,337020,0
60,2020-05-20 11:56:00,11.05,11.05,11.05,11.05,480368,251422,339243,0
61,2020-05-20 11:58:00,11.1,11.1,11.1,11.1,489612,250914,314118,0
62,2020-05-20 11:59:00,11.1,11.1,11.1,11.1,443428,254727,313198,0
63,2020-05-20 12:03:00,11.1,11.1,11.1,11.1,436440,254872,311343,0
64,2020-05-20 12:07:00,11.1,11.1,11.1,11.1,492946,503342,622638,0
65,2020-05-20 12:12:00,11.1,11.1,11.1,11.1,493891,255740,310775,0
66,2020-05-20 12:17:00,11.1,11.1,11.1,11.1,439054,257908,306581,0
67,2020-05-20 12:18:00,11.1,11.1,11.1,11.1,511488,481981,595290,0
68,2020-05-20 12:19:00,11.1,11.1,11.1,11.1,511488,250993,297520,0
69,2020-05-20 12:23:00,11.1,11.1,11.1,11.1,440187,252308,299294,0
70,2020-05-20 12:27:00,11.1,11.1,11.1,11.1,443979,250991,295673,0
71,2020-05-20 12:33:00,11.1,11.1,11.1,11.1,519120,250908,302938,0
72,2020-05-20 12:39:00,11.05,11.05,11.05,11.05,519442,248628,301482,0
73,2020-05-20 12:42:00,11.1,11.1,11.1,11.1,447963,248135,299474,0
74,2020-05-20 12:45:00,11.05,11.05,11.05,11.05,450843,247331,298476,0
75,2020-05-20 12:48:00,11.1,11.1,11.1,11.1,525707,248394,296004,0
76,2020-05-20 12:51:00,11.1,11.1,11.1,11.1,523309,248998,296283,0
77,2020-05-20 12:52:00,11.05,11.05,11.05,11.05,449335,249444,295603,0
78,2020-05-20 12:59:00,11.05,11.05,11.05,11.05,457397,247772,290887,0
79,2020-05-20 13:09:00,11.15,11.15,11.15,11.15,556268,262522,272547,0
80,2020-05-20 13:11:00,11.2,11.2,11.2,11.2,550959,308980,276768,0
81,2020-05-20 13:21:00,11.15,11.15,11.15,11.15,455306,315005,279758,0
82,2020-05-20 13:24:00,11.1,11.1,11.1,11.1,557149,631788,559716,0
83,2020-05-20 13:26:00,11.15,11.15,11.15,11.15,559220,316462,284732,0
84,2020-05-20 13:33:00,11.15,11.15,11.15,11.15,465189,312630,280691,0
85,2020-05-20 13:45:00,11.1,11.1,11.1,11.1,472001,316117,281363,0
86,2020-05-20 13:50:00,11.1,11.1,11.1,11.1,570598,306207,277281,0
87,2020-05-20 13:51:00,11.15,11.15,11.15,11.15,466229,611935,553542,0
88,2020-05-20 13:56:00,11.15,11.15,11.15,11.15,473632,317272,278154,0
89,2020-05-20 14:03:00,11.2,11.2,11.2,11.2,588206,346775,263590,0
90,2020-05-20 14:05:00,11.15,11.15,11.15,11.15,588673,353343,277082,0
91,2020-05-20 14:11:00,11.15,11.15,11.15,11.15,475610,329535,285756,0
92,2020-05-20 14:13:00,11.15,11.15,11.15,11.15,479764,327355,287636,0
93,2020-05-20 14:18:00,11.15,11.15,11.15,11.15,616584,324843,269789,0
94,2020-05-20 14:19:00,11.15,11.15,11.15,11.15,612430,324833,269789,0
95,2020-05-20 14:23:00,11.25,11.25,11.25,11.25,506753,336135,247373,0
96,2020-05-20 14:25:00,11.3,11.3,11.3,11.3,524207,342273,261530,0
97,2020-05-20 14:26:00,11.25,11.25,11.25,11.25,630621,345260,261159,0
98,2020-05-20 14:31:00,11.2,11.25,11.2,11.2,521149,1020204,771087,0
99,2020-05-20 14:34:00,11.2,11.2,11.2,11.2,525274,340285,262756,0
100,2020-05-20 14:35:00,11.2,11.2,11.2,11.2,636606,339840,265396,0
101,2020-05-20 14:41:00,11.35,11.35,11.35,11.35,657475,377062,258381,0
102,2020-05-20 14:42:00,11.35,11.35,11.3,11.3,533742,747167,535030,0
103,2020-05-20 14:43:00,11.3,11.3,11.3,11.3,657681,1066980,821649,0
104,2020-05-20 14:44:00,11.3,11.3,11.3,11.3,658059,350050,273387,0
105,2020-05-20 14:50:00,11.35,11.35,11.35,11.35,561569,393632,263365,0
106,2020-05-20 14:54:00,11.3,11.3,11.3,11.3,565845,346071,276287,0
107,2020-05-20 14:57:00,11.25,11.25,11.25,11.25,665418,325440,273065,0
108,2020-05-20 14:58:00,11.25,11.25,11.25,11.25,662036,324771,271885,0
109,2020-05-20 14:59:00,11.3,11.3,11.3,11.3,567507,647992,543758,0
110,2020-05-20 15:00:00,11.25,11.25,11.25,11.25,572718,318634,272374,0
111,2020-05-20 15:01:00,11.2,11.2,11.2,11.2,662045,645404,555938,0
112,2020-05-20 15:02:00,11.2,11.2,11.2,11.2,664903,328465,277493,0
113,2020-05-20 15:05:00,11.2,11.25,11.2,11.25,583922,725009,533560,0
114,2020-05-20 15:07:00,11.3,11.3,11.3,11.3,665640,727988,527474,0
115,2020-05-20 15:08:00,11.25,11.25,11.25,11.25,666977,367243,262491,0
116,2020-05-20 15:11:00,11.25,11.25,11.25,11.25,593917,718953,534798,0
117,2020-05-20 15:13:00,11.25,11.25,11.25,11.25,669438,724076,535958,0
118,2020-05-20 15:14:00,11.25,11.25,11.25,11.25,597133,713596,534532,0
119,2020-05-20 15:15:00,11.25,11.25,11.25,11.25,597234,359164,267004,0
120,2020-05-20 15:18:00,11.35,11.35,11.3,11.3,714721,735474,481453,0
121,2020-05-20 15:19:00,11.3,11.3,11.3,11.3,716309,375152,246850,0
122,2020-05-20 15:20:00,11.3,11.3,11.3,11.3,610616,374133,264275,0
123,2020-05-20 15:21:00,11.3,11.3,11.3,11.3,612174,371823,261342,0
124,2020-05-20 15:22:00,11.25,11.25,11.25,11.25,732389,378697,248142,0
125,2020-05-20 15:23:00,11.25,11.25,11.25,11.25,730932,385740,248042,0
126,2020-05-20 15:28:00,11.4,11.4,11.4,11.4,651841,364643,151308,0
127,2020-05-20 15:29:00,11.35,11.35,11.35,11.35,675161,356055,154102,0
