,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,131.45,131.45,131.45,131.45,0,69255,118406,0
1,2020-05-20 09:07:00,131.45,132.05,131.45,132.05,8013,66239,120027,0
2,2020-05-20 09:08:00,132.05,132.05,132.05,132.05,8013,29745,60082,0
3,2020-05-20 09:11:00,132.05,132.05,132.05,132.05,0,29745,60082,0
4,2020-05-20 09:14:00,132.05,132.05,132.05,132.05,0,29745,60082,0
5,2020-05-20 09:15:00,131.2,132.9,131.2,132.9,76772,697023,712614,0
6,2020-05-20 09:16:00,132.7,132.7,132.7,132.7,84758,259883,268544,0
7,2020-05-20 09:17:00,132.65,132.75,132.65,132.75,76511,741558,780008,0
8,2020-05-20 09:20:00,132.55,132.55,132.55,132.55,173205,449747,450932,0
9,2020-05-20 09:21:00,132.9,132.9,132.9,132.9,208446,452548,445793,0
10,2020-05-20 09:22:00,132.8,132.8,132.8,132.8,126538,471947,449137,0
11,2020-05-20 09:26:00,132.45,132.45,132.45,132.45,164045,503124,521834,0
12,2020-05-20 09:27:00,132.65,132.65,132.65,132.65,296898,535333,528136,0
13,2020-05-20 09:28:00,132.8,132.95,132.8,132.95,141654,1090395,1047834,0
14,2020-05-20 09:29:00,132.85,132.85,132.35,132.35,325830,1132336,1153642,0
15,2020-05-20 09:31:00,132.45,132.45,132.45,132.45,347454,579394,595708,0
16,2020-05-20 09:32:00,133.0,133.25,133.0,133.25,169493,1293968,1110731,0
17,2020-05-20 09:35:00,133.2,133.2,133.15,133.15,404327,1473332,1204572,0
18,2020-05-20 09:36:00,133.0,133.1,133.0,133.1,207682,1484726,1426834,0
19,2020-05-20 09:37:00,133.5,133.5,133.5,133.5,245136,803956,711783,0
20,2020-05-20 09:39:00,133.9,133.95,133.9,133.95,500439,1689265,1366134,0
21,2020-05-20 09:41:00,133.4,133.4,133.4,133.4,289246,1623101,1531765,0
22,2020-05-20 09:42:00,133.4,133.4,133.2,133.25,509710,2398029,2336125,0
23,2020-05-20 09:45:00,133.7,133.85,133.7,133.8,320692,2564818,2270150,0
24,2020-05-20 09:46:00,133.6,133.6,133.55,133.55,534862,2549867,2339410,0
25,2020-05-20 09:47:00,133.55,133.55,133.55,133.55,534862,848889,787045,0
26,2020-05-20 09:48:00,133.55,133.55,133.55,133.55,346165,1681493,1621031,0
27,2020-05-20 09:50:00,133.8,133.8,133.5,133.5,561597,1687763,1576506,0
28,2020-05-20 09:51:00,133.5,133.5,133.5,133.5,361795,1663569,1595462,0
29,2020-05-20 09:53:00,133.3,133.4,133.3,133.35,586180,2468876,2448445,0
30,2020-05-20 09:55:00,133.4,133.4,133.4,133.4,592489,822776,814430,0
31,2020-05-20 09:56:00,133.35,133.35,133.35,133.35,383708,816633,808300,0
32,2020-05-20 09:57:00,133.2,133.2,133.2,133.2,596741,1612029,1660865,0
33,2020-05-20 09:58:00,133.3,133.3,133.3,133.3,601145,810919,832337,0
34,2020-05-20 09:59:00,133.2,133.5,133.2,133.5,404607,1638259,1643764,0
35,2020-05-20 10:00:00,133.35,133.6,133.35,133.6,610486,1657789,1630979,0
36,2020-05-20 10:01:00,133.45,133.45,133.45,133.45,413150,1676543,1608647,0
37,2020-05-20 10:02:00,133.3,133.3,133.3,133.3,620670,1647303,1645465,0
38,2020-05-20 10:03:00,133.3,133.3,133.3,133.3,623602,808915,837250,0
39,2020-05-20 10:04:00,133.4,133.4,133.4,133.4,423701,826782,834589,0
40,2020-05-20 10:05:00,133.25,133.25,133.2,133.2,627345,1648974,1677019,0
41,2020-05-20 10:07:00,132.85,132.85,132.85,132.85,675521,774482,861115,0
42,2020-05-20 10:08:00,133.4,133.4,133.4,133.4,491466,822525,814405,0
43,2020-05-20 10:10:00,133.75,133.75,133.75,133.75,552354,876129,753711,0
44,2020-05-20 10:11:00,134.05,134.05,134.05,134.05,869439,916960,753830,0
45,2020-05-20 10:12:00,134.1,134.1,134.1,134.1,809933,924714,768500,0
46,2020-05-20 10:13:00,134.0,134.0,134.0,134.0,542073,920076,750634,0
47,2020-05-20 10:14:00,134.15,134.15,134.15,134.15,619585,944281,743634,0
48,2020-05-20 10:15:00,134.35,134.45,134.3,134.3,868886,2883352,2287322,0
49,2020-05-20 10:16:00,134.35,134.35,134.35,134.35,869404,957627,768156,0
50,2020-05-20 10:17:00,133.95,133.95,133.95,133.95,655198,930504,822309,0
51,2020-05-20 10:18:00,133.9,133.9,133.9,133.9,655680,929365,822375,0
52,2020-05-20 10:19:00,133.9,133.9,133.9,133.9,898130,936082,838146,0
53,2020-05-20 10:20:00,133.9,133.9,133.9,133.9,919417,928202,828851,0
54,2020-05-20 10:21:00,133.9,133.9,133.9,133.9,688537,929916,827696,0
55,2020-05-20 10:22:00,133.9,133.9,133.9,133.9,706748,929094,839514,0
56,2020-05-20 10:23:00,134.0,134.3,134.0,134.3,960388,2853221,2410269,0
57,2020-05-20 10:24:00,134.3,134.3,134.3,134.3,964676,973215,784950,0
58,2020-05-20 10:25:00,134.35,134.35,134.35,134.35,765932,1935052,1586640,0
59,2020-05-20 10:26:00,134.45,134.75,134.3,134.75,1565556,4095767,3346152,0
60,2020-05-20 10:27:00,134.75,134.75,134.75,134.75,1601749,1097322,823488,0
61,2020-05-20 10:28:00,134.75,134.75,134.75,134.75,1027006,2243165,1646417,0
62,2020-05-20 10:29:00,134.65,134.95,134.65,134.95,1765779,3537112,2573511,0
63,2020-05-20 10:31:00,134.7,134.7,134.7,134.7,1843482,1183305,865687,0
64,2020-05-20 10:32:00,134.85,134.85,134.85,134.85,1135214,1197888,877762,0
65,2020-05-20 10:33:00,135.2,135.2,135.2,135.2,1141484,1233629,836994,0
66,2020-05-20 10:34:00,135.8,135.8,135.8,135.8,1965947,1286038,794088,0
67,2020-05-20 10:35:00,135.8,136.0,135.8,136.0,1285691,2547732,1609779,0
68,2020-05-20 10:36:00,135.9,135.9,135.9,135.9,2091985,2539621,1635150,0
69,2020-05-20 10:37:00,136.0,136.0,135.7,135.7,1389039,2510219,1726080,0
70,2020-05-20 10:38:00,135.65,135.65,135.6,135.6,2119666,2463586,1789074,0
71,2020-05-20 10:39:00,135.45,135.55,135.45,135.55,1419781,2454376,1839163,0
72,2020-05-20 10:40:00,135.8,136.1,135.8,136.1,2175739,5003159,3604011,0
73,2020-05-20 10:41:00,136.1,136.1,136.1,136.1,2184143,1287055,880952,0
74,2020-05-20 10:42:00,136.05,136.05,136.05,136.05,1448860,1299771,890364,0
75,2020-05-20 10:43:00,136.25,136.25,136.05,136.15,2240618,5178966,3579797,0
76,2020-05-20 10:44:00,136.1,136.15,136.1,136.15,1488171,2602581,1826728,0
77,2020-05-20 10:46:00,136.0,136.0,136.0,136.0,2285491,3875939,2815257,0
78,2020-05-20 10:47:00,135.95,135.95,135.95,135.95,2287862,1303756,947235,0
79,2020-05-20 10:48:00,135.75,135.75,135.75,135.75,1529664,1268467,975064,0
80,2020-05-20 10:49:00,136.1,136.1,136.1,136.1,1547102,1305044,949302,0
81,2020-05-20 10:50:00,136.0,136.0,135.75,135.75,2316024,2614541,1944418,0
82,2020-05-20 10:51:00,135.8,135.8,135.8,135.8,2316565,1302194,989527,0
83,2020-05-20 10:52:00,135.9,135.9,135.9,135.9,1581458,1314308,1016121,0
84,2020-05-20 10:53:00,135.65,135.65,135.6,135.6,2345116,2588906,2080312,0
85,2020-05-20 10:54:00,135.6,135.7,135.6,135.7,1603208,2608483,2046062,0
86,2020-05-20 10:56:00,135.6,135.7,135.6,135.7,2369350,2638209,2050167,0
87,2020-05-20 10:57:00,135.65,135.65,135.65,135.65,1611283,2642323,2074413,0
88,2020-05-20 10:58:00,135.6,135.65,135.6,135.65,2385053,2626243,2097839,0
89,2020-05-20 10:59:00,135.5,135.7,135.5,135.7,1650105,2639080,2066377,0
90,2020-05-20 11:00:00,135.9,135.9,135.9,135.9,1691116,1326369,989341,0
91,2020-05-20 11:01:00,135.8,135.8,135.8,135.8,2394478,2648693,2004952,0
92,2020-05-20 11:02:00,135.8,135.8,135.8,135.8,2407775,1331533,1001435,0
93,2020-05-20 11:03:00,135.9,135.95,135.9,135.95,1711661,2664330,1995814,0
94,2020-05-20 11:04:00,135.8,136.0,135.8,136.0,2426947,3981183,3011727,0
95,2020-05-20 11:06:00,135.7,135.7,135.7,135.7,2448374,1330495,1013055,0
96,2020-05-20 11:07:00,135.75,135.75,135.75,135.75,1746423,1333013,1029699,0
97,2020-05-20 11:08:00,135.8,135.85,135.8,135.85,2441314,2672338,2037833,0
98,2020-05-20 11:09:00,135.85,135.85,135.85,135.85,2447349,1339874,1041084,0
99,2020-05-20 11:10:00,135.9,135.9,135.9,135.9,1755138,1343478,1035753,0
100,2020-05-20 11:11:00,136.0,136.15,136.0,136.15,2516537,2717323,1973478,0
101,2020-05-20 11:12:00,136.1,136.6,136.1,136.6,1870173,2722440,1898749,0
102,2020-05-20 11:13:00,136.55,136.55,136.55,136.55,2540075,2658488,1862116,0
103,2020-05-20 11:14:00,136.4,136.45,136.4,136.45,1909998,2673312,1902452,0
104,2020-05-20 11:15:00,136.65,136.65,136.65,136.65,1947002,1336634,929241,0
105,2020-05-20 11:16:00,136.9,136.9,136.9,136.9,2653658,1378567,898475,0
106,2020-05-20 11:17:00,136.7,136.7,136.7,136.7,2759082,1352290,916910,0
107,2020-05-20 11:19:00,136.4,136.4,136.4,136.4,2014376,3968184,2956823,0
108,2020-05-20 11:20:00,136.35,136.35,136.35,136.35,2036128,1336102,999054,0
109,2020-05-20 11:21:00,136.4,136.4,136.4,136.4,2797406,1329992,1009739,0
110,2020-05-20 11:22:00,136.5,136.6,136.5,136.6,2031871,4053508,3035934,0
111,2020-05-20 11:23:00,136.45,137.25,136.45,137.15,2955305,4147424,2851026,0
112,2020-05-20 11:24:00,137.25,137.25,137.25,137.25,2974311,1405216,912170,0
113,2020-05-20 11:25:00,136.9,137.25,136.9,137.25,2185012,2771432,1930114,0
114,2020-05-20 11:26:00,137.1,137.1,137.1,137.1,2203851,1386170,995875,0
115,2020-05-20 11:27:00,137.05,137.05,137.05,137.05,3044111,1405825,1006642,0
116,2020-05-20 11:28:00,137.6,137.6,137.55,137.55,2402805,2736169,1860318,0
117,2020-05-20 11:29:00,137.55,137.6,137.55,137.6,3046100,2722094,1892270,0
118,2020-05-20 11:30:00,137.4,137.4,137.3,137.3,2453362,2687173,2001545,0
119,2020-05-20 11:31:00,137.4,137.4,137.2,137.2,3072200,2680754,2035484,0
120,2020-05-20 11:32:00,137.1,137.2,137.1,137.2,2465074,2663488,2096535,0
121,2020-05-20 11:33:00,136.8,137.0,136.8,137.0,3135428,2588878,2136700,0
122,2020-05-20 11:34:00,137.05,137.05,137.05,137.05,3135826,1302160,1059308,0
123,2020-05-20 11:35:00,136.65,136.65,136.4,136.4,2587169,2492736,2260244,0
124,2020-05-20 11:36:00,136.5,136.5,136.5,136.5,2597000,1239499,1133827,0
125,2020-05-20 11:37:00,136.6,136.6,136.45,136.45,3183331,2478767,2251799,0
126,2020-05-20 11:38:00,136.35,136.5,136.35,136.5,2603944,2461220,2285319,0
127,2020-05-20 11:39:00,136.4,136.4,136.25,136.25,3198632,2454343,2316674,0
128,2020-05-20 11:40:00,136.3,136.45,136.3,136.45,2638967,4900850,4613432,0
129,2020-05-20 11:42:00,136.55,136.55,136.55,136.55,2648958,1294238,1145633,0
130,2020-05-20 11:44:00,136.6,136.6,136.6,136.6,3245618,1292798,1140083,0
131,2020-05-20 11:45:00,136.55,136.55,136.5,136.5,2654545,2585497,2314376,0
132,2020-05-20 11:47:00,136.25,136.25,136.25,136.25,2728207,1230217,1135837,0
133,2020-05-20 11:48:00,135.85,136.0,135.85,136.0,3364528,3486245,3512456,0
134,2020-05-20 11:49:00,136.0,136.0,135.95,135.95,2728972,2338522,2329626,0
135,2020-05-20 11:50:00,136.15,136.15,136.15,136.15,2753041,1195142,1155190,0
136,2020-05-20 11:51:00,136.3,136.3,136.3,136.3,3402975,1206499,1157984,0
137,2020-05-20 11:52:00,136.2,136.25,136.2,136.25,2730739,2424030,2315489,0
138,2020-05-20 11:53:00,136.2,136.2,136.2,136.2,2735109,1207125,1164298,0
139,2020-05-20 11:54:00,135.9,135.9,135.8,135.8,3460275,2351883,2380803,0
140,2020-05-20 11:55:00,135.8,135.8,135.8,135.8,3465902,1165254,1197828,0
141,2020-05-20 11:56:00,135.55,135.55,135.5,135.5,2785504,2278056,2391191,0
142,2020-05-20 11:57:00,135.7,135.8,135.7,135.7,3496307,3430185,3546539,0
143,2020-05-20 11:58:00,135.65,135.65,135.65,135.65,3496526,1145469,1181601,0
144,2020-05-20 11:59:00,135.75,135.85,135.75,135.85,2808242,2326564,2415179,0
145,2020-05-20 12:00:00,135.85,135.85,135.85,135.85,3502470,2349752,2397908,0
146,2020-05-20 12:01:00,136.05,136.1,136.05,136.1,2836904,2441778,2309104,0
147,2020-05-20 12:03:00,136.4,136.5,136.4,136.5,3547435,3749773,3353607,0
148,2020-05-20 12:04:00,136.35,136.35,136.35,136.35,3552477,1259466,1123919,0
149,2020-05-20 12:05:00,136.55,136.55,136.55,136.55,2860471,1271437,1099518,0
150,2020-05-20 12:06:00,136.75,136.8,136.75,136.8,3580359,2553028,2123943,0
151,2020-05-20 12:07:00,136.6,136.6,136.55,136.55,2884197,3844595,3265100,0
152,2020-05-20 12:08:00,136.55,136.55,136.5,136.5,3584460,2548437,2197490,0
153,2020-05-20 12:09:00,136.4,136.75,136.4,136.75,2906808,2562157,2191367,0
154,2020-05-20 12:10:00,136.85,136.85,136.75,136.75,3603608,2595016,2128324,0
155,2020-05-20 12:11:00,136.8,136.8,136.65,136.65,2920436,2581384,2160990,0
156,2020-05-20 12:12:00,136.55,136.65,136.5,136.5,3612095,5121445,4421968,0
157,2020-05-20 12:13:00,136.6,136.6,136.45,136.55,2940115,3846245,3313509,0
158,2020-05-20 12:14:00,136.5,136.65,136.5,136.65,3615596,3832531,3295194,0
159,2020-05-20 12:15:00,136.65,136.65,136.65,136.65,3615596,1278970,1098448,0
160,2020-05-20 12:16:00,136.55,136.55,136.55,136.55,2943067,1276028,1101094,0
161,2020-05-20 12:17:00,136.5,136.6,136.5,136.6,3637546,2547846,2208744,0
162,2020-05-20 12:18:00,136.55,136.75,136.55,136.75,2954493,3827874,3296810,0
163,2020-05-20 12:19:00,136.65,136.65,136.65,136.65,2954545,1274971,1093304,0
164,2020-05-20 12:20:00,136.5,136.5,136.5,136.5,3639585,1277976,1106415,0
165,2020-05-20 12:22:00,136.65,136.65,136.55,136.55,3020022,3906409,3474970,0
166,2020-05-20 12:23:00,136.65,136.65,136.65,136.65,3021236,1303388,1152795,0
167,2020-05-20 12:24:00,136.5,136.5,136.5,136.5,3645316,1288536,1168809,0
168,2020-05-20 12:25:00,136.6,136.6,136.6,136.6,3648862,1293742,1159342,0
169,2020-05-20 12:26:00,136.6,136.6,136.6,136.6,3024802,1292824,1161924,0
170,2020-05-20 12:27:00,136.6,136.6,136.6,136.6,3669570,2566334,2282701,0
171,2020-05-20 12:28:00,136.7,136.8,136.7,136.8,3076361,2590785,2247953,0
172,2020-05-20 12:29:00,136.75,136.75,136.75,136.75,3078196,1302419,1099893,0
173,2020-05-20 12:31:00,136.8,137.3,136.8,137.3,3758222,4034428,3167991,0
174,2020-05-20 12:32:00,137.25,137.25,137.25,137.25,3759413,1356664,1025288,0
175,2020-05-20 12:33:00,137.05,137.15,137.05,137.15,3158837,2693157,2098665,0
176,2020-05-20 12:34:00,137.1,137.1,137.1,137.1,3170854,1354016,1059935,0
