,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,43.75,43.75,43.75,43.75,0,269647,262998,0
1,2020-05-20 09:07:00,43.75,43.75,43.75,43.75,0,330927,282429,0
2,2020-05-20 09:08:00,44.9,44.9,44.9,44.9,62972,278726,271052,0
3,2020-05-20 09:11:00,44.9,44.9,44.9,44.9,62972,278726,271052,0
4,2020-05-20 09:14:00,44.9,44.9,44.9,44.9,0,278726,271052,0
5,2020-05-20 09:15:00,44.8,44.8,44.8,44.8,2949,282849,283513,0
6,2020-05-20 09:16:00,45.1,45.1,45.1,45.1,724124,958099,609313,0
7,2020-05-20 09:18:00,45.4,45.4,45.4,45.4,1757560,882970,1234855,0
8,2020-05-20 09:19:00,45.8,45.95,45.8,45.95,960362,2651947,1685775,0
9,2020-05-20 09:22:00,46.25,46.25,45.85,45.85,3039523,2314939,2185743,0
10,2020-05-20 09:23:00,45.9,45.9,45.9,45.9,3044382,1121430,1241036,0
11,2020-05-20 09:24:00,45.7,45.7,45.7,45.7,1127640,1129202,1308748,0
12,2020-05-20 09:25:00,45.8,45.8,45.65,45.65,3216424,2331884,2479629,0
13,2020-05-20 09:26:00,45.6,45.6,45.55,45.55,1208127,2246970,2592566,0
14,2020-05-20 09:28:00,45.9,45.9,45.9,45.9,1546197,1243304,1192765,0
15,2020-05-20 09:29:00,46.15,46.15,46.15,46.15,3712594,1310974,1033509,0
16,2020-05-20 09:30:00,46.0,46.0,45.9,45.9,1393147,2621440,2549592,0
17,2020-05-20 09:31:00,45.9,45.9,45.8,45.8,3755396,3982024,4185943,0
18,2020-05-20 09:32:00,46.05,46.05,46.05,46.05,1552796,2752528,2408934,0
19,2020-05-20 09:38:00,45.45,45.45,45.45,45.45,2213034,1266802,1627695,0
20,2020-05-20 09:39:00,45.6,45.6,45.6,45.6,4490292,1280404,1597817,0
21,2020-05-20 09:40:00,45.4,45.4,45.4,45.4,3879588,1259932,1624316,0
22,2020-05-20 09:41:00,45.25,45.35,45.25,45.35,2304249,2369516,3317429,0
23,2020-05-20 09:42:00,45.4,45.45,45.4,45.45,3968532,3679096,4911318,0
24,2020-05-20 09:43:00,45.45,45.45,45.45,45.45,2309700,2466453,3297286,0
25,2020-05-20 09:44:00,45.45,45.45,45.45,45.45,2330319,1230110,1657856,0
26,2020-05-20 09:45:00,45.45,45.65,45.45,45.65,4040603,4914869,6569960,0
27,2020-05-20 09:46:00,45.55,45.55,45.55,45.55,4059668,1239035,1620078,0
28,2020-05-20 09:47:00,45.6,45.6,45.6,45.6,2371569,1249309,1643518,0
29,2020-05-20 09:48:00,45.6,45.6,45.6,45.6,2365069,1248645,1668546,0
30,2020-05-20 09:50:00,45.7,45.7,45.7,45.7,4392119,1390110,1609572,0
31,2020-05-20 09:51:00,45.75,45.75,45.75,45.75,4423955,1438313,1614286,0
32,2020-05-20 09:53:00,45.7,45.7,45.7,45.7,2445851,2862026,3278051,0
33,2020-05-20 09:54:00,45.7,45.7,45.7,45.7,2482589,1425294,1643047,0
34,2020-05-20 09:55:00,45.65,45.8,45.65,45.8,4473933,2857538,3275233,0
35,2020-05-20 09:56:00,45.7,45.7,45.7,45.7,4495110,1434943,1609953,0
36,2020-05-20 09:57:00,45.7,45.7,45.7,45.7,2521879,2859342,3308410,0
37,2020-05-20 09:58:00,45.7,45.7,45.7,45.7,4529823,2854547,3324796,0
38,2020-05-20 10:00:00,45.7,45.7,45.7,45.7,4549837,1428764,1647922,0
39,2020-05-20 10:01:00,45.9,45.9,45.9,45.9,2711587,1474978,1520849,0
40,2020-05-20 10:02:00,45.85,45.85,45.85,45.85,4578117,2992021,3093369,0
41,2020-05-20 10:03:00,45.8,45.8,45.8,45.8,4604593,1481713,1565896,0
42,2020-05-20 10:04:00,45.85,45.85,45.8,45.8,2742344,4505438,4716763,0
43,2020-05-20 10:06:00,45.55,45.55,45.55,45.55,2839992,1387255,1636545,0
44,2020-05-20 10:07:00,45.6,45.6,45.6,45.6,4943443,1251260,1622546,0
45,2020-05-20 10:08:00,45.55,45.55,45.55,45.55,4845805,1252453,1623560,0
46,2020-05-20 10:09:00,45.55,45.55,45.55,45.55,2761222,1252186,1685713,0
47,2020-05-20 10:10:00,45.6,45.6,45.6,45.6,2870997,1296063,1690415,0
48,2020-05-20 10:12:00,45.35,45.35,45.25,45.25,5111534,2386328,3506082,0
49,2020-05-20 10:13:00,45.35,45.35,45.3,45.3,2910003,2616941,3478407,0
50,2020-05-20 10:14:00,45.35,45.4,45.35,45.4,5146939,2845828,3429924,0
51,2020-05-20 10:16:00,45.4,45.4,45.4,45.4,5168733,1422018,1719519,0
52,2020-05-20 10:18:00,45.25,45.25,45.25,45.25,3073410,1404746,1794452,0
