,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,385.95,385.95,385.95,385.95,0,3931,2718,0
1,2020-05-20 09:16:00,383.4,383.4,383.4,383.4,0,5431,4208,0
2,2020-05-20 09:18:00,385.45,385.45,385.45,385.45,168,13153,10745,0
3,2020-05-20 09:22:00,386.2,386.2,386.2,386.2,175,14342,12097,0
4,2020-05-20 09:25:00,385.75,385.75,385.75,385.75,52,14340,12383,0
5,2020-05-20 09:26:00,386.3,386.3,386.3,386.3,94,15089,12628,0
6,2020-05-20 09:27:00,384.85,384.85,384.8,384.8,180,30224,25213,0
7,2020-05-20 09:33:00,385.7,385.7,385.7,385.7,332,15812,12857,0
8,2020-05-20 09:35:00,386.5,386.5,386.5,386.5,328,15950,12644,0
9,2020-05-20 09:36:00,385.9,385.9,385.9,385.9,192,15893,12715,0
10,2020-05-20 09:37:00,386.55,386.55,386.55,386.55,208,16065,12703,0
11,2020-05-20 09:40:00,386.4,386.4,386.4,386.4,391,16166,13031,0
12,2020-05-20 09:41:00,386.4,386.4,386.4,386.4,194,32296,26138,0
13,2020-05-20 09:42:00,386.95,386.95,385.9,385.9,448,32284,26148,0
14,2020-05-20 09:44:00,386.55,386.55,386.55,386.55,450,16378,13117,0
15,2020-05-20 09:48:00,386.2,386.2,386.2,386.2,256,16342,13125,0
16,2020-05-20 09:49:00,386.25,386.25,386.25,386.25,313,16383,13129,0
17,2020-05-20 09:50:00,386.45,386.45,386.45,386.45,537,16392,13171,0
18,2020-05-20 09:56:00,386.6,386.6,386.6,386.6,2136,19210,14541,0
19,2020-05-20 09:57:00,386.75,386.75,386.75,386.75,1919,19189,14591,0
20,2020-05-20 09:59:00,385.65,385.65,385.65,385.65,371,19480,14816,0
21,2020-05-20 10:00:00,385.85,385.85,385.85,385.85,636,19335,14951,0
22,2020-05-20 10:02:00,386.85,386.85,386.85,386.85,2386,19413,15086,0
23,2020-05-20 10:05:00,389.0,389.0,389.0,389.0,2633,19846,14982,0
24,2020-05-20 10:07:00,387.8,387.8,387.8,387.8,708,39448,30364,0
25,2020-05-20 10:10:00,387.0,387.0,387.0,387.0,750,19633,15341,0
26,2020-05-20 10:12:00,386.15,386.15,386.15,386.15,2751,22536,17734,0
27,2020-05-20 10:13:00,386.2,386.2,386.2,386.2,2733,22572,17748,0
28,2020-05-20 10:14:00,385.7,385.7,385.7,385.7,791,22589,17779,0
29,2020-05-20 10:15:00,385.5,385.5,385.5,385.5,830,25357,20079,0
30,2020-05-20 10:17:00,385.55,385.55,385.55,385.55,3005,25152,20130,0
31,2020-05-20 10:18:00,385.65,385.65,385.35,385.35,822,50351,40237,0
32,2020-05-20 10:20:00,385.2,385.2,385.2,385.2,888,25175,20157,0
33,2020-05-20 10:26:00,385.4,385.4,385.4,385.4,3635,28863,23729,0
34,2020-05-20 10:35:00,385.45,385.45,385.45,385.45,4062,28985,23806,0
35,2020-05-20 10:40:00,385.4,385.4,385.4,385.4,1576,29161,24120,0
36,2020-05-20 10:43:00,385.8,385.8,385.8,385.8,1206,29358,24170,0
37,2020-05-20 10:48:00,383.5,383.5,383.5,383.5,3939,29023,24521,0
38,2020-05-20 10:50:00,383.45,383.45,383.45,383.45,4333,31453,26761,0
39,2020-05-20 10:52:00,383.1,383.1,383.1,383.1,1656,34679,29382,0
40,2020-05-20 11:06:00,382.8,382.8,382.8,382.8,1854,31911,26360,0
41,2020-05-20 11:07:00,383.6,383.6,383.6,383.6,4742,31962,26256,0
42,2020-05-20 11:08:00,384.05,384.05,384.05,384.05,4577,32097,26054,0
43,2020-05-20 11:10:00,385.65,385.65,385.65,385.65,1810,32285,25823,0
44,2020-05-20 11:11:00,385.6,385.6,385.6,385.6,1983,32280,25842,0
45,2020-05-20 11:14:00,384.45,384.45,384.45,384.45,4927,32201,25935,0
46,2020-05-20 11:16:00,384.6,384.6,384.6,384.6,4793,32282,30894,0
47,2020-05-20 11:24:00,384.25,384.25,384.25,384.25,2092,38473,34372,0
48,2020-05-20 11:27:00,386.45,386.45,386.45,386.45,2675,38460,34264,0
49,2020-05-20 11:31:00,385.05,385.05,385.05,385.05,5568,38570,34138,0
50,2020-05-20 11:32:00,385.4,385.4,385.4,385.4,4987,38655,34120,0
51,2020-05-20 11:34:00,384.05,384.05,384.05,384.05,2153,41210,36286,0
52,2020-05-20 11:35:00,384.05,384.05,384.05,384.05,2738,41206,36325,0
53,2020-05-20 11:36:00,384.05,384.05,384.05,384.05,5600,41199,36429,0
54,2020-05-20 11:38:00,383.1,383.1,383.1,383.1,5062,40938,36549,0
55,2020-05-20 11:39:00,382.8,382.8,382.8,382.8,2230,40894,36621,0
56,2020-05-20 11:41:00,382.75,382.75,382.75,382.75,3030,40494,36782,0
57,2020-05-20 11:46:00,383.9,383.9,383.9,383.9,5961,40696,36709,0
58,2020-05-20 11:49:00,382.9,382.9,382.9,382.9,5269,40667,36529,0
59,2020-05-20 11:52:00,383.65,383.65,383.65,383.65,2380,40740,36464,0
60,2020-05-20 11:58:00,383.1,383.1,383.1,383.1,3259,40867,36455,0
61,2020-05-20 12:01:00,384.55,384.55,384.55,384.55,6267,40546,35976,0
62,2020-05-20 12:04:00,384.7,384.7,384.7,384.7,5596,40569,36002,0
63,2020-05-20 12:07:00,385.2,385.25,385.2,385.25,4246,81267,71372,0
64,2020-05-20 12:13:00,385.5,385.5,385.5,385.5,4462,41042,35993,0
65,2020-05-20 12:19:00,385.25,385.25,385.25,385.25,5719,82118,72186,0
66,2020-05-20 12:20:00,385.4,385.4,385.4,385.4,7989,40893,36025,0
67,2020-05-20 12:29:00,385.1,385.1,385.1,385.1,6869,41059,36131,0
68,2020-05-20 12:32:00,385.0,385.0,385.0,385.0,4684,41063,36137,0
69,2020-05-20 12:35:00,385.0,385.0,385.0,385.0,5870,41059,36170,0
70,2020-05-20 12:38:00,386.7,386.7,386.7,386.7,8414,41350,35870,0
71,2020-05-20 12:40:00,389.0,389.0,389.0,389.0,7821,36650,29928,0
72,2020-05-20 12:42:00,387.75,388.1,387.75,388.1,6425,73263,59389,0
73,2020-05-20 12:43:00,388.8,388.8,388.8,388.8,6442,36688,29644,0
74,2020-05-20 12:48:00,389.15,389.15,389.15,389.15,8177,34975,27297,0
75,2020-05-20 12:49:00,390.15,390.65,390.15,390.65,7716,70808,51847,0
76,2020-05-20 12:51:00,390.65,390.65,390.65,390.65,8081,35362,25517,0
77,2020-05-20 12:52:00,390.95,390.95,390.95,390.95,8566,35365,25506,0
78,2020-05-20 12:56:00,392.75,392.75,392.75,392.75,9731,39071,26438,0
79,2020-05-20 12:57:00,392.0,392.0,392.0,392.0,9260,39245,26365,0
80,2020-05-20 12:58:00,392.4,392.4,392.4,392.4,8443,39265,26466,0
81,2020-05-20 13:08:00,390.75,390.75,390.75,390.75,10196,43618,26117,0
