,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,70.75,70.75,70.75,70.75,0,29480,23739,0
1,2020-05-20 09:15:00,70.0,70.0,70.0,70.0,0,28780,23053,0
2,2020-05-20 09:16:00,70.1,70.1,70.1,70.1,25449,33412,45946,0
3,2020-05-20 09:17:00,68.45,68.45,68.45,68.45,62020,44281,38483,0
4,2020-05-20 09:19:00,71.4,73.9,71.4,73.9,57526,206378,72931,0
5,2020-05-20 09:20:00,73.7,73.7,73.7,73.7,67724,74113,23043,0
6,2020-05-20 09:23:00,72.95,72.95,72.1,72.1,345290,169825,77255,0
7,2020-05-20 09:24:00,72.15,72.15,72.15,72.15,345395,88656,54576,0
8,2020-05-20 09:25:00,72.5,72.5,72.5,72.5,90584,95236,60584,0
9,2020-05-20 09:26:00,72.55,72.55,72.45,72.45,354587,207006,128249,0
10,2020-05-20 09:27:00,72.55,72.55,72.55,72.55,359400,101977,64886,0
11,2020-05-20 09:28:00,72.35,72.35,72.35,72.35,119147,104894,71321,0
12,2020-05-20 09:29:00,72.4,72.4,72.25,72.25,355969,319020,216607,0
13,2020-05-20 09:30:00,72.0,72.0,72.0,72.0,362345,102235,75016,0
14,2020-05-20 09:31:00,70.9,70.9,70.9,70.9,137112,188226,75754,0
15,2020-05-20 09:33:00,71.3,71.3,71.3,71.3,151271,195744,80054,0
16,2020-05-20 09:35:00,71.3,71.3,71.3,71.3,406617,202808,81447,0
17,2020-05-20 09:36:00,71.3,71.3,71.3,71.3,139971,405735,163332,0
18,2020-05-20 09:37:00,71.45,71.45,71.45,71.45,414677,411286,169029,0
19,2020-05-20 09:38:00,71.55,71.75,71.55,71.75,142415,422351,169230,0
20,2020-05-20 09:39:00,71.8,71.9,71.8,71.9,422092,839464,336828,0
21,2020-05-20 09:40:00,71.9,71.9,71.9,71.9,422637,209032,83369,0
22,2020-05-20 09:41:00,71.9,71.9,71.9,71.9,145658,210578,83788,0
23,2020-05-20 09:42:00,72.0,72.0,71.85,71.85,432127,423666,168174,0
24,2020-05-20 09:43:00,71.85,71.85,71.7,71.7,146606,633407,256625,0
25,2020-05-20 09:47:00,71.5,72.05,71.5,72.05,468181,636457,261762,0
26,2020-05-20 09:48:00,72.35,72.5,72.35,72.5,151376,656722,251835,0
27,2020-05-20 09:49:00,73.3,73.3,73.3,73.3,485521,431573,150063,0
28,2020-05-20 09:50:00,73.55,73.55,73.55,73.55,190131,440591,138844,0
29,2020-05-20 09:51:00,73.45,73.45,73.45,73.45,192012,221441,74629,0
30,2020-05-20 09:52:00,72.95,72.95,72.95,72.95,490709,134147,80189,0
31,2020-05-20 09:54:00,72.8,72.8,72.8,72.8,491789,142061,81314,0
32,2020-05-20 09:55:00,72.75,72.75,72.7,72.7,197409,282758,163478,0
33,2020-05-20 09:56:00,72.75,72.8,72.65,72.8,494318,425920,248427,0
34,2020-05-20 09:57:00,72.65,72.65,72.4,72.4,202447,283767,170540,0
35,2020-05-20 09:58:00,72.35,72.35,72.35,72.35,205338,139646,85175,0
36,2020-05-20 10:01:00,72.4,72.65,72.4,72.65,501424,280319,179475,0
37,2020-05-20 10:02:00,72.65,72.8,72.65,72.8,207943,570311,367129,0
38,2020-05-20 10:03:00,72.8,72.8,72.8,72.8,207986,144560,93691,0
39,2020-05-20 10:04:00,72.65,72.65,72.65,72.65,506940,141509,94852,0
40,2020-05-20 10:06:00,72.75,72.75,72.75,72.75,510279,142170,95216,0
41,2020-05-20 10:11:00,72.75,72.75,72.75,72.75,218003,148118,99989,0
42,2020-05-20 10:12:00,72.75,72.75,72.75,72.75,222496,143765,99400,0
43,2020-05-20 10:13:00,72.2,72.2,72.2,72.2,520212,142976,109092,0
44,2020-05-20 10:14:00,72.4,72.6,72.4,72.6,218803,290723,228457,0
45,2020-05-20 10:16:00,72.55,72.55,72.45,72.45,523652,290278,230880,0
46,2020-05-20 10:21:00,72.3,72.3,72.3,72.3,530183,149152,116540,0
47,2020-05-20 10:27:00,72.35,72.35,72.35,72.35,232525,158759,114716,0
48,2020-05-20 10:30:00,72.35,72.35,72.35,72.35,239069,150045,123914,0
49,2020-05-20 10:31:00,72.3,72.3,72.3,72.3,545698,146927,124406,0
50,2020-05-20 10:32:00,71.95,71.95,71.95,71.95,541102,147037,125198,0
51,2020-05-20 10:33:00,72.15,72.15,72.15,72.15,234689,148146,125323,0
52,2020-05-20 10:34:00,71.8,71.8,71.8,71.8,243004,145616,127898,0
53,2020-05-20 10:37:00,71.9,71.9,71.9,71.9,554186,146591,126350,0
54,2020-05-20 10:39:00,71.85,71.85,71.85,71.85,547005,146388,126223,0
55,2020-05-20 10:40:00,72.0,72.2,72.0,72.2,246877,294651,250245,0
56,2020-05-20 10:42:00,72.2,72.2,72.2,72.2,247368,157381,122790,0
57,2020-05-20 10:48:00,72.55,72.55,72.55,72.55,560347,169671,125126,0
58,2020-05-20 10:50:00,72.5,72.5,72.5,72.5,561601,169069,128136,0
59,2020-05-20 10:57:00,72.1,72.1,72.1,72.1,268821,158035,131048,0
