,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,97.35,97.35,97.35,97.35,0,12243,5337,0
1,2020-05-20 09:16:00,98.9,98.9,98.9,98.9,0,14832,10089,0
2,2020-05-20 09:30:00,97.95,97.95,97.95,97.95,7829,14039,14523,0
3,2020-05-20 09:31:00,97.95,97.95,97.95,97.95,8229,14689,14204,0
4,2020-05-20 09:41:00,98.65,98.65,98.65,98.65,2675,15133,14566,0
5,2020-05-20 09:42:00,98.7,98.7,98.7,98.7,2798,14546,14355,0
6,2020-05-20 09:46:00,98.7,98.7,98.7,98.7,9624,14950,15196,0
7,2020-05-20 09:50:00,97.95,97.95,97.95,97.95,12182,13295,15049,0
8,2020-05-20 09:51:00,98.65,98.65,98.65,98.65,5440,14175,15305,0
9,2020-05-20 09:58:00,98.15,98.15,98.15,98.15,4922,15512,15657,0
10,2020-05-20 10:00:00,98.15,98.15,98.15,98.15,11839,15924,16292,0
11,2020-05-20 10:14:00,98.6,98.6,98.6,98.6,14380,19319,18916,0
12,2020-05-20 10:18:00,98.25,98.25,98.25,98.25,8235,21038,19068,0
13,2020-05-20 10:29:00,99.05,99.05,99.05,99.05,7555,23096,18631,0
14,2020-05-20 10:30:00,99.05,99.05,98.8,98.8,14500,69104,56019,0
15,2020-05-20 10:31:00,98.75,98.75,98.75,98.75,14550,22862,18951,0
16,2020-05-20 10:38:00,98.65,98.65,98.65,98.65,8458,22135,17395,0
17,2020-05-20 10:59:00,99.8,99.8,99.8,99.8,18201,25076,19434,0
18,2020-05-20 11:00:00,100.2,100.2,100.2,100.2,28857,23617,16300,0
19,2020-05-20 11:01:00,101.05,101.05,101.05,101.05,22292,22958,15689,0
20,2020-05-20 11:12:00,100.1,100.1,100.1,100.1,14595,26487,20218,0
21,2020-05-20 11:15:00,100.1,100.1,100.1,100.1,28913,52278,36504,0
22,2020-05-20 11:21:00,99.5,99.5,99.5,99.5,29593,25629,17770,0
23,2020-05-20 11:49:00,100.0,100.0,99.5,99.5,31682,56987,48827,0
24,2020-05-20 12:21:00,99.5,99.5,99.5,99.5,34814,29638,25884,0
25,2020-05-20 13:37:00,99.7,99.7,99.7,99.7,39199,26952,27085,0
26,2020-05-20 13:45:00,99.45,99.45,99.45,99.45,36720,27043,25615,0
27,2020-05-20 13:53:00,98.95,98.95,98.95,98.95,35550,24865,26497,0
28,2020-05-20 14:12:00,98.55,98.55,98.55,98.55,41216,24851,27788,0
29,2020-05-20 14:20:00,98.8,98.8,98.8,98.8,44272,24501,28536,0
30,2020-05-20 14:22:00,98.65,98.65,98.65,98.65,38863,24932,28829,0
31,2020-05-20 14:33:00,99.0,99.0,99.0,99.0,36227,25667,28409,0
32,2020-05-20 14:41:00,99.0,99.0,99.0,99.0,43496,24626,29313,0
33,2020-05-20 14:48:00,98.75,98.75,98.75,98.75,46634,25350,28833,0
34,2020-05-20 15:03:00,99.0,99.0,99.0,99.0,43596,25292,27459,0
35,2020-05-20 15:11:00,98.2,98.35,98.2,98.35,50233,48679,59572,0
36,2020-05-20 15:17:00,97.8,97.8,97.8,97.8,68223,23676,34004,0
37,2020-05-20 15:18:00,98.4,98.4,98.4,98.4,67709,28892,32445,0
38,2020-05-20 15:20:00,98.55,98.55,98.55,98.55,60488,32551,30743,0
39,2020-05-20 15:25:00,98.5,98.5,98.5,98.5,87045,29733,28866,0
40,2020-05-20 15:27:00,98.9,98.9,98.9,98.9,100419,27426,26958,0
41,2020-05-20 15:28:00,99.0,99.0,99.0,99.0,80557,25724,26324,0
42,2020-05-20 15:29:00,100.0,100.0,100.0,100.0,69480,25551,26630,0
