,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,1386.0,1386.0,1386.0,1386.0,0,2645,5267,0
1,2020-05-20 09:08:00,1387.0,1387.0,1387.0,1387.0,0,2680,5225,0
2,2020-05-20 09:11:00,1387.0,1387.0,1387.0,1387.0,42,2680,5225,0
3,2020-05-20 09:14:00,1387.0,1387.0,1387.0,1387.0,42,2680,5225,0
4,2020-05-20 09:21:00,1394.85,1394.85,1394.85,1394.85,413,8547,16002,0
5,2020-05-20 09:36:00,1391.0,1391.0,1391.0,1391.0,1088,15707,23185,0
6,2020-05-20 09:41:00,1388.45,1388.45,1388.45,1388.45,1106,20702,26298,0
7,2020-05-20 09:48:00,1389.25,1389.25,1389.25,1389.25,545,23043,28383,0
8,2020-05-20 09:50:00,1395.0,1395.0,1395.0,1395.0,731,22172,28203,0
9,2020-05-20 09:52:00,1390.85,1390.85,1390.85,1390.85,1353,22198,28308,0
10,2020-05-20 10:10:00,1398.3,1398.3,1398.3,1398.3,1996,24814,30735,0
11,2020-05-20 10:17:00,1388.45,1388.45,1388.45,1388.45,1643,24433,31335,0
12,2020-05-20 10:35:00,1385.3,1385.3,1385.3,1385.3,2039,26565,33775,0
13,2020-05-20 10:39:00,1385.15,1385.15,1385.15,1385.15,2427,26641,33821,0
14,2020-05-20 10:44:00,1385.95,1385.95,1385.95,1385.95,2101,26701,33767,0
15,2020-05-20 10:51:00,1388.0,1388.0,1388.0,1388.0,2097,27044,33656,0
16,2020-05-20 10:53:00,1388.0,1388.0,1388.0,1388.0,2598,27148,33569,0
17,2020-05-20 11:17:00,1387.45,1387.45,1387.45,1387.45,2871,25325,33258,0
18,2020-05-20 11:18:00,1384.2,1384.2,1384.2,1384.2,2517,26937,34608,0
19,2020-05-20 11:22:00,1383.0,1383.0,1383.0,1383.0,2516,26641,34818,0
20,2020-05-20 11:29:00,1377.45,1377.45,1377.45,1377.45,3298,24936,35195,0
21,2020-05-20 11:31:00,1375.4,1375.4,1375.4,1375.4,3369,24249,32263,0
22,2020-05-20 11:37:00,1379.7,1379.7,1379.7,1379.7,2789,26085,36948,0
23,2020-05-20 11:43:00,1379.8,1379.8,1379.8,1379.8,3076,26188,36948,0
24,2020-05-20 12:00:00,1380.0,1380.0,1380.0,1380.0,3753,26324,36867,0
25,2020-05-20 12:01:00,1378.0,1378.0,1378.0,1378.0,3622,26236,37033,0
26,2020-05-20 12:03:00,1378.0,1378.0,1378.0,1378.0,2945,26078,37029,0
27,2020-05-20 12:12:00,1379.25,1379.25,1379.25,1379.25,3537,26064,37185,0
28,2020-05-20 12:13:00,1379.25,1379.25,1379.25,1379.25,4228,26057,37186,0
29,2020-05-20 12:25:00,1380.0,1380.0,1380.0,1380.0,3886,25855,36987,0
30,2020-05-20 12:26:00,1380.0,1380.0,1380.0,1380.0,3539,51915,73965,0
31,2020-05-20 12:27:00,1380.0,1380.0,1380.0,1380.0,3539,25953,36980,0
32,2020-05-20 12:33:00,1380.0,1380.0,1380.0,1380.0,4129,26112,36945,0
33,2020-05-20 12:44:00,1379.8,1379.8,1379.8,1379.8,4347,23117,34290,0
34,2020-05-20 12:51:00,1377.0,1377.0,1377.0,1377.0,4149,21079,32497,0
35,2020-05-20 12:53:00,1377.0,1377.0,1377.0,1377.0,4142,44025,67397,0
36,2020-05-20 12:54:00,1377.0,1377.0,1377.0,1377.0,4142,22954,34897,0
37,2020-05-20 12:58:00,1378.0,1378.0,1378.0,1378.0,4155,24479,36510,0
38,2020-05-20 13:02:00,1375.0,1375.0,1375.0,1375.0,4702,48404,73009,0
39,2020-05-20 13:05:00,1374.4,1374.4,1374.4,1374.4,4769,24314,37052,0
40,2020-05-20 13:10:00,1375.0,1375.0,1375.0,1375.0,4809,24161,36910,0
41,2020-05-20 13:15:00,1374.1,1374.1,1374.1,1374.1,5098,24152,37305,0
42,2020-05-20 13:16:00,1369.1,1369.1,1369.1,1369.1,5649,23411,37714,0
43,2020-05-20 13:21:00,1369.15,1369.15,1369.15,1369.15,5855,23521,37579,0
44,2020-05-20 13:24:00,1370.0,1370.0,1370.0,1370.0,5536,23625,37556,0
45,2020-05-20 13:30:00,1368.95,1368.95,1368.95,1368.95,5467,22341,35695,0
46,2020-05-20 13:34:00,1369.9,1369.9,1369.9,1369.9,5947,22357,35684,0
47,2020-05-20 13:36:00,1370.0,1370.0,1370.0,1370.0,6045,22367,35739,0
48,2020-05-20 13:47:00,1371.0,1371.0,1371.0,1371.0,6294,24062,37103,0
