,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,554.0,554.0,554.0,554.0,0,15465,23819,0
1,2020-05-20 09:08:00,556.0,556.0,556.0,556.0,0,14729,22848,0
2,2020-05-20 09:11:00,556.0,556.0,556.0,556.0,1602,14729,22848,0
3,2020-05-20 09:14:00,556.0,556.0,556.0,556.0,1602,14729,22848,0
4,2020-05-20 09:15:00,555.95,560.4,555.95,560.4,24445,86255,90782,0
5,2020-05-20 09:16:00,560.5,560.5,560.5,560.5,25128,71845,73695,0
6,2020-05-20 09:17:00,560.05,560.05,560.05,560.05,12095,86516,91762,0
7,2020-05-20 09:18:00,558.9,558.9,558.9,558.9,28464,89922,100973,0
8,2020-05-20 09:19:00,559.45,559.45,559.45,559.45,52237,97357,103318,0
9,2020-05-20 09:20:00,557.65,557.65,557.65,557.65,46023,97724,112964,0
10,2020-05-20 09:21:00,560.8,561.3,560.8,561.3,44358,215391,214634,0
11,2020-05-20 09:23:00,559.5,559.5,559.5,559.5,57521,105209,115149,0
12,2020-05-20 09:24:00,559.0,559.0,557.65,558.0,56623,320449,361199,0
13,2020-05-20 09:26:00,560.0,560.0,560.0,560.0,63713,115400,123881,0
14,2020-05-20 09:28:00,559.8,559.8,559.8,559.8,86501,123891,134958,0
15,2020-05-20 09:30:00,561.2,561.2,560.5,560.5,69552,262837,284978,0
16,2020-05-20 09:31:00,561.1,561.1,561.0,561.0,90084,270237,288938,0
17,2020-05-20 09:32:00,561.4,561.4,561.4,561.4,96530,143764,140698,0
18,2020-05-20 09:33:00,563.15,563.15,563.15,563.15,98585,174209,137936,0
19,2020-05-20 09:34:00,563.5,563.5,563.5,563.5,92546,176256,137396,0
20,2020-05-20 09:35:00,562.95,562.95,562.95,562.95,113569,165168,161956,0
21,2020-05-20 09:36:00,563.05,563.05,563.05,563.05,129329,170886,168966,0
22,2020-05-20 09:37:00,563.1,563.1,563.1,563.1,115379,172675,169172,0
23,2020-05-20 09:38:00,563.7,563.95,563.0,563.95,121303,703463,676348,0
24,2020-05-20 09:39:00,563.05,563.05,563.05,563.05,121902,174260,170799,0
25,2020-05-20 09:41:00,558.9,558.9,558.9,558.9,148963,150581,192199,0
26,2020-05-20 09:42:00,560.6,560.6,560.6,560.6,158881,168009,185587,0
27,2020-05-20 09:43:00,560.55,560.55,560.55,560.55,134102,170847,185691,0
28,2020-05-20 09:44:00,560.4,560.4,560.4,560.4,126360,174067,187253,0
29,2020-05-20 09:45:00,561.65,561.65,561.65,561.65,155260,179999,179975,0
30,2020-05-20 09:46:00,560.75,560.75,560.75,560.75,168690,175519,184200,0
31,2020-05-20 09:47:00,561.35,561.35,561.35,561.35,142580,178624,183403,0
32,2020-05-20 09:48:00,560.55,560.9,560.55,560.9,164082,522383,559991,0
33,2020-05-20 09:49:00,560.4,560.5,560.4,560.5,147205,344069,380071,0
34,2020-05-20 09:50:00,561.75,561.75,561.75,561.75,149556,180652,181262,0
35,2020-05-20 09:51:00,561.5,561.5,561.5,561.5,169726,178082,188969,0
36,2020-05-20 09:52:00,562.35,562.35,562.35,562.35,174871,185749,175680,0
37,2020-05-20 09:54:00,562.4,562.4,562.4,562.4,164634,183865,176685,0
38,2020-05-20 09:55:00,562.45,562.45,562.45,562.45,162655,185547,179126,0
39,2020-05-20 09:56:00,561.9,561.9,561.9,561.9,178784,184277,187226,0
40,2020-05-20 09:57:00,560.45,560.45,560.45,560.45,186617,174284,195249,0
