,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,314.45,314.45,314.45,314.45,0,4126,3956,0
1,2020-05-20 09:08:00,315.8,315.8,315.8,315.8,0,4086,3901,0
2,2020-05-20 09:11:00,315.8,315.8,315.8,315.8,55,4086,3901,0
3,2020-05-20 09:14:00,315.8,315.8,315.8,315.8,55,4086,3901,0
4,2020-05-20 09:15:00,318.6,318.6,318.6,318.6,657,5514,4578,0
5,2020-05-20 09:18:00,316.05,316.05,316.05,316.05,638,13761,12617,0
6,2020-05-20 09:20:00,317.8,317.8,317.8,317.8,2113,9751,8516,0
7,2020-05-20 09:25:00,316.25,316.25,316.25,316.25,3041,9872,10120,0
8,2020-05-20 09:26:00,316.65,316.65,316.65,316.65,1788,10027,9947,0
9,2020-05-20 09:29:00,317.5,317.5,317.5,317.5,1490,10634,9989,0
10,2020-05-20 09:31:00,317.1,317.1,316.0,316.0,3299,20881,21283,0
11,2020-05-20 09:32:00,317.5,317.5,317.5,317.5,3840,10419,10802,0
12,2020-05-20 09:35:00,315.9,315.9,315.9,315.9,2324,10295,11050,0
13,2020-05-20 09:38:00,316.8,316.8,316.8,316.8,1829,10300,11325,0
14,2020-05-20 09:41:00,315.9,315.9,315.9,315.9,3961,10521,11072,0
15,2020-05-20 09:47:00,316.55,316.55,316.55,316.55,5096,10477,11586,0
16,2020-05-20 09:48:00,316.25,316.25,316.25,316.25,3315,11691,12466,0
17,2020-05-20 09:55:00,317.35,317.35,317.35,317.35,2492,12159,12346,0
18,2020-05-20 09:59:00,318.4,318.4,318.4,318.4,4515,12831,12462,0
19,2020-05-20 10:00:00,318.45,318.45,318.45,318.45,7532,12788,13313,0
20,2020-05-20 10:02:00,318.8,318.8,318.8,318.8,6039,12479,14234,0
21,2020-05-20 10:03:00,318.9,318.9,318.9,318.9,3082,12519,14276,0
22,2020-05-20 10:11:00,318.3,318.3,318.3,318.3,5837,12466,14777,0
23,2020-05-20 10:12:00,317.65,317.65,317.65,317.65,9513,12479,14982,0
24,2020-05-20 10:14:00,313.65,313.85,313.65,313.85,9823,25842,35742,0
25,2020-05-20 10:15:00,314.7,314.7,314.7,314.7,10007,13417,17764,0
26,2020-05-20 10:20:00,313.45,313.45,313.45,313.45,10793,13081,18357,0
27,2020-05-20 10:21:00,312.35,312.35,312.35,312.35,10719,14016,20219,0
28,2020-05-20 10:25:00,312.65,312.65,312.65,312.65,10330,14508,20650,0
29,2020-05-20 10:34:00,312.25,312.25,312.25,312.25,11181,14545,21777,0
30,2020-05-20 10:39:00,313.5,313.5,313.5,313.5,12645,15115,20978,0
31,2020-05-20 10:40:00,312.35,312.35,312.35,312.35,12109,14976,21083,0
32,2020-05-20 10:43:00,313.5,313.5,313.5,313.5,10683,17984,21523,0
33,2020-05-20 10:55:00,312.3,312.3,312.3,312.3,12821,18911,22824,0
34,2020-05-20 10:58:00,312.4,312.4,312.4,312.4,14370,18925,23179,0
35,2020-05-20 11:01:00,312.4,312.4,312.4,312.4,12254,18915,23194,0
36,2020-05-20 11:27:00,312.95,312.95,312.95,312.95,14538,17296,22959,0
37,2020-05-20 11:28:00,313.1,313.1,313.1,313.1,16714,17374,23019,0
38,2020-05-20 11:54:00,313.2,313.2,313.2,313.2,15515,20738,25049,0
39,2020-05-20 11:58:00,313.85,313.85,313.85,313.85,13464,20771,25140,0
40,2020-05-20 11:59:00,313.85,313.85,313.85,313.85,16719,41622,50242,0
41,2020-05-20 12:01:00,313.4,313.4,313.4,313.4,16798,20862,24950,0
42,2020-05-20 12:02:00,314.0,314.0,314.0,314.0,13557,20862,25031,0
43,2020-05-20 12:03:00,314.0,314.0,313.6,313.6,16759,41725,50165,0
44,2020-05-20 12:04:00,313.6,313.6,313.6,313.6,16759,20859,25268,0
45,2020-05-20 12:11:00,313.95,313.95,313.95,313.95,14687,20906,25051,0
46,2020-05-20 12:12:00,313.1,313.1,313.1,313.1,14776,21696,25048,0
47,2020-05-20 12:14:00,313.9,313.9,313.9,313.9,16849,21731,25219,0
48,2020-05-20 12:17:00,313.8,313.8,313.8,313.8,16762,21721,25156,0
49,2020-05-20 12:39:00,313.7,313.7,313.7,313.7,16268,20885,24943,0
50,2020-05-20 12:56:00,313.25,313.25,313.25,313.25,24802,21640,23611,0
51,2020-05-20 12:57:00,313.25,313.25,313.25,313.25,16762,65026,70840,0
52,2020-05-20 12:59:00,313.25,313.25,313.25,313.25,16764,21706,23618,0
53,2020-05-20 13:04:00,313.3,313.3,313.3,313.3,24895,20891,24819,0
54,2020-05-20 13:05:00,313.45,313.45,313.45,313.45,24905,20979,24833,0
55,2020-05-20 13:06:00,313.45,313.8,313.45,313.8,16767,41958,49641,0
56,2020-05-20 13:07:00,313.8,313.8,313.8,313.8,16767,20979,24837,0
57,2020-05-20 13:08:00,313.8,313.8,313.65,313.65,24921,42120,49602,0
58,2020-05-20 13:22:00,313.3,313.3,313.3,313.3,25248,20943,24814,0
59,2020-05-20 13:39:00,314.4,314.4,314.4,314.4,20490,19452,23675,0
60,2020-05-20 13:57:00,313.35,313.35,313.35,313.35,25011,19004,23951,0
61,2020-05-20 14:02:00,310.05,310.05,310.05,310.05,31477,16341,24986,0
62,2020-05-20 14:05:00,311.4,311.4,311.4,311.4,27622,17987,24977,0
63,2020-05-20 14:09:00,311.65,311.65,311.65,311.65,21359,19499,25403,0
64,2020-05-20 14:12:00,312.05,312.05,312.05,312.05,30306,19370,24961,0
65,2020-05-20 14:17:00,312.1,312.1,312.1,312.1,37459,19200,24957,0
66,2020-05-20 14:19:00,311.6,311.6,311.6,311.6,28537,19353,24770,0
