,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,518.25,518.25,518.25,518.25,0,21866,29719,0
1,2020-05-20 09:07:00,518.25,518.25,518.25,518.25,2930,46041,61023,0
2,2020-05-20 09:08:00,515.05,515.05,515.05,515.05,3050,20292,27624,0
3,2020-05-20 09:11:00,515.05,515.05,515.05,515.05,120,20292,27624,0
4,2020-05-20 09:14:00,515.05,515.05,515.05,515.05,0,20292,27624,0
5,2020-05-20 09:15:00,515.95,515.95,515.95,515.95,2930,20292,27624,0
6,2020-05-20 09:16:00,517.6,517.6,516.8,516.8,55724,368194,256240,0
7,2020-05-20 09:17:00,517.8,517.85,517.8,517.85,21258,409772,283580,0
8,2020-05-20 09:18:00,518.35,519.4,518.35,519.4,90845,677710,459890,0
9,2020-05-20 09:19:00,519.9,519.9,519.8,519.8,34960,483960,316016,0
10,2020-05-20 09:20:00,519.2,519.5,519.2,519.5,126050,499912,341223,0
11,2020-05-20 09:21:00,519.2,519.2,518.7,518.7,41805,483128,347760,0
12,2020-05-20 09:22:00,518.65,518.65,518.65,518.65,52565,266997,180021,0
13,2020-05-20 09:23:00,517.75,517.75,517.75,517.75,153377,254760,190639,0
14,2020-05-20 09:24:00,517.1,517.65,517.1,517.65,76917,527463,390713,0
15,2020-05-20 09:25:00,517.8,517.8,517.8,517.8,82875,273327,196851,0
16,2020-05-20 09:26:00,517.05,518.45,517.05,518.45,171836,835845,594077,0
17,2020-05-20 09:27:00,518.25,518.25,517.55,517.6,91275,867100,600783,0
18,2020-05-20 09:28:00,518.0,518.15,518.0,518.15,177781,1571461,1065573,0
19,2020-05-20 09:29:00,517.7,517.85,517.55,517.85,103758,899888,652401,0
20,2020-05-20 09:30:00,517.55,517.55,517.25,517.25,192208,1195588,902554,0
21,2020-05-20 09:31:00,516.5,516.5,516.5,516.5,201085,304101,229023,0
22,2020-05-20 09:32:00,516.75,516.75,516.75,516.75,174133,328556,237080,0
23,2020-05-20 09:34:00,517.45,518.55,517.45,518.55,211086,739324,563818,0
24,2020-05-20 09:35:00,518.7,518.7,518.7,518.7,216761,374292,279969,0
25,2020-05-20 09:36:00,518.9,518.9,518.9,518.9,190093,380286,281911,0
26,2020-05-20 09:37:00,519.35,519.35,519.05,519.35,221596,1158802,856554,0
27,2020-05-20 09:38:00,519.3,519.3,519.3,519.3,230651,385709,287768,0
28,2020-05-20 09:39:00,520.0,520.0,520.0,520.0,205977,388943,282244,0
29,2020-05-20 09:40:00,519.45,519.7,519.45,519.7,234409,777914,578543,0
30,2020-05-20 09:41:00,519.55,519.55,519.55,519.55,241348,396066,291933,0
31,2020-05-20 09:42:00,520.55,520.55,520.55,520.55,222042,408752,279878,0
32,2020-05-20 09:43:00,521.05,521.05,520.85,520.85,266805,849201,574578,0
33,2020-05-20 09:44:00,520.5,520.7,520.5,520.7,229432,1258862,885834,0
34,2020-05-20 09:45:00,520.45,520.45,520.0,520.0,272314,1243904,894543,0
35,2020-05-20 09:46:00,519.7,520.05,519.7,519.9,242389,2074925,1538141,0
36,2020-05-20 09:47:00,519.85,520.0,519.7,520.0,276256,1256531,922509,0
37,2020-05-20 09:48:00,520.15,520.15,520.15,520.15,278924,414383,304817,0
38,2020-05-20 09:49:00,520.25,520.25,520.0,520.0,250761,1250758,920010,0
39,2020-05-20 09:50:00,520.55,520.55,520.55,520.55,251710,420484,303086,0
40,2020-05-20 09:51:00,520.45,520.45,520.45,520.45,287386,433316,303283,0
41,2020-05-20 09:52:00,520.65,520.65,520.65,520.65,251632,868389,606920,0
