,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,2490.3,2490.3,2490.3,2490.3,0,12922,11335,0
1,2020-05-20 09:07:00,2490.3,2490.3,2490.3,2490.3,0,13364,12104,0
2,2020-05-20 09:15:00,2499.0,2499.0,2499.0,2499.0,168,13244,12161,0
3,2020-05-20 09:16:00,2495.7,2498.55,2495.7,2498.55,3661,34829,36693,0
4,2020-05-20 09:17:00,2499.85,2499.85,2499.85,2499.85,3690,18572,19167,0
5,2020-05-20 09:20:00,2494.0,2494.0,2494.0,2494.0,2949,34167,34365,0
6,2020-05-20 09:21:00,2497.05,2497.05,2497.05,2497.05,3514,34562,34691,0
7,2020-05-20 09:22:00,2497.85,2497.85,2497.85,2497.85,5227,34655,35197,0
8,2020-05-20 09:23:00,2491.55,2491.55,2491.55,2491.55,5262,38889,39353,0
9,2020-05-20 09:24:00,2482.95,2482.95,2482.95,2482.95,4439,33178,35707,0
10,2020-05-20 09:25:00,2485.8,2485.8,2483.75,2483.75,6372,77566,80306,0
11,2020-05-20 09:27:00,2491.75,2491.75,2491.75,2491.75,7132,40417,40045,0
12,2020-05-20 09:28:00,2488.85,2492.7,2488.85,2492.7,5145,81982,80880,0
13,2020-05-20 09:29:00,2491.3,2491.3,2491.3,2491.3,5415,41139,40494,0
14,2020-05-20 09:30:00,2487.05,2487.05,2487.05,2487.05,7970,45018,44035,0
15,2020-05-20 09:31:00,2487.35,2487.35,2487.35,2487.35,7945,52123,50097,0
16,2020-05-20 09:32:00,2488.9,2490.7,2488.9,2490.7,6302,104834,99454,0
17,2020-05-20 09:33:00,2490.1,2493.0,2490.1,2493.0,8860,105585,99350,0
18,2020-05-20 09:35:00,2493.65,2493.65,2493.65,2493.65,9448,58378,53864,0
19,2020-05-20 09:36:00,2492.6,2492.6,2492.6,2492.6,7358,58261,54281,0
20,2020-05-20 09:39:00,2502.85,2502.85,2502.85,2502.85,7795,59364,53224,0
21,2020-05-20 09:40:00,2499.05,2499.05,2499.05,2499.05,11318,59146,53479,0
22,2020-05-20 09:41:00,2497.45,2497.45,2497.45,2497.45,7857,118495,107750,0
23,2020-05-20 09:42:00,2497.95,2497.95,2497.95,2497.95,8291,60221,54323,0
24,2020-05-20 09:43:00,2496.65,2496.65,2496.3,2496.3,11551,120316,109203,0
25,2020-05-20 09:45:00,2497.7,2497.7,2497.7,2497.7,11894,60279,55209,0
26,2020-05-20 09:46:00,2492.35,2492.35,2492.35,2492.35,8859,59804,55723,0
27,2020-05-20 09:47:00,2491.45,2491.45,2491.45,2491.45,8942,59733,55702,0
28,2020-05-20 09:51:00,2498.55,2498.55,2498.55,2498.55,13635,59651,55941,0
29,2020-05-20 09:52:00,2502.75,2502.75,2502.75,2502.75,13978,59893,55980,0
30,2020-05-20 09:53:00,2500.5,2500.5,2500.5,2500.5,9363,60066,56171,0
31,2020-05-20 09:54:00,2500.1,2500.1,2500.1,2500.1,9243,59982,56494,0
32,2020-05-20 09:55:00,2500.0,2500.0,2500.0,2500.0,14017,60100,56449,0
33,2020-05-20 09:56:00,2501.6,2501.6,2499.85,2499.85,9644,120026,113163,0
34,2020-05-20 09:57:00,2497.35,2497.35,2497.35,2497.35,14206,119950,114276,0
35,2020-05-20 09:58:00,2498.0,2498.0,2498.0,2498.0,14366,60107,57366,0
36,2020-05-20 10:00:00,2499.65,2499.65,2499.65,2499.65,10543,60352,57837,0
37,2020-05-20 10:01:00,2499.65,2499.65,2499.65,2499.65,10598,60443,58123,0
38,2020-05-20 10:04:00,2497.55,2497.55,2497.55,2497.55,15288,60434,58318,0
39,2020-05-20 10:07:00,2490.8,2490.8,2490.8,2490.8,15932,59813,58801,0
40,2020-05-20 10:08:00,2497.3,2497.3,2497.3,2497.3,11948,60246,58831,0
41,2020-05-20 10:09:00,2497.15,2497.15,2495.0,2495.0,15494,120839,117621,0
42,2020-05-20 10:10:00,2495.4,2495.4,2495.4,2495.4,15670,60691,59321,0
43,2020-05-20 10:12:00,2494.0,2494.0,2494.0,2494.0,12399,60236,59499,0
44,2020-05-20 10:14:00,2494.2,2494.2,2494.2,2494.2,12569,60346,59771,0
45,2020-05-20 10:16:00,2492.75,2492.75,2489.15,2489.15,16542,119961,120057,0
46,2020-05-20 10:21:00,2487.95,2487.95,2487.95,2487.95,18277,59062,60861,0
47,2020-05-20 10:22:00,2487.1,2489.95,2487.1,2489.95,12890,177402,182039,0
48,2020-05-20 10:24:00,2490.7,2490.7,2490.7,2490.7,13294,59320,60591,0
49,2020-05-20 10:25:00,2491.65,2491.65,2491.65,2491.65,19000,59441,60917,0
50,2020-05-20 10:26:00,2488.15,2488.15,2488.15,2488.15,19561,58612,61216,0
51,2020-05-20 10:27:00,2487.35,2487.35,2487.35,2487.35,13639,117090,122635,0
52,2020-05-20 10:29:00,2485.1,2485.1,2484.0,2484.0,20345,116640,123210,0
53,2020-05-20 10:30:00,2484.15,2484.15,2484.15,2484.15,13935,116612,123097,0
54,2020-05-20 10:31:00,2482.45,2482.45,2482.45,2482.45,14452,58042,61859,0
55,2020-05-20 10:32:00,2476.0,2480.85,2476.0,2480.85,22354,115227,124799,0
56,2020-05-20 10:33:00,2478.6,2482.45,2478.6,2482.45,14626,116030,124633,0
57,2020-05-20 10:34:00,2481.0,2481.0,2481.0,2481.0,14758,58072,62382,0
58,2020-05-20 10:36:00,2481.9,2484.45,2481.9,2484.45,24888,235610,248961,0
59,2020-05-20 10:38:00,2476.4,2476.4,2476.4,2476.4,25814,58583,62806,0
60,2020-05-20 10:39:00,2477.0,2477.0,2477.0,2477.0,15923,61062,65663,0
61,2020-05-20 10:40:00,2477.4,2477.4,2477.4,2477.4,15511,61418,65941,0
62,2020-05-20 10:41:00,2478.15,2478.15,2478.15,2478.15,25956,63009,65765,0
63,2020-05-20 10:42:00,2476.65,2476.65,2476.0,2476.0,16087,125986,131770,0
64,2020-05-20 10:43:00,2479.35,2479.35,2478.35,2478.35,26347,126196,131828,0
65,2020-05-20 10:44:00,2478.0,2478.0,2478.0,2478.0,16133,126209,131893,0
66,2020-05-20 10:45:00,2478.0,2478.0,2478.0,2478.0,26695,126445,132405,0
67,2020-05-20 10:46:00,2479.15,2479.15,2478.0,2478.0,16440,127092,132313,0
68,2020-05-20 10:47:00,2478.6,2478.6,2478.6,2478.6,16535,63613,66049,0
69,2020-05-20 10:48:00,2480.0,2480.0,2480.0,2480.0,29774,62582,65681,0
70,2020-05-20 10:49:00,2481.1,2481.1,2479.35,2479.35,16731,125083,131011,0
71,2020-05-20 10:50:00,2472.0,2472.0,2471.7,2471.7,31270,246505,264552,0
72,2020-05-20 10:51:00,2471.6,2472.4,2471.6,2472.4,16919,123469,132534,0
73,2020-05-20 10:53:00,2477.25,2479.4,2477.25,2479.4,33290,124135,133291,0
74,2020-05-20 10:54:00,2477.85,2477.85,2477.85,2477.85,33358,62167,66574,0
75,2020-05-20 10:55:00,2474.8,2474.8,2474.8,2474.8,17455,62030,66968,0
76,2020-05-20 10:56:00,2475.0,2475.0,2475.0,2475.0,33358,124004,133935,0
77,2020-05-20 10:57:00,2473.95,2474.0,2473.95,2474.0,17832,124088,134129,0
78,2020-05-20 10:58:00,2471.45,2472.55,2471.45,2472.55,33525,123895,134452,0
79,2020-05-20 10:59:00,2472.6,2472.6,2471.15,2471.15,18222,124335,134806,0
80,2020-05-20 11:00:00,2474.2,2474.35,2473.7,2473.7,33965,187295,201854,0
81,2020-05-20 11:01:00,2474.9,2474.9,2473.25,2473.25,18417,125075,134681,0
82,2020-05-20 11:02:00,2476.45,2476.45,2473.15,2473.15,34422,187675,201026,0
83,2020-05-20 11:03:00,2474.6,2474.6,2473.15,2473.15,18523,125271,134269,0
84,2020-05-20 11:04:00,2473.15,2473.15,2473.15,2473.15,18777,60389,64967,0
85,2020-05-20 11:05:00,2471.45,2474.65,2471.45,2472.5,34979,302142,324497,0
86,2020-05-20 11:06:00,2472.75,2472.75,2472.75,2472.75,34999,60439,65000,0
87,2020-05-20 11:07:00,2473.35,2474.8,2472.85,2472.85,19064,181354,194319,0
88,2020-05-20 11:10:00,2471.2,2471.2,2471.2,2471.2,21325,59034,65041,0
89,2020-05-20 11:11:00,2463.3,2463.3,2463.3,2463.3,38984,54390,62113,0
90,2020-05-20 11:12:00,2466.3,2466.3,2466.3,2466.3,38786,58606,66616,0
91,2020-05-20 11:13:00,2465.0,2466.95,2464.9,2466.4,22581,234581,268673,0
92,2020-05-20 11:14:00,2464.9,2465.4,2464.9,2465.4,38993,117736,134424,0
93,2020-05-20 11:15:00,2465.0,2465.0,2465.0,2465.0,23341,117842,134309,0
94,2020-05-20 11:16:00,2468.0,2468.0,2468.0,2468.0,23567,59169,67573,0
95,2020-05-20 11:17:00,2466.3,2469.8,2466.3,2469.8,39473,180681,206025,0
96,2020-05-20 11:18:00,2470.5,2470.5,2470.1,2470.1,25165,123641,140045,0
97,2020-05-20 11:19:00,2468.45,2468.45,2468.45,2468.45,25595,61842,70429,0
98,2020-05-20 11:20:00,2466.55,2466.55,2466.55,2466.55,40050,61869,70587,0
99,2020-05-20 11:22:00,2468.0,2468.15,2465.05,2468.15,26631,186857,212446,0
100,2020-05-20 11:23:00,2468.5,2468.5,2468.5,2468.5,26796,62336,70937,0
101,2020-05-20 11:24:00,2467.25,2467.25,2467.25,2467.25,40438,62532,70947,0
102,2020-05-20 11:25:00,2466.95,2466.95,2466.5,2466.5,26924,125237,141836,0
103,2020-05-20 11:26:00,2466.25,2466.25,2466.25,2466.25,27273,62652,70682,0
104,2020-05-20 11:27:00,2466.25,2466.25,2466.0,2466.1,41018,187971,212759,0
105,2020-05-20 11:29:00,2464.5,2464.5,2464.5,2464.5,41969,62002,71183,0
106,2020-05-20 11:30:00,2461.1,2461.1,2461.1,2461.1,28969,62150,71303,0
107,2020-05-20 11:31:00,2465.0,2465.0,2465.0,2465.0,28494,62629,71079,0
108,2020-05-20 11:32:00,2464.75,2465.9,2464.75,2465.9,42493,125438,142776,0
