,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,830.65,830.65,830.65,830.65,0,433710,434526,0
1,2020-05-20 09:07:00,830.65,830.65,830.65,830.65,0,223819,227381,0
2,2020-05-20 09:08:00,836.45,836.45,836.45,836.45,41832,192166,190824,0
3,2020-05-20 09:11:00,836.45,836.45,836.45,836.45,41832,192166,190824,0
4,2020-05-20 09:14:00,836.45,836.45,836.45,836.45,0,192166,190824,0
5,2020-05-20 09:15:00,834.6,834.6,834.6,834.6,0,192166,190824,0
6,2020-05-20 09:16:00,842.2,842.2,842.2,842.2,420468,299874,606372,0
7,2020-05-20 09:18:00,842.35,842.35,842.35,842.35,946726,379172,684891,0
8,2020-05-20 09:20:00,844.2,844.2,844.2,844.2,825049,419587,740562,0
9,2020-05-20 09:21:00,846.45,846.45,845.85,845.85,612814,876795,1478134,0
10,2020-05-20 09:23:00,847.0,847.0,845.0,845.0,1025118,1335109,2384236,0
11,2020-05-20 09:25:00,843.1,843.1,841.1,841.9,922927,1785592,3424094,0
12,2020-05-20 09:26:00,839.7,842.25,839.7,842.25,1211778,853202,1742906,0
13,2020-05-20 09:28:00,843.25,843.9,843.25,843.9,1313645,1448399,2659075,0
14,2020-05-20 09:30:00,839.7,839.7,839.7,839.7,1423873,489546,962762,0
15,2020-05-20 09:31:00,840.05,840.2,840.05,840.2,1296212,1008245,1930328,0
16,2020-05-20 09:33:00,842.55,842.55,842.55,842.55,1531544,540780,963779,0
17,2020-05-20 09:34:00,842.3,842.5,842.3,842.5,1479399,1093784,1950231,0
18,2020-05-20 09:35:00,842.15,842.15,842.15,842.15,1532055,563804,993130,0
19,2020-05-20 09:36:00,840.85,840.85,840.85,840.85,1648829,538152,1010391,0
20,2020-05-20 09:37:00,840.2,841.35,840.2,841.35,1567552,1107283,2046690,0
21,2020-05-20 09:38:00,841.7,842.9,841.7,842.9,1687354,1153616,2018324,0
22,2020-05-20 09:39:00,844.0,844.0,844.0,844.0,1769906,590481,990834,0
23,2020-05-20 09:40:00,844.2,844.2,843.85,843.85,1711276,1211580,1988596,0
24,2020-05-20 09:41:00,843.65,844.0,843.45,843.45,1804813,1806197,3051339,0
25,2020-05-20 09:42:00,842.6,842.6,841.65,841.65,1758683,1183647,2069028,0
