,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,45.9,45.9,45.9,45.9,0,5352,6197,0
1,2020-05-20 09:17:00,46.35,46.35,46.35,46.35,0,9154,9167,0
2,2020-05-20 09:21:00,45.4,45.4,45.4,45.4,2351,9266,11275,0
3,2020-05-20 09:22:00,45.45,45.45,45.45,45.45,2369,10205,11275,0
4,2020-05-20 09:24:00,46.0,46.0,46.0,46.0,1118,10451,14440,0
5,2020-05-20 09:29:00,45.5,45.5,45.5,45.5,1582,11247,17315,0
6,2020-05-20 09:35:00,45.45,45.45,45.45,45.45,6335,12943,22301,0
7,2020-05-20 09:36:00,45.85,45.85,45.85,45.85,6306,13039,22025,0
8,2020-05-20 09:46:00,45.9,45.9,45.9,45.9,2449,30532,43442,0
9,2020-05-20 09:50:00,45.5,45.5,45.5,45.5,3651,15959,21853,0
10,2020-05-20 09:51:00,45.9,45.9,45.9,45.9,7558,16039,21838,0
11,2020-05-20 09:54:00,45.85,45.85,45.85,45.85,6507,15455,21953,0
12,2020-05-20 09:57:00,45.2,45.2,45.2,45.2,4060,15404,22662,0
13,2020-05-20 10:02:00,45.4,45.4,45.4,45.4,6582,15847,22381,0
14,2020-05-20 10:20:00,45.7,45.7,45.7,45.7,10903,21668,23132,0
15,2020-05-20 10:28:00,45.75,45.75,45.75,45.75,9068,22319,22206,0
16,2020-05-20 11:22:00,45.6,45.6,45.6,45.6,9681,20904,24359,0
17,2020-05-20 11:32:00,45.5,45.5,45.5,45.5,12852,22025,24294,0
18,2020-05-20 11:54:00,45.9,45.9,45.9,45.9,14251,22402,25245,0
19,2020-05-20 11:58:00,45.5,45.5,45.5,45.5,11681,22205,28106,0
20,2020-05-20 13:10:00,46.0,46.0,46.0,46.0,18286,27088,23198,0
21,2020-05-20 13:11:00,46.0,46.0,46.0,46.0,21306,27251,22848,0
22,2020-05-20 14:00:00,46.0,46.0,46.0,46.0,17196,26894,23403,0
23,2020-05-20 14:31:00,45.95,45.95,45.95,45.95,29931,55822,43606,0
24,2020-05-20 14:58:00,46.2,46.2,46.2,46.2,35143,28256,25720,0
25,2020-05-20 15:00:00,45.95,45.95,45.95,45.95,24708,27529,26577,0
26,2020-05-20 15:01:00,46.0,46.0,46.0,46.0,21314,27511,26009,0
27,2020-05-20 15:25:00,46.0,46.0,46.0,46.0,35705,28563,21784,0
28,2020-05-20 15:26:00,46.25,46.25,46.25,46.25,49279,28604,21919,0
