,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,22.7,22.7,22.7,22.7,0,125467,112579,0
1,2020-05-20 09:06:00,22.7,22.7,22.7,22.7,0,125767,113579,0
2,2020-05-20 09:07:00,22.7,22.7,22.7,22.7,4100,126717,123179,0
3,2020-05-20 09:16:00,22.7,22.7,22.7,22.7,9062,134852,146055,0
4,2020-05-20 09:17:00,22.65,22.65,22.65,22.65,12926,151263,155787,0
5,2020-05-20 09:19:00,22.7,22.7,22.7,22.7,17754,149185,175690,0
6,2020-05-20 09:22:00,22.75,22.75,22.75,22.75,48478,172519,187271,0
7,2020-05-20 09:23:00,22.8,22.8,22.8,22.8,56546,174318,197353,0
8,2020-05-20 09:24:00,22.8,22.8,22.8,22.8,26327,175518,199948,0
9,2020-05-20 09:26:00,22.65,22.65,22.65,22.65,29607,169570,211817,0
10,2020-05-20 09:27:00,22.7,22.7,22.7,22.7,61571,172561,208421,0
11,2020-05-20 09:33:00,22.65,22.65,22.65,22.65,77817,184464,222737,0
12,2020-05-20 09:34:00,22.6,22.6,22.6,22.6,47725,193199,225921,0
13,2020-05-20 09:35:00,22.6,22.6,22.6,22.6,31589,199707,225836,0
14,2020-05-20 09:37:00,22.55,22.55,22.55,22.55,68194,194856,227999,0
15,2020-05-20 09:42:00,22.5,22.5,22.5,22.5,98205,228468,244849,0
16,2020-05-20 09:45:00,22.5,22.5,22.5,22.5,69905,239678,246594,0
17,2020-05-20 09:47:00,22.5,22.5,22.5,22.5,47183,243687,245120,0
18,2020-05-20 09:48:00,22.5,22.5,22.5,22.5,75483,243679,250608,0
19,2020-05-20 09:52:00,22.65,22.65,22.65,22.65,108990,247605,246034,0
20,2020-05-20 09:54:00,22.75,22.75,22.75,22.75,85728,228958,248432,0
21,2020-05-20 09:56:00,22.8,22.8,22.8,22.8,61735,226994,245067,0
22,2020-05-20 09:58:00,22.75,22.75,22.75,22.75,88787,255058,244355,0
23,2020-05-20 10:00:00,22.7,22.7,22.7,22.7,89658,503682,492540,0
24,2020-05-20 10:01:00,22.75,22.75,22.75,22.75,90148,251692,247427,0
25,2020-05-20 10:05:00,22.7,22.7,22.7,22.7,93250,253556,245913,0
26,2020-05-20 10:09:00,22.75,22.75,22.75,22.75,99122,251397,248238,0
27,2020-05-20 10:10:00,22.75,22.75,22.75,22.75,96073,251228,248823,0
28,2020-05-20 10:13:00,22.7,22.7,22.7,22.7,93401,259855,251587,0
29,2020-05-20 10:14:00,22.75,22.75,22.75,22.75,98791,264159,250888,0
30,2020-05-20 10:18:00,22.75,22.75,22.75,22.75,108503,255283,254706,0
31,2020-05-20 10:21:00,22.5,22.5,22.5,22.5,118242,224942,277388,0
