,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,35.0,35.0,35.0,35.0,0,7554,7225,0
1,2020-05-20 09:22:00,34.5,34.5,34.5,34.5,0,19006,17629,0
2,2020-05-20 09:26:00,34.7,34.7,34.7,34.7,5572,20693,20358,0
3,2020-05-20 09:31:00,34.25,34.25,34.25,34.25,10233,19425,28687,0
4,2020-05-20 09:33:00,34.6,34.6,34.6,34.6,8006,19126,25543,0
5,2020-05-20 09:42:00,34.45,34.45,34.45,34.45,4422,20277,25706,0
6,2020-05-20 09:55:00,34.35,34.35,34.35,34.35,13371,21394,24544,0
7,2020-05-20 09:56:00,34.2,34.2,34.2,34.2,18169,21224,24754,0
8,2020-05-20 09:58:00,34.35,34.35,34.35,34.35,9364,21191,24628,0
9,2020-05-20 10:29:00,34.55,34.55,34.55,34.55,12977,22558,24076,0
10,2020-05-20 10:40:00,34.95,34.95,34.95,34.95,25784,28180,21131,0
11,2020-05-20 10:46:00,34.95,34.95,34.95,34.95,23858,27312,19553,0
12,2020-05-20 10:47:00,34.95,34.95,34.95,34.95,11051,27312,19553,0
13,2020-05-20 11:22:00,34.85,34.85,34.85,34.85,15884,28349,20393,0
14,2020-05-20 11:59:00,34.95,34.95,34.95,34.95,36527,27540,22014,0
15,2020-05-20 12:27:00,34.75,34.75,34.75,34.75,34521,27164,22008,0
16,2020-05-20 12:28:00,34.75,34.75,34.75,34.75,14183,27139,21981,0
17,2020-05-20 12:32:00,34.75,34.75,34.75,34.75,16863,28007,21999,0
18,2020-05-20 12:37:00,34.75,34.75,34.75,34.75,38532,28362,21988,0
19,2020-05-20 13:08:00,34.5,34.5,34.5,34.5,41370,23109,23986,0
20,2020-05-20 13:23:00,34.1,34.1,34.1,34.1,27848,19891,23187,0
21,2020-05-20 13:28:00,34.15,34.15,34.15,34.15,26412,19840,25116,0
22,2020-05-20 13:33:00,33.95,33.95,33.95,33.95,40322,24166,26573,0
23,2020-05-20 13:50:00,34.0,34.0,34.0,34.0,63168,10852,29523,0
24,2020-05-20 14:19:00,33.8,33.8,33.8,33.8,63608,14027,28946,0
25,2020-05-20 14:21:00,33.75,33.75,33.75,33.75,40843,15027,28765,0
26,2020-05-20 14:36:00,34.0,34.0,34.0,34.0,49064,17089,28407,0
27,2020-05-20 14:39:00,33.95,33.95,33.95,33.95,72506,17536,28883,0
28,2020-05-20 15:01:00,33.9,33.9,33.9,33.9,72771,18608,28431,0
29,2020-05-20 15:21:00,33.95,33.95,33.95,33.95,57658,12463,26608,0
