,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,359.85,359.85,359.85,359.85,0,25052,40436,0
1,2020-05-20 09:07:00,359.85,359.85,359.85,359.85,0,12781,20958,0
2,2020-05-20 09:08:00,361.1,361.1,361.1,361.1,668,12213,20900,0
3,2020-05-20 09:11:00,361.1,361.1,361.1,361.1,668,12213,20900,0
4,2020-05-20 09:14:00,361.1,361.1,361.1,361.1,0,12213,20900,0
5,2020-05-20 09:16:00,365.2,365.2,365.2,365.2,14117,114371,120084,0
6,2020-05-20 09:17:00,365.85,366.7,365.85,366.7,22113,304773,290911,0
7,2020-05-20 09:18:00,366.55,366.55,366.55,366.55,24299,161911,151920,0
8,2020-05-20 09:19:00,367.7,367.9,366.4,366.4,22877,514866,469005,0
9,2020-05-20 09:21:00,367.6,367.6,367.6,367.6,33506,183359,167916,0
10,2020-05-20 09:22:00,367.7,367.7,367.7,367.7,41583,186226,160418,0
11,2020-05-20 09:26:00,363.7,363.7,363.05,363.05,60010,397526,404757,0
12,2020-05-20 09:27:00,363.8,363.8,363.8,363.8,62214,203283,201025,0
13,2020-05-20 09:29:00,364.3,364.3,363.5,363.75,49415,693278,656993,0
14,2020-05-20 09:30:00,363.8,363.8,363.8,363.8,50569,233538,217649,0
15,2020-05-20 09:31:00,363.05,363.05,363.05,363.05,69545,233767,222725,0
16,2020-05-20 09:34:00,364.15,364.15,364.1,364.1,65160,511956,450001,0
17,2020-05-20 09:35:00,364.05,364.05,364.05,364.05,68993,261615,229672,0
18,2020-05-20 09:36:00,363.6,363.6,363.6,363.6,81152,258673,246119,0
19,2020-05-20 09:37:00,363.1,363.1,363.1,363.1,79723,261117,258600,0
20,2020-05-20 09:38:00,363.05,363.05,363.05,363.05,73155,261071,254014,0
21,2020-05-20 09:39:00,364.35,364.35,364.35,364.35,76769,280399,248328,0
22,2020-05-20 09:42:00,363.05,363.05,363.05,363.05,92197,274441,270561,0
23,2020-05-20 09:45:00,364.0,364.0,364.0,364.0,100711,292676,260977,0
24,2020-05-20 09:46:00,363.95,363.95,363.95,363.95,92853,285632,262500,0
25,2020-05-20 09:47:00,364.15,364.3,364.15,364.3,103057,589587,520679,0
26,2020-05-20 09:48:00,364.7,364.7,364.7,364.7,105157,297057,255024,0
27,2020-05-20 09:49:00,364.7,364.7,364.7,364.7,101170,299544,258157,0
28,2020-05-20 09:51:00,365.55,365.55,365.55,365.55,120028,309199,257891,0
29,2020-05-20 09:53:00,365.5,365.5,365.5,365.5,136685,311046,261266,0
30,2020-05-20 09:54:00,365.15,365.15,365.15,365.15,120735,308532,265345,0
31,2020-05-20 09:55:00,365.35,365.35,365.35,365.35,105470,311042,263183,0
32,2020-05-20 09:57:00,365.3,365.3,365.3,365.3,129036,308998,267551,0
33,2020-05-20 09:58:00,365.25,365.25,365.25,365.25,147735,311341,265571,0
34,2020-05-20 10:00:00,365.7,366.95,365.7,366.95,130623,657091,508185,0
35,2020-05-20 10:02:00,366.2,366.2,366.2,366.2,139864,326282,259438,0
36,2020-05-20 10:04:00,365.2,365.2,365.2,365.2,356642,304509,288329,0
37,2020-05-20 10:06:00,363.6,363.6,363.6,363.6,355067,285005,297828,0
38,2020-05-20 10:08:00,363.9,363.9,363.9,363.9,140880,286468,296011,0
39,2020-05-20 10:09:00,363.5,363.5,363.5,363.5,365638,567387,599843,0
