,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,19.4,19.4,19.4,19.4,0,62420,104151,0
1,2020-05-20 09:06:00,19.4,19.4,19.4,19.4,0,65545,106328,0
2,2020-05-20 09:08:00,19.35,19.35,19.35,19.35,2530,66115,105098,0
3,2020-05-20 09:11:00,19.35,19.35,19.35,19.35,2530,66115,105098,0
4,2020-05-20 09:14:00,19.35,19.35,19.35,19.35,0,66115,105098,0
5,2020-05-20 09:20:00,19.45,19.45,19.45,19.45,23770,141580,193447,0
6,2020-05-20 09:21:00,19.45,19.45,19.45,19.45,29212,145417,193678,0
7,2020-05-20 09:24:00,19.45,19.45,19.45,19.45,7607,141977,211136,0
8,2020-05-20 09:26:00,19.4,19.4,19.4,19.4,8875,152086,216257,0
9,2020-05-20 09:28:00,19.55,19.55,19.55,19.55,41190,190091,209229,0
10,2020-05-20 09:29:00,19.4,19.4,19.4,19.4,84558,161493,229105,0
11,2020-05-20 09:31:00,19.5,19.5,19.5,19.5,39485,341531,426214,0
12,2020-05-20 09:32:00,19.55,19.55,19.55,19.55,40113,174525,212162,0
13,2020-05-20 09:33:00,19.5,19.5,19.5,19.5,85893,174654,225180,0
14,2020-05-20 09:35:00,19.5,19.5,19.5,19.5,87674,188116,216397,0
15,2020-05-20 09:38:00,19.55,19.55,19.55,19.55,42358,191327,232884,0
16,2020-05-20 09:39:00,19.5,19.5,19.5,19.5,41127,192426,232634,0
17,2020-05-20 10:01:00,19.5,19.5,19.5,19.5,132047,209646,252001,0
18,2020-05-20 10:08:00,19.5,19.5,19.5,19.5,142014,221530,248654,0
19,2020-05-20 10:23:00,19.45,19.45,19.45,19.45,71469,215333,269089,0
20,2020-05-20 10:29:00,19.5,19.5,19.5,19.5,64894,215895,270176,0
21,2020-05-20 10:30:00,19.45,19.45,19.45,19.45,135739,215811,271247,0
22,2020-05-20 10:37:00,19.45,19.45,19.45,19.45,152445,221315,264440,0
23,2020-05-20 10:48:00,19.45,19.45,19.45,19.45,73820,441294,564472,0
24,2020-05-20 11:05:00,19.35,19.35,19.35,19.35,106483,215071,279014,0
25,2020-05-20 11:10:00,19.35,19.35,19.35,19.35,187873,214449,280190,0
26,2020-05-20 11:14:00,19.4,19.4,19.4,19.4,158686,211526,282512,0
27,2020-05-20 11:21:00,19.4,19.4,19.4,19.4,86813,210814,279071,0
28,2020-05-20 11:31:00,19.45,19.45,19.45,19.45,129565,222821,284179,0
29,2020-05-20 12:12:00,19.45,19.45,19.45,19.45,248947,236107,286632,0
30,2020-05-20 12:19:00,19.45,19.45,19.45,19.45,214402,250197,285715,0
31,2020-05-20 12:23:00,19.4,19.4,19.4,19.4,106432,245800,284555,0
32,2020-05-20 12:40:00,19.45,19.45,19.45,19.45,165970,238519,285771,0
33,2020-05-20 12:47:00,19.4,19.4,19.4,19.4,279650,243289,284085,0
34,2020-05-20 13:12:00,19.45,19.45,19.45,19.45,250006,236441,274926,0
35,2020-05-20 13:13:00,19.4,19.4,19.4,19.4,138128,236930,279438,0
36,2020-05-20 13:38:00,19.4,19.4,19.4,19.4,198534,238065,275551,0
37,2020-05-20 14:33:00,19.45,19.45,19.45,19.45,324167,514526,575945,0
38,2020-05-20 14:36:00,19.4,19.4,19.4,19.4,343230,244076,275975,0
39,2020-05-20 14:39:00,19.4,19.4,19.4,19.4,218010,245565,277855,0
40,2020-05-20 14:47:00,19.45,19.45,19.45,19.45,214111,257714,277417,0
41,2020-05-20 14:56:00,19.5,19.5,19.5,19.5,369338,273000,272479,0
42,2020-05-20 15:01:00,19.5,19.5,19.45,19.45,234984,538780,533912,0
43,2020-05-20 15:07:00,19.45,19.45,19.45,19.45,235935,265536,276103,0
44,2020-05-20 15:09:00,19.5,19.5,19.5,19.5,371647,269125,279118,0
45,2020-05-20 15:13:00,19.45,19.45,19.45,19.45,377293,261165,279252,0
46,2020-05-20 15:14:00,19.5,19.5,19.5,19.5,243930,257434,279043,0
47,2020-05-20 15:27:00,19.5,19.5,19.5,19.5,278850,205117,230046,0
48,2020-05-20 15:28:00,19.5,19.5,19.5,19.5,424939,197374,224442,0
