,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,163.4,163.4,163.4,163.4,0,6228,11003,0
1,2020-05-20 09:15:00,163.5,163.5,163.5,163.5,0,9785,13835,0
2,2020-05-20 09:16:00,163.8,163.8,163.8,163.8,569,22968,21963,0
3,2020-05-20 09:17:00,164.8,164.8,164.8,164.8,1223,26941,28477,0
4,2020-05-20 09:18:00,164.3,164.3,164.3,164.3,1514,62422,73971,0
5,2020-05-20 09:20:00,164.2,164.2,164.2,164.2,1937,37147,42348,0
6,2020-05-20 09:21:00,164.95,164.95,164.95,164.95,2834,41581,42507,0
7,2020-05-20 09:22:00,164.9,164.9,164.9,164.9,2674,45761,49319,0
8,2020-05-20 09:23:00,164.7,164.7,164.7,164.7,1855,45923,49956,0
9,2020-05-20 09:24:00,165.0,165.0,164.9,164.9,5248,92998,101515,0
10,2020-05-20 09:26:00,164.2,164.2,164.2,164.2,6650,44803,57746,0
11,2020-05-20 09:27:00,164.0,164.0,164.0,164.0,3328,44579,58231,0
12,2020-05-20 09:28:00,163.9,163.9,163.9,163.9,2007,44995,58810,0
13,2020-05-20 09:29:00,164.7,164.7,164.7,164.7,5467,46409,57885,0
14,2020-05-20 09:30:00,164.35,164.35,164.35,164.35,8267,47225,58319,0
15,2020-05-20 09:31:00,164.3,164.3,164.3,164.3,5000,47213,58506,0
16,2020-05-20 09:34:00,164.8,164.8,164.8,164.8,3082,44643,61689,0
17,2020-05-20 09:35:00,164.8,164.8,164.8,164.8,6483,44347,62834,0
18,2020-05-20 09:36:00,164.9,164.9,164.9,164.9,8819,44371,62470,0
19,2020-05-20 09:37:00,164.9,164.9,164.9,164.9,5570,44080,63182,0
20,2020-05-20 09:38:00,164.9,164.9,164.9,164.9,3294,44248,63104,0
21,2020-05-20 09:39:00,164.75,164.75,164.75,164.75,6926,45640,63594,0
22,2020-05-20 09:40:00,164.75,164.75,164.75,164.75,9560,44454,64555,0
23,2020-05-20 09:42:00,164.45,164.45,164.45,164.45,6942,44373,65769,0
24,2020-05-20 09:44:00,164.55,164.55,164.55,164.55,7215,90041,131955,0
25,2020-05-20 09:45:00,164.55,164.55,164.55,164.55,7244,45048,65859,0
26,2020-05-20 09:46:00,164.45,164.45,164.45,164.45,7076,44462,66629,0
27,2020-05-20 09:47:00,164.5,164.5,164.5,164.5,7090,44968,66581,0
28,2020-05-20 09:48:00,164.45,164.45,164.45,164.45,7345,44535,67342,0
29,2020-05-20 09:49:00,164.25,164.25,164.25,164.25,7492,45874,67260,0
30,2020-05-20 09:50:00,164.55,164.55,164.55,164.55,8900,46267,66291,0
31,2020-05-20 09:55:00,164.45,164.45,164.45,164.45,12199,46916,67201,0
32,2020-05-20 09:56:00,164.5,164.5,164.5,164.5,10860,47252,67252,0
33,2020-05-20 09:57:00,164.5,164.5,164.5,164.5,7714,47214,66956,0
34,2020-05-20 09:58:00,164.5,164.5,164.5,164.5,9349,47193,66954,0
35,2020-05-20 10:00:00,164.0,164.0,164.0,164.0,14676,45525,68559,0
36,2020-05-20 10:01:00,163.8,163.8,163.8,163.8,13232,45100,68703,0
37,2020-05-20 10:02:00,163.95,163.95,163.95,163.95,7948,45682,69039,0
38,2020-05-20 10:03:00,163.0,163.0,163.0,163.0,12563,45151,71673,0
39,2020-05-20 10:04:00,163.25,163.25,163.25,163.25,17878,49974,72029,0
40,2020-05-20 10:05:00,163.05,163.05,163.05,163.05,13508,50212,72515,0
41,2020-05-20 10:06:00,163.85,163.85,163.85,163.85,8275,57212,71000,0
42,2020-05-20 10:07:00,163.95,163.95,163.95,163.95,24479,104926,141892,0
43,2020-05-20 10:08:00,164.25,164.25,164.25,164.25,24681,53801,69005,0
44,2020-05-20 10:30:00,164.1,164.1,164.1,164.1,22901,56517,70467,0
45,2020-05-20 10:32:00,164.0,164.0,164.0,164.0,23094,56240,70074,0
46,2020-05-20 10:35:00,164.55,164.55,164.55,164.55,25628,56598,68845,0
47,2020-05-20 10:37:00,164.15,164.15,164.15,164.15,25757,55465,71007,0
48,2020-05-20 10:38:00,163.7,163.95,163.7,163.95,24230,108721,144719,0
49,2020-05-20 10:40:00,163.9,163.9,163.9,163.9,24350,54602,71827,0
50,2020-05-20 10:43:00,163.9,163.9,163.85,163.85,25939,110532,143146,0
51,2020-05-20 10:45:00,164.4,164.4,164.4,164.4,26110,55047,70743,0
52,2020-05-20 10:46:00,164.0,164.0,164.0,164.0,24834,55161,71287,0
53,2020-05-20 10:49:00,164.5,164.5,164.5,164.5,27087,57474,69729,0
54,2020-05-20 10:50:00,164.5,164.5,164.5,164.5,28607,59228,69667,0
55,2020-05-20 10:51:00,164.5,164.55,164.5,164.55,24905,118409,139713,0
56,2020-05-20 10:52:00,164.5,164.5,164.5,164.5,24920,59331,69691,0
57,2020-05-20 10:53:00,164.55,164.55,164.55,164.55,28739,118892,139394,0
58,2020-05-20 10:55:00,164.6,164.6,164.6,164.6,31839,60662,69516,0
59,2020-05-20 10:58:00,164.7,164.7,164.7,164.7,29348,60379,70128,0
60,2020-05-20 11:00:00,164.55,164.55,164.45,164.45,30032,119968,142447,0
61,2020-05-20 11:02:00,164.55,164.55,164.55,164.55,35075,60544,70080,0
62,2020-05-20 11:03:00,164.65,164.65,164.6,164.65,45368,182492,199333,0
63,2020-05-20 11:04:00,164.65,164.65,164.55,164.55,36126,121821,133744,0
64,2020-05-20 11:05:00,164.6,164.6,164.6,164.6,36569,60853,67465,0
65,2020-05-20 11:12:00,164.6,164.6,164.6,164.6,46698,62603,68893,0
66,2020-05-20 11:15:00,164.65,164.65,164.65,164.65,46672,64190,69723,0
67,2020-05-20 11:21:00,164.55,164.55,164.55,164.55,37984,127684,140526,0
68,2020-05-20 11:23:00,164.55,164.55,164.55,164.55,46744,127607,140974,0
