,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,185.35,185.35,185.35,185.35,0,126196,43224,0
1,2020-05-20 09:07:00,185.35,185.35,185.35,185.35,0,127168,44703,0
2,2020-05-20 09:15:00,185.2,185.2,184.9,184.9,10811,253373,96253,0
3,2020-05-20 09:16:00,182.95,182.95,182.95,182.95,22970,133776,65673,0
4,2020-05-20 09:17:00,182.65,185.0,182.65,185.0,50721,318862,123924,0
5,2020-05-20 09:19:00,184.85,184.85,184.85,184.85,61432,163722,68325,0
6,2020-05-20 09:22:00,183.8,183.8,183.8,183.8,56143,888540,146130,0
7,2020-05-20 09:24:00,182.95,182.95,182.75,182.75,72389,1332277,240600,0
8,2020-05-20 09:25:00,182.75,182.75,182.3,182.3,59791,889225,159725,0
9,2020-05-20 09:26:00,182.0,182.0,182.0,182.0,65122,433258,81982,0
10,2020-05-20 09:28:00,180.65,180.65,180.4,180.4,93310,889798,186755,0
11,2020-05-20 09:29:00,180.4,180.4,180.1,180.1,76343,884642,190046,0
12,2020-05-20 09:31:00,179.25,179.25,179.25,179.25,94110,440971,93670,0
13,2020-05-20 09:32:00,179.4,179.4,179.4,179.4,114659,444690,94654,0
14,2020-05-20 09:33:00,181.9,181.9,181.9,181.9,109253,449663,88875,0
15,2020-05-20 09:36:00,186.0,186.0,185.8,185.8,145952,915072,170844,0
16,2020-05-20 09:37:00,185.8,188.95,185.8,188.95,136247,918713,166482,0
17,2020-05-20 09:38:00,190.8,190.8,190.8,190.8,159823,466585,85362,0
18,2020-05-20 09:39:00,191.0,191.0,191.0,191.0,177281,465776,86033,0
19,2020-05-20 09:40:00,189.5,189.5,189.5,189.5,178530,460581,101949,0
20,2020-05-20 09:41:00,187.9,187.9,187.9,187.9,177045,462825,111041,0
21,2020-05-20 09:42:00,186.75,188.05,186.75,188.05,188896,1850630,439973,0
22,2020-05-20 09:43:00,188.3,188.6,188.3,188.6,179676,934736,218645,0
23,2020-05-20 09:44:00,189.0,189.0,189.0,189.0,180465,471620,108142,0
24,2020-05-20 09:45:00,190.55,190.55,190.55,190.55,203857,474235,106705,0
