,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,59.45,59.45,59.45,59.45,0,11557,21349,0
1,2020-05-20 09:08:00,59.9,59.9,59.9,59.9,0,10869,21668,0
2,2020-05-20 09:11:00,59.9,59.9,59.9,59.9,1173,10869,21668,0
3,2020-05-20 09:14:00,59.9,59.9,59.9,59.9,1173,10869,21668,0
4,2020-05-20 09:15:00,59.9,59.9,59.9,59.9,0,10998,21718,0
5,2020-05-20 09:19:00,59.5,59.5,59.5,59.5,12288,37189,63503,0
6,2020-05-20 09:20:00,59.1,59.1,58.85,58.85,12326,100002,176263,0
7,2020-05-20 09:21:00,58.6,58.6,58.4,58.4,17027,100208,191607,0
8,2020-05-20 09:22:00,58.65,58.9,58.65,58.9,17658,113099,188711,0
9,2020-05-20 09:25:00,58.75,58.75,58.75,58.75,39878,64313,100725,0
10,2020-05-20 09:29:00,58.7,58.7,58.7,58.7,48683,62020,106121,0
11,2020-05-20 09:31:00,58.45,58.45,58.45,58.45,29316,63011,110386,0
12,2020-05-20 09:32:00,58.5,58.5,58.5,58.5,26913,63016,104630,0
13,2020-05-20 09:34:00,58.55,58.55,58.55,58.55,53506,70455,106233,0
14,2020-05-20 09:37:00,58.55,58.55,58.55,58.55,60305,72513,106757,0
15,2020-05-20 09:39:00,58.7,58.7,58.7,58.7,39178,74092,105347,0
16,2020-05-20 09:40:00,58.75,58.75,58.6,58.6,55191,154072,209191,0
17,2020-05-20 09:42:00,58.75,58.75,58.75,58.75,56213,80631,104687,0
18,2020-05-20 09:43:00,58.8,58.8,58.8,58.8,42887,81247,102371,0
19,2020-05-20 09:45:00,58.8,58.8,58.8,58.8,43123,84461,101484,0
20,2020-05-20 09:46:00,58.8,58.8,58.8,58.8,57114,84254,101120,0
21,2020-05-20 09:48:00,58.85,58.85,58.85,58.85,61292,84123,99611,0
22,2020-05-20 09:49:00,59.3,59.3,59.3,59.3,50919,88706,95210,0
23,2020-05-20 09:52:00,59.1,59.1,59.1,59.1,54250,88341,100582,0
24,2020-05-20 09:53:00,59.25,59.25,59.25,59.25,66300,90017,99847,0
25,2020-05-20 09:57:00,59.0,59.0,59.0,59.0,65054,86761,101113,0
26,2020-05-20 10:00:00,59.25,59.25,59.25,59.25,60099,203876,200846,0
27,2020-05-20 10:06:00,59.25,59.25,59.25,59.25,71165,103577,99680,0
28,2020-05-20 10:07:00,59.3,59.3,59.3,59.3,76795,103335,99812,0
29,2020-05-20 10:21:00,58.9,58.9,58.9,58.9,76413,97966,117293,0
30,2020-05-20 10:23:00,58.8,58.8,58.8,58.8,75166,97959,115762,0
31,2020-05-20 10:24:00,58.8,58.8,58.8,58.8,76313,98647,108958,0
32,2020-05-20 10:27:00,58.8,58.8,58.8,58.8,80226,98278,110517,0
33,2020-05-20 10:29:00,58.8,58.8,58.8,58.8,79728,99501,110337,0
34,2020-05-20 10:34:00,58.75,58.75,58.75,58.75,77920,98226,113560,0
35,2020-05-20 10:41:00,58.7,58.7,58.7,58.7,82537,99276,111530,0
36,2020-05-20 10:42:00,58.7,58.7,58.7,58.7,85441,99574,113181,0
37,2020-05-20 10:51:00,58.8,58.8,58.8,58.8,83116,102028,114215,0
38,2020-05-20 10:55:00,58.8,58.8,58.8,58.8,81437,102328,114508,0
39,2020-05-20 10:56:00,58.7,58.7,58.7,58.7,83858,102128,115754,0
40,2020-05-20 10:57:00,58.75,58.75,58.75,58.75,85548,103451,116371,0
41,2020-05-20 11:02:00,58.8,58.8,58.8,58.8,83344,103652,116337,0
42,2020-05-20 11:05:00,58.75,58.75,58.75,58.75,82363,102908,118325,0
43,2020-05-20 11:07:00,58.75,58.75,58.75,58.75,85609,212331,236808,0
44,2020-05-20 11:27:00,58.75,58.75,58.75,58.75,93382,103807,117299,0
45,2020-05-20 11:28:00,58.6,58.6,58.6,58.6,90586,104048,116932,0
46,2020-05-20 11:29:00,58.9,58.9,58.9,58.9,83191,105825,114282,0
47,2020-05-20 11:31:00,59.0,59.0,58.95,58.95,94598,221727,225699,0
48,2020-05-20 11:39:00,58.95,58.95,58.95,58.95,98079,100471,115723,0
49,2020-05-20 11:45:00,58.95,58.95,58.95,58.95,89899,103526,117044,0
50,2020-05-20 11:48:00,58.9,58.9,58.9,58.9,87924,102496,117278,0
51,2020-05-20 11:58:00,59.0,59.0,59.0,59.0,97018,104741,116023,0
