,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,82.5,82.5,82.5,82.5,0,87521,73220,0
1,2020-05-20 09:07:00,82.5,82.5,82.5,82.5,0,94576,80169,0
2,2020-05-20 09:15:00,85.15,85.15,85.0,85.0,22697,174230,179220,0
3,2020-05-20 09:16:00,84.9,85.55,84.9,85.55,36099,199296,238610,0
4,2020-05-20 09:17:00,85.0,85.0,84.75,84.75,38032,205842,306780,0
5,2020-05-20 09:19:00,84.65,84.65,84.6,84.6,71735,242063,403294,0
6,2020-05-20 09:20:00,84.75,84.75,84.75,84.75,75467,126950,213938,0
7,2020-05-20 09:21:00,84.6,84.6,84.6,84.6,45707,129561,218159,0
8,2020-05-20 09:22:00,84.35,84.35,84.35,84.35,44712,130379,222229,0
9,2020-05-20 09:24:00,84.3,84.3,84.3,84.3,90896,131641,230536,0
10,2020-05-20 09:25:00,84.3,84.3,84.3,84.3,91911,131507,230692,0
11,2020-05-20 09:26:00,84.15,84.3,84.15,84.3,55807,391828,706003,0
12,2020-05-20 09:27:00,84.3,84.3,84.3,84.3,55822,132208,235475,0
13,2020-05-20 09:28:00,84.4,84.4,84.4,84.4,92618,135896,238158,0
14,2020-05-20 09:29:00,84.6,84.6,84.6,84.6,95414,137733,237696,0
15,2020-05-20 09:31:00,84.4,84.4,84.4,84.4,66104,134236,246032,0
16,2020-05-20 09:32:00,84.4,84.4,84.35,84.35,95666,541377,980986,0
17,2020-05-20 09:33:00,84.35,84.35,84.35,84.35,97265,133987,247084,0
18,2020-05-20 09:36:00,84.3,84.3,84.3,84.3,70380,269625,508128,0
19,2020-05-20 09:37:00,84.4,84.4,84.4,84.4,70590,136036,255615,0
20,2020-05-20 09:42:00,84.35,84.35,84.35,84.35,101822,138564,259900,0
21,2020-05-20 09:48:00,84.4,84.4,84.3,84.3,77729,278892,523232,0
22,2020-05-20 09:52:00,84.5,84.6,84.5,84.6,105628,285906,518717,0
23,2020-05-20 09:54:00,84.7,84.7,84.7,84.7,80569,389720,515023,0
24,2020-05-20 09:55:00,84.85,84.85,84.85,84.85,83524,226330,254654,0
25,2020-05-20 09:56:00,84.95,84.95,84.95,84.95,109402,226296,253972,0
26,2020-05-20 09:58:00,84.9,84.9,84.9,84.9,125410,226216,249709,0
27,2020-05-20 10:00:00,84.6,84.6,84.6,84.6,102042,229169,253151,0
28,2020-05-20 10:05:00,84.55,84.55,84.55,84.55,90057,225150,260513,0
29,2020-05-20 10:08:00,84.45,84.45,84.45,84.45,117124,219591,262538,0
30,2020-05-20 10:17:00,84.3,84.3,84.3,84.3,137035,227260,268998,0
31,2020-05-20 10:18:00,84.15,84.15,84.15,84.15,111069,225949,272235,0
32,2020-05-20 10:19:00,83.8,83.8,83.8,83.8,104817,215289,276670,0
33,2020-05-20 10:20:00,83.75,83.75,83.75,83.75,132241,136302,277640,0
34,2020-05-20 10:21:00,83.7,83.7,83.7,83.7,117418,266269,558889,0
35,2020-05-20 10:22:00,83.8,83.8,83.8,83.8,117970,132349,278037,0
