,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,612.65,612.65,612.65,612.65,0,4663,11078,0
1,2020-05-20 09:07:00,612.65,612.65,612.65,612.65,0,4703,11578,0
2,2020-05-20 09:15:00,615.95,615.95,615.95,615.95,108,4595,11470,0
3,2020-05-20 09:16:00,619.0,619.0,619.0,619.0,1091,10917,17184,0
4,2020-05-20 09:17:00,618.05,618.05,618.05,618.05,1715,14041,21016,0
5,2020-05-20 09:18:00,615.15,615.15,615.15,615.15,1094,16227,23604,0
6,2020-05-20 09:21:00,618.9,618.9,618.9,618.9,1772,23583,29626,0
7,2020-05-20 09:24:00,618.25,618.25,618.25,618.25,2608,24345,30362,0
8,2020-05-20 09:27:00,616.15,616.15,616.15,616.15,3161,24069,31553,0
9,2020-05-20 09:29:00,618.0,618.0,618.0,618.0,2864,24684,31220,0
10,2020-05-20 09:30:00,617.0,617.0,617.0,617.0,2723,24659,31491,0
11,2020-05-20 09:35:00,616.55,616.55,616.55,616.55,4111,50287,65570,0
12,2020-05-20 09:38:00,615.95,615.95,615.95,615.95,4929,29883,37384,0
13,2020-05-20 09:43:00,617.25,617.25,617.25,617.25,4666,31491,37126,0
14,2020-05-20 09:44:00,618.0,618.0,618.0,618.0,4120,31577,36979,0
15,2020-05-20 09:45:00,618.0,618.0,618.0,618.0,4418,31879,37831,0
16,2020-05-20 09:46:00,617.95,617.95,617.95,617.95,5312,32882,38020,0
17,2020-05-20 09:47:00,618.0,618.0,618.0,618.0,5314,32912,38021,0
18,2020-05-20 09:48:00,617.95,617.95,617.95,617.95,4542,32845,38090,0
19,2020-05-20 09:49:00,619.0,619.0,619.0,619.0,4815,33147,37611,0
20,2020-05-20 09:51:00,619.45,619.45,619.45,619.45,5733,33390,37453,0
21,2020-05-20 09:52:00,618.95,618.95,618.95,618.95,5493,33354,37825,0
22,2020-05-20 09:53:00,619.45,619.45,619.45,619.45,4594,33457,37686,0
23,2020-05-20 09:54:00,622.75,622.75,621.85,621.85,7991,68973,73789,0
24,2020-05-20 09:55:00,619.7,619.7,619.7,619.7,8814,34072,38329,0
25,2020-05-20 09:56:00,619.25,619.25,619.25,619.25,6107,34002,39859,0
26,2020-05-20 10:03:00,622.5,622.5,622.5,622.5,8172,42876,40883,0
27,2020-05-20 10:04:00,623.95,623.95,623.95,623.95,9672,86004,81997,0
28,2020-05-20 10:08:00,622.6,622.6,622.6,622.6,11274,48965,45829,0
29,2020-05-20 10:12:00,622.95,622.95,622.95,622.95,10338,48775,46305,0
30,2020-05-20 10:14:00,622.8,622.8,622.8,622.8,9139,52593,48743,0
31,2020-05-20 10:21:00,622.0,622.0,622.0,622.0,14698,49506,51009,0
32,2020-05-20 10:22:00,621.0,621.0,621.0,621.0,16238,49188,52205,0
