,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,48.65,48.65,48.65,48.65,0,33315,39153,0
1,2020-05-20 09:07:00,48.65,49.05,48.65,49.05,400,101145,128301,0
2,2020-05-20 09:08:00,49.05,49.05,49.05,49.05,400,33115,42667,0
3,2020-05-20 09:11:00,49.05,49.05,49.05,49.05,0,33115,42667,0
4,2020-05-20 09:14:00,49.05,49.05,49.05,49.05,0,33115,42667,0
5,2020-05-20 09:21:00,49.15,49.15,49.15,49.15,11628,89541,85872,0
6,2020-05-20 09:23:00,49.1,49.1,49.1,49.1,4431,180345,189985,0
7,2020-05-20 09:24:00,49.2,49.2,49.2,49.2,4521,90581,95257,0
8,2020-05-20 09:26:00,49.1,49.1,49.1,49.1,12602,90712,102515,0
9,2020-05-20 09:28:00,49.1,49.1,49.1,49.1,15574,90399,101472,0
10,2020-05-20 09:29:00,49.1,49.1,49.1,49.1,5181,179115,207280,0
11,2020-05-20 09:30:00,49.0,49.0,49.0,49.0,7404,86321,105500,0
12,2020-05-20 09:33:00,48.95,48.95,48.95,48.95,19291,87499,99765,0
13,2020-05-20 09:35:00,48.9,48.9,48.9,48.9,17352,88248,98529,0
14,2020-05-20 09:37:00,49.0,49.0,49.0,49.0,5470,88742,98604,0
15,2020-05-20 09:39:00,49.05,49.05,49.05,49.05,7711,89348,99054,0
16,2020-05-20 09:50:00,49.15,49.15,49.15,49.15,27552,95132,100579,0
17,2020-05-20 09:51:00,49.1,49.1,49.1,49.1,25685,94838,100268,0
18,2020-05-20 09:58:00,49.4,49.4,49.4,49.4,14787,101811,98678,0
19,2020-05-20 09:59:00,49.3,49.3,49.3,49.3,16756,101906,98678,0
20,2020-05-20 10:03:00,49.45,49.45,49.45,49.45,34897,104289,100978,0
21,2020-05-20 10:04:00,49.5,49.5,49.5,49.5,14921,218906,205766,0
22,2020-05-20 10:11:00,49.45,49.45,49.45,49.45,24038,107261,106341,0
23,2020-05-20 10:21:00,49.3,49.3,49.3,49.3,50487,105896,114617,0
24,2020-05-20 10:26:00,48.9,48.9,48.9,48.9,53115,97489,126428,0
25,2020-05-20 10:29:00,48.95,48.95,48.95,48.95,26852,96775,126620,0
26,2020-05-20 10:32:00,48.95,48.95,48.95,48.95,25007,101692,126362,0
27,2020-05-20 10:33:00,48.9,48.9,48.9,48.9,53022,101101,127093,0
28,2020-05-20 10:37:00,49.05,49.05,49.05,49.05,57719,103012,125103,0
29,2020-05-20 10:46:00,49.05,49.05,49.05,49.05,31390,102413,126418,0
30,2020-05-20 11:04:00,49.05,49.05,49.05,49.05,29433,101773,128526,0
31,2020-05-20 11:05:00,49.15,49.15,49.15,49.15,55779,101772,128822,0
32,2020-05-20 11:06:00,49.05,49.05,49.05,49.05,57738,101791,128822,0
33,2020-05-20 11:10:00,49.0,49.0,49.0,49.0,32636,102544,126041,0
34,2020-05-20 11:30:00,49.05,49.05,49.05,49.05,34050,111045,127039,0
35,2020-05-20 11:34:00,49.05,49.05,49.05,49.05,60378,113583,127871,0
36,2020-05-20 11:41:00,49.1,49.1,49.1,49.1,60310,112681,128227,0
37,2020-05-20 11:56:00,49.0,49.0,49.0,49.0,35453,111071,127770,0
38,2020-05-20 12:07:00,49.05,49.05,49.05,49.05,36650,112126,127683,0
39,2020-05-20 12:17:00,48.95,48.95,48.95,48.95,63816,112045,128135,0
40,2020-05-20 12:27:00,49.0,49.0,49.0,49.0,63076,112848,128152,0
41,2020-05-20 12:32:00,49.0,49.0,49.0,49.0,36550,112139,130368,0
42,2020-05-20 12:34:00,48.8,48.8,48.8,48.8,41001,105902,134070,0
43,2020-05-20 12:37:00,48.75,48.75,48.75,48.75,68694,106479,132073,0
44,2020-05-20 12:45:00,48.8,48.8,48.8,48.8,68405,107159,134608,0
45,2020-05-20 12:54:00,48.8,48.8,48.8,48.8,43501,105172,134399,0
46,2020-05-20 12:57:00,48.8,48.8,48.8,48.8,44643,105086,134257,0
47,2020-05-20 13:03:00,49.0,49.0,49.0,49.0,71865,108325,131930,0
48,2020-05-20 13:41:00,48.55,48.55,48.55,48.55,89135,101758,139370,0
49,2020-05-20 13:43:00,48.6,48.6,48.6,48.6,62554,101903,138482,0
50,2020-05-20 13:49:00,48.5,48.5,48.45,48.45,78228,195907,283221,0
51,2020-05-20 13:50:00,48.5,48.5,48.5,48.5,64106,196550,284400,0
52,2020-05-20 13:58:00,48.5,48.5,48.5,48.5,67234,104455,142693,0
53,2020-05-20 14:00:00,48.65,48.65,48.65,48.65,82870,106779,140729,0
54,2020-05-20 14:01:00,48.65,48.65,48.65,48.65,80434,108183,140505,0
55,2020-05-20 14:03:00,48.65,48.65,48.65,48.65,64804,108717,140826,0
56,2020-05-20 14:10:00,48.75,48.75,48.75,48.75,70537,110693,142046,0
57,2020-05-20 14:11:00,48.75,48.75,48.75,48.75,87716,111126,138664,0
58,2020-05-20 14:12:00,48.75,48.75,48.75,48.75,82328,111081,138008,0
59,2020-05-20 14:14:00,48.65,48.65,48.65,48.65,71437,109563,141025,0
60,2020-05-20 14:15:00,48.65,48.65,48.65,48.65,77158,109230,140913,0
61,2020-05-20 14:23:00,48.6,48.6,48.6,48.6,95874,107289,138983,0
62,2020-05-20 14:26:00,48.65,48.65,48.65,48.65,94755,109024,136560,0
63,2020-05-20 14:28:00,48.7,48.7,48.7,48.7,78608,112143,134014,0
64,2020-05-20 14:30:00,48.85,48.85,48.85,48.85,82437,111513,133203,0
65,2020-05-20 14:32:00,48.95,48.95,48.95,48.95,100469,112900,131633,0
66,2020-05-20 14:35:00,48.9,48.9,48.9,48.9,99706,125331,131649,0
67,2020-05-20 14:41:00,48.95,48.95,48.95,48.95,86122,114603,130557,0
68,2020-05-20 14:42:00,48.9,48.9,48.9,48.9,89672,115373,128109,0
69,2020-05-20 14:48:00,48.9,48.9,48.9,48.9,107279,108204,130867,0
70,2020-05-20 14:57:00,48.8,48.8,48.8,48.8,107087,102075,123135,0
71,2020-05-20 14:58:00,48.85,48.85,48.85,48.85,89596,102042,123094,0
72,2020-05-20 15:01:00,48.8,48.8,48.8,48.8,91183,102645,125127,0
73,2020-05-20 15:06:00,48.8,48.8,48.8,48.8,109811,108193,120783,0
74,2020-05-20 15:15:00,48.95,48.95,48.95,48.95,113695,98142,105971,0
75,2020-05-20 15:17:00,49.0,49.0,49.0,49.0,95914,95560,103912,0
