,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,88.15,88.15,88.15,88.15,0,38994,62315,0
1,2020-05-20 09:16:00,88.0,88.35,88.0,88.35,7762,126671,217308,0
2,2020-05-20 09:18:00,88.25,88.25,88.25,88.25,9019,71071,118540,0
3,2020-05-20 09:20:00,88.6,88.7,88.6,88.7,6702,288804,294916,0
4,2020-05-20 09:23:00,88.7,88.7,88.7,88.7,13166,152323,151049,0
5,2020-05-20 09:24:00,88.9,88.9,88.9,88.9,24391,126224,150454,0
6,2020-05-20 09:25:00,89.2,89.2,89.2,89.2,19904,130295,151629,0
7,2020-05-20 09:26:00,88.65,88.65,88.65,88.65,12824,127573,166131,0
8,2020-05-20 09:27:00,88.75,88.75,88.75,88.75,23505,126871,166675,0
9,2020-05-20 09:28:00,88.65,88.65,88.65,88.65,31042,129039,167464,0
10,2020-05-20 09:29:00,88.8,88.8,88.8,88.8,20818,128025,171734,0
11,2020-05-20 09:31:00,88.4,88.4,88.4,88.4,17362,125390,184825,0
12,2020-05-20 09:32:00,88.75,88.75,88.75,88.75,28219,127200,186789,0
13,2020-05-20 09:33:00,88.5,88.65,88.5,88.65,23048,288165,379318,0
14,2020-05-20 09:34:00,88.6,88.6,88.6,88.6,23396,145223,195050,0
15,2020-05-20 09:35:00,88.5,88.5,88.5,88.5,28871,145455,195428,0
16,2020-05-20 09:37:00,88.55,88.55,88.55,88.55,31785,154203,198426,0
17,2020-05-20 09:39:00,88.55,88.55,88.55,88.55,26698,156230,199904,0
18,2020-05-20 09:41:00,88.75,88.75,88.75,88.75,26666,184482,194612,0
19,2020-05-20 09:42:00,88.85,88.85,88.85,88.85,35392,185666,191921,0
20,2020-05-20 09:44:00,88.95,88.95,88.95,88.95,36165,161713,191811,0
21,2020-05-20 09:48:00,88.9,88.9,88.9,88.9,37659,150945,194816,0
22,2020-05-20 09:49:00,88.85,88.85,88.85,88.85,37670,151997,195060,0
23,2020-05-20 09:53:00,89.0,89.0,89.0,89.0,40259,156336,189683,0
24,2020-05-20 09:54:00,89.1,89.1,89.1,89.1,38270,313269,383338,0
25,2020-05-20 09:55:00,89.6,89.6,89.6,89.6,43935,165494,190268,0
26,2020-05-20 09:56:00,89.85,89.85,89.85,89.85,54085,165029,193081,0
27,2020-05-20 09:58:00,89.8,89.8,89.8,89.8,64391,166220,193146,0
28,2020-05-20 09:59:00,89.8,89.8,89.8,89.8,54241,166643,193673,0
29,2020-05-20 10:01:00,89.65,89.75,89.65,89.75,58521,337910,393472,0
30,2020-05-20 10:02:00,89.65,89.65,89.6,89.6,56114,336251,400258,0
31,2020-05-20 10:05:00,89.35,89.35,89.3,89.3,65457,328976,411830,0
